startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",4827
"2013-01-02T00:00:00","2013-01-03T00:00:00",8172
"2013-01-03T00:00:00","2013-01-04T00:00:00",6319
"2013-01-04T00:00:00","2013-01-05T00:00:00",6502
"2013-01-05T00:00:00","2013-01-06T00:00:00",5464
"2013-01-06T00:00:00","2013-01-07T00:00:00",7524
"2013-01-07T00:00:00","2013-01-08T00:00:00",7161
"2013-01-08T00:00:00","2013-01-09T00:00:00",5846
"2013-01-09T00:00:00","2013-01-10T00:00:00",6316
"2013-01-10T00:00:00","2013-01-11T00:00:00",7367
"2013-01-11T00:00:00","2013-01-12T00:00:00",6641
"2013-01-12T00:00:00","2013-01-13T00:00:00",4799
"2013-01-13T00:00:00","2013-01-14T00:00:00",6117
"2013-01-14T00:00:00","2013-01-15T00:00:00",7048
"2013-01-15T00:00:00","2013-01-16T00:00:00",6919
"2013-01-16T00:00:00","2013-01-17T00:00:00",6870
"2013-01-17T00:00:00","2013-01-18T00:00:00",6978
"2013-01-18T00:00:00","2013-01-19T00:00:00",6483
"2013-01-19T00:00:00","2013-01-20T00:00:00",5836
"2013-01-20T00:00:00","2013-01-21T00:00:00",6601
"2013-01-21T00:00:00","2013-01-22T00:00:00",6359
"2013-01-22T00:00:00","2013-01-23T00:00:00",6088
"2013-01-23T00:00:00","2013-01-24T00:00:00",6937
"2013-01-24T00:00:00","2013-01-25T00:00:00",6731
"2013-01-25T00:00:00","2013-01-26T00:00:00",6760
"2013-01-26T00:00:00","2013-01-27T00:00:00",5226
"2013-01-27T00:00:00","2013-01-28T00:00:00",6643
"2013-01-28T00:00:00","2013-01-29T00:00:00",6686
"2013-01-29T00:00:00","2013-01-30T00:00:00",7088
"2013-01-30T00:00:00","2013-01-31T00:00:00",6200
"2013-01-31T00:00:00","2013-02-01T00:00:00",6335
"2013-02-01T00:00:00","2013-02-02T00:00:00",6999
"2013-02-02T00:00:00","2013-02-03T00:00:00",5902
"2013-02-03T00:00:00","2013-02-04T00:00:00",7446
"2013-02-04T00:00:00","2013-02-05T00:00:00",6768
"2013-02-05T00:00:00","2013-02-06T00:00:00",7331
"2013-02-06T00:00:00","2013-02-07T00:00:00",7573
"2013-02-07T00:00:00","2013-02-08T00:00:00",6273
"2013-02-08T00:00:00","2013-02-09T00:00:00",6472
"2013-02-09T00:00:00","2013-02-10T00:00:00",6396
"2013-02-10T00:00:00","2013-02-11T00:00:00",7029
"2013-02-11T00:00:00","2013-02-12T00:00:00",8547
"2013-02-12T00:00:00","2013-02-13T00:00:00",8701
"2013-02-13T00:00:00","2013-02-14T00:00:00",7951
"2013-02-14T00:00:00","2013-02-15T00:00:00",6808
"2013-02-15T00:00:00","2013-02-16T00:00:00",6880
"2013-02-16T00:00:00","2013-02-17T00:00:00",6747
"2013-02-17T00:00:00","2013-02-18T00:00:00",8217
"2013-02-18T00:00:00","2013-02-19T00:00:00",6692
"2013-02-19T00:00:00","2013-02-20T00:00:00",6960
"2013-02-20T00:00:00","2013-02-21T00:00:00",7370
"2013-02-21T00:00:00","2013-02-22T00:00:00",7057
"2013-02-22T00:00:00","2013-02-23T00:00:00",7244
"2013-02-23T00:00:00","2013-02-24T00:00:00",6229
"2013-02-24T00:00:00","2013-02-25T00:00:00",7291
"2013-02-25T00:00:00","2013-02-26T00:00:00",10898
