startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",31833
"2013-01-02T00:00:00","2013-01-03T00:00:00",34066
"2013-01-03T00:00:00","2013-01-04T00:00:00",35232
"2013-01-04T00:00:00","2013-01-05T00:00:00",34612
"2013-01-05T00:00:00","2013-01-06T00:00:00",31233
"2013-01-06T00:00:00","2013-01-07T00:00:00",32990
"2013-01-07T00:00:00","2013-01-08T00:00:00",34954
"2013-01-08T00:00:00","2013-01-09T00:00:00",30585
"2013-01-09T00:00:00","2013-01-10T00:00:00",30563
"2013-01-10T00:00:00","2013-01-11T00:00:00",34244
"2013-01-11T00:00:00","2013-01-12T00:00:00",31842
"2013-01-12T00:00:00","2013-01-13T00:00:00",27217
"2013-01-13T00:00:00","2013-01-14T00:00:00",33300
"2013-01-14T00:00:00","2013-01-15T00:00:00",32034
"2013-01-15T00:00:00","2013-01-16T00:00:00",32907
"2013-01-16T00:00:00","2013-01-17T00:00:00",33313
"2013-01-17T00:00:00","2013-01-18T00:00:00",33100
"2013-01-18T00:00:00","2013-01-19T00:00:00",33612
"2013-01-19T00:00:00","2013-01-20T00:00:00",30238
"2013-01-20T00:00:00","2013-01-21T00:00:00",36071
"2013-01-21T00:00:00","2013-01-22T00:00:00",34253
"2013-01-22T00:00:00","2013-01-23T00:00:00",32827
"2013-01-23T00:00:00","2013-01-24T00:00:00",32910
"2013-01-24T00:00:00","2013-01-25T00:00:00",32079
"2013-01-25T00:00:00","2013-01-26T00:00:00",30937
"2013-01-26T00:00:00","2013-01-27T00:00:00",29381
"2013-01-27T00:00:00","2013-01-28T00:00:00",35211
"2013-01-28T00:00:00","2013-01-29T00:00:00",34062
"2013-01-29T00:00:00","2013-01-30T00:00:00",33756
"2013-01-30T00:00:00","2013-01-31T00:00:00",33332
"2013-01-31T00:00:00","2013-02-01T00:00:00",30821
"2013-02-01T00:00:00","2013-02-02T00:00:00",33963
"2013-02-02T00:00:00","2013-02-03T00:00:00",30305
"2013-02-03T00:00:00","2013-02-04T00:00:00",38830
"2013-02-04T00:00:00","2013-02-05T00:00:00",33918
"2013-02-05T00:00:00","2013-02-06T00:00:00",32349
"2013-02-06T00:00:00","2013-02-07T00:00:00",32560
"2013-02-07T00:00:00","2013-02-08T00:00:00",32232
"2013-02-08T00:00:00","2013-02-09T00:00:00",30750
