startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",18029
"2013-01-02T00:00:00","2013-01-03T00:00:00",23646
"2013-01-03T00:00:00","2013-01-04T00:00:00",22455
"2013-01-04T00:00:00","2013-01-05T00:00:00",23972
"2013-01-05T00:00:00","2013-01-06T00:00:00",20892
"2013-01-06T00:00:00","2013-01-07T00:00:00",26756
"2013-01-07T00:00:00","2013-01-08T00:00:00",25210
"2013-01-08T00:00:00","2013-01-09T00:00:00",23170
"2013-01-09T00:00:00","2013-01-10T00:00:00",24011
"2013-01-10T00:00:00","2013-01-11T00:00:00",27398
"2013-01-11T00:00:00","2013-01-12T00:00:00",25548
"2013-01-12T00:00:00","2013-01-13T00:00:00",18484
"2013-01-13T00:00:00","2013-01-14T00:00:00",24088
"2013-01-14T00:00:00","2013-01-15T00:00:00",23176
"2013-01-15T00:00:00","2013-01-16T00:00:00",23532
"2013-01-16T00:00:00","2013-01-17T00:00:00",23324
"2013-01-17T00:00:00","2013-01-18T00:00:00",23629
"2013-01-18T00:00:00","2013-01-19T00:00:00",22493
"2013-01-19T00:00:00","2013-01-20T00:00:00",21437
"2013-01-20T00:00:00","2013-01-21T00:00:00",25244
"2013-01-21T00:00:00","2013-01-22T00:00:00",24626
"2013-01-22T00:00:00","2013-01-23T00:00:00",23224
"2013-01-23T00:00:00","2013-01-24T00:00:00",24263
"2013-01-24T00:00:00","2013-01-25T00:00:00",22957
"2013-01-25T00:00:00","2013-01-26T00:00:00",20992
"2013-01-26T00:00:00","2013-01-27T00:00:00",20569
"2013-01-27T00:00:00","2013-01-28T00:00:00",29834
"2013-01-28T00:00:00","2013-01-29T00:00:00",25263
"2013-01-29T00:00:00","2013-01-30T00:00:00",25478
"2013-01-30T00:00:00","2013-01-31T00:00:00",23552
"2013-01-31T00:00:00","2013-02-01T00:00:00",21784
"2013-02-01T00:00:00","2013-02-02T00:00:00",22973
"2013-02-02T00:00:00","2013-02-03T00:00:00",21103
"2013-02-03T00:00:00","2013-02-04T00:00:00",28499
"2013-02-04T00:00:00","2013-02-05T00:00:00",24919
"2013-02-05T00:00:00","2013-02-06T00:00:00",25081
"2013-02-06T00:00:00","2013-02-07T00:00:00",22403
"2013-02-07T00:00:00","2013-02-08T00:00:00",22818
"2013-02-08T00:00:00","2013-02-09T00:00:00",21476
"2013-02-09T00:00:00","2013-02-10T00:00:00",20464
"2013-02-10T00:00:00","2013-02-11T00:00:00",24409
"2013-02-11T00:00:00","2013-02-12T00:00:00",28295
"2013-02-12T00:00:00","2013-02-13T00:00:00",31547
"2013-02-13T00:00:00","2013-02-14T00:00:00",28888
"2013-02-14T00:00:00","2013-02-15T00:00:00",26066
"2013-02-15T00:00:00","2013-02-16T00:00:00",24904
"2013-02-16T00:00:00","2013-02-17T00:00:00",23060
"2013-02-17T00:00:00","2013-02-18T00:00:00",28130
"2013-02-18T00:00:00","2013-02-19T00:00:00",23894
"2013-02-19T00:00:00","2013-02-20T00:00:00",23496
"2013-02-20T00:00:00","2013-02-21T00:00:00",25949
"2013-02-21T00:00:00","2013-02-22T00:00:00",23747
"2013-02-22T00:00:00","2013-02-23T00:00:00",24877
"2013-02-23T00:00:00","2013-02-24T00:00:00",23085
"2013-02-24T00:00:00","2013-02-25T00:00:00",25797
"2013-02-25T00:00:00","2013-02-26T00:00:00",38023
"2013-02-26T00:00:00","2013-02-27T00:00:00",33751
"2013-02-27T00:00:00","2013-02-28T00:00:00",26420
"2013-02-28T00:00:00","2013-03-01T00:00:00",24846
"2013-03-01T00:00:00","2013-03-02T00:00:00",24852
"2013-03-02T00:00:00","2013-03-03T00:00:00",24321
"2013-03-03T00:00:00","2013-03-04T00:00:00",27632
"2013-03-04T00:00:00","2013-03-05T00:00:00",26981
"2013-03-05T00:00:00","2013-03-06T00:00:00",24961
"2013-03-06T00:00:00","2013-03-07T00:00:00",25369
"2013-03-07T00:00:00","2013-03-08T00:00:00",26259
"2013-03-08T00:00:00","2013-03-09T00:00:00",24017
"2013-03-09T00:00:00","2013-03-10T00:00:00",20163
"2013-03-10T00:00:00","2013-03-11T00:00:00",26292
"2013-03-11T00:00:00","2013-03-12T00:00:00",27178
"2013-03-12T00:00:00","2013-03-13T00:00:00",27568
"2013-03-13T00:00:00","2013-03-14T00:00:00",28322
"2013-03-14T00:00:00","2013-03-15T00:00:00",25211
"2013-03-15T00:00:00","2013-03-16T00:00:00",24605
"2013-03-16T00:00:00","2013-03-17T00:00:00",24652
"2013-03-17T00:00:00","2013-03-18T00:00:00",25740
"2013-03-18T00:00:00","2013-03-19T00:00:00",27098
"2013-03-19T00:00:00","2013-03-20T00:00:00",26605
"2013-03-20T00:00:00","2013-03-21T00:00:00",25795
"2013-03-21T00:00:00","2013-03-22T00:00:00",28587
"2013-03-22T00:00:00","2013-03-23T00:00:00",25486
"2013-03-23T00:00:00","2013-03-24T00:00:00",26631
"2013-03-24T00:00:00","2013-03-25T00:00:00",29578
"2013-03-25T00:00:00","2013-03-26T00:00:00",28193
"2013-03-26T00:00:00","2013-03-27T00:00:00",26860
"2013-03-27T00:00:00","2013-03-28T00:00:00",27998
"2013-03-28T00:00:00","2013-03-29T00:00:00",30316
"2013-03-29T00:00:00","2013-03-30T00:00:00",28256
"2013-03-30T00:00:00","2013-03-31T00:00:00",31549
"2013-03-31T00:00:00","2013-04-01T00:00:00",21135
"2013-04-01T00:00:00","2013-04-02T00:00:00",24023
"2013-04-02T00:00:00","2013-04-03T00:00:00",31265
"2013-04-03T00:00:00","2013-04-04T00:00:00",28430
"2013-04-04T00:00:00","2013-04-05T00:00:00",28459
"2013-04-05T00:00:00","2013-04-06T00:00:00",26305
"2013-04-06T00:00:00","2013-04-07T00:00:00",23418
"2013-04-07T00:00:00","2013-04-08T00:00:00",27815
"2013-04-08T00:00:00","2013-04-09T00:00:00",29401
"2013-04-09T00:00:00","2013-04-10T00:00:00",26390
"2013-04-10T00:00:00","2013-04-11T00:00:00",26344
"2013-04-11T00:00:00","2013-04-12T00:00:00",25641
"2013-04-12T00:00:00","2013-04-13T00:00:00",22907
"2013-04-13T00:00:00","2013-04-14T00:00:00",21490
"2013-04-14T00:00:00","2013-04-15T00:00:00",24346
"2013-04-15T00:00:00","2013-04-16T00:00:00",25736
"2013-04-16T00:00:00","2013-04-17T00:00:00",26220
