startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",400309
"2013-01-02T00:00:00","2013-01-03T00:00:00",459780
"2013-01-03T00:00:00","2013-01-04T00:00:00",478648
"2013-01-04T00:00:00","2013-01-05T00:00:00",504519
"2013-01-05T00:00:00","2013-01-06T00:00:00",433890
"2013-01-06T00:00:00","2013-01-07T00:00:00",475526
"2013-01-07T00:00:00","2013-01-08T00:00:00",503429
"2013-01-08T00:00:00","2013-01-09T00:00:00",465238
"2013-01-09T00:00:00","2013-01-10T00:00:00",485240
"2013-01-10T00:00:00","2013-01-11T00:00:00",542931
"2013-01-11T00:00:00","2013-01-12T00:00:00",470691
"2013-01-12T00:00:00","2013-01-13T00:00:00",441689
"2013-01-13T00:00:00","2013-01-14T00:00:00",464827
"2013-01-14T00:00:00","2013-01-15T00:00:00",472853
"2013-01-15T00:00:00","2013-01-16T00:00:00",488829
"2013-01-16T00:00:00","2013-01-17T00:00:00",522835
"2013-01-17T00:00:00","2013-01-18T00:00:00",504812
"2013-01-18T00:00:00","2013-01-19T00:00:00",495024
"2013-01-19T00:00:00","2013-01-20T00:00:00",461743
"2013-01-20T00:00:00","2013-01-21T00:00:00",505886
"2013-01-21T00:00:00","2013-01-22T00:00:00",491797
"2013-01-22T00:00:00","2013-01-23T00:00:00",485323
"2013-01-23T00:00:00","2013-01-24T00:00:00",490857
"2013-01-24T00:00:00","2013-01-25T00:00:00",480003
"2013-01-25T00:00:00","2013-01-26T00:00:00",479984
"2013-01-26T00:00:00","2013-01-27T00:00:00",430290
"2013-01-27T00:00:00","2013-01-28T00:00:00",478691
"2013-01-28T00:00:00","2013-01-29T00:00:00",497708
"2013-01-29T00:00:00","2013-01-30T00:00:00",514395
"2013-01-30T00:00:00","2013-01-31T00:00:00",489833
"2013-01-31T00:00:00","2013-02-01T00:00:00",455694
"2013-02-01T00:00:00","2013-02-02T00:00:00",505649
"2013-02-02T00:00:00","2013-02-03T00:00:00",434656
"2013-02-03T00:00:00","2013-02-04T00:00:00",559014
"2013-02-04T00:00:00","2013-02-05T00:00:00",500184
"2013-02-05T00:00:00","2013-02-06T00:00:00",488984
"2013-02-06T00:00:00","2013-02-07T00:00:00",479100
"2013-02-07T00:00:00","2013-02-08T00:00:00",485070
"2013-02-08T00:00:00","2013-02-09T00:00:00",476117
"2013-02-09T00:00:00","2013-02-10T00:00:00",434473
"2013-02-10T00:00:00","2013-02-11T00:00:00",497355
