"","date","nretweets"
"1",2019-01-01,"118159"
"2",2019-01-02,"136224"
"3",2019-01-03,"158589"
"4",2019-01-04,"126051"
"5",2019-01-05,"136007"
"6",2019-01-06,"181812"
"7",2019-01-07,"130793"
"8",2019-01-08,"149170"
"9",2019-01-09,"146483"
"10",2019-01-10,"151414"
"11",2019-01-11,"130586"
"12",2019-01-12,"129964"
"13",2019-01-13,"125693"
"14",2019-01-14,"173863"
"15",2019-01-15,"183207"
"16",2019-01-16,"140580"
"17",2019-01-17,"179068"
"18",2019-01-18,"129964"
"19",2019-01-19,"149726"
"20",2019-01-20,"171450"
"21",2019-01-21,"177456"
"22",2019-01-22,"162719"
"23",2019-01-23,"164086"
"24",2019-01-24,"146445"
"25",2019-01-25,"121959"
"26",2019-01-26,"157250"
"27",2019-01-27,"154488"
"28",2019-01-28,"158910"
"29",2019-01-29,"173184"
"30",2019-01-30,"153988"
"31",2019-01-31,"144135"
"32",2019-02-01,"153073"
"33",2019-02-02,"133688"
"34",2019-02-03,"149179"
"35",2019-02-04,"166603"
"36",2019-02-05,"156637"
"37",2019-02-06,"198840"
"38",2019-02-07,"174985"
"39",2019-02-08,"182415"
"40",2019-02-09,"227805"
"41",2019-02-10,"148670"
"42",2019-02-11,"171044"
"43",2019-02-12,"132943"
"44",2019-02-13,"154318"
"45",2019-02-14,"160597"
"46",2019-02-15,"110022"
"47",2019-02-16,"132528"
"48",2019-02-17,"159032"
"49",2019-02-18,"160541"
"50",2019-02-19,"146417"
"51",2019-02-20,"139100"
"52",2019-02-21,"145153"
"53",2019-02-22,"147048"
"54",2019-02-23,"163765"
"55",2019-02-24,"152790"
"56",2019-02-25,"139402"
"57",2019-02-26,"169055"
"58",2019-02-27,"131397"
"59",2019-02-28,"119347"
"60",2019-03-01,"145097"
"61",2019-03-02,"140194"
"62",2019-03-03,"183499"
"63",2019-03-04,"167650"
"64",2019-03-05,"164944"
"65",2019-03-06,"168046"
"66",2019-03-07,"156317"
"67",2019-03-08,"125985"
"68",2019-03-09,"111314"
"69",2019-03-10,"153036"
"70",2019-03-11,"127814"
"71",2019-03-12,"150820"
"72",2019-03-13,"143343"
"73",2019-03-14,"178776"
