"","date","unique_authors"
"1",2019-01-01,"41356"
"2",2019-01-02,"43451"
"3",2019-01-03,"43803"
"4",2019-01-04,"41344"
"5",2019-01-05,"40212"
"6",2019-01-06,"45537"
"7",2019-01-07,"45786"
"8",2019-01-08,"46901"
"9",2019-01-09,"47266"
"10",2019-01-10,"48021"
"11",2019-01-11,"42556"
"12",2019-01-12,"40948"
"13",2019-01-13,"47203"
"14",2019-01-14,"48274"
"15",2019-01-15,"49497"
"16",2019-01-16,"48929"
"17",2019-01-17,"47694"
"18",2019-01-18,"43819"
"19",2019-01-19,"43051"
"20",2019-01-20,"49344"
"21",2019-01-21,"49809"
"22",2019-01-22,"48582"
"23",2019-01-23,"50702"
"24",2019-01-24,"47981"
"25",2019-01-25,"43755"
"26",2019-01-26,"47469"
"27",2019-01-27,"48367"
"28",2019-01-28,"48649"
"29",2019-01-29,"52466"
"30",2019-01-30,"51148"
"31",2019-01-31,"50158"
"32",2019-02-01,"43316"
"33",2019-02-02,"43423"
"34",2019-02-03,"48712"
"35",2019-02-04,"55441"
"36",2019-02-05,"53741"
"37",2019-02-06,"53959"
"38",2019-02-07,"52934"
"39",2019-02-08,"48615"
"40",2019-02-09,"51159"
"41",2019-02-10,"49487"
"42",2019-02-11,"49155"
"43",2019-02-12,"50224"
"44",2019-02-13,"50411"
"45",2019-02-14,"48141"
"46",2019-02-15,"42985"
"47",2019-02-16,"43792"
"48",2019-02-17,"49917"
"49",2019-02-18,"49864"
"50",2019-02-19,"49874"
"51",2019-02-20,"49874"
"52",2019-02-21,"49193"
"53",2019-02-22,"43757"
"54",2019-02-23,"45068"
"55",2019-02-24,"48246"
"56",2019-02-25,"47351"
"57",2019-02-26,"48252"
"58",2019-02-27,"49045"
"59",2019-02-28,"49838"
"60",2019-03-01,"44400"
"61",2019-03-02,"44526"
"62",2019-03-03,"50476"
"63",2019-03-04,"50032"
"64",2019-03-05,"49576"
"65",2019-03-06,"50122"
"66",2019-03-07,"51984"
"67",2019-03-08,"42248"
"68",2019-03-09,"41172"
"69",2019-03-10,"47462"
"70",2019-03-11,"50784"
"71",2019-03-12,"48924"
"72",2019-03-13,"52311"
"73",2019-03-14,"51420"
"74",2019-03-15,"41917"
"75",2019-03-16,"42958"
"76",2019-03-17,"47200"
"77",2019-03-18,"50156"
"78",2019-03-19,"47695"
"79",2019-03-20,"50718"
"80",2019-03-21,"47515"
"81",2019-03-22,"41241"
"82",2019-03-23,"40369"
"83",2019-03-24,"47858"
"84",2019-03-25,"48107"
"85",2019-03-26,"48081"
"86",2019-03-27,"48275"
"87",2019-03-28,"47851"
"88",2019-03-29,"43161"
"89",2019-03-30,"43118"
"90",2019-03-31,"47693"
"91",2019-04-01,"49909"
"92",2019-04-02,"48328"
"93",2019-04-03,"48815"
"94",2019-04-04,"49427"
"95",2019-04-05,"42025"
"96",2019-04-06,"43760"
"97",2019-04-07,"47783"
"98",2019-04-08,"47764"
"99",2019-04-09,"49575"
"100",2019-04-10,"45647"
"101",2019-04-11,"47497"
"102",2019-04-12,"42454"
"103",2019-04-13,"47127"
"104",2019-04-14,"50383"
"105",2019-04-15,"49449"
"106",2019-04-16,"48832"
"107",2019-04-17,"46463"
"108",2019-04-18,"44816"
"109",2019-04-19,"40768"
"110",2019-04-20,"40931"
"111",2019-04-21,"36502"
"112",2019-04-22,"43656"
"113",2019-04-23,"45920"
"114",2019-04-24,"44070"
"115",2019-04-25,"42673"
"116",2019-04-26,"39978"
"117",2019-04-27,"41863"
"118",2019-04-28,"45890"
"119",2019-04-29,"45041"
"120",2019-04-30,"43651"
"121",2019-05-01,"44343"
"122",2019-05-02,"46159"
"123",2019-05-03,"42355"
"124",2019-05-04,"41945"
"125",2019-05-05,"47719"
"126",2019-05-06,"48530"
"127",2019-05-07,"49155"
"128",2019-05-08,"48772"
"129",2019-05-09,"46741"
"130",2019-05-10,"42525"
"131",2019-05-11,"42970"
"132",2019-05-12,"49111"
"133",2019-05-13,"47660"
"134",2019-05-14,"47866"
"135",2019-05-15,"47139"
"136",2019-05-16,"49266"
"137",2019-05-17,"45413"
"138",2019-05-18,"45492"
"139",2019-05-19,"48643"
"140",2019-05-20,"47698"
"141",2019-05-21,"47129"
"142",2019-05-22,"48822"
"143",2019-05-23,"47059"
"144",2019-05-24,"42904"
"145",2019-05-25,"46232"
"146",2019-05-26,"51951"
"147",2019-05-27,"47581"
"148",2019-05-28,"48779"
"149",2019-05-29,"48527"
"150",2019-05-30,"47913"
"151",2019-05-31,"41871"
"152",2019-06-01,"40511"
"153",2019-06-02,"46939"
"154",2019-06-03,"45246"
"155",2019-06-04,"47604"
"156",2019-06-05,"47226"
"157",2019-06-06,"46604"
"158",2019-06-07,"40318"
"159",2019-06-08,"40073"
"160",2019-06-09,"47171"
"161",2019-06-10,"47265"
"162",2019-06-11,"46173"
"163",2019-06-12,"46599"
"164",2019-06-13,"46054"
"165",2019-06-14,"40334"
"166",2019-06-15,"40263"
"167",2019-06-16,"47268"
"168",2019-06-17,"46453"
"169",2019-06-18,"46584"
"170",2019-06-19,"46552"
"171",2019-06-20,"46286"
"172",2019-06-21,"40168"
"173",2019-06-22,"39050"
"174",2019-06-23,"49076"
"175",2019-06-24,"47258"
"176",2019-06-25,"47905"
"177",2019-06-26,"47722"
"178",2019-06-27,"47505"
"179",2019-06-28,"43230"
"180",2019-06-29,"41537"
"181",2019-06-30,"46766"
"182",2019-07-01,"48197"
"183",2019-07-02,"49319"
"184",2019-07-03,"46839"
"185",2019-07-04,"44677"
"186",2019-07-05,"40887"
"187",2019-07-06,"39155"
"188",2019-07-07,"45620"
"189",2019-07-08,"44548"
"190",2019-07-09,"45585"
"191",2019-07-10,"44731"
"192",2019-07-11,"40119"
"193",2019-07-12,"39825"
"194",2019-07-13,"39040"
"195",2019-07-14,"44826"
"196",2019-07-15,"45890"
"197",2019-07-16,"46724"
"198",2019-07-17,"43330"
"199",2019-07-18,"43724"
"200",2019-07-19,"37743"
"201",2019-07-20,"37626"
"202",2019-07-21,"44192"
"203",2019-07-22,"45167"
"204",2019-07-23,"44506"
"205",2019-07-24,"44114"
"206",2019-07-25,"44363"
"207",2019-07-26,"41092"
"208",2019-07-27,"39082"
"209",2019-07-28,"42585"
"210",2019-07-29,"43461"
"211",2019-07-30,"43809"
"212",2019-07-31,"43244"
"213",2019-08-01,"43837"
"214",2019-08-02,"37614"
"215",2019-08-03,"36852"
"216",2019-08-04,"40785"
"217",2019-08-05,"43142"
"218",2019-08-06,"42816"
"219",2019-08-07,"43308"
"220",2019-08-08,"43520"
"221",2019-08-09,"38175"
"222",2019-08-10,"38528"
"223",2019-08-11,"39444"
"224",2019-08-12,"42465"
"225",2019-08-13,"39684"
"226",2019-08-14,"38080"
"227",2019-08-15,"39254"
"228",2019-08-16,"38788"
"229",2019-08-17,"37555"
"230",2019-08-18,"40541"
"231",2019-08-19,"48879"
"232",2019-08-20,"45031"
"233",2019-08-21,"45153"
"234",2019-08-22,"43883"
"235",2019-08-23,"42469"
"236",2019-08-24,"41470"
"237",2019-08-25,"46553"
"238",2019-08-26,"45356"
"239",2019-08-27,"47673"
"240",2019-08-28,"48738"
"241",2019-08-29,"47173"
"242",2019-08-30,"44584"
"243",2019-08-31,"42987"
"244",2019-09-01,"46705"
"245",2019-09-02,"48149"
"246",2019-09-03,"49747"
"247",2019-09-04,"49304"
"248",2019-09-05,"47249"
"249",2019-09-06,"41008"
"250",2019-09-07,"41764"
"251",2019-09-08,"46264"
"252",2019-09-09,"47380"
"253",2019-09-10,"45702"
"254",2019-09-11,"43577"
"255",2019-09-12,"45882"
"256",2019-09-13,"40510"
"257",2019-09-14,"41514"
"258",2019-09-15,"45214"
"259",2019-09-16,"47809"
"260",2019-09-17,"47617"
"261",2019-09-18,"46811"
"262",2019-09-19,"45591"
"263",2019-09-20,"43373"
"264",2019-09-21,"41164"
"265",2019-09-22,"45795"
"266",2019-09-23,"46468"
"267",2019-09-24,"46717"
"268",2019-09-25,"46195"
"269",2019-09-26,"46961"
"270",2019-09-27,"40325"
"271",2019-09-28,"40939"
"272",2019-09-29,"44130"
"273",2019-09-30,"47180"
"274",2019-10-01,"44617"
"275",2019-10-02,"45470"
"276",2019-10-03,"45303"
"277",2019-10-04,"39540"
"278",2019-10-05,"42113"
"279",2019-10-06,"44751"
"280",2019-10-07,"44958"
"281",2019-10-08,"45930"
"282",2019-10-09,"45204"
"283",2019-10-10,"44462"
"284",2019-10-11,"39954"
"285",2019-10-12,"38241"
"286",2019-10-13,"44044"
"287",2019-10-14,"44700"
"288",2019-10-15,"44657"
"289",2019-10-16,"45029"
"290",2019-10-17,"44236"
"291",2019-10-18,"40600"
"292",2019-10-19,"40656"
"293",2019-10-20,"44074"
"294",2019-10-21,"45575"
"295",2019-10-22,"44970"
"296",2019-10-23,"46792"
"297",2019-10-24,"44225"
"298",2019-10-25,"39918"
"299",2019-10-26,"40397"
"300",2019-10-27,"46017"
"301",2019-10-28,"45468"
"302",2019-10-29,"46630"
"303",2019-10-30,"47630"
"304",2019-10-31,"39724"
"305",2019-11-01,"39041"
"306",2019-11-02,"40567"
"307",2019-11-03,"45563"
"308",2019-11-04,"46489"
"309",2019-11-05,"45878"
"310",2019-11-06,"45914"
"311",2019-11-07,"46205"
"312",2019-11-08,"40905"
"313",2019-11-09,"40401"
"314",2019-11-10,"44581"
"315",2019-11-11,"45586"
"316",2019-11-12,"45867"
"317",2019-11-13,"46583"
"318",2019-11-14,"45322"
"319",2019-11-15,"40841"
"320",2019-11-16,"40574"
"321",2019-11-17,"43648"
"322",2019-11-18,"46170"
"323",2019-11-19,"46088"
"324",2019-11-20,"45723"
"325",2019-11-21,"44946"
"326",2019-11-22,"41679"
"327",2019-11-23,"41024"
"328",2019-11-24,"45673"
"329",2019-11-25,"46485"
"330",2019-11-26,"45014"
"331",2019-11-27,"46014"
"332",2019-11-28,"44110"
"333",2019-11-29,"40473"
"334",2019-11-30,"41390"
"335",2019-12-01,"45494"
"336",2019-12-02,"45249"
"337",2019-12-03,"44768"
"338",2019-12-04,"46707"
"339",2019-12-05,"45906"
"340",2019-12-06,"40272"
"341",2019-12-07,"40940"
"342",2019-12-08,"43938"
"343",2019-12-09,"45961"
"344",2019-12-10,"45097"
"345",2019-12-11,"45384"
"346",2019-12-12,"43942"
"347",2019-12-13,"39426"
"348",2019-12-14,"39797"
"349",2019-12-15,"45063"
"350",2019-12-16,"42965"
"351",2019-12-17,"44427"
"352",2019-12-18,"43064"
"353",2019-12-19,"42697"
"354",2019-12-20,"37508"
"355",2019-12-21,"39493"
"356",2019-12-22,"40886"
"357",2019-12-23,"40428"
"358",2019-12-24,"37032"
"359",2019-12-25,"34455"
"360",2019-12-26,"36957"
"361",2019-12-27,"37118"
"362",2019-12-28,"35171"
"363",2019-12-29,"38942"
"364",2019-12-30,"40642"
"365",2019-12-31,"41130"
"366",2020-01-01,"38856"
"367",2020-01-02,"40631"
"368",2020-01-03,"36996"
"369",2020-01-04,"38617"
"370",2020-01-05,"41452"
"371",2020-01-06,"42942"
"372",2020-01-07,"43834"
"373",2020-01-08,"43555"
"374",2020-01-09,"44375"
"375",2020-01-10,"41036"
"376",2020-01-11,"39164"
"377",2020-01-12,"43791"
"378",2020-01-13,"43756"
"379",2020-01-14,"44688"
"380",2020-01-15,"45610"
"381",2020-01-16,"44858"
"382",2020-01-17,"41475"
"383",2020-01-18,"41737"
"384",2020-01-19,"47475"
"385",2020-01-20,"47306"
"386",2020-01-21,"47302"
"387",2020-01-22,"46953"
"388",2020-01-23,"45677"
"389",2020-01-24,"37428"
"390",2020-01-25,"43589"
"391",2020-01-26,"47061"
"392",2020-01-27,"44797"
"393",2020-01-28,"44778"
"394",2020-01-29,"44376"
"395",2020-01-30,"46740"
"396",2020-01-31,"40532"
"397",2020-02-01,"40514"
"398",2020-02-02,"43086"
"399",2020-02-03,"49972"
"400",2020-02-04,"50090"
"401",2020-02-05,"48017"
"402",2020-02-06,"46507"
"403",2020-02-07,"43754"
"404",2020-02-08,"44037"
"405",2020-02-09,"44566"
"406",2020-02-10,"44790"
"407",2020-02-11,"45299"
"408",2020-02-12,"45636"
"409",2020-02-13,"45373"
"410",2020-02-14,"38668"
"411",2020-02-15,"39832"
"412",2020-02-16,"42723"
"413",2020-02-17,"43420"
"414",2020-02-18,"42150"
"415",2020-02-19,"43660"
"416",2020-02-20,"43778"
"417",2020-02-21,"42449"
"418",2020-02-22,"44744"
"419",2020-02-23,"47619"
"420",2020-02-24,"47365"
"421",2020-02-25,"45828"
