startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",24842
"2018-01-02T00:00:00","2018-01-03T00:00:00",26281
"2018-01-03T00:00:00","2018-01-04T00:00:00",29130
"2018-01-04T00:00:00","2018-01-05T00:00:00",29589
"2018-01-05T00:00:00","2018-01-06T00:00:00",27530
"2018-01-06T00:00:00","2018-01-07T00:00:00",26282
"2018-01-07T00:00:00","2018-01-08T00:00:00",28135
"2018-01-08T00:00:00","2018-01-09T00:00:00",30672
"2018-01-09T00:00:00","2018-01-10T00:00:00",31772
"2018-01-10T00:00:00","2018-01-11T00:00:00",28166
"2018-01-11T00:00:00","2018-01-12T00:00:00",27393
"2018-01-12T00:00:00","2018-01-13T00:00:00",28858
"2018-01-13T00:00:00","2018-01-14T00:00:00",25302
"2018-01-14T00:00:00","2018-01-15T00:00:00",28473
"2018-01-15T00:00:00","2018-01-16T00:00:00",27284
"2018-01-16T00:00:00","2018-01-17T00:00:00",28028
"2018-01-17T00:00:00","2018-01-18T00:00:00",27192
"2018-01-18T00:00:00","2018-01-19T00:00:00",29968
"2018-01-19T00:00:00","2018-01-20T00:00:00",27690
"2018-01-20T00:00:00","2018-01-21T00:00:00",26101
"2018-01-21T00:00:00","2018-01-22T00:00:00",26870
"2018-01-22T00:00:00","2018-01-23T00:00:00",28358
"2018-01-23T00:00:00","2018-01-24T00:00:00",28239
"2018-01-24T00:00:00","2018-01-25T00:00:00",28774
"2018-01-25T00:00:00","2018-01-26T00:00:00",27339
"2018-01-26T00:00:00","2018-01-27T00:00:00",26431
"2018-01-27T00:00:00","2018-01-28T00:00:00",24483
"2018-01-28T00:00:00","2018-01-29T00:00:00",22016
"2018-01-29T00:00:00","2018-01-30T00:00:00",29548
"2018-01-30T00:00:00","2018-01-31T00:00:00",29022
"2018-01-31T00:00:00","2018-02-01T00:00:00",29696
"2018-02-01T00:00:00","2018-02-02T00:00:00",26027
"2018-02-02T00:00:00","2018-02-03T00:00:00",27966
"2018-02-03T00:00:00","2018-02-04T00:00:00",24824
"2018-02-04T00:00:00","2018-02-05T00:00:00",22781
"2018-02-05T00:00:00","2018-02-06T00:00:00",36281
"2018-02-06T00:00:00","2018-02-07T00:00:00",27685
"2018-02-07T00:00:00","2018-02-08T00:00:00",29595
"2018-02-08T00:00:00","2018-02-09T00:00:00",29027
"2018-02-09T00:00:00","2018-02-10T00:00:00",28394
"2018-02-10T00:00:00","2018-02-11T00:00:00",25601
"2018-02-11T00:00:00","2018-02-12T00:00:00",23037
"2018-02-12T00:00:00","2018-02-13T00:00:00",24799
"2018-02-13T00:00:00","2018-02-14T00:00:00",28261
"2018-02-14T00:00:00","2018-02-15T00:00:00",27613
"2018-02-15T00:00:00","2018-02-16T00:00:00",28708
"2018-02-16T00:00:00","2018-02-17T00:00:00",26413
"2018-02-17T00:00:00","2018-02-18T00:00:00",22176
"2018-02-18T00:00:00","2018-02-19T00:00:00",22548
"2018-02-19T00:00:00","2018-02-20T00:00:00",24611
"2018-02-20T00:00:00","2018-02-21T00:00:00",25756
"2018-02-21T00:00:00","2018-02-22T00:00:00",27342
"2018-02-22T00:00:00","2018-02-23T00:00:00",31681
"2018-02-23T00:00:00","2018-02-24T00:00:00",26053
"2018-02-24T00:00:00","2018-02-25T00:00:00",24986
"2018-02-25T00:00:00","2018-02-26T00:00:00",23679
"2018-02-26T00:00:00","2018-02-27T00:00:00",25856
"2018-02-27T00:00:00","2018-02-28T00:00:00",28304
"2018-02-28T00:00:00","2018-03-01T00:00:00",28429
"2018-03-01T00:00:00","2018-03-02T00:00:00",26924
"2018-03-02T00:00:00","2018-03-03T00:00:00",27411
"2018-03-03T00:00:00","2018-03-04T00:00:00",23367
"2018-03-04T00:00:00","2018-03-05T00:00:00",23543
"2018-03-05T00:00:00","2018-03-06T00:00:00",28641
"2018-03-06T00:00:00","2018-03-07T00:00:00",29761
