startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",11415
"2018-01-02T00:00:00","2018-01-03T00:00:00",12494
"2018-01-03T00:00:00","2018-01-04T00:00:00",16463
"2018-01-04T00:00:00","2018-01-05T00:00:00",14407
"2018-01-05T00:00:00","2018-01-06T00:00:00",13915
"2018-01-06T00:00:00","2018-01-07T00:00:00",11694
"2018-01-07T00:00:00","2018-01-08T00:00:00",12285
"2018-01-08T00:00:00","2018-01-09T00:00:00",14518
"2018-01-09T00:00:00","2018-01-10T00:00:00",16387
"2018-01-10T00:00:00","2018-01-11T00:00:00",13565
"2018-01-11T00:00:00","2018-01-12T00:00:00",13314
"2018-01-12T00:00:00","2018-01-13T00:00:00",12710
"2018-01-13T00:00:00","2018-01-14T00:00:00",12799
"2018-01-14T00:00:00","2018-01-15T00:00:00",13070
"2018-01-15T00:00:00","2018-01-16T00:00:00",12253
"2018-01-16T00:00:00","2018-01-17T00:00:00",12400
"2018-01-17T00:00:00","2018-01-18T00:00:00",13513
"2018-01-18T00:00:00","2018-01-19T00:00:00",12716
"2018-01-19T00:00:00","2018-01-20T00:00:00",14132
"2018-01-20T00:00:00","2018-01-21T00:00:00",11659
"2018-01-21T00:00:00","2018-01-22T00:00:00",11044
"2018-01-22T00:00:00","2018-01-23T00:00:00",12667
"2018-01-23T00:00:00","2018-01-24T00:00:00",14736
"2018-01-24T00:00:00","2018-01-25T00:00:00",13769
"2018-01-25T00:00:00","2018-01-26T00:00:00",16243
"2018-01-26T00:00:00","2018-01-27T00:00:00",13601
"2018-01-27T00:00:00","2018-01-28T00:00:00",11789
"2018-01-28T00:00:00","2018-01-29T00:00:00",9237
"2018-01-29T00:00:00","2018-01-30T00:00:00",13303
"2018-01-30T00:00:00","2018-01-31T00:00:00",15999
"2018-01-31T00:00:00","2018-02-01T00:00:00",14689
"2018-02-01T00:00:00","2018-02-02T00:00:00",13877
"2018-02-02T00:00:00","2018-02-03T00:00:00",14853
"2018-02-03T00:00:00","2018-02-04T00:00:00",11967
"2018-02-04T00:00:00","2018-02-05T00:00:00",11334
"2018-02-05T00:00:00","2018-02-06T00:00:00",13814
"2018-02-06T00:00:00","2018-02-07T00:00:00",13681
"2018-02-07T00:00:00","2018-02-08T00:00:00",15705
"2018-02-08T00:00:00","2018-02-09T00:00:00",13338
"2018-02-09T00:00:00","2018-02-10T00:00:00",13391
