startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",114061
"2018-01-02T00:00:00","2018-01-03T00:00:00",89184
"2018-01-03T00:00:00","2018-01-04T00:00:00",91891
"2018-01-04T00:00:00","2018-01-05T00:00:00",91602
"2018-01-05T00:00:00","2018-01-06T00:00:00",96537
"2018-01-06T00:00:00","2018-01-07T00:00:00",85826
"2018-01-07T00:00:00","2018-01-08T00:00:00",84760
"2018-01-08T00:00:00","2018-01-09T00:00:00",105142
"2018-01-09T00:00:00","2018-01-10T00:00:00",97175
"2018-01-10T00:00:00","2018-01-11T00:00:00",91547
"2018-01-11T00:00:00","2018-01-12T00:00:00",94693
"2018-01-12T00:00:00","2018-01-13T00:00:00",97237
"2018-01-13T00:00:00","2018-01-14T00:00:00",84360
"2018-01-14T00:00:00","2018-01-15T00:00:00",84662
"2018-01-15T00:00:00","2018-01-16T00:00:00",88118
"2018-01-16T00:00:00","2018-01-17T00:00:00",88559
"2018-01-17T00:00:00","2018-01-18T00:00:00",92473
"2018-01-18T00:00:00","2018-01-19T00:00:00",90733
"2018-01-19T00:00:00","2018-01-20T00:00:00",93424
"2018-01-20T00:00:00","2018-01-21T00:00:00",87116
"2018-01-21T00:00:00","2018-01-22T00:00:00",83363
"2018-01-22T00:00:00","2018-01-23T00:00:00",89242
"2018-01-23T00:00:00","2018-01-24T00:00:00",91952
"2018-01-24T00:00:00","2018-01-25T00:00:00",91835
"2018-01-25T00:00:00","2018-01-26T00:00:00",93747
"2018-01-26T00:00:00","2018-01-27T00:00:00",99795
"2018-01-27T00:00:00","2018-01-28T00:00:00",79696
"2018-01-28T00:00:00","2018-01-29T00:00:00",78690
"2018-01-29T00:00:00","2018-01-30T00:00:00",97201
"2018-01-30T00:00:00","2018-01-31T00:00:00",90956
"2018-01-31T00:00:00","2018-02-01T00:00:00",96963
"2018-02-01T00:00:00","2018-02-02T00:00:00",98524
"2018-02-02T00:00:00","2018-02-03T00:00:00",95003
"2018-02-03T00:00:00","2018-02-04T00:00:00",81732
"2018-02-04T00:00:00","2018-02-05T00:00:00",82383
"2018-02-05T00:00:00","2018-02-06T00:00:00",113738
"2018-02-06T00:00:00","2018-02-07T00:00:00",93195
"2018-02-07T00:00:00","2018-02-08T00:00:00",93426
"2018-02-08T00:00:00","2018-02-09T00:00:00",98207
"2018-02-09T00:00:00","2018-02-10T00:00:00",94920
"2018-02-10T00:00:00","2018-02-11T00:00:00",81376
"2018-02-11T00:00:00","2018-02-12T00:00:00",77963
"2018-02-12T00:00:00","2018-02-13T00:00:00",83800
"2018-02-13T00:00:00","2018-02-14T00:00:00",92339
"2018-02-14T00:00:00","2018-02-15T00:00:00",112197
"2018-02-15T00:00:00","2018-02-16T00:00:00",94992
"2018-02-16T00:00:00","2018-02-17T00:00:00",92379
"2018-02-17T00:00:00","2018-02-18T00:00:00",82287
"2018-02-18T00:00:00","2018-02-19T00:00:00",77264
"2018-02-19T00:00:00","2018-02-20T00:00:00",82510
"2018-02-20T00:00:00","2018-02-21T00:00:00",88781
"2018-02-21T00:00:00","2018-02-22T00:00:00",89775
"2018-02-22T00:00:00","2018-02-23T00:00:00",96650
"2018-02-23T00:00:00","2018-02-24T00:00:00",93890
"2018-02-24T00:00:00","2018-02-25T00:00:00",81423
"2018-02-25T00:00:00","2018-02-26T00:00:00",76168
"2018-02-26T00:00:00","2018-02-27T00:00:00",86746
"2018-02-27T00:00:00","2018-02-28T00:00:00",93514
"2018-02-28T00:00:00","2018-03-01T00:00:00",93104
"2018-03-01T00:00:00","2018-03-02T00:00:00",93463
"2018-03-02T00:00:00","2018-03-03T00:00:00",94813
"2018-03-03T00:00:00","2018-03-04T00:00:00",83457
"2018-03-04T00:00:00","2018-03-05T00:00:00",81845
"2018-03-05T00:00:00","2018-03-06T00:00:00",108707
"2018-03-06T00:00:00","2018-03-07T00:00:00",91657
"2018-03-07T00:00:00","2018-03-08T00:00:00",92114
"2018-03-08T00:00:00","2018-03-09T00:00:00",99535
"2018-03-09T00:00:00","2018-03-10T00:00:00",96675
"2018-03-10T00:00:00","2018-03-11T00:00:00",80726
"2018-03-11T00:00:00","2018-03-12T00:00:00",81828
"2018-03-12T00:00:00","2018-03-13T00:00:00",87599
"2018-03-13T00:00:00","2018-03-14T00:00:00",90114
"2018-03-14T00:00:00","2018-03-15T00:00:00",98705
"2018-03-15T00:00:00","2018-03-16T00:00:00",96192
"2018-03-16T00:00:00","2018-03-17T00:00:00",92668
"2018-03-17T00:00:00","2018-03-18T00:00:00",84788
"2018-03-18T00:00:00","2018-03-19T00:00:00",78307
"2018-03-19T00:00:00","2018-03-20T00:00:00",86520
"2018-03-20T00:00:00","2018-03-21T00:00:00",92473
"2018-03-21T00:00:00","2018-03-22T00:00:00",95041
"2018-03-22T00:00:00","2018-03-23T00:00:00",95644
"2018-03-23T00:00:00","2018-03-24T00:00:00",96965
"2018-03-24T00:00:00","2018-03-25T00:00:00",81114
"2018-03-25T00:00:00","2018-03-26T00:00:00",73657
"2018-03-26T00:00:00","2018-03-27T00:00:00",88110
"2018-03-27T00:00:00","2018-03-28T00:00:00",90994
"2018-03-28T00:00:00","2018-03-29T00:00:00",94388
"2018-03-29T00:00:00","2018-03-30T00:00:00",96425
"2018-03-30T00:00:00","2018-03-31T00:00:00",96341
"2018-03-31T00:00:00","2018-04-01T00:00:00",85247
"2018-04-01T00:00:00","2018-04-02T00:00:00",83932
"2018-04-02T00:00:00","2018-04-03T00:00:00",86672
"2018-04-03T00:00:00","2018-04-04T00:00:00",95074
"2018-04-04T00:00:00","2018-04-05T00:00:00",93308
"2018-04-05T00:00:00","2018-04-06T00:00:00",94529
"2018-04-06T00:00:00","2018-04-07T00:00:00",93322
"2018-04-07T00:00:00","2018-04-08T00:00:00",85455
"2018-04-08T00:00:00","2018-04-09T00:00:00",76690
"2018-04-09T00:00:00","2018-04-10T00:00:00",90372
"2018-04-10T00:00:00","2018-04-11T00:00:00",91247
"2018-04-11T00:00:00","2018-04-12T00:00:00",93833
"2018-04-12T00:00:00","2018-04-13T00:00:00",92361
