startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",34587
"2018-01-02T00:00:00","2018-01-03T00:00:00",36467
"2018-01-03T00:00:00","2018-01-04T00:00:00",43510
"2018-01-04T00:00:00","2018-01-05T00:00:00",42545
"2018-01-05T00:00:00","2018-01-06T00:00:00",42546
"2018-01-06T00:00:00","2018-01-07T00:00:00",37409
"2018-01-07T00:00:00","2018-01-08T00:00:00",35324
"2018-01-08T00:00:00","2018-01-09T00:00:00",42579
"2018-01-09T00:00:00","2018-01-10T00:00:00",43650
"2018-01-10T00:00:00","2018-01-11T00:00:00",39893
"2018-01-11T00:00:00","2018-01-12T00:00:00",42004
"2018-01-12T00:00:00","2018-01-13T00:00:00",43479
"2018-01-13T00:00:00","2018-01-14T00:00:00",37480
"2018-01-14T00:00:00","2018-01-15T00:00:00",36350
"2018-01-15T00:00:00","2018-01-16T00:00:00",39815
"2018-01-16T00:00:00","2018-01-17T00:00:00",39310
"2018-01-17T00:00:00","2018-01-18T00:00:00",40937
"2018-01-18T00:00:00","2018-01-19T00:00:00",41028
"2018-01-19T00:00:00","2018-01-20T00:00:00",39865
"2018-01-20T00:00:00","2018-01-21T00:00:00",40017
"2018-01-21T00:00:00","2018-01-22T00:00:00",35160
"2018-01-22T00:00:00","2018-01-23T00:00:00",38956
"2018-01-23T00:00:00","2018-01-24T00:00:00",41075
"2018-01-24T00:00:00","2018-01-25T00:00:00",40236
"2018-01-25T00:00:00","2018-01-26T00:00:00",39771
"2018-01-26T00:00:00","2018-01-27T00:00:00",38826
"2018-01-27T00:00:00","2018-01-28T00:00:00",33614
"2018-01-28T00:00:00","2018-01-29T00:00:00",34522
"2018-01-29T00:00:00","2018-01-30T00:00:00",41481
"2018-01-30T00:00:00","2018-01-31T00:00:00",41571
"2018-01-31T00:00:00","2018-02-01T00:00:00",43997
"2018-02-01T00:00:00","2018-02-02T00:00:00",40953
"2018-02-02T00:00:00","2018-02-03T00:00:00",41246
"2018-02-03T00:00:00","2018-02-04T00:00:00",33433
"2018-02-04T00:00:00","2018-02-05T00:00:00",36962
"2018-02-05T00:00:00","2018-02-06T00:00:00",49791
"2018-02-06T00:00:00","2018-02-07T00:00:00",37761
"2018-02-07T00:00:00","2018-02-08T00:00:00",40088
"2018-02-08T00:00:00","2018-02-09T00:00:00",46650
"2018-02-09T00:00:00","2018-02-10T00:00:00",38692
"2018-02-10T00:00:00","2018-02-11T00:00:00",36057
"2018-02-11T00:00:00","2018-02-12T00:00:00",33416
"2018-02-12T00:00:00","2018-02-13T00:00:00",33461
"2018-02-13T00:00:00","2018-02-14T00:00:00",37780
"2018-02-14T00:00:00","2018-02-15T00:00:00",42919
"2018-02-15T00:00:00","2018-02-16T00:00:00",47598
"2018-02-16T00:00:00","2018-02-17T00:00:00",42796
"2018-02-17T00:00:00","2018-02-18T00:00:00",36617
"2018-02-18T00:00:00","2018-02-19T00:00:00",34573
"2018-02-19T00:00:00","2018-02-20T00:00:00",36674
"2018-02-20T00:00:00","2018-02-21T00:00:00",37984
"2018-02-21T00:00:00","2018-02-22T00:00:00",42539
"2018-02-22T00:00:00","2018-02-23T00:00:00",42859
"2018-02-23T00:00:00","2018-02-24T00:00:00",40776
"2018-02-24T00:00:00","2018-02-25T00:00:00",35149
"2018-02-25T00:00:00","2018-02-26T00:00:00",34269
"2018-02-26T00:00:00","2018-02-27T00:00:00",36319
"2018-02-27T00:00:00","2018-02-28T00:00:00",40833
"2018-02-28T00:00:00","2018-03-01T00:00:00",40995
"2018-03-01T00:00:00","2018-03-02T00:00:00",39187
"2018-03-02T00:00:00","2018-03-03T00:00:00",39031
"2018-03-03T00:00:00","2018-03-04T00:00:00",33978
"2018-03-04T00:00:00","2018-03-05T00:00:00",33401
"2018-03-05T00:00:00","2018-03-06T00:00:00",40254
