startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",309361
"2018-01-02T00:00:00","2018-01-03T00:00:00",307742
"2018-01-03T00:00:00","2018-01-04T00:00:00",335982
"2018-01-04T00:00:00","2018-01-05T00:00:00",337391
"2018-01-05T00:00:00","2018-01-06T00:00:00",333693
"2018-01-06T00:00:00","2018-01-07T00:00:00",298318
"2018-01-07T00:00:00","2018-01-08T00:00:00",294611
"2018-01-08T00:00:00","2018-01-09T00:00:00",348152
"2018-01-09T00:00:00","2018-01-10T00:00:00",357789
"2018-01-10T00:00:00","2018-01-11T00:00:00",334114
"2018-01-11T00:00:00","2018-01-12T00:00:00",332839
"2018-01-12T00:00:00","2018-01-13T00:00:00",347274
"2018-01-13T00:00:00","2018-01-14T00:00:00",295586
"2018-01-14T00:00:00","2018-01-15T00:00:00",291736
"2018-01-15T00:00:00","2018-01-16T00:00:00",308644
"2018-01-16T00:00:00","2018-01-17T00:00:00",319592
"2018-01-17T00:00:00","2018-01-18T00:00:00",331206
"2018-01-18T00:00:00","2018-01-19T00:00:00",331141
"2018-01-19T00:00:00","2018-01-20T00:00:00",337270
"2018-01-20T00:00:00","2018-01-21T00:00:00",309251
"2018-01-21T00:00:00","2018-01-22T00:00:00",289858
"2018-01-22T00:00:00","2018-01-23T00:00:00",318266
"2018-01-23T00:00:00","2018-01-24T00:00:00",333400
"2018-01-24T00:00:00","2018-01-25T00:00:00",334187
"2018-01-25T00:00:00","2018-01-26T00:00:00",334214
"2018-01-26T00:00:00","2018-01-27T00:00:00",334995
"2018-01-27T00:00:00","2018-01-28T00:00:00",282710
"2018-01-28T00:00:00","2018-01-29T00:00:00",272473
"2018-01-29T00:00:00","2018-01-30T00:00:00",334254
"2018-01-30T00:00:00","2018-01-31T00:00:00",338252
"2018-01-31T00:00:00","2018-02-01T00:00:00",353106
"2018-02-01T00:00:00","2018-02-02T00:00:00",338455
"2018-02-02T00:00:00","2018-02-03T00:00:00",334516
"2018-02-03T00:00:00","2018-02-04T00:00:00",286981
"2018-02-04T00:00:00","2018-02-05T00:00:00",281939
"2018-02-05T00:00:00","2018-02-06T00:00:00",379505
"2018-02-06T00:00:00","2018-02-07T00:00:00",321917
"2018-02-07T00:00:00","2018-02-08T00:00:00",336306
"2018-02-08T00:00:00","2018-02-09T00:00:00",345556
"2018-02-09T00:00:00","2018-02-10T00:00:00",329011
"2018-02-10T00:00:00","2018-02-11T00:00:00",291253
"2018-02-11T00:00:00","2018-02-12T00:00:00",268189
"2018-02-12T00:00:00","2018-02-13T00:00:00",296637
"2018-02-13T00:00:00","2018-02-14T00:00:00",327097
"2018-02-14T00:00:00","2018-02-15T00:00:00",348654
"2018-02-15T00:00:00","2018-02-16T00:00:00",339741
"2018-02-16T00:00:00","2018-02-17T00:00:00",334342
"2018-02-17T00:00:00","2018-02-18T00:00:00",286515
"2018-02-18T00:00:00","2018-02-19T00:00:00",273308
"2018-02-19T00:00:00","2018-02-20T00:00:00",302345
"2018-02-20T00:00:00","2018-02-21T00:00:00",325206
"2018-02-21T00:00:00","2018-02-22T00:00:00",335482
"2018-02-22T00:00:00","2018-02-23T00:00:00",349296
"2018-02-23T00:00:00","2018-02-24T00:00:00",336162
"2018-02-24T00:00:00","2018-02-25T00:00:00",291213
"2018-02-25T00:00:00","2018-02-26T00:00:00",271545
"2018-02-26T00:00:00","2018-02-27T00:00:00",298918
"2018-02-27T00:00:00","2018-02-28T00:00:00",324587
"2018-02-28T00:00:00","2018-03-01T00:00:00",329805
"2018-03-01T00:00:00","2018-03-02T00:00:00",328747
"2018-03-02T00:00:00","2018-03-03T00:00:00",331051
"2018-03-03T00:00:00","2018-03-04T00:00:00",286007
"2018-03-04T00:00:00","2018-03-05T00:00:00",271550
"2018-03-05T00:00:00","2018-03-06T00:00:00",340561
"2018-03-06T00:00:00","2018-03-07T00:00:00",321042
"2018-03-07T00:00:00","2018-03-08T00:00:00",323093
"2018-03-08T00:00:00","2018-03-09T00:00:00",333340
"2018-03-09T00:00:00","2018-03-10T00:00:00",327269
"2018-03-10T00:00:00","2018-03-11T00:00:00",282458
"2018-03-11T00:00:00","2018-03-12T00:00:00",275795
"2018-03-12T00:00:00","2018-03-13T00:00:00",309317
"2018-03-13T00:00:00","2018-03-14T00:00:00",336371
"2018-03-14T00:00:00","2018-03-15T00:00:00",354673
"2018-03-15T00:00:00","2018-03-16T00:00:00",341108
"2018-03-16T00:00:00","2018-03-17T00:00:00",328492
"2018-03-17T00:00:00","2018-03-18T00:00:00",295737
"2018-03-18T00:00:00","2018-03-19T00:00:00",260848
"2018-03-19T00:00:00","2018-03-20T00:00:00",301358
"2018-03-20T00:00:00","2018-03-21T00:00:00",332875
"2018-03-21T00:00:00","2018-03-22T00:00:00",336666
"2018-03-22T00:00:00","2018-03-23T00:00:00",336184
"2018-03-23T00:00:00","2018-03-24T00:00:00",333329
"2018-03-24T00:00:00","2018-03-25T00:00:00",279993
"2018-03-25T00:00:00","2018-03-26T00:00:00",252250
"2018-03-26T00:00:00","2018-03-27T00:00:00",300921
"2018-03-27T00:00:00","2018-03-28T00:00:00",320739
"2018-03-28T00:00:00","2018-03-29T00:00:00",321703
"2018-03-29T00:00:00","2018-03-30T00:00:00",331701
"2018-03-30T00:00:00","2018-03-31T00:00:00",332325
"2018-03-31T00:00:00","2018-04-01T00:00:00",294972
"2018-04-01T00:00:00","2018-04-02T00:00:00",275187
"2018-04-02T00:00:00","2018-04-03T00:00:00",293108
"2018-04-03T00:00:00","2018-04-04T00:00:00",331731
"2018-04-04T00:00:00","2018-04-05T00:00:00",330527
"2018-04-05T00:00:00","2018-04-06T00:00:00",336044
"2018-04-06T00:00:00","2018-04-07T00:00:00",322915
"2018-04-07T00:00:00","2018-04-08T00:00:00",285993
"2018-04-08T00:00:00","2018-04-09T00:00:00",272336
"2018-04-09T00:00:00","2018-04-10T00:00:00",309494
"2018-04-10T00:00:00","2018-04-11T00:00:00",332410
"2018-04-11T00:00:00","2018-04-12T00:00:00",331214
"2018-04-12T00:00:00","2018-04-13T00:00:00",328454
"2018-04-13T00:00:00","2018-04-14T00:00:00",322832
"2018-04-14T00:00:00","2018-04-15T00:00:00",288461
"2018-04-15T00:00:00","2018-04-16T00:00:00",279889
"2018-04-16T00:00:00","2018-04-17T00:00:00",298886
"2018-04-17T00:00:00","2018-04-18T00:00:00",315346
"2018-04-18T00:00:00","2018-04-19T00:00:00",328858
"2018-04-19T00:00:00","2018-04-20T00:00:00",329417
"2018-04-20T00:00:00","2018-04-21T00:00:00",330449
