startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",119070
"2013-01-02T00:00:00","2013-01-03T00:00:00",149806
"2013-01-03T00:00:00","2013-01-04T00:00:00",187735
"2013-01-04T00:00:00","2013-01-05T00:00:00",194870
"2013-01-05T00:00:00","2013-01-06T00:00:00",176796
"2013-01-06T00:00:00","2013-01-07T00:00:00",161941
"2013-01-07T00:00:00","2013-01-08T00:00:00",172650
"2013-01-08T00:00:00","2013-01-09T00:00:00",198963
"2013-01-09T00:00:00","2013-01-10T00:00:00",203669
"2013-01-10T00:00:00","2013-01-11T00:00:00",193521
"2013-01-11T00:00:00","2013-01-12T00:00:00",188353
"2013-01-12T00:00:00","2013-01-13T00:00:00",167698
"2013-01-13T00:00:00","2013-01-14T00:00:00",158189
"2013-01-14T00:00:00","2013-01-15T00:00:00",168367
"2013-01-15T00:00:00","2013-01-16T00:00:00",192149
"2013-01-16T00:00:00","2013-01-17T00:00:00",197073
"2013-01-17T00:00:00","2013-01-18T00:00:00",202057
"2013-01-18T00:00:00","2013-01-19T00:00:00",195896
"2013-01-19T00:00:00","2013-01-20T00:00:00",168452
"2013-01-20T00:00:00","2013-01-21T00:00:00",157811
"2013-01-21T00:00:00","2013-01-22T00:00:00",170728
"2013-01-22T00:00:00","2013-01-23T00:00:00",170011
"2013-01-23T00:00:00","2013-01-24T00:00:00",215927
"2013-01-24T00:00:00","2013-01-25T00:00:00",227159
"2013-01-25T00:00:00","2013-01-26T00:00:00",195798
"2013-01-26T00:00:00","2013-01-27T00:00:00",169784
"2013-01-27T00:00:00","2013-01-28T00:00:00",169176
"2013-01-28T00:00:00","2013-01-29T00:00:00",193035
"2013-01-29T00:00:00","2013-01-30T00:00:00",205197
"2013-01-30T00:00:00","2013-01-31T00:00:00",203934
"2013-01-31T00:00:00","2013-02-01T00:00:00",188120
"2013-02-01T00:00:00","2013-02-02T00:00:00",207641
"2013-02-02T00:00:00","2013-02-03T00:00:00",178219
"2013-02-03T00:00:00","2013-02-04T00:00:00",180056
"2013-02-04T00:00:00","2013-02-05T00:00:00",182057
"2013-02-05T00:00:00","2013-02-06T00:00:00",208295
"2013-02-06T00:00:00","2013-02-07T00:00:00",202313
"2013-02-07T00:00:00","2013-02-08T00:00:00",210420
"2013-02-08T00:00:00","2013-02-09T00:00:00",194033
"2013-02-09T00:00:00","2013-02-10T00:00:00",176713
"2013-02-10T00:00:00","2013-02-11T00:00:00",171040
"2013-02-11T00:00:00","2013-02-12T00:00:00",173817
"2013-02-12T00:00:00","2013-02-13T00:00:00",200204
"2013-02-13T00:00:00","2013-02-14T00:00:00",188300
"2013-02-14T00:00:00","2013-02-15T00:00:00",173878
"2013-02-15T00:00:00","2013-02-16T00:00:00",159040
"2013-02-16T00:00:00","2013-02-17T00:00:00",172082
"2013-02-17T00:00:00","2013-02-18T00:00:00",171226
"2013-02-18T00:00:00","2013-02-19T00:00:00",193581
"2013-02-19T00:00:00","2013-02-20T00:00:00",191126
"2013-02-20T00:00:00","2013-02-21T00:00:00",196347
"2013-02-21T00:00:00","2013-02-22T00:00:00",197346
"2013-02-22T00:00:00","2013-02-23T00:00:00",186237
"2013-02-23T00:00:00","2013-02-24T00:00:00",174581
"2013-02-24T00:00:00","2013-02-25T00:00:00",162644
"2013-02-25T00:00:00","2013-02-26T00:00:00",178079
"2013-02-26T00:00:00","2013-02-27T00:00:00",198739
"2013-02-27T00:00:00","2013-02-28T00:00:00",207061
"2013-02-28T00:00:00","2013-03-01T00:00:00",185036
"2013-03-01T00:00:00","2013-03-02T00:00:00",188085
"2013-03-02T00:00:00","2013-03-03T00:00:00",177227
"2013-03-03T00:00:00","2013-03-04T00:00:00",174250
"2013-03-04T00:00:00","2013-03-05T00:00:00",179276
"2013-03-05T00:00:00","2013-03-06T00:00:00",208693
"2013-03-06T00:00:00","2013-03-07T00:00:00",207053
"2013-03-07T00:00:00","2013-03-08T00:00:00",202166
"2013-03-08T00:00:00","2013-03-09T00:00:00",192249
"2013-03-09T00:00:00","2013-03-10T00:00:00",172390
"2013-03-10T00:00:00","2013-03-11T00:00:00",176468
"2013-03-11T00:00:00","2013-03-12T00:00:00",195631
"2013-03-12T00:00:00","2013-03-13T00:00:00",210395
"2013-03-13T00:00:00","2013-03-14T00:00:00",217263
"2013-03-14T00:00:00","2013-03-15T00:00:00",199328
"2013-03-15T00:00:00","2013-03-16T00:00:00",198075
"2013-03-16T00:00:00","2013-03-17T00:00:00",173694
"2013-03-17T00:00:00","2013-03-18T00:00:00",168034
"2013-03-18T00:00:00","2013-03-19T00:00:00",192695
"2013-03-19T00:00:00","2013-03-20T00:00:00",206078
"2013-03-20T00:00:00","2013-03-21T00:00:00",218463
"2013-03-21T00:00:00","2013-03-22T00:00:00",209142
"2013-03-22T00:00:00","2013-03-23T00:00:00",210795
"2013-03-23T00:00:00","2013-03-24T00:00:00",186733
"2013-03-24T00:00:00","2013-03-25T00:00:00",168929
"2013-03-25T00:00:00","2013-03-26T00:00:00",202102
"2013-03-26T00:00:00","2013-03-27T00:00:00",225233
"2013-03-27T00:00:00","2013-03-28T00:00:00",225531
"2013-03-28T00:00:00","2013-03-29T00:00:00",189297
"2013-03-29T00:00:00","2013-03-30T00:00:00",169887
"2013-03-30T00:00:00","2013-03-31T00:00:00",171708
"2013-03-31T00:00:00","2013-04-01T00:00:00",158809
"2013-04-01T00:00:00","2013-04-02T00:00:00",245117
"2013-04-02T00:00:00","2013-04-03T00:00:00",236536
"2013-04-03T00:00:00","2013-04-04T00:00:00",236147
"2013-04-04T00:00:00","2013-04-05T00:00:00",249234
"2013-04-05T00:00:00","2013-04-06T00:00:00",226637
"2013-04-06T00:00:00","2013-04-07T00:00:00",199580
"2013-04-07T00:00:00","2013-04-08T00:00:00",188563
"2013-04-08T00:00:00","2013-04-09T00:00:00",212648
"2013-04-09T00:00:00","2013-04-10T00:00:00",217843
"2013-04-10T00:00:00","2013-04-11T00:00:00",221427
"2013-04-11T00:00:00","2013-04-12T00:00:00",227021
"2013-04-12T00:00:00","2013-04-13T00:00:00",206718
"2013-04-13T00:00:00","2013-04-14T00:00:00",177320
"2013-04-14T00:00:00","2013-04-15T00:00:00",171941
"2013-04-15T00:00:00","2013-04-16T00:00:00",212893
"2013-04-16T00:00:00","2013-04-17T00:00:00",242425
"2013-04-17T00:00:00","2013-04-18T00:00:00",232482
"2013-04-18T00:00:00","2013-04-19T00:00:00",227259
"2013-04-19T00:00:00","2013-04-20T00:00:00",218872
"2013-04-20T00:00:00","2013-04-21T00:00:00",189797
"2013-04-21T00:00:00","2013-04-22T00:00:00",202708
"2013-04-22T00:00:00","2013-04-23T00:00:00",203748
"2013-04-23T00:00:00","2013-04-24T00:00:00",219153
"2013-04-24T00:00:00","2013-04-25T00:00:00",241455
"2013-04-25T00:00:00","2013-04-26T00:00:00",225218
"2013-04-26T00:00:00","2013-04-27T00:00:00",200552
"2013-04-27T00:00:00","2013-04-28T00:00:00",183833
"2013-04-28T00:00:00","2013-04-29T00:00:00",182341
"2013-04-29T00:00:00","2013-04-30T00:00:00",202407
"2013-04-30T00:00:00","2013-05-01T00:00:00",216608
"2013-05-01T00:00:00","2013-05-02T00:00:00",221948
"2013-05-02T00:00:00","2013-05-03T00:00:00",217819
"2013-05-03T00:00:00","2013-05-04T00:00:00",198127
"2013-05-04T00:00:00","2013-05-05T00:00:00",178618
"2013-05-05T00:00:00","2013-05-06T00:00:00",180553
"2013-05-06T00:00:00","2013-05-07T00:00:00",205674
"2013-05-07T00:00:00","2013-05-08T00:00:00",209378
"2013-05-08T00:00:00","2013-05-09T00:00:00",210040
"2013-05-09T00:00:00","2013-05-10T00:00:00",210097
"2013-05-10T00:00:00","2013-05-11T00:00:00",217198
"2013-05-11T00:00:00","2013-05-12T00:00:00",177367
"2013-05-12T00:00:00","2013-05-13T00:00:00",188679
"2013-05-13T00:00:00","2013-05-14T00:00:00",205619
"2013-05-14T00:00:00","2013-05-15T00:00:00",201900
"2013-05-15T00:00:00","2013-05-16T00:00:00",218336
"2013-05-16T00:00:00","2013-05-17T00:00:00",209326
"2013-05-17T00:00:00","2013-05-18T00:00:00",204604
"2013-05-18T00:00:00","2013-05-19T00:00:00",181944
"2013-05-19T00:00:00","2013-05-20T00:00:00",176658
"2013-05-20T00:00:00","2013-05-21T00:00:00",196840
"2013-05-21T00:00:00","2013-05-22T00:00:00",223034
"2013-05-22T00:00:00","2013-05-23T00:00:00",200364
"2013-05-23T00:00:00","2013-05-24T00:00:00",205166
"2013-05-24T00:00:00","2013-05-25T00:00:00",209595
"2013-05-25T00:00:00","2013-05-26T00:00:00",185998
"2013-05-26T00:00:00","2013-05-27T00:00:00",170684
"2013-05-27T00:00:00","2013-05-28T00:00:00",280938
"2013-05-28T00:00:00","2013-05-29T00:00:00",205987
"2013-05-29T00:00:00","2013-05-30T00:00:00",212914
"2013-05-30T00:00:00","2013-05-31T00:00:00",210612
"2013-05-31T00:00:00","2013-06-01T00:00:00",200625
"2013-06-01T00:00:00","2013-06-02T00:00:00",180881
"2013-06-02T00:00:00","2013-06-03T00:00:00",164960
"2013-06-03T00:00:00","2013-06-04T00:00:00",184640
"2013-06-04T00:00:00","2013-06-05T00:00:00",202826
"2013-06-05T00:00:00","2013-06-06T00:00:00",214059
"2013-06-06T00:00:00","2013-06-07T00:00:00",205424
"2013-06-07T00:00:00","2013-06-08T00:00:00",195695
"2013-06-08T00:00:00","2013-06-09T00:00:00",184086
"2013-06-09T00:00:00","2013-06-10T00:00:00",158724
"2013-06-10T00:00:00","2013-06-11T00:00:00",186839
"2013-06-11T00:00:00","2013-06-12T00:00:00",208410
"2013-06-12T00:00:00","2013-06-13T00:00:00",218140
"2013-06-13T00:00:00","2013-06-14T00:00:00",205206
"2013-06-14T00:00:00","2013-06-15T00:00:00",196629
"2013-06-15T00:00:00","2013-06-16T00:00:00",168928
"2013-06-16T00:00:00","2013-06-17T00:00:00",189904
"2013-06-17T00:00:00","2013-06-18T00:00:00",178485
"2013-06-18T00:00:00","2013-06-19T00:00:00",204564
"2013-06-19T00:00:00","2013-06-20T00:00:00",217062
"2013-06-20T00:00:00","2013-06-21T00:00:00",214911
"2013-06-21T00:00:00","2013-06-22T00:00:00",198714
"2013-06-22T00:00:00","2013-06-23T00:00:00",182240
"2013-06-23T00:00:00","2013-06-24T00:00:00",155493
"2013-06-24T00:00:00","2013-06-25T00:00:00",188530
"2013-06-25T00:00:00","2013-06-26T00:00:00",202679
"2013-06-26T00:00:00","2013-06-27T00:00:00",219025
"2013-06-27T00:00:00","2013-06-28T00:00:00",215532
"2013-06-28T00:00:00","2013-06-29T00:00:00",196302
"2013-06-29T00:00:00","2013-06-30T00:00:00",168519
"2013-06-30T00:00:00","2013-07-01T00:00:00",153761
"2013-07-01T00:00:00","2013-07-02T00:00:00",191648
"2013-07-02T00:00:00","2013-07-03T00:00:00",213520
"2013-07-03T00:00:00","2013-07-04T00:00:00",222984
"2013-07-04T00:00:00","2013-07-05T00:00:00",213747
"2013-07-05T00:00:00","2013-07-06T00:00:00",214092
"2013-07-06T00:00:00","2013-07-07T00:00:00",183843
"2013-07-07T00:00:00","2013-07-08T00:00:00",176927
"2013-07-08T00:00:00","2013-07-09T00:00:00",208709
"2013-07-09T00:00:00","2013-07-10T00:00:00",192549
"2013-07-10T00:00:00","2013-07-11T00:00:00",195225
"2013-07-11T00:00:00","2013-07-12T00:00:00",198009
"2013-07-12T00:00:00","2013-07-13T00:00:00",206890
"2013-07-13T00:00:00","2013-07-14T00:00:00",180883
"2013-07-14T00:00:00","2013-07-15T00:00:00",159968
"2013-07-15T00:00:00","2013-07-16T00:00:00",193651
"2013-07-16T00:00:00","2013-07-17T00:00:00",200719
"2013-07-17T00:00:00","2013-07-18T00:00:00",205205
"2013-07-18T00:00:00","2013-07-19T00:00:00",201450
"2013-07-19T00:00:00","2013-07-20T00:00:00",202434
"2013-07-20T00:00:00","2013-07-21T00:00:00",172010
"2013-07-21T00:00:00","2013-07-22T00:00:00",158878
"2013-07-22T00:00:00","2013-07-23T00:00:00",174819
"2013-07-23T00:00:00","2013-07-24T00:00:00",186339
"2013-07-24T00:00:00","2013-07-25T00:00:00",187256
"2013-07-25T00:00:00","2013-07-26T00:00:00",211595
"2013-07-26T00:00:00","2013-07-27T00:00:00",193008
"2013-07-27T00:00:00","2013-07-28T00:00:00",170107
"2013-07-28T00:00:00","2013-07-29T00:00:00",150925
"2013-07-29T00:00:00","2013-07-30T00:00:00",186036
"2013-07-30T00:00:00","2013-07-31T00:00:00",189386
"2013-07-31T00:00:00","2013-08-01T00:00:00",183294
"2013-08-01T00:00:00","2013-08-02T00:00:00",183704
"2013-08-02T00:00:00","2013-08-03T00:00:00",174385
"2013-08-03T00:00:00","2013-08-04T00:00:00",153098
"2013-08-04T00:00:00","2013-08-05T00:00:00",143509
"2013-08-05T00:00:00","2013-08-06T00:00:00",165087
"2013-08-06T00:00:00","2013-08-07T00:00:00",194484
"2013-08-07T00:00:00","2013-08-08T00:00:00",197367
"2013-08-08T00:00:00","2013-08-09T00:00:00",195660
"2013-08-09T00:00:00","2013-08-10T00:00:00",195908
"2013-08-10T00:00:00","2013-08-11T00:00:00",170201
"2013-08-11T00:00:00","2013-08-12T00:00:00",153526
"2013-08-12T00:00:00","2013-08-13T00:00:00",183033
"2013-08-13T00:00:00","2013-08-14T00:00:00",200764
"2013-08-14T00:00:00","2013-08-15T00:00:00",198278
"2013-08-15T00:00:00","2013-08-16T00:00:00",193687
"2013-08-16T00:00:00","2013-08-17T00:00:00",191439
"2013-08-17T00:00:00","2013-08-18T00:00:00",166124
"2013-08-18T00:00:00","2013-08-19T00:00:00",153929
"2013-08-19T00:00:00","2013-08-20T00:00:00",178493
"2013-08-20T00:00:00","2013-08-21T00:00:00",191435
"2013-08-21T00:00:00","2013-08-22T00:00:00",199449
"2013-08-22T00:00:00","2013-08-23T00:00:00",188735
"2013-08-23T00:00:00","2013-08-24T00:00:00",187837
"2013-08-24T00:00:00","2013-08-25T00:00:00",170869
"2013-08-25T00:00:00","2013-08-26T00:00:00",165969
"2013-08-26T00:00:00","2013-08-27T00:00:00",201940
"2013-08-27T00:00:00","2013-08-28T00:00:00",200187
