startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",66713
"2013-01-02T00:00:00","2013-01-03T00:00:00",48922
"2013-01-03T00:00:00","2013-01-04T00:00:00",58317
"2013-01-04T00:00:00","2013-01-05T00:00:00",57347
"2013-01-05T00:00:00","2013-01-06T00:00:00",53302
"2013-01-06T00:00:00","2013-01-07T00:00:00",51648
"2013-01-07T00:00:00","2013-01-08T00:00:00",53903
"2013-01-08T00:00:00","2013-01-09T00:00:00",58389
"2013-01-09T00:00:00","2013-01-10T00:00:00",58974
"2013-01-10T00:00:00","2013-01-11T00:00:00",57942
"2013-01-11T00:00:00","2013-01-12T00:00:00",57852
"2013-01-12T00:00:00","2013-01-13T00:00:00",51749
"2013-01-13T00:00:00","2013-01-14T00:00:00",49026
"2013-01-14T00:00:00","2013-01-15T00:00:00",53093
"2013-01-15T00:00:00","2013-01-16T00:00:00",60476
"2013-01-16T00:00:00","2013-01-17T00:00:00",59866
"2013-01-17T00:00:00","2013-01-18T00:00:00",63974
"2013-01-18T00:00:00","2013-01-19T00:00:00",60392
"2013-01-19T00:00:00","2013-01-20T00:00:00",51130
"2013-01-20T00:00:00","2013-01-21T00:00:00",48211
"2013-01-21T00:00:00","2013-01-22T00:00:00",52161
"2013-01-22T00:00:00","2013-01-23T00:00:00",52650
"2013-01-23T00:00:00","2013-01-24T00:00:00",65755
"2013-01-24T00:00:00","2013-01-25T00:00:00",66760
"2013-01-25T00:00:00","2013-01-26T00:00:00",58951
"2013-01-26T00:00:00","2013-01-27T00:00:00",51714
"2013-01-27T00:00:00","2013-01-28T00:00:00",54044
"2013-01-28T00:00:00","2013-01-29T00:00:00",66854
"2013-01-29T00:00:00","2013-01-30T00:00:00",66767
"2013-01-30T00:00:00","2013-01-31T00:00:00",68245
"2013-01-31T00:00:00","2013-02-01T00:00:00",60328
"2013-02-01T00:00:00","2013-02-02T00:00:00",63062
"2013-02-02T00:00:00","2013-02-03T00:00:00",55561
"2013-02-03T00:00:00","2013-02-04T00:00:00",57115
"2013-02-04T00:00:00","2013-02-05T00:00:00",53958
"2013-02-05T00:00:00","2013-02-06T00:00:00",62043
"2013-02-06T00:00:00","2013-02-07T00:00:00",65017
"2013-02-07T00:00:00","2013-02-08T00:00:00",65012
"2013-02-08T00:00:00","2013-02-09T00:00:00",62832
"2013-02-09T00:00:00","2013-02-10T00:00:00",54574
"2013-02-10T00:00:00","2013-02-11T00:00:00",53196
"2013-02-11T00:00:00","2013-02-12T00:00:00",52988
"2013-02-12T00:00:00","2013-02-13T00:00:00",60024
"2013-02-13T00:00:00","2013-02-14T00:00:00",57717
"2013-02-14T00:00:00","2013-02-15T00:00:00",54449
"2013-02-15T00:00:00","2013-02-16T00:00:00",49451
"2013-02-16T00:00:00","2013-02-17T00:00:00",49667
"2013-02-17T00:00:00","2013-02-18T00:00:00",52929
"2013-02-18T00:00:00","2013-02-19T00:00:00",55946
"2013-02-19T00:00:00","2013-02-20T00:00:00",59230
"2013-02-20T00:00:00","2013-02-21T00:00:00",62409
"2013-02-21T00:00:00","2013-02-22T00:00:00",58798
"2013-02-22T00:00:00","2013-02-23T00:00:00",57775
"2013-02-23T00:00:00","2013-02-24T00:00:00",53468
"2013-02-24T00:00:00","2013-02-25T00:00:00",48878
"2013-02-25T00:00:00","2013-02-26T00:00:00",58104
"2013-02-26T00:00:00","2013-02-27T00:00:00",64959
"2013-02-27T00:00:00","2013-02-28T00:00:00",75463
"2013-02-28T00:00:00","2013-03-01T00:00:00",57767
