startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",944428
"2013-01-02T00:00:00","2013-01-03T00:00:00",780895
"2013-01-03T00:00:00","2013-01-04T00:00:00",913863
"2013-01-04T00:00:00","2013-01-05T00:00:00",936281
"2013-01-05T00:00:00","2013-01-06T00:00:00",856892
"2013-01-06T00:00:00","2013-01-07T00:00:00",803511
"2013-01-07T00:00:00","2013-01-08T00:00:00",875125
"2013-01-08T00:00:00","2013-01-09T00:00:00",898026
"2013-01-09T00:00:00","2013-01-10T00:00:00",915708
"2013-01-10T00:00:00","2013-01-11T00:00:00",918857
"2013-01-11T00:00:00","2013-01-12T00:00:00",911947
"2013-01-12T00:00:00","2013-01-13T00:00:00",817659
"2013-01-13T00:00:00","2013-01-14T00:00:00",753582
"2013-01-14T00:00:00","2013-01-15T00:00:00",838735
"2013-01-15T00:00:00","2013-01-16T00:00:00",932598
"2013-01-16T00:00:00","2013-01-17T00:00:00",952669
"2013-01-17T00:00:00","2013-01-18T00:00:00",961277
"2013-01-18T00:00:00","2013-01-19T00:00:00",964222
"2013-01-19T00:00:00","2013-01-20T00:00:00",831591
"2013-01-20T00:00:00","2013-01-21T00:00:00",781585
"2013-01-21T00:00:00","2013-01-22T00:00:00",848060
"2013-01-22T00:00:00","2013-01-23T00:00:00",806801
"2013-01-23T00:00:00","2013-01-24T00:00:00",958771
"2013-01-24T00:00:00","2013-01-25T00:00:00",955437
"2013-01-25T00:00:00","2013-01-26T00:00:00",930488
"2013-01-26T00:00:00","2013-01-27T00:00:00",841611
"2013-01-27T00:00:00","2013-01-28T00:00:00",821751
"2013-01-28T00:00:00","2013-01-29T00:00:00",889364
"2013-01-29T00:00:00","2013-01-30T00:00:00",963109
"2013-01-30T00:00:00","2013-01-31T00:00:00",961293
"2013-01-31T00:00:00","2013-02-01T00:00:00",876431
"2013-02-01T00:00:00","2013-02-02T00:00:00",952325
"2013-02-02T00:00:00","2013-02-03T00:00:00",851664
"2013-02-03T00:00:00","2013-02-04T00:00:00",828009
"2013-02-04T00:00:00","2013-02-05T00:00:00",858410
"2013-02-05T00:00:00","2013-02-06T00:00:00",911660
"2013-02-06T00:00:00","2013-02-07T00:00:00",916746
"2013-02-07T00:00:00","2013-02-08T00:00:00",952781
"2013-02-08T00:00:00","2013-02-09T00:00:00",930726
"2013-02-09T00:00:00","2013-02-10T00:00:00",846705
"2013-02-10T00:00:00","2013-02-11T00:00:00",805748
"2013-02-11T00:00:00","2013-02-12T00:00:00",838886
"2013-02-12T00:00:00","2013-02-13T00:00:00",925632
"2013-02-13T00:00:00","2013-02-14T00:00:00",906037
"2013-02-14T00:00:00","2013-02-15T00:00:00",998894
"2013-02-15T00:00:00","2013-02-16T00:00:00",834114
"2013-02-16T00:00:00","2013-02-17T00:00:00",784581
"2013-02-17T00:00:00","2013-02-18T00:00:00",780813
"2013-02-18T00:00:00","2013-02-19T00:00:00",847092
"2013-02-19T00:00:00","2013-02-20T00:00:00",896081
"2013-02-20T00:00:00","2013-02-21T00:00:00",921483
"2013-02-21T00:00:00","2013-02-22T00:00:00",908407
"2013-02-22T00:00:00","2013-02-23T00:00:00",890056
"2013-02-23T00:00:00","2013-02-24T00:00:00",816593
"2013-02-24T00:00:00","2013-02-25T00:00:00",771877
"2013-02-25T00:00:00","2013-02-26T00:00:00",918227
"2013-02-26T00:00:00","2013-02-27T00:00:00",913893
"2013-02-27T00:00:00","2013-02-28T00:00:00",949049
"2013-02-28T00:00:00","2013-03-01T00:00:00",871884
"2013-03-01T00:00:00","2013-03-02T00:00:00",915772
"2013-03-02T00:00:00","2013-03-03T00:00:00",856078
"2013-03-03T00:00:00","2013-03-04T00:00:00",829363
"2013-03-04T00:00:00","2013-03-05T00:00:00",868646
"2013-03-05T00:00:00","2013-03-06T00:00:00",953382
"2013-03-06T00:00:00","2013-03-07T00:00:00",937649
"2013-03-07T00:00:00","2013-03-08T00:00:00",935402
"2013-03-08T00:00:00","2013-03-09T00:00:00",968873
"2013-03-09T00:00:00","2013-03-10T00:00:00",844431
"2013-03-10T00:00:00","2013-03-11T00:00:00",822752
"2013-03-11T00:00:00","2013-03-12T00:00:00",917594
"2013-03-12T00:00:00","2013-03-13T00:00:00",1016681
"2013-03-13T00:00:00","2013-03-14T00:00:00",1045364
"2013-03-14T00:00:00","2013-03-15T00:00:00",978936
