startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",63324
"2013-01-02T00:00:00","2013-01-03T00:00:00",81874
"2013-01-03T00:00:00","2013-01-04T00:00:00",97512
"2013-01-04T00:00:00","2013-01-05T00:00:00",99662
"2013-01-05T00:00:00","2013-01-06T00:00:00",92941
"2013-01-06T00:00:00","2013-01-07T00:00:00",89581
"2013-01-07T00:00:00","2013-01-08T00:00:00",94849
"2013-01-08T00:00:00","2013-01-09T00:00:00",101405
"2013-01-09T00:00:00","2013-01-10T00:00:00",98809
"2013-01-10T00:00:00","2013-01-11T00:00:00",96124
"2013-01-11T00:00:00","2013-01-12T00:00:00",95587
"2013-01-12T00:00:00","2013-01-13T00:00:00",90316
"2013-01-13T00:00:00","2013-01-14T00:00:00",87487
"2013-01-14T00:00:00","2013-01-15T00:00:00",90287
"2013-01-15T00:00:00","2013-01-16T00:00:00",101772
"2013-01-16T00:00:00","2013-01-17T00:00:00",103990
"2013-01-17T00:00:00","2013-01-18T00:00:00",106107
"2013-01-18T00:00:00","2013-01-19T00:00:00",100468
"2013-01-19T00:00:00","2013-01-20T00:00:00",93039
"2013-01-20T00:00:00","2013-01-21T00:00:00",89078
"2013-01-21T00:00:00","2013-01-22T00:00:00",98266
"2013-01-22T00:00:00","2013-01-23T00:00:00",90252
"2013-01-23T00:00:00","2013-01-24T00:00:00",108837
"2013-01-24T00:00:00","2013-01-25T00:00:00",114453
"2013-01-25T00:00:00","2013-01-26T00:00:00",101966
"2013-01-26T00:00:00","2013-01-27T00:00:00",88902
"2013-01-27T00:00:00","2013-01-28T00:00:00",98817
"2013-01-28T00:00:00","2013-01-29T00:00:00",97471
"2013-01-29T00:00:00","2013-01-30T00:00:00",101189
"2013-01-30T00:00:00","2013-01-31T00:00:00",108425
"2013-01-31T00:00:00","2013-02-01T00:00:00",101600
"2013-02-01T00:00:00","2013-02-02T00:00:00",137691
"2013-02-02T00:00:00","2013-02-03T00:00:00",98398
"2013-02-03T00:00:00","2013-02-04T00:00:00",105494
"2013-02-04T00:00:00","2013-02-05T00:00:00",98812
"2013-02-05T00:00:00","2013-02-06T00:00:00",104365
"2013-02-06T00:00:00","2013-02-07T00:00:00",101979
"2013-02-07T00:00:00","2013-02-08T00:00:00",105136
"2013-02-08T00:00:00","2013-02-09T00:00:00",98553
"2013-02-09T00:00:00","2013-02-10T00:00:00",93322
"2013-02-10T00:00:00","2013-02-11T00:00:00",93865
"2013-02-11T00:00:00","2013-02-12T00:00:00",91392
"2013-02-12T00:00:00","2013-02-13T00:00:00",101468
"2013-02-13T00:00:00","2013-02-14T00:00:00",95921
"2013-02-14T00:00:00","2013-02-15T00:00:00",91699
"2013-02-15T00:00:00","2013-02-16T00:00:00",82471
"2013-02-16T00:00:00","2013-02-17T00:00:00",85741
"2013-02-17T00:00:00","2013-02-18T00:00:00",90774
"2013-02-18T00:00:00","2013-02-19T00:00:00",91007
"2013-02-19T00:00:00","2013-02-20T00:00:00",99385
"2013-02-20T00:00:00","2013-02-21T00:00:00",103635
"2013-02-21T00:00:00","2013-02-22T00:00:00",102533
"2013-02-22T00:00:00","2013-02-23T00:00:00",108563
"2013-02-23T00:00:00","2013-02-24T00:00:00",94378
"2013-02-24T00:00:00","2013-02-25T00:00:00",84235
"2013-02-25T00:00:00","2013-02-26T00:00:00",91519
"2013-02-26T00:00:00","2013-02-27T00:00:00",106667
"2013-02-27T00:00:00","2013-02-28T00:00:00",112511
"2013-02-28T00:00:00","2013-03-01T00:00:00",97412
"2013-03-01T00:00:00","2013-03-02T00:00:00",98217
"2013-03-02T00:00:00","2013-03-03T00:00:00",99021
"2013-03-03T00:00:00","2013-03-04T00:00:00",95966
"2013-03-04T00:00:00","2013-03-05T00:00:00",94504
"2013-03-05T00:00:00","2013-03-06T00:00:00",116841
"2013-03-06T00:00:00","2013-03-07T00:00:00",133142
"2013-03-07T00:00:00","2013-03-08T00:00:00",106395
"2013-03-08T00:00:00","2013-03-09T00:00:00",94525
"2013-03-09T00:00:00","2013-03-10T00:00:00",90813
"2013-03-10T00:00:00","2013-03-11T00:00:00",93942
"2013-03-11T00:00:00","2013-03-12T00:00:00",100111
"2013-03-12T00:00:00","2013-03-13T00:00:00",118008
"2013-03-13T00:00:00","2013-03-14T00:00:00",114676
"2013-03-14T00:00:00","2013-03-15T00:00:00",108154
"2013-03-15T00:00:00","2013-03-16T00:00:00",106697
"2013-03-16T00:00:00","2013-03-17T00:00:00",98735
"2013-03-17T00:00:00","2013-03-18T00:00:00",95516
"2013-03-18T00:00:00","2013-03-19T00:00:00",101242
"2013-03-19T00:00:00","2013-03-20T00:00:00",106191
"2013-03-20T00:00:00","2013-03-21T00:00:00",112295
"2013-03-21T00:00:00","2013-03-22T00:00:00",107723
"2013-03-22T00:00:00","2013-03-23T00:00:00",109607
"2013-03-23T00:00:00","2013-03-24T00:00:00",102029
"2013-03-24T00:00:00","2013-03-25T00:00:00",92909
"2013-03-25T00:00:00","2013-03-26T00:00:00",112072
"2013-03-26T00:00:00","2013-03-27T00:00:00",119529
"2013-03-27T00:00:00","2013-03-28T00:00:00",124133
"2013-03-28T00:00:00","2013-03-29T00:00:00",102244
"2013-03-29T00:00:00","2013-03-30T00:00:00",102837
"2013-03-30T00:00:00","2013-03-31T00:00:00",92332
"2013-03-31T00:00:00","2013-04-01T00:00:00",93204
"2013-04-01T00:00:00","2013-04-02T00:00:00",134187
"2013-04-02T00:00:00","2013-04-03T00:00:00",128598
"2013-04-03T00:00:00","2013-04-04T00:00:00",124333
"2013-04-04T00:00:00","2013-04-05T00:00:00",145745
"2013-04-05T00:00:00","2013-04-06T00:00:00",120807
"2013-04-06T00:00:00","2013-04-07T00:00:00",102848
"2013-04-07T00:00:00","2013-04-08T00:00:00",99919
"2013-04-08T00:00:00","2013-04-09T00:00:00",110760
"2013-04-09T00:00:00","2013-04-10T00:00:00",113473
"2013-04-10T00:00:00","2013-04-11T00:00:00",113864
"2013-04-11T00:00:00","2013-04-12T00:00:00",131636
"2013-04-12T00:00:00","2013-04-13T00:00:00",107927
"2013-04-13T00:00:00","2013-04-14T00:00:00",97637
"2013-04-14T00:00:00","2013-04-15T00:00:00",96946
"2013-04-15T00:00:00","2013-04-16T00:00:00",121804
"2013-04-16T00:00:00","2013-04-17T00:00:00",124239
"2013-04-17T00:00:00","2013-04-18T00:00:00",113342
"2013-04-18T00:00:00","2013-04-19T00:00:00",116263
"2013-04-19T00:00:00","2013-04-20T00:00:00",104584
"2013-04-20T00:00:00","2013-04-21T00:00:00",97651
"2013-04-21T00:00:00","2013-04-22T00:00:00",103343
"2013-04-22T00:00:00","2013-04-23T00:00:00",107269
"2013-04-23T00:00:00","2013-04-24T00:00:00",116367
"2013-04-24T00:00:00","2013-04-25T00:00:00",125845
"2013-04-25T00:00:00","2013-04-26T00:00:00",110989
"2013-04-26T00:00:00","2013-04-27T00:00:00",106233
"2013-04-27T00:00:00","2013-04-28T00:00:00",95949
"2013-04-28T00:00:00","2013-04-29T00:00:00",98866
"2013-04-29T00:00:00","2013-04-30T00:00:00",109448
"2013-04-30T00:00:00","2013-05-01T00:00:00",115403
