"date","tot_n","weekday","wordlist","wordlist_n","pr","bl","sd","prlow","prhigh"
2019-01-01,612591,"Tuesday","anxiety",24136,3.93998605921406,3.7826568963778,0.188304257735754,3.89140524599319,3.98900307742611
2019-01-01,612591,"Tuesday","anger",51160,8.35141227997146,10.6876758648921,0.892383184396508,8.28224807219278,8.42097065560443
2019-01-01,612591,"Tuesday","sadness",27406,4.47378430306681,5.52022805276878,0.335716869998115,4.42215004142363,4.52584965816256
2019-01-01,612591,"Tuesday","positive",318780,52.0379829282507,44.5756616968219,1.23685303319839,51.9127877634941,52.1631588186853
2019-01-02,593630,"Wednesday","anxiety",20686,3.48466216330037,3.84513096460112,0.298845913503702,3.43815320661796,3.53162578561991
2019-01-02,593630,"Wednesday","anger",57620,9.70638276367434,10.720633598326,0.79535433951252,9.63118619372951,9.78197282715231
2019-01-02,593630,"Wednesday","sadness",29896,5.03613361858397,5.46175114344452,0.275118363255554,4.98063776996763,5.09206879865753
2019-01-02,593630,"Wednesday","positive",271709,45.7707663022421,44.4262724694048,0.987595345782862,45.6439666788012,45.8976072021002
2019-01-03,671781,"Thursday","anxiety",22715,3.38131027820078,3.75496771086622,0.208794790934492,3.33821471544256,3.4248084619088
2019-01-03,671781,"Thursday","anger",64940,9.6668408305683,10.5816792819616,0.513974073093782,9.59627610715056,9.73775358213731
2019-01-03,671781,"Thursday","sadness",34194,5.09005166862415,5.4353189370401,0.265778343830269,5.03761147936178,5.14287956448877
2019-01-03,671781,"Thursday","positive",299036,44.5139115277151,44.4564438678932,0.587327134023143,44.3950178142302,44.632852552983
2019-01-04,700436,"Friday","anxiety",24783,3.53822476286199,3.7629001736544,0.386791622298784,3.49508085719198,3.58175348179137
2019-01-04,700436,"Friday","anger",72301,10.3222849767859,10.5925547558171,0.90611769949508,10.2511262691633,10.393772027982
2019-01-04,700436,"Friday","sadness",36928,5.27214477839517,5.4389109905356,0.439918708101923,5.21992294688773,5.32473692214369
2019-01-04,700436,"Friday","positive",313437,44.7488421497467,44.5746176334524,0.56443164994752,44.6323464462425,44.8653812855926
2019-01-05,661387,"Saturday","anxiety",24272,3.66986348386043,3.67944890780764,0.284414643287179,3.6246775283767,3.71545582758588
2019-01-05,661387,"Saturday","anger",65947,9.97101545691101,10.7144155796494,1.1817942777773,9.89890797382619,10.043473768707
2019-01-05,661387,"Saturday","sadness",35397,5.35193464643242,5.70633419476235,0.665484847629939,5.29781320312861,5.40644758137994
2019-01-05,661387,"Saturday","positive",293731,44.4113658115445,44.3188294856498,0.461872330392054,44.2915690965643,44.5312114804074
2019-01-06,643750,"Sunday","anxiety",23400,3.63495145631068,3.68986247529368,0.233091041167187,3.5893633242681,3.68095744196889
2019-01-06,643750,"Sunday","anger",64243,9.97949514563107,10.7544996460095,0.843577213609652,9.90638023797092,10.0529704239835
2019-01-06,643750,"Sunday","sadness",34189,5.31091262135922,5.86622187829925,0.445521228994246,5.25625588491778,5.36597195761379
2019-01-06,643750,"Sunday","positive",282807,43.9311844660194,44.0477228872429,0.548928216444939,43.8098969303044,44.0525266188983
2019-01-07,731364,"Monday","anxiety",26296,3.5954736629093,3.77076311780155,0.233639674709357,3.55292059640261,3.6383947923694
2019-01-07,731364,"Monday","anger",75870,10.3737673716508,10.6611760530121,0.682429081822217,10.3039737483637,10.4438750356959
2019-01-07,731364,"Monday","sadness",38599,5.27767295081519,5.75802492878663,0.378860494555054,5.2265394736883,5.32916102259119
2019-01-07,731364,"Monday","positive",328268,44.8843530717946,44.7135322445278,0.783589617298345,44.7703152895378,44.9984313755981
2019-01-08,741597,"Tuesday","anxiety",27867,3.75770128519937,3.7826568963778,0.188304257735754,3.71453246649002,3.8012317978614
2019-01-08,741597,"Tuesday","anger",79284,10.6909817596349,10.6876758648921,0.892383184396508,10.6207412110214,10.7615295284621
2019-01-08,741597,"Tuesday","sadness",38391,5.1768008770262,5.52022805276878,0.335716869998115,5.12648287901536,5.22746936688865
2019-01-08,741597,"Tuesday","positive",326034,43.9637700799761,44.5756616968219,1.23685303319839,43.8507608663413,44.0768264472454
2019-01-09,827912,"Wednesday","anxiety",38712,4.67585927006735,3.84513096460112,0.298845913503702,4.63048088863411,4.72155510734357
2019-01-09,827912,"Wednesday","anger",93693,11.3167824599716,10.720633598326,0.79535433951252,11.248617606354,11.3852180967624
2019-01-09,827912,"Wednesday","sadness",42563,5.14100532423736,5.46175114344452,0.275118363255554,5.09353345252862,5.18879136957278
2019-01-09,827912,"Wednesday","positive",358740,43.3306921508566,44.4262724694048,0.987595345782862,43.2239151050941,43.4375158621456
2019-01-10,805187,"Thursday","anxiety",33724,4.18834382571999,3.75496771086622,0.208794790934492,4.14469135500247,4.23232626269747
2019-01-10,805187,"Thursday","anger",86431,10.7342766338751,10.5816792819616,0.513974073093782,10.6667431363185,10.802092762115
2019-01-10,805187,"Thursday","sadness",42321,5.25604611102762,5.4353189370401,0.265778343830269,5.20740284494429,5.30501159116298
2019-01-10,805187,"Thursday","positive",350004,43.4686600752372,44.4564438678932,0.587327134023143,43.3603455655701,43.5770215753469
2019-01-11,784210,"Friday","anxiety",30908,3.94129123576593,3.7629001736544,0.386791622298784,3.89833315506934,3.98458996371304
2019-01-11,784210,"Friday","anger",83420,10.6374568036623,10.5925547558171,0.90611769949508,10.5693001570072,10.7059043628096
2019-01-11,784210,"Friday","sadness",40282,5.13663431988881,5.4389109905356,0.439918708101923,5.08788004403524,5.18572032528786
2019-01-11,784210,"Friday","positive",343724,43.8306065977226,44.5746176334524,0.56443164994752,43.7207485582184,43.9405102113313
2019-01-12,694636,"Saturday","anxiety",26351,3.79349760162157,3.67944890780764,0.284414643287179,3.74869302937004,3.83868804393998
2019-01-12,694636,"Saturday","anger",75660,10.8920355409164,10.7144155796494,1.1817942777773,10.818864157891,10.9655332465077
2019-01-12,694636,"Saturday","sadness",37973,5.46660409192728,5.70633419476235,0.665484847629939,5.41325889255888,5.52032106349424
