startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",1982201
"2013-01-02T00:00:00","2013-01-03T00:00:00",1925731
"2013-01-03T00:00:00","2013-01-04T00:00:00",2265455
"2013-01-04T00:00:00","2013-01-05T00:00:00",2347584
"2013-01-05T00:00:00","2013-01-06T00:00:00",2167893
"2013-01-06T00:00:00","2013-01-07T00:00:00",2036415
"2013-01-07T00:00:00","2013-01-08T00:00:00",2196917
"2013-01-08T00:00:00","2013-01-09T00:00:00",2259049
"2013-01-09T00:00:00","2013-01-10T00:00:00",2339555
"2013-01-10T00:00:00","2013-01-11T00:00:00",2311173
"2013-01-11T00:00:00","2013-01-12T00:00:00",2259403
"2013-01-12T00:00:00","2013-01-13T00:00:00",2099970
"2013-01-13T00:00:00","2013-01-14T00:00:00",1945934
"2013-01-14T00:00:00","2013-01-15T00:00:00",2093774
"2013-01-15T00:00:00","2013-01-16T00:00:00",2326079
"2013-01-16T00:00:00","2013-01-17T00:00:00",2401168
"2013-01-17T00:00:00","2013-01-18T00:00:00",2430122
"2013-01-18T00:00:00","2013-01-19T00:00:00",2398097
"2013-01-19T00:00:00","2013-01-20T00:00:00",2096300
"2013-01-20T00:00:00","2013-01-21T00:00:00",2002972
"2013-01-21T00:00:00","2013-01-22T00:00:00",2156250
"2013-01-22T00:00:00","2013-01-23T00:00:00",2061649
"2013-01-23T00:00:00","2013-01-24T00:00:00",2414373
"2013-01-24T00:00:00","2013-01-25T00:00:00",2426202
"2013-01-25T00:00:00","2013-01-26T00:00:00",2359198
"2013-01-26T00:00:00","2013-01-27T00:00:00",2114660
"2013-01-27T00:00:00","2013-01-28T00:00:00",2070618
"2013-01-28T00:00:00","2013-01-29T00:00:00",2231289
"2013-01-29T00:00:00","2013-01-30T00:00:00",2431696
"2013-01-30T00:00:00","2013-01-31T00:00:00",2440754
"2013-01-31T00:00:00","2013-02-01T00:00:00",2230066
"2013-02-01T00:00:00","2013-02-02T00:00:00",2448660
"2013-02-02T00:00:00","2013-02-03T00:00:00",2137498
