"date","unique_authors"
2019-01-01,"299813"
2019-01-02,"332044"
2019-01-03,"339486"
2019-01-04,"323515"
2019-01-05,"319866"
2019-01-06,"362307"
2019-01-07,"361973"
2019-01-08,"390364"
2019-01-09,"391501"
2019-01-10,"386960"
2019-01-11,"347323"
2019-01-12,"325799"
2019-01-13,"361973"
2019-01-14,"366388"
2019-01-15,"364050"
2019-01-16,"362094"
2019-01-17,"353384"
2019-01-18,"341106"
2019-01-19,"305643"
2019-01-20,"384859"
2019-01-21,"381664"
2019-01-22,"383442"
2019-01-23,"377041"
2019-01-24,"369022"
2019-01-25,"318458"
2019-01-26,"307487"
2019-01-27,"350706"
2019-01-28,"359487"
2019-01-29,"370623"
2019-01-30,"369634"
2019-01-31,"371636"
2019-02-01,"319217"
2019-02-02,"296705"
2019-02-03,"339725"
2019-02-04,"343307"
2019-02-05,"361999"
2019-02-06,"368069"
2019-02-07,"367637"
2019-02-08,"320804"
2019-02-09,"303161"
2019-02-10,"350073"
2019-02-11,"360648"
2019-02-12,"356781"
2019-02-13,"376099"
2019-02-14,"352346"
2019-02-15,"306531"
2019-02-16,"305263"
2019-02-17,"338868"
2019-02-18,"362578"
2019-02-19,"377847"
2019-02-20,"374614"
2019-02-21,"369041"
2019-02-22,"325854"
2019-02-23,"305883"
2019-02-24,"393524"
2019-02-25,"357722"
2019-02-26,"381595"
2019-02-27,"379709"
2019-02-28,"369794"
2019-03-01,"326453"
2019-03-02,"301874"
2019-03-03,"345104"
2019-03-04,"377585"
2019-03-05,"383225"
2019-03-06,"379048"
2019-03-07,"382235"
2019-03-08,"324890"
2019-03-09,"305033"
2019-03-10,"351444"
2019-03-11,"371475"
2019-03-12,"396962"
2019-03-13,"415539"
2019-03-14,"374359"
2019-03-15,"314206"
2019-03-16,"299410"
2019-03-17,"309591"
2019-03-18,"361197"
2019-03-19,"375128"
2019-03-20,"387843"
2019-03-21,"382760"
2019-03-22,"324979"
2019-03-23,"301542"
2019-03-24,"365271"
2019-03-25,"402814"
2019-03-26,"386670"
2019-03-27,"379529"
2019-03-28,"370331"
2019-03-29,"328179"
2019-03-30,"290987"
2019-03-31,"362454"
2019-04-01,"384075"
2019-04-02,"389241"
2019-04-03,"392026"
2019-04-04,"384919"
2019-04-05,"338624"
2019-04-06,"324129"
2019-04-07,"359679"
2019-04-08,"379337"
2019-04-09,"391365"
2019-04-10,"393117"
2019-04-11,"396689"
2019-04-12,"335386"
2019-04-13,"305821"
2019-04-14,"360259"
2019-04-15,"361136"
2019-04-16,"371630"
2019-04-17,"345063"
2019-04-18,"312414"
2019-04-19,"294830"
2019-04-20,"314261"
2019-04-21,"384240"
2019-04-22,"399130"
2019-04-23,"410572"
2019-04-24,"411680"
2019-04-25,"398581"
2019-04-26,"338379"
2019-04-27,"321632"
2019-04-28,"389374"
2019-04-29,"384476"
2019-04-30,"365989"
2019-05-01,"377849"
2019-05-02,"371452"
2019-05-03,"329990"
2019-05-04,"332295"
2019-05-05,"386428"
2019-05-06,"384271"
2019-05-07,"378129"
2019-05-08,"379438"
2019-05-09,"385083"
2019-05-10,"319414"
2019-05-11,"313576"
2019-05-12,"388919"
2019-05-13,"383756"
2019-05-14,"397467"
2019-05-15,"407975"
2019-05-16,"402406"
2019-05-17,"330892"
2019-05-18,"318354"
2019-05-19,"391206"
2019-05-20,"384417"
2019-05-21,"390043"
2019-05-22,"391106"
2019-05-23,"388962"
2019-05-24,"342467"
2019-05-25,"326040"
2019-05-26,"393891"
2019-05-27,"382172"
2019-05-28,"387384"
2019-05-29,"388532"
2019-05-30,"397413"
2019-05-31,"358867"
2019-06-01,"307751"
2019-06-02,"380095"
2019-06-03,"387813"
2019-06-04,"405253"
2019-06-05,"401190"
2019-06-06,"398452"
2019-06-07,"355716"
2019-06-08,"318610"
2019-06-09,"373250"
2019-06-10,"387564"
2019-06-11,"409548"
2019-06-12,"398661"
2019-06-13,"393776"
2019-06-14,"333398"
2019-06-15,"318720"
2019-06-16,"354075"
2019-06-17,"398265"
2019-06-18,"411285"
2019-06-19,"402554"
2019-06-20,"402704"
2019-06-21,"343724"
2019-06-22,"307317"
2019-06-23,"363902"
2019-06-24,"386275"
2019-06-25,"394657"
2019-06-26,"392226"
2019-06-27,"392041"
2019-06-28,"341091"
2019-06-29,"318939"
2019-06-30,"372640"
2019-07-01,"386118"
2019-07-02,"436418"
2019-07-03,"419976"
2019-07-04,"398606"
2019-07-05,"350980"
2019-07-06,"320230"
2019-07-07,"366066"
2019-07-08,"395647"
2019-07-09,"394763"
2019-07-10,"374822"
2019-07-11,"306060"
2019-07-12,"338643"
2019-07-13,"314426"
2019-07-14,"371206"
2019-07-15,"383367"
2019-07-16,"418405"
2019-07-17,"394755"
2019-07-18,"381569"
2019-07-19,"335886"
2019-07-20,"317114"
2019-07-21,"357511"
2019-07-22,"384145"
2019-07-23,"374880"
2019-07-24,"388330"
2019-07-25,"378036"
2019-07-26,"335363"
2019-07-27,"311800"
2019-07-28,"373175"
2019-07-29,"383839"
2019-07-30,"390713"
2019-07-31,"388462"
2019-08-01,"383247"
2019-08-02,"348443"
2019-08-03,"322272"
2019-08-04,"366539"
2019-08-05,"389802"
2019-08-06,"395073"
2019-08-07,"395516"
2019-08-08,"378430"
2019-08-09,"348074"
2019-08-10,"323986"
2019-08-11,"370205"
2019-08-12,"393447"
2019-08-13,"389368"
2019-08-14,"385180"
2019-08-15,"373470"
