startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",11260
"2013-01-02T00:00:00","2013-01-03T00:00:00",10454
"2013-01-03T00:00:00","2013-01-04T00:00:00",11109
"2013-01-04T00:00:00","2013-01-05T00:00:00",10881
"2013-01-05T00:00:00","2013-01-06T00:00:00",10141
"2013-01-06T00:00:00","2013-01-07T00:00:00",11778
"2013-01-07T00:00:00","2013-01-08T00:00:00",12743
"2013-01-08T00:00:00","2013-01-09T00:00:00",11923
"2013-01-09T00:00:00","2013-01-10T00:00:00",11806
"2013-01-10T00:00:00","2013-01-11T00:00:00",11101
"2013-01-11T00:00:00","2013-01-12T00:00:00",10390
"2013-01-12T00:00:00","2013-01-13T00:00:00",9257
"2013-01-13T00:00:00","2013-01-14T00:00:00",11183
"2013-01-14T00:00:00","2013-01-15T00:00:00",12706
"2013-01-15T00:00:00","2013-01-16T00:00:00",14571
"2013-01-16T00:00:00","2013-01-17T00:00:00",12694
"2013-01-17T00:00:00","2013-01-18T00:00:00",12134
"2013-01-18T00:00:00","2013-01-19T00:00:00",11661
"2013-01-19T00:00:00","2013-01-20T00:00:00",10249
"2013-01-20T00:00:00","2013-01-21T00:00:00",15606
"2013-01-21T00:00:00","2013-01-22T00:00:00",13578
"2013-01-22T00:00:00","2013-01-23T00:00:00",12765
"2013-01-23T00:00:00","2013-01-24T00:00:00",12948
"2013-01-24T00:00:00","2013-01-25T00:00:00",11829
"2013-01-25T00:00:00","2013-01-26T00:00:00",11114
"2013-01-26T00:00:00","2013-01-27T00:00:00",10955
"2013-01-27T00:00:00","2013-01-28T00:00:00",13602
"2013-01-28T00:00:00","2013-01-29T00:00:00",13807
"2013-01-29T00:00:00","2013-01-30T00:00:00",12864
"2013-01-30T00:00:00","2013-01-31T00:00:00",13446
"2013-01-31T00:00:00","2013-02-01T00:00:00",11192
"2013-02-01T00:00:00","2013-02-02T00:00:00",11309
"2013-02-02T00:00:00","2013-02-03T00:00:00",10647
"2013-02-03T00:00:00","2013-02-04T00:00:00",12950
"2013-02-04T00:00:00","2013-02-05T00:00:00",12543
"2013-02-05T00:00:00","2013-02-06T00:00:00",14744
"2013-02-06T00:00:00","2013-02-07T00:00:00",13697
"2013-02-07T00:00:00","2013-02-08T00:00:00",11915
"2013-02-08T00:00:00","2013-02-09T00:00:00",11106
"2013-02-09T00:00:00","2013-02-10T00:00:00",10551
"2013-02-10T00:00:00","2013-02-11T00:00:00",11454
"2013-02-11T00:00:00","2013-02-12T00:00:00",11919
"2013-02-12T00:00:00","2013-02-13T00:00:00",12162
"2013-02-13T00:00:00","2013-02-14T00:00:00",12343
"2013-02-14T00:00:00","2013-02-15T00:00:00",13176
"2013-02-15T00:00:00","2013-02-16T00:00:00",11396
"2013-02-16T00:00:00","2013-02-17T00:00:00",10714
"2013-02-17T00:00:00","2013-02-18T00:00:00",11849
"2013-02-18T00:00:00","2013-02-19T00:00:00",11452
"2013-02-19T00:00:00","2013-02-20T00:00:00",11626
"2013-02-20T00:00:00","2013-02-21T00:00:00",11782
"2013-02-21T00:00:00","2013-02-22T00:00:00",12639
"2013-02-22T00:00:00","2013-02-23T00:00:00",10781
"2013-02-23T00:00:00","2013-02-24T00:00:00",10249
"2013-02-24T00:00:00","2013-02-25T00:00:00",14975
"2013-02-25T00:00:00","2013-02-26T00:00:00",12977
"2013-02-26T00:00:00","2013-02-27T00:00:00",12487
"2013-02-27T00:00:00","2013-02-28T00:00:00",12412
"2013-02-28T00:00:00","2013-03-01T00:00:00",11599
"2013-03-01T00:00:00","2013-03-02T00:00:00",11346
"2013-03-02T00:00:00","2013-03-03T00:00:00",11192
"2013-03-03T00:00:00","2013-03-04T00:00:00",12241
"2013-03-04T00:00:00","2013-03-05T00:00:00",11898
"2013-03-05T00:00:00","2013-03-06T00:00:00",11921
"2013-03-06T00:00:00","2013-03-07T00:00:00",11684
"2013-03-07T00:00:00","2013-03-08T00:00:00",11486
"2013-03-08T00:00:00","2013-03-09T00:00:00",10420
"2013-03-09T00:00:00","2013-03-10T00:00:00",12133
"2013-03-10T00:00:00","2013-03-11T00:00:00",12792
"2013-03-11T00:00:00","2013-03-12T00:00:00",14984
"2013-03-12T00:00:00","2013-03-13T00:00:00",19337
"2013-03-13T00:00:00","2013-03-14T00:00:00",18257
"2013-03-14T00:00:00","2013-03-15T00:00:00",17717
"2013-03-15T00:00:00","2013-03-16T00:00:00",18822
"2013-03-16T00:00:00","2013-03-17T00:00:00",15038
"2013-03-17T00:00:00","2013-03-18T00:00:00",17732
"2013-03-18T00:00:00","2013-03-19T00:00:00",17391
"2013-03-19T00:00:00","2013-03-20T00:00:00",17308
"2013-03-20T00:00:00","2013-03-21T00:00:00",17748
"2013-03-21T00:00:00","2013-03-22T00:00:00",16116
"2013-03-22T00:00:00","2013-03-23T00:00:00",14753
"2013-03-23T00:00:00","2013-03-24T00:00:00",14272
"2013-03-24T00:00:00","2013-03-25T00:00:00",16412
"2013-03-25T00:00:00","2013-03-26T00:00:00",17506
"2013-03-26T00:00:00","2013-03-27T00:00:00",16632
"2013-03-27T00:00:00","2013-03-28T00:00:00",16617
"2013-03-28T00:00:00","2013-03-29T00:00:00",15855
"2013-03-29T00:00:00","2013-03-30T00:00:00",15010
"2013-03-30T00:00:00","2013-03-31T00:00:00",14837
"2013-03-31T00:00:00","2013-04-01T00:00:00",14077
"2013-04-01T00:00:00","2013-04-02T00:00:00",15177
"2013-04-02T00:00:00","2013-04-03T00:00:00",17159
"2013-04-03T00:00:00","2013-04-04T00:00:00",17066
"2013-04-04T00:00:00","2013-04-05T00:00:00",16350
"2013-04-05T00:00:00","2013-04-06T00:00:00",15595
"2013-04-06T00:00:00","2013-04-07T00:00:00",13170
"2013-04-07T00:00:00","2013-04-08T00:00:00",14805
"2013-04-08T00:00:00","2013-04-09T00:00:00",15767
"2013-04-09T00:00:00","2013-04-10T00:00:00",17297
"2013-04-10T00:00:00","2013-04-11T00:00:00",17228
"2013-04-11T00:00:00","2013-04-12T00:00:00",16888
"2013-04-12T00:00:00","2013-04-13T00:00:00",14886
"2013-04-13T00:00:00","2013-04-14T00:00:00",13052
"2013-04-14T00:00:00","2013-04-15T00:00:00",18067
"2013-04-15T00:00:00","2013-04-16T00:00:00",16590
"2013-04-16T00:00:00","2013-04-17T00:00:00",16181
"2013-04-17T00:00:00","2013-04-18T00:00:00",15668
"2013-04-18T00:00:00","2013-04-19T00:00:00",16954
"2013-04-19T00:00:00","2013-04-20T00:00:00",17431
"2013-04-20T00:00:00","2013-04-21T00:00:00",13281
"2013-04-21T00:00:00","2013-04-22T00:00:00",17642
"2013-04-22T00:00:00","2013-04-23T00:00:00",17295
"2013-04-23T00:00:00","2013-04-24T00:00:00",16689
"2013-04-24T00:00:00","2013-04-25T00:00:00",16769
"2013-04-25T00:00:00","2013-04-26T00:00:00",14657
"2013-04-26T00:00:00","2013-04-27T00:00:00",16276
"2013-04-27T00:00:00","2013-04-28T00:00:00",12590
"2013-04-28T00:00:00","2013-04-29T00:00:00",12078
"2013-04-29T00:00:00","2013-04-30T00:00:00",13304
"2013-04-30T00:00:00","2013-05-01T00:00:00",14198
"2013-05-01T00:00:00","2013-05-02T00:00:00",13819
"2013-05-02T00:00:00","2013-05-03T00:00:00",14730
"2013-05-03T00:00:00","2013-05-04T00:00:00",13976
"2013-05-04T00:00:00","2013-05-05T00:00:00",13283
"2013-05-05T00:00:00","2013-05-06T00:00:00",14463
"2013-05-06T00:00:00","2013-05-07T00:00:00",14639
"2013-05-07T00:00:00","2013-05-08T00:00:00",15256
"2013-05-08T00:00:00","2013-05-09T00:00:00",15142
"2013-05-09T00:00:00","2013-05-10T00:00:00",14662
"2013-05-10T00:00:00","2013-05-11T00:00:00",14213
"2013-05-11T00:00:00","2013-05-12T00:00:00",13978
"2013-05-12T00:00:00","2013-05-13T00:00:00",15641
"2013-05-13T00:00:00","2013-05-14T00:00:00",15970
"2013-05-14T00:00:00","2013-05-15T00:00:00",19269
"2013-05-15T00:00:00","2013-05-16T00:00:00",18980
"2013-05-16T00:00:00","2013-05-17T00:00:00",17893
"2013-05-17T00:00:00","2013-05-18T00:00:00",14222
"2013-05-18T00:00:00","2013-05-19T00:00:00",16732
"2013-05-19T00:00:00","2013-05-20T00:00:00",15806
"2013-05-20T00:00:00","2013-05-21T00:00:00",15652
"2013-05-21T00:00:00","2013-05-22T00:00:00",16504
"2013-05-22T00:00:00","2013-05-23T00:00:00",15367
"2013-05-23T00:00:00","2013-05-24T00:00:00",15648
"2013-05-24T00:00:00","2013-05-25T00:00:00",12970
"2013-05-25T00:00:00","2013-05-26T00:00:00",12750
"2013-05-26T00:00:00","2013-05-27T00:00:00",14057
"2013-05-27T00:00:00","2013-05-28T00:00:00",13937
"2013-05-28T00:00:00","2013-05-29T00:00:00",14330
"2013-05-29T00:00:00","2013-05-30T00:00:00",15448
"2013-05-30T00:00:00","2013-05-31T00:00:00",14228
"2013-05-31T00:00:00","2013-06-01T00:00:00",12635
"2013-06-01T00:00:00","2013-06-02T00:00:00",11042
"2013-06-02T00:00:00","2013-06-03T00:00:00",12083
"2013-06-03T00:00:00","2013-06-04T00:00:00",13408
"2013-06-04T00:00:00","2013-06-05T00:00:00",13607
"2013-06-05T00:00:00","2013-06-06T00:00:00",13308
"2013-06-06T00:00:00","2013-06-07T00:00:00",14009
"2013-06-07T00:00:00","2013-06-08T00:00:00",12225
"2013-06-08T00:00:00","2013-06-09T00:00:00",10188
"2013-06-09T00:00:00","2013-06-10T00:00:00",12445
"2013-06-10T00:00:00","2013-06-11T00:00:00",14471
"2013-06-11T00:00:00","2013-06-12T00:00:00",15354
