startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",2601
"2013-01-02T00:00:00","2013-01-03T00:00:00",2247
"2013-01-03T00:00:00","2013-01-04T00:00:00",2263
"2013-01-04T00:00:00","2013-01-05T00:00:00",2238
"2013-01-05T00:00:00","2013-01-06T00:00:00",2233
"2013-01-06T00:00:00","2013-01-07T00:00:00",2287
"2013-01-07T00:00:00","2013-01-08T00:00:00",2682
"2013-01-08T00:00:00","2013-01-09T00:00:00",2509
"2013-01-09T00:00:00","2013-01-10T00:00:00",2404
"2013-01-10T00:00:00","2013-01-11T00:00:00",2350
"2013-01-11T00:00:00","2013-01-12T00:00:00",2340
"2013-01-12T00:00:00","2013-01-13T00:00:00",2045
"2013-01-13T00:00:00","2013-01-14T00:00:00",2229
"2013-01-14T00:00:00","2013-01-15T00:00:00",2750
"2013-01-15T00:00:00","2013-01-16T00:00:00",2881
"2013-01-16T00:00:00","2013-01-17T00:00:00",2739
"2013-01-17T00:00:00","2013-01-18T00:00:00",2786
"2013-01-18T00:00:00","2013-01-19T00:00:00",2585
"2013-01-19T00:00:00","2013-01-20T00:00:00",2371
"2013-01-20T00:00:00","2013-01-21T00:00:00",3309
"2013-01-21T00:00:00","2013-01-22T00:00:00",3021
"2013-01-22T00:00:00","2013-01-23T00:00:00",2688
"2013-01-23T00:00:00","2013-01-24T00:00:00",2752
"2013-01-24T00:00:00","2013-01-25T00:00:00",2589
"2013-01-25T00:00:00","2013-01-26T00:00:00",2406
"2013-01-26T00:00:00","2013-01-27T00:00:00",2327
"2013-01-27T00:00:00","2013-01-28T00:00:00",2581
"2013-01-28T00:00:00","2013-01-29T00:00:00",3098
"2013-01-29T00:00:00","2013-01-30T00:00:00",2866
"2013-01-30T00:00:00","2013-01-31T00:00:00",2730
"2013-01-31T00:00:00","2013-02-01T00:00:00",2469
"2013-02-01T00:00:00","2013-02-02T00:00:00",2552
"2013-02-02T00:00:00","2013-02-03T00:00:00",2218
"2013-02-03T00:00:00","2013-02-04T00:00:00",2683
"2013-02-04T00:00:00","2013-02-05T00:00:00",2734
"2013-02-05T00:00:00","2013-02-06T00:00:00",3085
"2013-02-06T00:00:00","2013-02-07T00:00:00",2707
"2013-02-07T00:00:00","2013-02-08T00:00:00",2656
"2013-02-08T00:00:00","2013-02-09T00:00:00",2592
"2013-02-09T00:00:00","2013-02-10T00:00:00",2155
"2013-02-10T00:00:00","2013-02-11T00:00:00",2270
"2013-02-11T00:00:00","2013-02-12T00:00:00",2475
"2013-02-12T00:00:00","2013-02-13T00:00:00",2935
"2013-02-13T00:00:00","2013-02-14T00:00:00",2753
"2013-02-14T00:00:00","2013-02-15T00:00:00",2873
"2013-02-15T00:00:00","2013-02-16T00:00:00",2567
"2013-02-16T00:00:00","2013-02-17T00:00:00",2300
"2013-02-17T00:00:00","2013-02-18T00:00:00",2389
"2013-02-18T00:00:00","2013-02-19T00:00:00",2451
"2013-02-19T00:00:00","2013-02-20T00:00:00",2462
"2013-02-20T00:00:00","2013-02-21T00:00:00",2492
"2013-02-21T00:00:00","2013-02-22T00:00:00",2799
"2013-02-22T00:00:00","2013-02-23T00:00:00",2326
"2013-02-23T00:00:00","2013-02-24T00:00:00",2239
"2013-02-24T00:00:00","2013-02-25T00:00:00",2649
"2013-02-25T00:00:00","2013-02-26T00:00:00",2589
"2013-02-26T00:00:00","2013-02-27T00:00:00",2618
"2013-02-27T00:00:00","2013-02-28T00:00:00",2551
"2013-02-28T00:00:00","2013-03-01T00:00:00",2419
"2013-03-01T00:00:00","2013-03-02T00:00:00",2662
"2013-03-02T00:00:00","2013-03-03T00:00:00",2375
"2013-03-03T00:00:00","2013-03-04T00:00:00",2453
"2013-03-04T00:00:00","2013-03-05T00:00:00",2554
"2013-03-05T00:00:00","2013-03-06T00:00:00",2388
"2013-03-06T00:00:00","2013-03-07T00:00:00",2632
"2013-03-07T00:00:00","2013-03-08T00:00:00",2614
"2013-03-08T00:00:00","2013-03-09T00:00:00",2365
"2013-03-09T00:00:00","2013-03-10T00:00:00",2555
"2013-03-10T00:00:00","2013-03-11T00:00:00",2832
"2013-03-11T00:00:00","2013-03-12T00:00:00",3197
"2013-03-12T00:00:00","2013-03-13T00:00:00",4620
"2013-03-13T00:00:00","2013-03-14T00:00:00",4510
"2013-03-14T00:00:00","2013-03-15T00:00:00",4313
"2013-03-15T00:00:00","2013-03-16T00:00:00",3999
"2013-03-16T00:00:00","2013-03-17T00:00:00",3635
"2013-03-17T00:00:00","2013-03-18T00:00:00",4226
"2013-03-18T00:00:00","2013-03-19T00:00:00",4435
"2013-03-19T00:00:00","2013-03-20T00:00:00",4290
"2013-03-20T00:00:00","2013-03-21T00:00:00",4293
"2013-03-21T00:00:00","2013-03-22T00:00:00",4228
"2013-03-22T00:00:00","2013-03-23T00:00:00",4077
"2013-03-23T00:00:00","2013-03-24T00:00:00",3402
"2013-03-24T00:00:00","2013-03-25T00:00:00",3868
"2013-03-25T00:00:00","2013-03-26T00:00:00",4290
"2013-03-26T00:00:00","2013-03-27T00:00:00",4265
"2013-03-27T00:00:00","2013-03-28T00:00:00",4148
"2013-03-28T00:00:00","2013-03-29T00:00:00",4089
"2013-03-29T00:00:00","2013-03-30T00:00:00",3858
"2013-03-30T00:00:00","2013-03-31T00:00:00",3908
"2013-03-31T00:00:00","2013-04-01T00:00:00",3044
"2013-04-01T00:00:00","2013-04-02T00:00:00",3905
"2013-04-02T00:00:00","2013-04-03T00:00:00",4279
"2013-04-03T00:00:00","2013-04-04T00:00:00",4898
"2013-04-04T00:00:00","2013-04-05T00:00:00",4435
"2013-04-05T00:00:00","2013-04-06T00:00:00",4307
"2013-04-06T00:00:00","2013-04-07T00:00:00",3235
"2013-04-07T00:00:00","2013-04-08T00:00:00",3486
"2013-04-08T00:00:00","2013-04-09T00:00:00",3964
"2013-04-09T00:00:00","2013-04-10T00:00:00",4190
"2013-04-10T00:00:00","2013-04-11T00:00:00",4648
"2013-04-11T00:00:00","2013-04-12T00:00:00",4287
"2013-04-12T00:00:00","2013-04-13T00:00:00",4227
"2013-04-13T00:00:00","2013-04-14T00:00:00",3505
"2013-04-14T00:00:00","2013-04-15T00:00:00",4253
"2013-04-15T00:00:00","2013-04-16T00:00:00",4802
"2013-04-16T00:00:00","2013-04-17T00:00:00",4822
"2013-04-17T00:00:00","2013-04-18T00:00:00",4485
"2013-04-18T00:00:00","2013-04-19T00:00:00",4530
"2013-04-19T00:00:00","2013-04-20T00:00:00",4759
"2013-04-20T00:00:00","2013-04-21T00:00:00",3174
"2013-04-21T00:00:00","2013-04-22T00:00:00",3680
"2013-04-22T00:00:00","2013-04-23T00:00:00",4212
"2013-04-23T00:00:00","2013-04-24T00:00:00",4108
"2013-04-24T00:00:00","2013-04-25T00:00:00",4035
"2013-04-25T00:00:00","2013-04-26T00:00:00",3920
"2013-04-26T00:00:00","2013-04-27T00:00:00",4029
"2013-04-27T00:00:00","2013-04-28T00:00:00",3166
"2013-04-28T00:00:00","2013-04-29T00:00:00",3063
"2013-04-29T00:00:00","2013-04-30T00:00:00",3437
"2013-04-30T00:00:00","2013-05-01T00:00:00",3660
"2013-05-01T00:00:00","2013-05-02T00:00:00",3305
"2013-05-02T00:00:00","2013-05-03T00:00:00",3697
"2013-05-03T00:00:00","2013-05-04T00:00:00",3734
"2013-05-04T00:00:00","2013-05-05T00:00:00",3365
"2013-05-05T00:00:00","2013-05-06T00:00:00",3224
"2013-05-06T00:00:00","2013-05-07T00:00:00",3854
"2013-05-07T00:00:00","2013-05-08T00:00:00",3927
"2013-05-08T00:00:00","2013-05-09T00:00:00",4473
"2013-05-09T00:00:00","2013-05-10T00:00:00",3561
"2013-05-10T00:00:00","2013-05-11T00:00:00",3376
"2013-05-11T00:00:00","2013-05-12T00:00:00",3430
"2013-05-12T00:00:00","2013-05-13T00:00:00",4015
"2013-05-13T00:00:00","2013-05-14T00:00:00",4680
"2013-05-14T00:00:00","2013-05-15T00:00:00",5624
"2013-05-15T00:00:00","2013-05-16T00:00:00",4360
"2013-05-16T00:00:00","2013-05-17T00:00:00",4784
"2013-05-17T00:00:00","2013-05-18T00:00:00",4338
"2013-05-18T00:00:00","2013-05-19T00:00:00",4840
"2013-05-19T00:00:00","2013-05-20T00:00:00",6091
"2013-05-20T00:00:00","2013-05-21T00:00:00",4543
"2013-05-21T00:00:00","2013-05-22T00:00:00",4350
"2013-05-22T00:00:00","2013-05-23T00:00:00",4080
"2013-05-23T00:00:00","2013-05-24T00:00:00",4909
"2013-05-24T00:00:00","2013-05-25T00:00:00",3935
