startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",80107
"2013-01-02T00:00:00","2013-01-03T00:00:00",58237
"2013-01-03T00:00:00","2013-01-04T00:00:00",58263
"2013-01-04T00:00:00","2013-01-05T00:00:00",60337
"2013-01-05T00:00:00","2013-01-06T00:00:00",57926
"2013-01-06T00:00:00","2013-01-07T00:00:00",64290
"2013-01-07T00:00:00","2013-01-08T00:00:00",67702
"2013-01-08T00:00:00","2013-01-09T00:00:00",62422
"2013-01-09T00:00:00","2013-01-10T00:00:00",64282
"2013-01-10T00:00:00","2013-01-11T00:00:00",62848
"2013-01-11T00:00:00","2013-01-12T00:00:00",64042
"2013-01-12T00:00:00","2013-01-13T00:00:00",59802
"2013-01-13T00:00:00","2013-01-14T00:00:00",63461
"2013-01-14T00:00:00","2013-01-15T00:00:00",67517
"2013-01-15T00:00:00","2013-01-16T00:00:00",78497
"2013-01-16T00:00:00","2013-01-17T00:00:00",71347
"2013-01-17T00:00:00","2013-01-18T00:00:00",69434
"2013-01-18T00:00:00","2013-01-19T00:00:00",71360
"2013-01-19T00:00:00","2013-01-20T00:00:00",67097
"2013-01-20T00:00:00","2013-01-21T00:00:00",85317
"2013-01-21T00:00:00","2013-01-22T00:00:00",71633
"2013-01-22T00:00:00","2013-01-23T00:00:00",69262
"2013-01-23T00:00:00","2013-01-24T00:00:00",71567
"2013-01-24T00:00:00","2013-01-25T00:00:00",68451
"2013-01-25T00:00:00","2013-01-26T00:00:00",67807
"2013-01-26T00:00:00","2013-01-27T00:00:00",66583
"2013-01-27T00:00:00","2013-01-28T00:00:00",73894
"2013-01-28T00:00:00","2013-01-29T00:00:00",77221
"2013-01-29T00:00:00","2013-01-30T00:00:00",69315
"2013-01-30T00:00:00","2013-01-31T00:00:00",73272
"2013-01-31T00:00:00","2013-02-01T00:00:00",64184
"2013-02-01T00:00:00","2013-02-02T00:00:00",70495
"2013-02-02T00:00:00","2013-02-03T00:00:00",66789
"2013-02-03T00:00:00","2013-02-04T00:00:00",75731
"2013-02-04T00:00:00","2013-02-05T00:00:00",69080
"2013-02-05T00:00:00","2013-02-06T00:00:00",69352
"2013-02-06T00:00:00","2013-02-07T00:00:00",74081
"2013-02-07T00:00:00","2013-02-08T00:00:00",68737
"2013-02-08T00:00:00","2013-02-09T00:00:00",69963
"2013-02-09T00:00:00","2013-02-10T00:00:00",64630
"2013-02-10T00:00:00","2013-02-11T00:00:00",67552
"2013-02-11T00:00:00","2013-02-12T00:00:00",65508
"2013-02-12T00:00:00","2013-02-13T00:00:00",68786
"2013-02-13T00:00:00","2013-02-14T00:00:00",73213
"2013-02-14T00:00:00","2013-02-15T00:00:00",76494
"2013-02-15T00:00:00","2013-02-16T00:00:00",73372
"2013-02-16T00:00:00","2013-02-17T00:00:00",64314
"2013-02-17T00:00:00","2013-02-18T00:00:00",68038
"2013-02-18T00:00:00","2013-02-19T00:00:00",63834
"2013-02-19T00:00:00","2013-02-20T00:00:00",65558
"2013-02-20T00:00:00","2013-02-21T00:00:00",66019
"2013-02-21T00:00:00","2013-02-22T00:00:00",68075
"2013-02-22T00:00:00","2013-02-23T00:00:00",64373
"2013-02-23T00:00:00","2013-02-24T00:00:00",62234
"2013-02-24T00:00:00","2013-02-25T00:00:00",73098
"2013-02-25T00:00:00","2013-02-26T00:00:00",65179
"2013-02-26T00:00:00","2013-02-27T00:00:00",65323
"2013-02-27T00:00:00","2013-02-28T00:00:00",69077
"2013-02-28T00:00:00","2013-03-01T00:00:00",64946
"2013-03-01T00:00:00","2013-03-02T00:00:00",70723
"2013-03-02T00:00:00","2013-03-03T00:00:00",67102
"2013-03-03T00:00:00","2013-03-04T00:00:00",69014
"2013-03-04T00:00:00","2013-03-05T00:00:00",71126
"2013-03-05T00:00:00","2013-03-06T00:00:00",72850
"2013-03-06T00:00:00","2013-03-07T00:00:00",67892
"2013-03-07T00:00:00","2013-03-08T00:00:00",67579
"2013-03-08T00:00:00","2013-03-09T00:00:00",65132
"2013-03-09T00:00:00","2013-03-10T00:00:00",71388
"2013-03-10T00:00:00","2013-03-11T00:00:00",72328
"2013-03-11T00:00:00","2013-03-12T00:00:00",79941
"2013-03-12T00:00:00","2013-03-13T00:00:00",117409
"2013-03-13T00:00:00","2013-03-14T00:00:00",116658
"2013-03-14T00:00:00","2013-03-15T00:00:00",111689
"2013-03-15T00:00:00","2013-03-16T00:00:00",113397
"2013-03-16T00:00:00","2013-03-17T00:00:00",103544
"2013-03-17T00:00:00","2013-03-18T00:00:00",111107
"2013-03-18T00:00:00","2013-03-19T00:00:00",106478
"2013-03-19T00:00:00","2013-03-20T00:00:00",107433
"2013-03-20T00:00:00","2013-03-21T00:00:00",112776
"2013-03-21T00:00:00","2013-03-22T00:00:00",113489
"2013-03-22T00:00:00","2013-03-23T00:00:00",111227
"2013-03-23T00:00:00","2013-03-24T00:00:00",101390
"2013-03-24T00:00:00","2013-03-25T00:00:00",101953
"2013-03-25T00:00:00","2013-03-26T00:00:00",104913
"2013-03-26T00:00:00","2013-03-27T00:00:00",111224
"2013-03-27T00:00:00","2013-03-28T00:00:00",111291
"2013-03-28T00:00:00","2013-03-29T00:00:00",115301
"2013-03-29T00:00:00","2013-03-30T00:00:00",110079
"2013-03-30T00:00:00","2013-03-31T00:00:00",103792
"2013-03-31T00:00:00","2013-04-01T00:00:00",96088
"2013-04-01T00:00:00","2013-04-02T00:00:00",103850
"2013-04-02T00:00:00","2013-04-03T00:00:00",109089
"2013-04-03T00:00:00","2013-04-04T00:00:00",107321
"2013-04-04T00:00:00","2013-04-05T00:00:00",106975
"2013-04-05T00:00:00","2013-04-06T00:00:00",108235
"2013-04-06T00:00:00","2013-04-07T00:00:00",99970
