startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",10096
"2013-01-02T00:00:00","2013-01-03T00:00:00",9909
"2013-01-03T00:00:00","2013-01-04T00:00:00",10079
"2013-01-04T00:00:00","2013-01-05T00:00:00",9955
"2013-01-05T00:00:00","2013-01-06T00:00:00",9755
"2013-01-06T00:00:00","2013-01-07T00:00:00",10684
"2013-01-07T00:00:00","2013-01-08T00:00:00",10703
"2013-01-08T00:00:00","2013-01-09T00:00:00",10846
"2013-01-09T00:00:00","2013-01-10T00:00:00",10084
"2013-01-10T00:00:00","2013-01-11T00:00:00",9693
"2013-01-11T00:00:00","2013-01-12T00:00:00",9271
"2013-01-12T00:00:00","2013-01-13T00:00:00",9842
"2013-01-13T00:00:00","2013-01-14T00:00:00",10309
"2013-01-14T00:00:00","2013-01-15T00:00:00",10563
"2013-01-15T00:00:00","2013-01-16T00:00:00",12470
"2013-01-16T00:00:00","2013-01-17T00:00:00",11596
"2013-01-17T00:00:00","2013-01-18T00:00:00",11215
"2013-01-18T00:00:00","2013-01-19T00:00:00",11013
"2013-01-19T00:00:00","2013-01-20T00:00:00",11413
"2013-01-20T00:00:00","2013-01-21T00:00:00",15020
"2013-01-21T00:00:00","2013-01-22T00:00:00",10996
"2013-01-22T00:00:00","2013-01-23T00:00:00",10724
"2013-01-23T00:00:00","2013-01-24T00:00:00",11027
"2013-01-24T00:00:00","2013-01-25T00:00:00",10562
"2013-01-25T00:00:00","2013-01-26T00:00:00",10225
"2013-01-26T00:00:00","2013-01-27T00:00:00",10377
"2013-01-27T00:00:00","2013-01-28T00:00:00",13269
"2013-01-28T00:00:00","2013-01-29T00:00:00",12815
"2013-01-29T00:00:00","2013-01-30T00:00:00",11052
"2013-01-30T00:00:00","2013-01-31T00:00:00",11821
"2013-01-31T00:00:00","2013-02-01T00:00:00",9780
"2013-02-01T00:00:00","2013-02-02T00:00:00",10743
"2013-02-02T00:00:00","2013-02-03T00:00:00",10749
"2013-02-03T00:00:00","2013-02-04T00:00:00",12562
"2013-02-04T00:00:00","2013-02-05T00:00:00",10884
"2013-02-05T00:00:00","2013-02-06T00:00:00",10831
"2013-02-06T00:00:00","2013-02-07T00:00:00",11429
"2013-02-07T00:00:00","2013-02-08T00:00:00",10103
"2013-02-08T00:00:00","2013-02-09T00:00:00",10347
"2013-02-09T00:00:00","2013-02-10T00:00:00",9901
"2013-02-10T00:00:00","2013-02-11T00:00:00",10295
"2013-02-11T00:00:00","2013-02-12T00:00:00",10411
"2013-02-12T00:00:00","2013-02-13T00:00:00",10653
"2013-02-13T00:00:00","2013-02-14T00:00:00",11731
"2013-02-14T00:00:00","2013-02-15T00:00:00",11681
"2013-02-15T00:00:00","2013-02-16T00:00:00",10836
"2013-02-16T00:00:00","2013-02-17T00:00:00",10497
"2013-02-17T00:00:00","2013-02-18T00:00:00",11638
"2013-02-18T00:00:00","2013-02-19T00:00:00",10525
"2013-02-19T00:00:00","2013-02-20T00:00:00",10290
"2013-02-20T00:00:00","2013-02-21T00:00:00",10606
"2013-02-21T00:00:00","2013-02-22T00:00:00",12139
"2013-02-22T00:00:00","2013-02-23T00:00:00",10254
"2013-02-23T00:00:00","2013-02-24T00:00:00",10125
"2013-02-24T00:00:00","2013-02-25T00:00:00",12830
"2013-02-25T00:00:00","2013-02-26T00:00:00",10712
"2013-02-26T00:00:00","2013-02-27T00:00:00",10478
"2013-02-27T00:00:00","2013-02-28T00:00:00",11764
"2013-02-28T00:00:00","2013-03-01T00:00:00",10472
"2013-03-01T00:00:00","2013-03-02T00:00:00",10714
"2013-03-02T00:00:00","2013-03-03T00:00:00",11036
"2013-03-03T00:00:00","2013-03-04T00:00:00",11365
"2013-03-04T00:00:00","2013-03-05T00:00:00",10346
"2013-03-05T00:00:00","2013-03-06T00:00:00",10551
"2013-03-06T00:00:00","2013-03-07T00:00:00",10506
"2013-03-07T00:00:00","2013-03-08T00:00:00",10164
"2013-03-08T00:00:00","2013-03-09T00:00:00",9269
"2013-03-09T00:00:00","2013-03-10T00:00:00",12151
"2013-03-10T00:00:00","2013-03-11T00:00:00",12281
"2013-03-11T00:00:00","2013-03-12T00:00:00",13082
"2013-03-12T00:00:00","2013-03-13T00:00:00",18762
"2013-03-13T00:00:00","2013-03-14T00:00:00",17758
"2013-03-14T00:00:00","2013-03-15T00:00:00",17520
"2013-03-15T00:00:00","2013-03-16T00:00:00",16751
"2013-03-16T00:00:00","2013-03-17T00:00:00",16214
"2013-03-17T00:00:00","2013-03-18T00:00:00",19161
"2013-03-18T00:00:00","2013-03-19T00:00:00",16955
"2013-03-19T00:00:00","2013-03-20T00:00:00",17264
"2013-03-20T00:00:00","2013-03-21T00:00:00",17831
"2013-03-21T00:00:00","2013-03-22T00:00:00",17053
"2013-03-22T00:00:00","2013-03-23T00:00:00",15688
"2013-03-23T00:00:00","2013-03-24T00:00:00",15743
"2013-03-24T00:00:00","2013-03-25T00:00:00",16656
"2013-03-25T00:00:00","2013-03-26T00:00:00",16513
"2013-03-26T00:00:00","2013-03-27T00:00:00",16983
"2013-03-27T00:00:00","2013-03-28T00:00:00",16631
"2013-03-28T00:00:00","2013-03-29T00:00:00",16443
"2013-03-29T00:00:00","2013-03-30T00:00:00",16354
"2013-03-30T00:00:00","2013-03-31T00:00:00",16778
"2013-03-31T00:00:00","2013-04-01T00:00:00",14579
"2013-04-01T00:00:00","2013-04-02T00:00:00",15444
