startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",463441
"2013-01-02T00:00:00","2013-01-03T00:00:00",421660
"2013-01-03T00:00:00","2013-01-04T00:00:00",430472
"2013-01-04T00:00:00","2013-01-05T00:00:00",437088
"2013-01-05T00:00:00","2013-01-06T00:00:00",415136
"2013-01-06T00:00:00","2013-01-07T00:00:00",458188
"2013-01-07T00:00:00","2013-01-08T00:00:00",478595
"2013-01-08T00:00:00","2013-01-09T00:00:00",441332
"2013-01-09T00:00:00","2013-01-10T00:00:00",439056
"2013-01-10T00:00:00","2013-01-11T00:00:00",424328
"2013-01-11T00:00:00","2013-01-12T00:00:00",425290
"2013-01-12T00:00:00","2013-01-13T00:00:00",409094
"2013-01-13T00:00:00","2013-01-14T00:00:00",442555
"2013-01-14T00:00:00","2013-01-15T00:00:00",463163
"2013-01-15T00:00:00","2013-01-16T00:00:00",509082
"2013-01-16T00:00:00","2013-01-17T00:00:00",483445
"2013-01-17T00:00:00","2013-01-18T00:00:00",472034
"2013-01-18T00:00:00","2013-01-19T00:00:00",470367
"2013-01-19T00:00:00","2013-01-20T00:00:00",452332
"2013-01-20T00:00:00","2013-01-21T00:00:00",569399
"2013-01-21T00:00:00","2013-01-22T00:00:00",482329
"2013-01-22T00:00:00","2013-01-23T00:00:00",471150
"2013-01-23T00:00:00","2013-01-24T00:00:00",485683
"2013-01-24T00:00:00","2013-01-25T00:00:00",463127
"2013-01-25T00:00:00","2013-01-26T00:00:00",443297
"2013-01-26T00:00:00","2013-01-27T00:00:00",444656
"2013-01-27T00:00:00","2013-01-28T00:00:00",513004
"2013-01-28T00:00:00","2013-01-29T00:00:00",531344
"2013-01-29T00:00:00","2013-01-30T00:00:00",478372
"2013-01-30T00:00:00","2013-01-31T00:00:00",493614
"2013-01-31T00:00:00","2013-02-01T00:00:00",428952
"2013-02-01T00:00:00","2013-02-02T00:00:00",462978
"2013-02-02T00:00:00","2013-02-03T00:00:00",443029
"2013-02-03T00:00:00","2013-02-04T00:00:00",516156
"2013-02-04T00:00:00","2013-02-05T00:00:00",467705
"2013-02-05T00:00:00","2013-02-06T00:00:00",466978
"2013-02-06T00:00:00","2013-02-07T00:00:00",483704
"2013-02-07T00:00:00","2013-02-08T00:00:00",460844
"2013-02-08T00:00:00","2013-02-09T00:00:00",459724
"2013-02-09T00:00:00","2013-02-10T00:00:00",437120
"2013-02-10T00:00:00","2013-02-11T00:00:00",461586
"2013-02-11T00:00:00","2013-02-12T00:00:00",460496
"2013-02-12T00:00:00","2013-02-13T00:00:00",473193
"2013-02-13T00:00:00","2013-02-14T00:00:00",496660
"2013-02-14T00:00:00","2013-02-15T00:00:00",506761
"2013-02-15T00:00:00","2013-02-16T00:00:00",489155
"2013-02-16T00:00:00","2013-02-17T00:00:00",446760
"2013-02-17T00:00:00","2013-02-18T00:00:00",480234
