"date","unique_authors"
2019-01-01,"27970"
2019-01-02,"28882"
2019-01-03,"27636"
2019-01-04,"25539"
2019-01-05,"24350"
2019-01-06,"31813"
2019-01-07,"32164"
2019-01-08,"31685"
2019-01-09,"32123"
2019-01-10,"32861"
2019-01-11,"27319"
2019-01-12,"24696"
2019-01-13,"30750"
2019-01-14,"32885"
2019-01-15,"34025"
2019-01-16,"34698"
2019-01-17,"33638"
2019-01-18,"28183"
2019-01-19,"27068"
2019-01-20,"34641"
2019-01-21,"35588"
2019-01-22,"35109"
2019-01-23,"34953"
2019-01-24,"34082"
2019-01-25,"27546"
2019-01-26,"26770"
2019-01-27,"31928"
2019-01-28,"33054"
2019-01-29,"34830"
2019-01-30,"35308"
2019-01-31,"34825"
2019-02-01,"28127"
2019-02-02,"25637"
2019-02-03,"31860"
2019-02-04,"32394"
2019-02-05,"33206"
2019-02-06,"34861"
2019-02-07,"33802"
2019-02-08,"29175"
2019-02-09,"25122"
2019-02-10,"31274"
2019-02-11,"32607"
2019-02-12,"34869"
2019-02-13,"34330"
2019-02-14,"33118"
2019-02-15,"26429"
2019-02-16,"24496"
2019-02-17,"30598"
2019-02-18,"31501"
2019-02-19,"32339"
2019-02-20,"33197"
2019-02-21,"32063"
2019-02-22,"26350"
2019-02-23,"24486"
2019-02-24,"30177"
2019-02-25,"31901"
2019-02-26,"33966"
2019-02-27,"32701"
2019-02-28,"33844"
2019-03-01,"26900"
2019-03-02,"23979"
2019-03-03,"31519"
2019-03-04,"35599"
2019-03-05,"33870"
2019-03-06,"34624"
2019-03-07,"34550"
2019-03-08,"28570"
2019-03-09,"27550"
2019-03-10,"32279"
2019-03-11,"33393"
2019-03-12,"34133"
2019-03-13,"34506"
2019-03-14,"35004"
2019-03-15,"28960"
2019-03-16,"26281"
2019-03-17,"31944"
2019-03-18,"34353"
2019-03-19,"38676"
2019-03-20,"36673"
2019-03-21,"33041"
2019-03-22,"26232"
2019-03-23,"25609"
2019-03-24,"31234"
2019-03-25,"33364"
2019-03-26,"34044"
2019-03-27,"34766"
2019-03-28,"33954"
2019-03-29,"26668"
2019-03-30,"24986"
2019-03-31,"32331"
2019-04-01,"34057"
2019-04-02,"33258"
2019-04-03,"34696"
2019-04-04,"33723"
2019-04-05,"27051"
2019-04-06,"26432"
2019-04-07,"31567"
2019-04-08,"32782"
2019-04-09,"35141"
2019-04-10,"33923"
2019-04-11,"32980"
2019-04-12,"27195"
2019-04-13,"24874"
2019-04-14,"32168"
2019-04-15,"36084"
2019-04-16,"34766"
2019-04-17,"35188"
2019-04-18,"31442"
2019-04-19,"25524"
2019-04-20,"23991"
2019-04-21,"23326"
2019-04-22,"29189"
2019-04-23,"31330"
2019-04-24,"32131"
2019-04-25,"33526"
2019-04-26,"25246"
2019-04-27,"22442"
2019-04-28,"28193"
2019-04-29,"30659"
2019-04-30,"31802"
2019-05-01,"30556"
2019-05-02,"30441"
2019-05-03,"26198"
2019-05-04,"25594"
2019-05-05,"29585"
2019-05-06,"32933"
2019-05-07,"35769"
2019-05-08,"32913"
2019-05-09,"31661"
2019-05-10,"26600"
2019-05-11,"25973"
2019-05-12,"29911"
2019-05-13,"33208"
2019-05-14,"34369"
2019-05-15,"35081"
2019-05-16,"32461"
2019-05-17,"30047"
2019-05-18,"29940"
2019-05-19,"30431"
2019-05-20,"32390"
2019-05-21,"34225"
2019-05-22,"35970"
2019-05-23,"32340"
2019-05-24,"26290"
2019-05-25,"24461"
2019-05-26,"31143"
2019-05-27,"33688"
2019-05-28,"33031"
2019-05-29,"24626"
2019-05-30,"28352"
2019-05-31,"25078"
2019-06-01,"23625"
2019-06-02,"30041"
2019-06-03,"33752"
2019-06-04,"33063"
2019-06-05,"33684"
2019-06-06,"31323"
2019-06-07,"25015"
2019-06-08,"23491"
2019-06-09,"23724"
2019-06-10,"30315"
2019-06-11,"33595"
2019-06-12,"32310"
2019-06-13,"31730"
2019-06-14,"26322"
2019-06-15,"23747"
2019-06-16,"30511"
2019-06-17,"30685"
2019-06-18,"32433"
2019-06-19,"33205"
2019-06-20,"31805"
2019-06-21,"25130"
2019-06-22,"24136"
2019-06-23,"33360"
2019-06-24,"34466"
2019-06-25,"31594"
2019-06-26,"32807"
2019-06-27,"31731"
2019-06-28,"26593"
2019-06-29,"24430"
2019-06-30,"30216"
2019-07-01,"31182"
2019-07-02,"33090"
2019-07-03,"32312"
2019-07-04,"30672"
2019-07-05,"24540"
2019-07-06,"24724"
2019-07-07,"28368"
2019-07-08,"29575"
2019-07-09,"29837"
2019-07-10,"28524"
2019-07-11,"27454"
2019-07-12,"22909"
2019-07-13,"21960"
2019-07-14,"27178"
2019-07-15,"28243"
2019-07-16,"28984"
2019-07-17,"28601"
2019-07-18,"28324"
2019-07-19,"22364"
2019-07-20,"20289"
2019-07-21,"25908"
2019-07-22,"28430"
2019-07-23,"28395"
2019-07-24,"29222"
2019-07-25,"28856"
2019-07-26,"22707"
2019-07-27,"21828"
2019-07-28,"25587"
2019-07-29,"26768"
2019-07-30,"26282"
2019-07-31,"26840"
2019-08-01,"25565"
2019-08-02,"22211"
2019-08-03,"20492"
2019-08-04,"24615"
2019-08-05,"26031"
2019-08-06,"25979"
2019-08-07,"26467"
2019-08-08,"25721"
2019-08-09,"22682"
2019-08-10,"21508"
2019-08-11,"26215"
2019-08-12,"27446"
2019-08-13,"26652"
2019-08-14,"27319"
2019-08-15,"26070"
2019-08-16,"22054"
2019-08-17,"21604"
2019-08-18,"27301"
2019-08-19,"28417"
2019-08-20,"27574"
2019-08-21,"28214"
2019-08-22,"28723"
2019-08-23,"23600"
2019-08-24,"22735"
2019-08-25,"27923"
2019-08-26,"29141"
2019-08-27,"30047"
2019-08-28,"30512"
2019-08-29,"30562"
2019-08-30,"24878"
2019-08-31,"23730"
2019-09-01,"30501"
2019-09-02,"28956"
2019-09-03,"29133"
2019-09-04,"30673"
2019-09-05,"30400"
2019-09-06,"24544"
2019-09-07,"22648"
2019-09-08,"29582"
2019-09-09,"29289"
2019-09-10,"30796"
2019-09-11,"30778"
2019-09-12,"30572"
2019-09-13,"25999"
2019-09-14,"23855"
2019-09-15,"28797"
2019-09-16,"31223"
2019-09-17,"30218"
2019-09-18,"30883"
2019-09-19,"31145"
2019-09-20,"25257"
2019-09-21,"24601"
2019-09-22,"29963"
2019-09-23,"30684"
2019-09-24,"31594"
2019-09-25,"32596"
2019-09-26,"32694"
2019-09-27,"26664"
2019-09-28,"25363"
2019-09-29,"29815"
2019-09-30,"33453"
2019-10-01,"30736"
2019-10-02,"31505"
2019-10-03,"31959"
2019-10-04,"26385"
2019-10-05,"24995"
2019-10-06,"30085"
2019-10-07,"30701"
2019-10-08,"31593"
2019-10-09,"33403"
2019-10-10,"31515"
2019-10-11,"26775"
2019-10-12,"25304"
2019-10-13,"30537"
2019-10-14,"30794"
2019-10-15,"31760"
2019-10-16,"30250"
2019-10-17,"30608"
2019-10-18,"25494"
2019-10-19,"23142"
2019-10-20,"28174"
2019-10-21,"29086"
2019-10-22,"29345"
2019-10-23,"29624"
2019-10-24,"29786"
2019-10-25,"26122"
2019-10-26,"26273"
2019-10-27,"29696"
2019-10-28,"30530"
2019-10-29,"31987"
2019-10-30,"31091"
2019-10-31,"31792"
2019-11-01,"25983"
2019-11-02,"24385"
2019-11-03,"29393"
2019-11-04,"33609"
2019-11-05,"32995"
2019-11-06,"32420"
2019-11-07,"31901"
2019-11-08,"25889"
2019-11-09,"25392"
2019-11-10,"30122"
2019-11-11,"30573"
2019-11-12,"32603"
2019-11-13,"32549"
2019-11-14,"31614"
2019-11-15,"26940"
2019-11-16,"25497"
2019-11-17,"29502"
2019-11-18,"30974"
2019-11-19,"31055"
2019-11-20,"30694"
2019-11-21,"30931"
2019-11-22,"25894"
2019-11-23,"23998"
2019-11-24,"29922"
2019-11-25,"30397"
2019-11-26,"32396"
2019-11-27,"31751"
2019-11-28,"31742"
2019-11-29,"25402"
2019-11-30,"25303"
2019-12-01,"29279"
2019-12-02,"30778"
2019-12-03,"30413"
2019-12-04,"32930"
2019-12-05,"30693"
2019-12-06,"25905"
2019-12-07,"24471"
2019-12-08,"28892"
2019-12-09,"30919"
2019-12-10,"31192"
2019-12-11,"31028"
2019-12-12,"31694"
2019-12-13,"26188"
2019-12-14,"26879"
2019-12-15,"29537"
2019-12-16,"30732"
2019-12-17,"32585"
2019-12-18,"30569"
2019-12-19,"31548"
2019-12-20,"26334"
2019-12-21,"23579"
2019-12-22,"27534"
2019-12-23,"28985"
2019-12-24,"21525"
2019-12-25,"19269"
2019-12-26,"24455"
2019-12-27,"22935"
2019-12-28,"23151"
2019-12-29,"27834"
2019-12-30,"31610"
2019-12-31,"26885"
2020-01-01,"26095"
2020-01-02,"27112"
2020-01-03,"22916"
2020-01-04,"22467"
2020-01-05,"28426"
2020-01-06,"28541"
2020-01-07,"28654"
2020-01-08,"29957"
2020-01-09,"30720"
2020-01-10,"26139"
2020-01-11,"24605"
2020-01-12,"28702"
2020-01-13,"30542"
2020-01-14,"29753"
2020-01-15,"30895"
2020-01-16,"30273"
2020-01-17,"25754"
2020-01-18,"23217"
2020-01-19,"29478"
2020-01-20,"29405"
2020-01-21,"30151"
2020-01-22,"31320"
2020-01-23,"29573"
2020-01-24,"25244"
2020-01-25,"23321"
2020-01-26,"27480"
2020-01-27,"29784"
2020-01-28,"30206"
2020-01-29,"31372"
2020-01-30,"29545"
2020-01-31,"25872"
2020-02-01,"24235"
2020-02-02,"28833"
2020-02-03,"29503"
2020-02-04,"28264"
2020-02-05,"30243"
2020-02-06,"29937"
2020-02-07,"26395"
2020-02-08,"26080"
2020-02-09,"27664"
2020-02-10,"29271"
2020-02-11,"30838"
2020-02-12,"30704"
2020-02-13,"31617"
2020-02-14,"24749"
2020-02-15,"23654"
2020-02-16,"27272"
2020-02-17,"28663"
2020-02-18,"28834"
2020-02-19,"30381"
2020-02-20,"29219"
2020-02-21,"24334"
2020-02-22,"23646"
2020-02-23,"27248"
2020-02-24,"27373"
2020-02-25,"28293"
2020-02-26,"30496"
2020-02-27,"28908"
2020-02-28,"24997"
2020-02-29,"25302"
2020-03-01,"28737"
2020-03-02,"29016"
2020-03-03,"31094"
2020-03-04,"30376"
2020-03-05,"30320"
2020-03-06,"26078"
2020-03-07,"25101"
2020-03-08,"29231"
2020-03-09,"30370"
2020-03-10,"31542"
2020-03-11,"35414"
2020-03-12,"37667"
2020-03-13,"30636"
2020-03-14,"34887"
2020-03-15,"37858"
2020-03-16,"37727"
2020-03-17,"38430"
2020-03-18,"38705"
2020-03-19,"39662"
2020-03-20,"34200"
2020-03-21,"34266"
2020-03-22,"37268"
2020-03-23,"36515"
2020-03-24,"36170"
2020-03-25,"35699"
2020-03-26,"36281"
2020-03-27,"31255"
2020-03-28,"28977"
2020-03-29,"34088"
2020-03-30,"36315"
2020-03-31,"35525"
2020-04-01,"35415"
2020-04-02,"34859"
2020-04-03,"29181"
2020-04-04,"27324"
2020-04-05,"32015"
2020-04-06,"33979"
2020-04-07,"33567"
2020-04-08,"34767"
2020-04-09,"34010"
2020-04-10,"28369"
2020-04-11,"27172"
2020-04-12,"27137"
2020-04-13,"31507"
2020-04-14,"32880"
2020-04-15,"33717"
2020-04-16,"33178"
2020-04-17,"29177"
2020-04-18,"27100"
2020-04-19,"32086"
