startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",46572
"2018-01-02T00:00:00","2018-01-03T00:00:00",54116
"2018-01-03T00:00:00","2018-01-04T00:00:00",66645
"2018-01-04T00:00:00","2018-01-05T00:00:00",71842
"2018-01-05T00:00:00","2018-01-06T00:00:00",63216
"2018-01-06T00:00:00","2018-01-07T00:00:00",60516
"2018-01-07T00:00:00","2018-01-08T00:00:00",57214
"2018-01-08T00:00:00","2018-01-09T00:00:00",62825
"2018-01-09T00:00:00","2018-01-10T00:00:00",66696
"2018-01-10T00:00:00","2018-01-11T00:00:00",61784
"2018-01-11T00:00:00","2018-01-12T00:00:00",59152
"2018-01-12T00:00:00","2018-01-13T00:00:00",63287
"2018-01-13T00:00:00","2018-01-14T00:00:00",52857
"2018-01-14T00:00:00","2018-01-15T00:00:00",58604
"2018-01-15T00:00:00","2018-01-16T00:00:00",59154
"2018-01-16T00:00:00","2018-01-17T00:00:00",57174
"2018-01-17T00:00:00","2018-01-18T00:00:00",59357
"2018-01-18T00:00:00","2018-01-19T00:00:00",58270
"2018-01-19T00:00:00","2018-01-20T00:00:00",61125
"2018-01-20T00:00:00","2018-01-21T00:00:00",55460
"2018-01-21T00:00:00","2018-01-22T00:00:00",57181
"2018-01-22T00:00:00","2018-01-23T00:00:00",63273
"2018-01-23T00:00:00","2018-01-24T00:00:00",63583
"2018-01-24T00:00:00","2018-01-25T00:00:00",62890
"2018-01-25T00:00:00","2018-01-26T00:00:00",63151
"2018-01-26T00:00:00","2018-01-27T00:00:00",55628
"2018-01-27T00:00:00","2018-01-28T00:00:00",44466
"2018-01-28T00:00:00","2018-01-29T00:00:00",45502
"2018-01-29T00:00:00","2018-01-30T00:00:00",71916
"2018-01-30T00:00:00","2018-01-31T00:00:00",59458
"2018-01-31T00:00:00","2018-02-01T00:00:00",62537
"2018-02-01T00:00:00","2018-02-02T00:00:00",61799
"2018-02-02T00:00:00","2018-02-03T00:00:00",59730
"2018-02-03T00:00:00","2018-02-04T00:00:00",50301
"2018-02-04T00:00:00","2018-02-05T00:00:00",50553
"2018-02-05T00:00:00","2018-02-06T00:00:00",79495
"2018-02-06T00:00:00","2018-02-07T00:00:00",58529
"2018-02-07T00:00:00","2018-02-08T00:00:00",65518
"2018-02-08T00:00:00","2018-02-09T00:00:00",65599
"2018-02-09T00:00:00","2018-02-10T00:00:00",60333
"2018-02-10T00:00:00","2018-02-11T00:00:00",51557
"2018-02-11T00:00:00","2018-02-12T00:00:00",50037
"2018-02-12T00:00:00","2018-02-13T00:00:00",58369
"2018-02-13T00:00:00","2018-02-14T00:00:00",62195
"2018-02-14T00:00:00","2018-02-15T00:00:00",57112
"2018-02-15T00:00:00","2018-02-16T00:00:00",62420
"2018-02-16T00:00:00","2018-02-17T00:00:00",63468
"2018-02-17T00:00:00","2018-02-18T00:00:00",45968
"2018-02-18T00:00:00","2018-02-19T00:00:00",50578
"2018-02-19T00:00:00","2018-02-20T00:00:00",55020
"2018-02-20T00:00:00","2018-02-21T00:00:00",57954
"2018-02-21T00:00:00","2018-02-22T00:00:00",60764
"2018-02-22T00:00:00","2018-02-23T00:00:00",67559
"2018-02-23T00:00:00","2018-02-24T00:00:00",62393
"2018-02-24T00:00:00","2018-02-25T00:00:00",51731
"2018-02-25T00:00:00","2018-02-26T00:00:00",52654
"2018-02-26T00:00:00","2018-02-27T00:00:00",59523
"2018-02-27T00:00:00","2018-02-28T00:00:00",58723
"2018-02-28T00:00:00","2018-03-01T00:00:00",57886
"2018-03-01T00:00:00","2018-03-02T00:00:00",63467
"2018-03-02T00:00:00","2018-03-03T00:00:00",66772
"2018-03-03T00:00:00","2018-03-04T00:00:00",48347
"2018-03-04T00:00:00","2018-03-05T00:00:00",49939
"2018-03-05T00:00:00","2018-03-06T00:00:00",61289
"2018-03-06T00:00:00","2018-03-07T00:00:00",60948
"2018-03-07T00:00:00","2018-03-08T00:00:00",67280
"2018-03-08T00:00:00","2018-03-09T00:00:00",63587
"2018-03-09T00:00:00","2018-03-10T00:00:00",59196
"2018-03-10T00:00:00","2018-03-11T00:00:00",50669
"2018-03-11T00:00:00","2018-03-12T00:00:00",50359
"2018-03-12T00:00:00","2018-03-13T00:00:00",55950
"2018-03-13T00:00:00","2018-03-14T00:00:00",61609
"2018-03-14T00:00:00","2018-03-15T00:00:00",63511
"2018-03-15T00:00:00","2018-03-16T00:00:00",62494
"2018-03-16T00:00:00","2018-03-17T00:00:00",58043
"2018-03-17T00:00:00","2018-03-18T00:00:00",48040
"2018-03-18T00:00:00","2018-03-19T00:00:00",47149
"2018-03-19T00:00:00","2018-03-20T00:00:00",56612
"2018-03-20T00:00:00","2018-03-21T00:00:00",61468
"2018-03-21T00:00:00","2018-03-22T00:00:00",70802
"2018-03-22T00:00:00","2018-03-23T00:00:00",64491
"2018-03-23T00:00:00","2018-03-24T00:00:00",57122
"2018-03-24T00:00:00","2018-03-25T00:00:00",45399
"2018-03-25T00:00:00","2018-03-26T00:00:00",47537
"2018-03-26T00:00:00","2018-03-27T00:00:00",56561
"2018-03-27T00:00:00","2018-03-28T00:00:00",58450
"2018-03-28T00:00:00","2018-03-29T00:00:00",56591
"2018-03-29T00:00:00","2018-03-30T00:00:00",58354
"2018-03-30T00:00:00","2018-03-31T00:00:00",58654
"2018-03-31T00:00:00","2018-04-01T00:00:00",50307
"2018-04-01T00:00:00","2018-04-02T00:00:00",46417
"2018-04-02T00:00:00","2018-04-03T00:00:00",58930
"2018-04-03T00:00:00","2018-04-04T00:00:00",59016
"2018-04-04T00:00:00","2018-04-05T00:00:00",63890
"2018-04-05T00:00:00","2018-04-06T00:00:00",59483
"2018-04-06T00:00:00","2018-04-07T00:00:00",56468
"2018-04-07T00:00:00","2018-04-08T00:00:00",50122
"2018-04-08T00:00:00","2018-04-09T00:00:00",49547
"2018-04-09T00:00:00","2018-04-10T00:00:00",64055
"2018-04-10T00:00:00","2018-04-11T00:00:00",62349
"2018-04-11T00:00:00","2018-04-12T00:00:00",59967
"2018-04-12T00:00:00","2018-04-13T00:00:00",67948
"2018-04-13T00:00:00","2018-04-14T00:00:00",57002
"2018-04-14T00:00:00","2018-04-15T00:00:00",50415
"2018-04-15T00:00:00","2018-04-16T00:00:00",54230
"2018-04-16T00:00:00","2018-04-17T00:00:00",61275
"2018-04-17T00:00:00","2018-04-18T00:00:00",59656
"2018-04-18T00:00:00","2018-04-19T00:00:00",59489
"2018-04-19T00:00:00","2018-04-20T00:00:00",61728
"2018-04-20T00:00:00","2018-04-21T00:00:00",63697
"2018-04-21T00:00:00","2018-04-22T00:00:00",47842
"2018-04-22T00:00:00","2018-04-23T00:00:00",47002
"2018-04-23T00:00:00","2018-04-24T00:00:00",51323
"2018-04-24T00:00:00","2018-04-25T00:00:00",62313
"2018-04-25T00:00:00","2018-04-26T00:00:00",63407
"2018-04-26T00:00:00","2018-04-27T00:00:00",73376
"2018-04-27T00:00:00","2018-04-28T00:00:00",67680
"2018-04-28T00:00:00","2018-04-29T00:00:00",55747
"2018-04-29T00:00:00","2018-04-30T00:00:00",51923
"2018-04-30T00:00:00","2018-05-01T00:00:00",62227
"2018-05-01T00:00:00","2018-05-02T00:00:00",61374
"2018-05-02T00:00:00","2018-05-03T00:00:00",67205
"2018-05-03T00:00:00","2018-05-04T00:00:00",65230
"2018-05-04T00:00:00","2018-05-05T00:00:00",58515
"2018-05-05T00:00:00","2018-05-06T00:00:00",50798
"2018-05-06T00:00:00","2018-05-07T00:00:00",51869
"2018-05-07T00:00:00","2018-05-08T00:00:00",56142
"2018-05-08T00:00:00","2018-05-09T00:00:00",58849
"2018-05-09T00:00:00","2018-05-10T00:00:00",58817
"2018-05-10T00:00:00","2018-05-11T00:00:00",62385
"2018-05-11T00:00:00","2018-05-12T00:00:00",60344
"2018-05-12T00:00:00","2018-05-13T00:00:00",50762
"2018-05-13T00:00:00","2018-05-14T00:00:00",42592
"2018-05-14T00:00:00","2018-05-15T00:00:00",51771
"2018-05-15T00:00:00","2018-05-16T00:00:00",63000
"2018-05-16T00:00:00","2018-05-17T00:00:00",69126
"2018-05-17T00:00:00","2018-05-18T00:00:00",63193
"2018-05-18T00:00:00","2018-05-19T00:00:00",62976
"2018-05-19T00:00:00","2018-05-20T00:00:00",51113
"2018-05-20T00:00:00","2018-05-21T00:00:00",47011
"2018-05-21T00:00:00","2018-05-22T00:00:00",55444
