startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",24233
"2018-01-02T00:00:00","2018-01-03T00:00:00",28493
"2018-01-03T00:00:00","2018-01-04T00:00:00",32257
"2018-01-04T00:00:00","2018-01-05T00:00:00",36125
"2018-01-05T00:00:00","2018-01-06T00:00:00",32413
"2018-01-06T00:00:00","2018-01-07T00:00:00",26409
"2018-01-07T00:00:00","2018-01-08T00:00:00",25043
"2018-01-08T00:00:00","2018-01-09T00:00:00",29422
"2018-01-09T00:00:00","2018-01-10T00:00:00",32150
"2018-01-10T00:00:00","2018-01-11T00:00:00",26218
"2018-01-11T00:00:00","2018-01-12T00:00:00",30465
"2018-01-12T00:00:00","2018-01-13T00:00:00",31759
"2018-01-13T00:00:00","2018-01-14T00:00:00",23133
"2018-01-14T00:00:00","2018-01-15T00:00:00",24962
"2018-01-15T00:00:00","2018-01-16T00:00:00",24592
"2018-01-16T00:00:00","2018-01-17T00:00:00",28658
"2018-01-17T00:00:00","2018-01-18T00:00:00",31883
"2018-01-18T00:00:00","2018-01-19T00:00:00",29461
"2018-01-19T00:00:00","2018-01-20T00:00:00",30120
"2018-01-20T00:00:00","2018-01-21T00:00:00",26068
"2018-01-21T00:00:00","2018-01-22T00:00:00",25032
"2018-01-22T00:00:00","2018-01-23T00:00:00",27507
"2018-01-23T00:00:00","2018-01-24T00:00:00",34359
"2018-01-24T00:00:00","2018-01-25T00:00:00",31666
"2018-01-25T00:00:00","2018-01-26T00:00:00",29017
"2018-01-26T00:00:00","2018-01-27T00:00:00",28176
"2018-01-27T00:00:00","2018-01-28T00:00:00",23425
"2018-01-28T00:00:00","2018-01-29T00:00:00",22166
"2018-01-29T00:00:00","2018-01-30T00:00:00",28766
"2018-01-30T00:00:00","2018-01-31T00:00:00",30284
"2018-01-31T00:00:00","2018-02-01T00:00:00",33631
"2018-02-01T00:00:00","2018-02-02T00:00:00",30236
"2018-02-02T00:00:00","2018-02-03T00:00:00",31900
"2018-02-03T00:00:00","2018-02-04T00:00:00",24368
"2018-02-04T00:00:00","2018-02-05T00:00:00",24728
"2018-02-05T00:00:00","2018-02-06T00:00:00",35858
"2018-02-06T00:00:00","2018-02-07T00:00:00",30782
"2018-02-07T00:00:00","2018-02-08T00:00:00",35454
"2018-02-08T00:00:00","2018-02-09T00:00:00",29587
"2018-02-09T00:00:00","2018-02-10T00:00:00",25049
"2018-02-10T00:00:00","2018-02-11T00:00:00",23656
"2018-02-11T00:00:00","2018-02-12T00:00:00",22219
"2018-02-12T00:00:00","2018-02-13T00:00:00",24834
"2018-02-13T00:00:00","2018-02-14T00:00:00",27578
"2018-02-14T00:00:00","2018-02-15T00:00:00",29245
"2018-02-15T00:00:00","2018-02-16T00:00:00",33242
"2018-02-16T00:00:00","2018-02-17T00:00:00",36195
"2018-02-17T00:00:00","2018-02-18T00:00:00",24802
"2018-02-18T00:00:00","2018-02-19T00:00:00",25170
"2018-02-19T00:00:00","2018-02-20T00:00:00",28740
"2018-02-20T00:00:00","2018-02-21T00:00:00",27883
"2018-02-21T00:00:00","2018-02-22T00:00:00",30530
"2018-02-22T00:00:00","2018-02-23T00:00:00",34084
"2018-02-23T00:00:00","2018-02-24T00:00:00",34457
"2018-02-24T00:00:00","2018-02-25T00:00:00",23940
"2018-02-25T00:00:00","2018-02-26T00:00:00",22329
"2018-02-26T00:00:00","2018-02-27T00:00:00",27293
"2018-02-27T00:00:00","2018-02-28T00:00:00",32024
"2018-02-28T00:00:00","2018-03-01T00:00:00",30474
"2018-03-01T00:00:00","2018-03-02T00:00:00",29101
"2018-03-02T00:00:00","2018-03-03T00:00:00",32238
"2018-03-03T00:00:00","2018-03-04T00:00:00",27135
"2018-03-04T00:00:00","2018-03-05T00:00:00",25287
"2018-03-05T00:00:00","2018-03-06T00:00:00",29016
"2018-03-06T00:00:00","2018-03-07T00:00:00",30582
"2018-03-07T00:00:00","2018-03-08T00:00:00",38301
"2018-03-08T00:00:00","2018-03-09T00:00:00",30953
"2018-03-09T00:00:00","2018-03-10T00:00:00",28550
"2018-03-10T00:00:00","2018-03-11T00:00:00",23236
"2018-03-11T00:00:00","2018-03-12T00:00:00",23589
"2018-03-12T00:00:00","2018-03-13T00:00:00",29649
"2018-03-13T00:00:00","2018-03-14T00:00:00",34988
"2018-03-14T00:00:00","2018-03-15T00:00:00",31368
"2018-03-15T00:00:00","2018-03-16T00:00:00",30612
"2018-03-16T00:00:00","2018-03-17T00:00:00",31243
"2018-03-17T00:00:00","2018-03-18T00:00:00",27759
"2018-03-18T00:00:00","2018-03-19T00:00:00",24245
"2018-03-19T00:00:00","2018-03-20T00:00:00",26129
"2018-03-20T00:00:00","2018-03-21T00:00:00",31031
"2018-03-21T00:00:00","2018-03-22T00:00:00",37715
"2018-03-22T00:00:00","2018-03-23T00:00:00",33141
"2018-03-23T00:00:00","2018-03-24T00:00:00",32934
"2018-03-24T00:00:00","2018-03-25T00:00:00",24531
"2018-03-25T00:00:00","2018-03-26T00:00:00",22414
"2018-03-26T00:00:00","2018-03-27T00:00:00",28549
"2018-03-27T00:00:00","2018-03-28T00:00:00",28912
"2018-03-28T00:00:00","2018-03-29T00:00:00",29060
"2018-03-29T00:00:00","2018-03-30T00:00:00",28312
"2018-03-30T00:00:00","2018-03-31T00:00:00",26768
"2018-03-31T00:00:00","2018-04-01T00:00:00",22583
"2018-04-01T00:00:00","2018-04-02T00:00:00",22408
"2018-04-02T00:00:00","2018-04-03T00:00:00",25476
"2018-04-03T00:00:00","2018-04-04T00:00:00",31783
"2018-04-04T00:00:00","2018-04-05T00:00:00",32701
"2018-04-05T00:00:00","2018-04-06T00:00:00",31365
"2018-04-06T00:00:00","2018-04-07T00:00:00",30103
"2018-04-07T00:00:00","2018-04-08T00:00:00",23052
"2018-04-08T00:00:00","2018-04-09T00:00:00",26395
"2018-04-09T00:00:00","2018-04-10T00:00:00",31445
"2018-04-10T00:00:00","2018-04-11T00:00:00",31777
"2018-04-11T00:00:00","2018-04-12T00:00:00",32690
"2018-04-12T00:00:00","2018-04-13T00:00:00",29584
"2018-04-13T00:00:00","2018-04-14T00:00:00",33109
"2018-04-14T00:00:00","2018-04-15T00:00:00",31038
"2018-04-15T00:00:00","2018-04-16T00:00:00",25513
"2018-04-16T00:00:00","2018-04-17T00:00:00",30603
"2018-04-17T00:00:00","2018-04-18T00:00:00",32216
"2018-04-18T00:00:00","2018-04-19T00:00:00",29313
"2018-04-19T00:00:00","2018-04-20T00:00:00",30209
"2018-04-20T00:00:00","2018-04-21T00:00:00",27732
"2018-04-21T00:00:00","2018-04-22T00:00:00",22779
"2018-04-22T00:00:00","2018-04-23T00:00:00",21370
"2018-04-23T00:00:00","2018-04-24T00:00:00",28334
"2018-04-24T00:00:00","2018-04-25T00:00:00",29913
"2018-04-25T00:00:00","2018-04-26T00:00:00",32185
"2018-04-26T00:00:00","2018-04-27T00:00:00",35138
"2018-04-27T00:00:00","2018-04-28T00:00:00",31539
"2018-04-28T00:00:00","2018-04-29T00:00:00",23994
"2018-04-29T00:00:00","2018-04-30T00:00:00",24795
