startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",217509
"2018-01-02T00:00:00","2018-01-03T00:00:00",179295
"2018-01-03T00:00:00","2018-01-04T00:00:00",182153
"2018-01-04T00:00:00","2018-01-05T00:00:00",201958
"2018-01-05T00:00:00","2018-01-06T00:00:00",185894
"2018-01-06T00:00:00","2018-01-07T00:00:00",170467
"2018-01-07T00:00:00","2018-01-08T00:00:00",168569
"2018-01-08T00:00:00","2018-01-09T00:00:00",203537
"2018-01-09T00:00:00","2018-01-10T00:00:00",195296
"2018-01-10T00:00:00","2018-01-11T00:00:00",180459
"2018-01-11T00:00:00","2018-01-12T00:00:00",182052
"2018-01-12T00:00:00","2018-01-13T00:00:00",185950
"2018-01-13T00:00:00","2018-01-14T00:00:00",155336
"2018-01-14T00:00:00","2018-01-15T00:00:00",158389
"2018-01-15T00:00:00","2018-01-16T00:00:00",167492
"2018-01-16T00:00:00","2018-01-17T00:00:00",177354
"2018-01-17T00:00:00","2018-01-18T00:00:00",177485
"2018-01-18T00:00:00","2018-01-19T00:00:00",179154
"2018-01-19T00:00:00","2018-01-20T00:00:00",188455
"2018-01-20T00:00:00","2018-01-21T00:00:00",159343
"2018-01-21T00:00:00","2018-01-22T00:00:00",158621
"2018-01-22T00:00:00","2018-01-23T00:00:00",186502
"2018-01-23T00:00:00","2018-01-24T00:00:00",191882
"2018-01-24T00:00:00","2018-01-25T00:00:00",179812
"2018-01-25T00:00:00","2018-01-26T00:00:00",181265
"2018-01-26T00:00:00","2018-01-27T00:00:00",181008
"2018-01-27T00:00:00","2018-01-28T00:00:00",155602
"2018-01-28T00:00:00","2018-01-29T00:00:00",158439
"2018-01-29T00:00:00","2018-01-30T00:00:00",216475
"2018-01-30T00:00:00","2018-01-31T00:00:00",178671
"2018-01-31T00:00:00","2018-02-01T00:00:00",201145
"2018-02-01T00:00:00","2018-02-02T00:00:00",183922
"2018-02-02T00:00:00","2018-02-03T00:00:00",187628
"2018-02-03T00:00:00","2018-02-04T00:00:00",152647
"2018-02-04T00:00:00","2018-02-05T00:00:00",160856
"2018-02-05T00:00:00","2018-02-06T00:00:00",246443
"2018-02-06T00:00:00","2018-02-07T00:00:00",181223
"2018-02-07T00:00:00","2018-02-08T00:00:00",188734
"2018-02-08T00:00:00","2018-02-09T00:00:00",188130
"2018-02-09T00:00:00","2018-02-10T00:00:00",179425
"2018-02-10T00:00:00","2018-02-11T00:00:00",151881
"2018-02-11T00:00:00","2018-02-12T00:00:00",150225
"2018-02-12T00:00:00","2018-02-13T00:00:00",168748
"2018-02-13T00:00:00","2018-02-14T00:00:00",183424
"2018-02-14T00:00:00","2018-02-15T00:00:00",217578
"2018-02-15T00:00:00","2018-02-16T00:00:00",177896
"2018-02-16T00:00:00","2018-02-17T00:00:00",179596
"2018-02-17T00:00:00","2018-02-18T00:00:00",154656
"2018-02-18T00:00:00","2018-02-19T00:00:00",156555
"2018-02-19T00:00:00","2018-02-20T00:00:00",168684
"2018-02-20T00:00:00","2018-02-21T00:00:00",174992
"2018-02-21T00:00:00","2018-02-22T00:00:00",184733
"2018-02-22T00:00:00","2018-02-23T00:00:00",184342
"2018-02-23T00:00:00","2018-02-24T00:00:00",188215
"2018-02-24T00:00:00","2018-02-25T00:00:00",157417
"2018-02-25T00:00:00","2018-02-26T00:00:00",155060
"2018-02-26T00:00:00","2018-02-27T00:00:00",177158
"2018-02-27T00:00:00","2018-02-28T00:00:00",184302
"2018-02-28T00:00:00","2018-03-01T00:00:00",187071
"2018-03-01T00:00:00","2018-03-02T00:00:00",189011
"2018-03-02T00:00:00","2018-03-03T00:00:00",188905
"2018-03-03T00:00:00","2018-03-04T00:00:00",161419
"2018-03-04T00:00:00","2018-03-05T00:00:00",157263
"2018-03-05T00:00:00","2018-03-06T00:00:00",217429
"2018-03-06T00:00:00","2018-03-07T00:00:00",179156
"2018-03-07T00:00:00","2018-03-08T00:00:00",198188
"2018-03-08T00:00:00","2018-03-09T00:00:00",207191
"2018-03-09T00:00:00","2018-03-10T00:00:00",187273
"2018-03-10T00:00:00","2018-03-11T00:00:00",153308
"2018-03-11T00:00:00","2018-03-12T00:00:00",153100
"2018-03-12T00:00:00","2018-03-13T00:00:00",178234
"2018-03-13T00:00:00","2018-03-14T00:00:00",186653
"2018-03-14T00:00:00","2018-03-15T00:00:00",200990
"2018-03-15T00:00:00","2018-03-16T00:00:00",185241
"2018-03-16T00:00:00","2018-03-17T00:00:00",188185
"2018-03-17T00:00:00","2018-03-18T00:00:00",166684
"2018-03-18T00:00:00","2018-03-19T00:00:00",155960
"2018-03-19T00:00:00","2018-03-20T00:00:00",165890
"2018-03-20T00:00:00","2018-03-21T00:00:00",184702
"2018-03-21T00:00:00","2018-03-22T00:00:00",202611
"2018-03-22T00:00:00","2018-03-23T00:00:00",191084
"2018-03-23T00:00:00","2018-03-24T00:00:00",182439
"2018-03-24T00:00:00","2018-03-25T00:00:00",156020
"2018-03-25T00:00:00","2018-03-26T00:00:00",143728
"2018-03-26T00:00:00","2018-03-27T00:00:00",172564
"2018-03-27T00:00:00","2018-03-28T00:00:00",181064
"2018-03-28T00:00:00","2018-03-29T00:00:00",181382
"2018-03-29T00:00:00","2018-03-30T00:00:00",192567
"2018-03-30T00:00:00","2018-03-31T00:00:00",191456
"2018-03-31T00:00:00","2018-04-01T00:00:00",153866
"2018-04-01T00:00:00","2018-04-02T00:00:00",160833
"2018-04-02T00:00:00","2018-04-03T00:00:00",169262
"2018-04-03T00:00:00","2018-04-04T00:00:00",176488
"2018-04-04T00:00:00","2018-04-05T00:00:00",188862
"2018-04-05T00:00:00","2018-04-06T00:00:00",176584
"2018-04-06T00:00:00","2018-04-07T00:00:00",173822
"2018-04-07T00:00:00","2018-04-08T00:00:00",163134
"2018-04-08T00:00:00","2018-04-09T00:00:00",152737
"2018-04-09T00:00:00","2018-04-10T00:00:00",190111
"2018-04-10T00:00:00","2018-04-11T00:00:00",183571
"2018-04-11T00:00:00","2018-04-12T00:00:00",181273
"2018-04-12T00:00:00","2018-04-13T00:00:00",194106
"2018-04-13T00:00:00","2018-04-14T00:00:00",186036
"2018-04-14T00:00:00","2018-04-15T00:00:00",151825
"2018-04-15T00:00:00","2018-04-16T00:00:00",168505
"2018-04-16T00:00:00","2018-04-17T00:00:00",169203
"2018-04-17T00:00:00","2018-04-18T00:00:00",186666
"2018-04-18T00:00:00","2018-04-19T00:00:00",189199
"2018-04-19T00:00:00","2018-04-20T00:00:00",190426
"2018-04-20T00:00:00","2018-04-21T00:00:00",191597
"2018-04-21T00:00:00","2018-04-22T00:00:00",153174
"2018-04-22T00:00:00","2018-04-23T00:00:00",153020
"2018-04-23T00:00:00","2018-04-24T00:00:00",167042
"2018-04-24T00:00:00","2018-04-25T00:00:00",189212
"2018-04-25T00:00:00","2018-04-26T00:00:00",196968
"2018-04-26T00:00:00","2018-04-27T00:00:00",200016
"2018-04-27T00:00:00","2018-04-28T00:00:00",209603
"2018-04-28T00:00:00","2018-04-29T00:00:00",166037
"2018-04-29T00:00:00","2018-04-30T00:00:00",156351
"2018-04-30T00:00:00","2018-05-01T00:00:00",170727
"2018-05-01T00:00:00","2018-05-02T00:00:00",190401
"2018-05-02T00:00:00","2018-05-03T00:00:00",189276
"2018-05-03T00:00:00","2018-05-04T00:00:00",195108
"2018-05-04T00:00:00","2018-05-05T00:00:00",186698
"2018-05-05T00:00:00","2018-05-06T00:00:00",155436
"2018-05-06T00:00:00","2018-05-07T00:00:00",156397
"2018-05-07T00:00:00","2018-05-08T00:00:00",175586
"2018-05-08T00:00:00","2018-05-09T00:00:00",197100
"2018-05-09T00:00:00","2018-05-10T00:00:00",181784
"2018-05-10T00:00:00","2018-05-11T00:00:00",185393
"2018-05-11T00:00:00","2018-05-12T00:00:00",181236
"2018-05-12T00:00:00","2018-05-13T00:00:00",158271
"2018-05-13T00:00:00","2018-05-14T00:00:00",168034
"2018-05-14T00:00:00","2018-05-15T00:00:00",169312
"2018-05-15T00:00:00","2018-05-16T00:00:00",184819
"2018-05-16T00:00:00","2018-05-17T00:00:00",191694
"2018-05-17T00:00:00","2018-05-18T00:00:00",186495
"2018-05-18T00:00:00","2018-05-19T00:00:00",174109
"2018-05-19T00:00:00","2018-05-20T00:00:00",164338
"2018-05-20T00:00:00","2018-05-21T00:00:00",149644
"2018-05-21T00:00:00","2018-05-22T00:00:00",176477
"2018-05-22T00:00:00","2018-05-23T00:00:00",176278
"2018-05-23T00:00:00","2018-05-24T00:00:00",181355
"2018-05-24T00:00:00","2018-05-25T00:00:00",186826
"2018-05-25T00:00:00","2018-05-26T00:00:00",175397
"2018-05-26T00:00:00","2018-05-27T00:00:00",153796
"2018-05-27T00:00:00","2018-05-28T00:00:00",136537
"2018-05-28T00:00:00","2018-05-29T00:00:00",156824
"2018-05-29T00:00:00","2018-05-30T00:00:00",176740
"2018-05-30T00:00:00","2018-05-31T00:00:00",191861
"2018-05-31T00:00:00","2018-06-01T00:00:00",185129
"2018-06-01T00:00:00","2018-06-02T00:00:00",205932
"2018-06-02T00:00:00","2018-06-03T00:00:00",155813
"2018-06-03T00:00:00","2018-06-04T00:00:00",145743
"2018-06-04T00:00:00","2018-06-05T00:00:00",170168
"2018-06-05T00:00:00","2018-06-06T00:00:00",189386
"2018-06-06T00:00:00","2018-06-07T00:00:00",184481
"2018-06-07T00:00:00","2018-06-08T00:00:00",192439
"2018-06-08T00:00:00","2018-06-09T00:00:00",191952
"2018-06-09T00:00:00","2018-06-10T00:00:00",161169
"2018-06-10T00:00:00","2018-06-11T00:00:00",157965
"2018-06-11T00:00:00","2018-06-12T00:00:00",192620
"2018-06-12T00:00:00","2018-06-13T00:00:00",197261
"2018-06-13T00:00:00","2018-06-14T00:00:00",187772
"2018-06-14T00:00:00","2018-06-15T00:00:00",194104
"2018-06-15T00:00:00","2018-06-16T00:00:00",190461
"2018-06-16T00:00:00","2018-06-17T00:00:00",155460
"2018-06-17T00:00:00","2018-06-18T00:00:00",163892
"2018-06-18T00:00:00","2018-06-19T00:00:00",172753
"2018-06-19T00:00:00","2018-06-20T00:00:00",185034
"2018-06-20T00:00:00","2018-06-21T00:00:00",188443
"2018-06-21T00:00:00","2018-06-22T00:00:00",186335
"2018-06-22T00:00:00","2018-06-23T00:00:00",197180
"2018-06-23T00:00:00","2018-06-24T00:00:00",161841
"2018-06-24T00:00:00","2018-06-25T00:00:00",154907
"2018-06-25T00:00:00","2018-06-26T00:00:00",176642
"2018-06-26T00:00:00","2018-06-27T00:00:00",187210
"2018-06-27T00:00:00","2018-06-28T00:00:00",202455
"2018-06-28T00:00:00","2018-06-29T00:00:00",188967
"2018-06-29T00:00:00","2018-06-30T00:00:00",195224
"2018-06-30T00:00:00","2018-07-01T00:00:00",163067
"2018-07-01T00:00:00","2018-07-02T00:00:00",159762
"2018-07-02T00:00:00","2018-07-03T00:00:00",198766
"2018-07-03T00:00:00","2018-07-04T00:00:00",190860
"2018-07-04T00:00:00","2018-07-05T00:00:00",178037
"2018-07-05T00:00:00","2018-07-06T00:00:00",157996
"2018-07-06T00:00:00","2018-07-07T00:00:00",177385
"2018-07-07T00:00:00","2018-07-08T00:00:00",155958
"2018-07-08T00:00:00","2018-07-09T00:00:00",148150
"2018-07-09T00:00:00","2018-07-10T00:00:00",171878
"2018-07-10T00:00:00","2018-07-11T00:00:00",187963
"2018-07-11T00:00:00","2018-07-12T00:00:00",194992
"2018-07-12T00:00:00","2018-07-13T00:00:00",195163
"2018-07-13T00:00:00","2018-07-14T00:00:00",190450
"2018-07-14T00:00:00","2018-07-15T00:00:00",150497
"2018-07-15T00:00:00","2018-07-16T00:00:00",159137
"2018-07-16T00:00:00","2018-07-17T00:00:00",178066
"2018-07-17T00:00:00","2018-07-18T00:00:00",191413
"2018-07-18T00:00:00","2018-07-19T00:00:00",195351
"2018-07-19T00:00:00","2018-07-20T00:00:00",191438
"2018-07-20T00:00:00","2018-07-21T00:00:00",194069
"2018-07-21T00:00:00","2018-07-22T00:00:00",170146
"2018-07-22T00:00:00","2018-07-23T00:00:00",160935
"2018-07-23T00:00:00","2018-07-24T00:00:00",181825
"2018-07-24T00:00:00","2018-07-25T00:00:00",185062
"2018-07-25T00:00:00","2018-07-26T00:00:00",185780
"2018-07-26T00:00:00","2018-07-27T00:00:00",189159
"2018-07-27T00:00:00","2018-07-28T00:00:00",192978
"2018-07-28T00:00:00","2018-07-29T00:00:00",156008
"2018-07-29T00:00:00","2018-07-30T00:00:00",149808
"2018-07-30T00:00:00","2018-07-31T00:00:00",171706
