startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",74789
"2018-01-02T00:00:00","2018-01-03T00:00:00",81038
"2018-01-03T00:00:00","2018-01-04T00:00:00",86411
"2018-01-04T00:00:00","2018-01-05T00:00:00",100366
"2018-01-05T00:00:00","2018-01-06T00:00:00",91491
"2018-01-06T00:00:00","2018-01-07T00:00:00",82413
"2018-01-07T00:00:00","2018-01-08T00:00:00",84873
"2018-01-08T00:00:00","2018-01-09T00:00:00",93418
"2018-01-09T00:00:00","2018-01-10T00:00:00",90422
"2018-01-10T00:00:00","2018-01-11T00:00:00",85811
"2018-01-11T00:00:00","2018-01-12T00:00:00",84058
"2018-01-12T00:00:00","2018-01-13T00:00:00",91134
"2018-01-13T00:00:00","2018-01-14T00:00:00",75616
"2018-01-14T00:00:00","2018-01-15T00:00:00",79131
"2018-01-15T00:00:00","2018-01-16T00:00:00",80954
"2018-01-16T00:00:00","2018-01-17T00:00:00",82917
"2018-01-17T00:00:00","2018-01-18T00:00:00",89771
"2018-01-18T00:00:00","2018-01-19T00:00:00",84040
"2018-01-19T00:00:00","2018-01-20T00:00:00",88815
"2018-01-20T00:00:00","2018-01-21T00:00:00",84918
"2018-01-21T00:00:00","2018-01-22T00:00:00",76158
"2018-01-22T00:00:00","2018-01-23T00:00:00",89822
"2018-01-23T00:00:00","2018-01-24T00:00:00",92279
"2018-01-24T00:00:00","2018-01-25T00:00:00",89315
"2018-01-25T00:00:00","2018-01-26T00:00:00",85151
"2018-01-26T00:00:00","2018-01-27T00:00:00",90033
"2018-01-27T00:00:00","2018-01-28T00:00:00",66612
"2018-01-28T00:00:00","2018-01-29T00:00:00",72465
"2018-01-29T00:00:00","2018-01-30T00:00:00",100763
"2018-01-30T00:00:00","2018-01-31T00:00:00",87077
"2018-01-31T00:00:00","2018-02-01T00:00:00",98490
"2018-02-01T00:00:00","2018-02-02T00:00:00",85619
"2018-02-02T00:00:00","2018-02-03T00:00:00",87337
"2018-02-03T00:00:00","2018-02-04T00:00:00",70698
"2018-02-04T00:00:00","2018-02-05T00:00:00",76621
"2018-02-05T00:00:00","2018-02-06T00:00:00",118751
"2018-02-06T00:00:00","2018-02-07T00:00:00",83747
"2018-02-07T00:00:00","2018-02-08T00:00:00",86927
"2018-02-08T00:00:00","2018-02-09T00:00:00",90105
"2018-02-09T00:00:00","2018-02-10T00:00:00",86027
"2018-02-10T00:00:00","2018-02-11T00:00:00",70845
"2018-02-11T00:00:00","2018-02-12T00:00:00",71217
"2018-02-12T00:00:00","2018-02-13T00:00:00",82265
"2018-02-13T00:00:00","2018-02-14T00:00:00",82232
"2018-02-14T00:00:00","2018-02-15T00:00:00",88578
"2018-02-15T00:00:00","2018-02-16T00:00:00",99218
"2018-02-16T00:00:00","2018-02-17T00:00:00",93860
"2018-02-17T00:00:00","2018-02-18T00:00:00",75361
"2018-02-18T00:00:00","2018-02-19T00:00:00",77296
"2018-02-19T00:00:00","2018-02-20T00:00:00",80329
"2018-02-20T00:00:00","2018-02-21T00:00:00",92826
"2018-02-21T00:00:00","2018-02-22T00:00:00",98909
"2018-02-22T00:00:00","2018-02-23T00:00:00",98904
"2018-02-23T00:00:00","2018-02-24T00:00:00",89661
"2018-02-24T00:00:00","2018-02-25T00:00:00",75671
"2018-02-25T00:00:00","2018-02-26T00:00:00",73443
"2018-02-26T00:00:00","2018-02-27T00:00:00",89566
"2018-02-27T00:00:00","2018-02-28T00:00:00",82976
"2018-02-28T00:00:00","2018-03-01T00:00:00",86100
"2018-03-01T00:00:00","2018-03-02T00:00:00",86060
"2018-03-02T00:00:00","2018-03-03T00:00:00",84336
"2018-03-03T00:00:00","2018-03-04T00:00:00",71554
"2018-03-04T00:00:00","2018-03-05T00:00:00",73436
"2018-03-05T00:00:00","2018-03-06T00:00:00",89699
"2018-03-06T00:00:00","2018-03-07T00:00:00",86252
"2018-03-07T00:00:00","2018-03-08T00:00:00",95015
"2018-03-08T00:00:00","2018-03-09T00:00:00",91864
"2018-03-09T00:00:00","2018-03-10T00:00:00",87095
"2018-03-10T00:00:00","2018-03-11T00:00:00",72900
"2018-03-11T00:00:00","2018-03-12T00:00:00",69034
"2018-03-12T00:00:00","2018-03-13T00:00:00",85804
"2018-03-13T00:00:00","2018-03-14T00:00:00",96826
"2018-03-14T00:00:00","2018-03-15T00:00:00",102625
"2018-03-15T00:00:00","2018-03-16T00:00:00",92583
"2018-03-16T00:00:00","2018-03-17T00:00:00",92199
"2018-03-17T00:00:00","2018-03-18T00:00:00",76814
"2018-03-18T00:00:00","2018-03-19T00:00:00",73492
"2018-03-19T00:00:00","2018-03-20T00:00:00",83762
"2018-03-20T00:00:00","2018-03-21T00:00:00",91312
"2018-03-21T00:00:00","2018-03-22T00:00:00",94094
"2018-03-22T00:00:00","2018-03-23T00:00:00",90690
"2018-03-23T00:00:00","2018-03-24T00:00:00",91819
"2018-03-24T00:00:00","2018-03-25T00:00:00",75917
"2018-03-25T00:00:00","2018-03-26T00:00:00",69952
"2018-03-26T00:00:00","2018-03-27T00:00:00",83568
"2018-03-27T00:00:00","2018-03-28T00:00:00",86038
"2018-03-28T00:00:00","2018-03-29T00:00:00",85998
"2018-03-29T00:00:00","2018-03-30T00:00:00",91781
"2018-03-30T00:00:00","2018-03-31T00:00:00",87774
"2018-03-31T00:00:00","2018-04-01T00:00:00",72832
"2018-04-01T00:00:00","2018-04-02T00:00:00",75063
"2018-04-02T00:00:00","2018-04-03T00:00:00",82605
"2018-04-03T00:00:00","2018-04-04T00:00:00",85059
"2018-04-04T00:00:00","2018-04-05T00:00:00",94503
"2018-04-05T00:00:00","2018-04-06T00:00:00",88016
"2018-04-06T00:00:00","2018-04-07T00:00:00",83853
"2018-04-07T00:00:00","2018-04-08T00:00:00",76839
"2018-04-08T00:00:00","2018-04-09T00:00:00",77080
"2018-04-09T00:00:00","2018-04-10T00:00:00",86047
"2018-04-10T00:00:00","2018-04-11T00:00:00",85898
"2018-04-11T00:00:00","2018-04-12T00:00:00",98430
"2018-04-12T00:00:00","2018-04-13T00:00:00",91409
"2018-04-13T00:00:00","2018-04-14T00:00:00",89048
"2018-04-14T00:00:00","2018-04-15T00:00:00",71358
"2018-04-15T00:00:00","2018-04-16T00:00:00",78082
"2018-04-16T00:00:00","2018-04-17T00:00:00",86778
"2018-04-17T00:00:00","2018-04-18T00:00:00",92299
"2018-04-18T00:00:00","2018-04-19T00:00:00",90170
"2018-04-19T00:00:00","2018-04-20T00:00:00",93611
"2018-04-20T00:00:00","2018-04-21T00:00:00",91646
"2018-04-21T00:00:00","2018-04-22T00:00:00",72676
"2018-04-22T00:00:00","2018-04-23T00:00:00",70808
"2018-04-23T00:00:00","2018-04-24T00:00:00",80688
"2018-04-24T00:00:00","2018-04-25T00:00:00",90023
"2018-04-25T00:00:00","2018-04-26T00:00:00",92922
"2018-04-26T00:00:00","2018-04-27T00:00:00",105493
"2018-04-27T00:00:00","2018-04-28T00:00:00",96578
"2018-04-28T00:00:00","2018-04-29T00:00:00",77155
"2018-04-29T00:00:00","2018-04-30T00:00:00",81268
"2018-04-30T00:00:00","2018-05-01T00:00:00",82219
"2018-05-01T00:00:00","2018-05-02T00:00:00",86565
"2018-05-02T00:00:00","2018-05-03T00:00:00",93767
"2018-05-03T00:00:00","2018-05-04T00:00:00",92094
"2018-05-04T00:00:00","2018-05-05T00:00:00",87596
"2018-05-05T00:00:00","2018-05-06T00:00:00",68595
"2018-05-06T00:00:00","2018-05-07T00:00:00",78820
"2018-05-07T00:00:00","2018-05-08T00:00:00",85619
"2018-05-08T00:00:00","2018-05-09T00:00:00",94705
"2018-05-09T00:00:00","2018-05-10T00:00:00",87102
"2018-05-10T00:00:00","2018-05-11T00:00:00",92485
"2018-05-11T00:00:00","2018-05-12T00:00:00",85726
"2018-05-12T00:00:00","2018-05-13T00:00:00",73912
"2018-05-13T00:00:00","2018-05-14T00:00:00",68201
"2018-05-14T00:00:00","2018-05-15T00:00:00",79138
"2018-05-15T00:00:00","2018-05-16T00:00:00",92693
"2018-05-16T00:00:00","2018-05-17T00:00:00",95513
"2018-05-17T00:00:00","2018-05-18T00:00:00",90020
"2018-05-18T00:00:00","2018-05-19T00:00:00",93939
"2018-05-19T00:00:00","2018-05-20T00:00:00",80581
"2018-05-20T00:00:00","2018-05-21T00:00:00",69527
"2018-05-21T00:00:00","2018-05-22T00:00:00",85492
"2018-05-22T00:00:00","2018-05-23T00:00:00",90766
"2018-05-23T00:00:00","2018-05-24T00:00:00",97278
"2018-05-24T00:00:00","2018-05-25T00:00:00",96609
"2018-05-25T00:00:00","2018-05-26T00:00:00",88580
"2018-05-26T00:00:00","2018-05-27T00:00:00",79845
"2018-05-27T00:00:00","2018-05-28T00:00:00",74537
"2018-05-28T00:00:00","2018-05-29T00:00:00",86706
"2018-05-29T00:00:00","2018-05-30T00:00:00",94932
"2018-05-30T00:00:00","2018-05-31T00:00:00",106279
"2018-05-31T00:00:00","2018-06-01T00:00:00",97516
"2018-06-01T00:00:00","2018-06-02T00:00:00",103240
"2018-06-02T00:00:00","2018-06-03T00:00:00",77428
"2018-06-03T00:00:00","2018-06-04T00:00:00",72276
"2018-06-04T00:00:00","2018-06-05T00:00:00",89484
"2018-06-05T00:00:00","2018-06-06T00:00:00",96669
"2018-06-06T00:00:00","2018-06-07T00:00:00",93758
"2018-06-07T00:00:00","2018-06-08T00:00:00",93723
"2018-06-08T00:00:00","2018-06-09T00:00:00",103055
"2018-06-09T00:00:00","2018-06-10T00:00:00",84745
"2018-06-10T00:00:00","2018-06-11T00:00:00",80559
"2018-06-11T00:00:00","2018-06-12T00:00:00",91430
"2018-06-12T00:00:00","2018-06-13T00:00:00",102929
"2018-06-13T00:00:00","2018-06-14T00:00:00",88684
"2018-06-14T00:00:00","2018-06-15T00:00:00",94540
"2018-06-15T00:00:00","2018-06-16T00:00:00",94444
"2018-06-16T00:00:00","2018-06-17T00:00:00",76703
"2018-06-17T00:00:00","2018-06-18T00:00:00",78917
"2018-06-18T00:00:00","2018-06-19T00:00:00",90512
"2018-06-19T00:00:00","2018-06-20T00:00:00",118107
"2018-06-20T00:00:00","2018-06-21T00:00:00",107485
"2018-06-21T00:00:00","2018-06-22T00:00:00",105948
"2018-06-22T00:00:00","2018-06-23T00:00:00",103250
"2018-06-23T00:00:00","2018-06-24T00:00:00",82957
"2018-06-24T00:00:00","2018-06-25T00:00:00",76920
"2018-06-25T00:00:00","2018-06-26T00:00:00",88521
"2018-06-26T00:00:00","2018-06-27T00:00:00",96429
"2018-06-27T00:00:00","2018-06-28T00:00:00",98020
"2018-06-28T00:00:00","2018-06-29T00:00:00",103206
"2018-06-29T00:00:00","2018-06-30T00:00:00",104891
"2018-06-30T00:00:00","2018-07-01T00:00:00",79979
"2018-07-01T00:00:00","2018-07-02T00:00:00",89561
"2018-07-02T00:00:00","2018-07-03T00:00:00",106886
"2018-07-03T00:00:00","2018-07-04T00:00:00",103827
"2018-07-04T00:00:00","2018-07-05T00:00:00",81009
"2018-07-05T00:00:00","2018-07-06T00:00:00",78879
"2018-07-06T00:00:00","2018-07-07T00:00:00",92257
"2018-07-07T00:00:00","2018-07-08T00:00:00",74688
"2018-07-08T00:00:00","2018-07-09T00:00:00",73917
"2018-07-09T00:00:00","2018-07-10T00:00:00",83420
"2018-07-10T00:00:00","2018-07-11T00:00:00",96919
"2018-07-11T00:00:00","2018-07-12T00:00:00",91257
"2018-07-12T00:00:00","2018-07-13T00:00:00",93749
"2018-07-13T00:00:00","2018-07-14T00:00:00",95864
"2018-07-14T00:00:00","2018-07-15T00:00:00",70948
"2018-07-15T00:00:00","2018-07-16T00:00:00",79825
"2018-07-16T00:00:00","2018-07-17T00:00:00",85469
"2018-07-17T00:00:00","2018-07-18T00:00:00",96567
"2018-07-18T00:00:00","2018-07-19T00:00:00",96258
"2018-07-19T00:00:00","2018-07-20T00:00:00",91899
"2018-07-20T00:00:00","2018-07-21T00:00:00",91149
"2018-07-21T00:00:00","2018-07-22T00:00:00",80920
"2018-07-22T00:00:00","2018-07-23T00:00:00",81655
"2018-07-23T00:00:00","2018-07-24T00:00:00",95061
"2018-07-24T00:00:00","2018-07-25T00:00:00",93915
"2018-07-25T00:00:00","2018-07-26T00:00:00",90222
"2018-07-26T00:00:00","2018-07-27T00:00:00",93886
"2018-07-27T00:00:00","2018-07-28T00:00:00",91904
