startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",653181
"2018-01-02T00:00:00","2018-01-03T00:00:00",683289
"2018-01-03T00:00:00","2018-01-04T00:00:00",734785
"2018-01-04T00:00:00","2018-01-05T00:00:00",817311
"2018-01-05T00:00:00","2018-01-06T00:00:00",766256
"2018-01-06T00:00:00","2018-01-07T00:00:00",663552
"2018-01-07T00:00:00","2018-01-08T00:00:00",653877
"2018-01-08T00:00:00","2018-01-09T00:00:00",780434
"2018-01-09T00:00:00","2018-01-10T00:00:00",772836
"2018-01-10T00:00:00","2018-01-11T00:00:00",730306
"2018-01-11T00:00:00","2018-01-12T00:00:00",741253
"2018-01-12T00:00:00","2018-01-13T00:00:00",767120
"2018-01-13T00:00:00","2018-01-14T00:00:00",621843
"2018-01-14T00:00:00","2018-01-15T00:00:00",633557
"2018-01-15T00:00:00","2018-01-16T00:00:00",664651
"2018-01-16T00:00:00","2018-01-17T00:00:00",711121
"2018-01-17T00:00:00","2018-01-18T00:00:00",734622
"2018-01-18T00:00:00","2018-01-19T00:00:00",723856
"2018-01-19T00:00:00","2018-01-20T00:00:00",736440
"2018-01-20T00:00:00","2018-01-21T00:00:00",651709
"2018-01-21T00:00:00","2018-01-22T00:00:00",624246
"2018-01-22T00:00:00","2018-01-23T00:00:00",737453
"2018-01-23T00:00:00","2018-01-24T00:00:00",755144
"2018-01-24T00:00:00","2018-01-25T00:00:00",738143
"2018-01-25T00:00:00","2018-01-26T00:00:00",730909
"2018-01-26T00:00:00","2018-01-27T00:00:00",724321
"2018-01-27T00:00:00","2018-01-28T00:00:00",581256
"2018-01-28T00:00:00","2018-01-29T00:00:00",584863
"2018-01-29T00:00:00","2018-01-30T00:00:00",808044
"2018-01-30T00:00:00","2018-01-31T00:00:00",740452
"2018-01-31T00:00:00","2018-02-01T00:00:00",800735
"2018-02-01T00:00:00","2018-02-02T00:00:00",737459
"2018-02-02T00:00:00","2018-02-03T00:00:00",740148
"2018-02-03T00:00:00","2018-02-04T00:00:00",601684
"2018-02-04T00:00:00","2018-02-05T00:00:00",609071
"2018-02-05T00:00:00","2018-02-06T00:00:00",894206
"2018-02-06T00:00:00","2018-02-07T00:00:00",722578
"2018-02-07T00:00:00","2018-02-08T00:00:00",759186
"2018-02-08T00:00:00","2018-02-09T00:00:00",747139
"2018-02-09T00:00:00","2018-02-10T00:00:00",715696
"2018-02-10T00:00:00","2018-02-11T00:00:00",606553
"2018-02-11T00:00:00","2018-02-12T00:00:00",577124
"2018-02-12T00:00:00","2018-02-13T00:00:00",669368
"2018-02-13T00:00:00","2018-02-14T00:00:00",718183
"2018-02-14T00:00:00","2018-02-15T00:00:00",765580
"2018-02-15T00:00:00","2018-02-16T00:00:00",725810
"2018-02-16T00:00:00","2018-02-17T00:00:00",725348
"2018-02-17T00:00:00","2018-02-18T00:00:00",596207
"2018-02-18T00:00:00","2018-02-19T00:00:00",595039
"2018-02-19T00:00:00","2018-02-20T00:00:00",647290
"2018-02-20T00:00:00","2018-02-21T00:00:00",705899
"2018-02-21T00:00:00","2018-02-22T00:00:00",739227
"2018-02-22T00:00:00","2018-02-23T00:00:00",760801
"2018-02-23T00:00:00","2018-02-24T00:00:00",741004
"2018-02-24T00:00:00","2018-02-25T00:00:00",601518
"2018-02-25T00:00:00","2018-02-26T00:00:00",592283
"2018-02-26T00:00:00","2018-02-27T00:00:00",705247
"2018-02-27T00:00:00","2018-02-28T00:00:00",719650
"2018-02-28T00:00:00","2018-03-01T00:00:00",729039
"2018-03-01T00:00:00","2018-03-02T00:00:00",731183
"2018-03-02T00:00:00","2018-03-03T00:00:00",741093
"2018-03-03T00:00:00","2018-03-04T00:00:00",604341
"2018-03-04T00:00:00","2018-03-05T00:00:00",577324
"2018-03-05T00:00:00","2018-03-06T00:00:00",757591
"2018-03-06T00:00:00","2018-03-07T00:00:00",722985
"2018-03-07T00:00:00","2018-03-08T00:00:00",776905
"2018-03-08T00:00:00","2018-03-09T00:00:00",764262
"2018-03-09T00:00:00","2018-03-10T00:00:00",722782
"2018-03-10T00:00:00","2018-03-11T00:00:00",591237
"2018-03-11T00:00:00","2018-03-12T00:00:00",578171
