startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",3694
"2019-01-02T00:00:00","2019-01-03T00:00:00",4197
"2019-01-03T00:00:00","2019-01-04T00:00:00",4560
"2019-01-04T00:00:00","2019-01-05T00:00:00",4377
"2019-01-05T00:00:00","2019-01-06T00:00:00",4304
"2019-01-06T00:00:00","2019-01-07T00:00:00",4345
"2019-01-07T00:00:00","2019-01-08T00:00:00",4780
"2019-01-08T00:00:00","2019-01-09T00:00:00",4864
"2019-01-09T00:00:00","2019-01-10T00:00:00",4872
"2019-01-10T00:00:00","2019-01-11T00:00:00",4609
"2019-01-11T00:00:00","2019-01-12T00:00:00",4659
"2019-01-12T00:00:00","2019-01-13T00:00:00",4189
"2019-01-13T00:00:00","2019-01-14T00:00:00",4706
"2019-01-14T00:00:00","2019-01-15T00:00:00",4794
"2019-01-15T00:00:00","2019-01-16T00:00:00",5419
"2019-01-16T00:00:00","2019-01-17T00:00:00",4923
"2019-01-17T00:00:00","2019-01-18T00:00:00",5157
"2019-01-18T00:00:00","2019-01-19T00:00:00",4732
"2019-01-19T00:00:00","2019-01-20T00:00:00",4326
"2019-01-20T00:00:00","2019-01-21T00:00:00",4799
"2019-01-21T00:00:00","2019-01-22T00:00:00",5673
"2019-01-22T00:00:00","2019-01-23T00:00:00",5558
"2019-01-23T00:00:00","2019-01-24T00:00:00",5586
"2019-01-24T00:00:00","2019-01-25T00:00:00",5359
"2019-01-25T00:00:00","2019-01-26T00:00:00",4806
"2019-01-26T00:00:00","2019-01-27T00:00:00",4492
"2019-01-27T00:00:00","2019-01-28T00:00:00",4605
"2019-01-28T00:00:00","2019-01-29T00:00:00",4945
"2019-01-29T00:00:00","2019-01-30T00:00:00",5517
"2019-01-30T00:00:00","2019-01-31T00:00:00",5300
"2019-01-31T00:00:00","2019-02-01T00:00:00",5176
"2019-02-01T00:00:00","2019-02-02T00:00:00",4869
"2019-02-02T00:00:00","2019-02-03T00:00:00",4241
"2019-02-03T00:00:00","2019-02-04T00:00:00",4354
"2019-02-04T00:00:00","2019-02-05T00:00:00",5116
"2019-02-05T00:00:00","2019-02-06T00:00:00",4682
"2019-02-06T00:00:00","2019-02-07T00:00:00",4813
"2019-02-07T00:00:00","2019-02-08T00:00:00",4894
"2019-02-08T00:00:00","2019-02-09T00:00:00",4864
"2019-02-09T00:00:00","2019-02-10T00:00:00",4464
"2019-02-10T00:00:00","2019-02-11T00:00:00",4913
"2019-02-11T00:00:00","2019-02-12T00:00:00",5583
"2019-02-12T00:00:00","2019-02-13T00:00:00",5558
"2019-02-13T00:00:00","2019-02-14T00:00:00",5608
"2019-02-14T00:00:00","2019-02-15T00:00:00",5287
"2019-02-15T00:00:00","2019-02-16T00:00:00",4867
"2019-02-16T00:00:00","2019-02-17T00:00:00",4256
"2019-02-17T00:00:00","2019-02-18T00:00:00",4696
"2019-02-18T00:00:00","2019-02-19T00:00:00",5397
"2019-02-19T00:00:00","2019-02-20T00:00:00",5161
"2019-02-20T00:00:00","2019-02-21T00:00:00",5180
"2019-02-21T00:00:00","2019-02-22T00:00:00",5918
"2019-02-22T00:00:00","2019-02-23T00:00:00",5108
"2019-02-23T00:00:00","2019-02-24T00:00:00",4690
"2019-02-24T00:00:00","2019-02-25T00:00:00",4681
"2019-02-25T00:00:00","2019-02-26T00:00:00",5391
"2019-02-26T00:00:00","2019-02-27T00:00:00",5095
"2019-02-27T00:00:00","2019-02-28T00:00:00",5362
"2019-02-28T00:00:00","2019-03-01T00:00:00",5276
"2019-03-01T00:00:00","2019-03-02T00:00:00",4729
"2019-03-02T00:00:00","2019-03-03T00:00:00",4516
"2019-03-03T00:00:00","2019-03-04T00:00:00",4637
"2019-03-04T00:00:00","2019-03-05T00:00:00",5054
"2019-03-05T00:00:00","2019-03-06T00:00:00",5187
"2019-03-06T00:00:00","2019-03-07T00:00:00",5284
"2019-03-07T00:00:00","2019-03-08T00:00:00",5321
"2019-03-08T00:00:00","2019-03-09T00:00:00",4710
"2019-03-09T00:00:00","2019-03-10T00:00:00",4214
"2019-03-10T00:00:00","2019-03-11T00:00:00",4539
"2019-03-11T00:00:00","2019-03-12T00:00:00",5220
"2019-03-12T00:00:00","2019-03-13T00:00:00",5276
"2019-03-13T00:00:00","2019-03-14T00:00:00",5533
"2019-03-14T00:00:00","2019-03-15T00:00:00",6363
"2019-03-15T00:00:00","2019-03-16T00:00:00",17918
"2019-03-16T00:00:00","2019-03-17T00:00:00",9072
"2019-03-17T00:00:00","2019-03-18T00:00:00",8271
"2019-03-18T00:00:00","2019-03-19T00:00:00",7987
"2019-03-19T00:00:00","2019-03-20T00:00:00",7066
"2019-03-20T00:00:00","2019-03-21T00:00:00",6787
"2019-03-21T00:00:00","2019-03-22T00:00:00",8292
"2019-03-22T00:00:00","2019-03-23T00:00:00",6883
"2019-03-23T00:00:00","2019-03-24T00:00:00",5691
"2019-03-24T00:00:00","2019-03-25T00:00:00",5830
"2019-03-25T00:00:00","2019-03-26T00:00:00",5986
"2019-03-26T00:00:00","2019-03-27T00:00:00",5931
"2019-03-27T00:00:00","2019-03-28T00:00:00",5501
"2019-03-28T00:00:00","2019-03-29T00:00:00",5912
"2019-03-29T00:00:00","2019-03-30T00:00:00",5364
"2019-03-30T00:00:00","2019-03-31T00:00:00",4804
"2019-03-31T00:00:00","2019-04-01T00:00:00",5037
"2019-04-01T00:00:00","2019-04-02T00:00:00",5481
"2019-04-02T00:00:00","2019-04-03T00:00:00",5564
"2019-04-03T00:00:00","2019-04-04T00:00:00",5571
"2019-04-04T00:00:00","2019-04-05T00:00:00",5886
"2019-04-05T00:00:00","2019-04-06T00:00:00",5245
"2019-04-06T00:00:00","2019-04-07T00:00:00",4555
"2019-04-07T00:00:00","2019-04-08T00:00:00",4791
"2019-04-08T00:00:00","2019-04-09T00:00:00",5216
"2019-04-09T00:00:00","2019-04-10T00:00:00",5293
"2019-04-10T00:00:00","2019-04-11T00:00:00",6107
"2019-04-11T00:00:00","2019-04-12T00:00:00",6585
"2019-04-12T00:00:00","2019-04-13T00:00:00",5510
"2019-04-13T00:00:00","2019-04-14T00:00:00",4625
"2019-04-14T00:00:00","2019-04-15T00:00:00",4928
"2019-04-15T00:00:00","2019-04-16T00:00:00",5465
"2019-04-16T00:00:00","2019-04-17T00:00:00",5203
"2019-04-17T00:00:00","2019-04-18T00:00:00",5805
"2019-04-18T00:00:00","2019-04-19T00:00:00",5168
"2019-04-19T00:00:00","2019-04-20T00:00:00",4615
"2019-04-20T00:00:00","2019-04-21T00:00:00",4425
"2019-04-21T00:00:00","2019-04-22T00:00:00",4564
"2019-04-22T00:00:00","2019-04-23T00:00:00",5232
"2019-04-23T00:00:00","2019-04-24T00:00:00",5589
"2019-04-24T00:00:00","2019-04-25T00:00:00",5865
"2019-04-25T00:00:00","2019-04-26T00:00:00",5621
"2019-04-26T00:00:00","2019-04-27T00:00:00",5344
"2019-04-27T00:00:00","2019-04-28T00:00:00",4943
"2019-04-28T00:00:00","2019-04-29T00:00:00",5366
"2019-04-29T00:00:00","2019-04-30T00:00:00",5936
"2019-04-30T00:00:00","2019-05-01T00:00:00",5304
"2019-05-01T00:00:00","2019-05-02T00:00:00",5141
"2019-05-02T00:00:00","2019-05-03T00:00:00",4905
"2019-05-03T00:00:00","2019-05-04T00:00:00",5413
"2019-05-04T00:00:00","2019-05-05T00:00:00",4442
"2019-05-05T00:00:00","2019-05-06T00:00:00",4821
"2019-05-06T00:00:00","2019-05-07T00:00:00",5650
"2019-05-07T00:00:00","2019-05-08T00:00:00",5525
"2019-05-08T00:00:00","2019-05-09T00:00:00",5590
"2019-05-09T00:00:00","2019-05-10T00:00:00",5521
"2019-05-10T00:00:00","2019-05-11T00:00:00",5193
"2019-05-11T00:00:00","2019-05-12T00:00:00",4609
"2019-05-12T00:00:00","2019-05-13T00:00:00",4927
"2019-05-13T00:00:00","2019-05-14T00:00:00",5768
"2019-05-14T00:00:00","2019-05-15T00:00:00",5402
"2019-05-15T00:00:00","2019-05-16T00:00:00",5591
"2019-05-16T00:00:00","2019-05-17T00:00:00",5828
"2019-05-17T00:00:00","2019-05-18T00:00:00",5661
"2019-05-18T00:00:00","2019-05-19T00:00:00",4871
"2019-05-19T00:00:00","2019-05-20T00:00:00",4889
"2019-05-20T00:00:00","2019-05-21T00:00:00",5432
"2019-05-21T00:00:00","2019-05-22T00:00:00",5678
"2019-05-22T00:00:00","2019-05-23T00:00:00",5507
"2019-05-23T00:00:00","2019-05-24T00:00:00",5573
"2019-05-24T00:00:00","2019-05-25T00:00:00",5318
"2019-05-25T00:00:00","2019-05-26T00:00:00",4218
"2019-05-26T00:00:00","2019-05-27T00:00:00",4614
"2019-05-27T00:00:00","2019-05-28T00:00:00",5131
"2019-05-28T00:00:00","2019-05-29T00:00:00",5378
"2019-05-29T00:00:00","2019-05-30T00:00:00",5556
"2019-05-30T00:00:00","2019-05-31T00:00:00",5611
"2019-05-31T00:00:00","2019-06-01T00:00:00",5403
"2019-06-01T00:00:00","2019-06-02T00:00:00",4930
"2019-06-02T00:00:00","2019-06-03T00:00:00",4900
"2019-06-03T00:00:00","2019-06-04T00:00:00",4956
"2019-06-04T00:00:00","2019-06-05T00:00:00",5259
"2019-06-05T00:00:00","2019-06-06T00:00:00",5625
"2019-06-06T00:00:00","2019-06-07T00:00:00",5734
"2019-06-07T00:00:00","2019-06-08T00:00:00",5028
"2019-06-08T00:00:00","2019-06-09T00:00:00",4870
"2019-06-09T00:00:00","2019-06-10T00:00:00",5154
"2019-06-10T00:00:00","2019-06-11T00:00:00",5466
"2019-06-11T00:00:00","2019-06-12T00:00:00",5648
"2019-06-12T00:00:00","2019-06-13T00:00:00",5707
"2019-06-13T00:00:00","2019-06-14T00:00:00",5421
"2019-06-14T00:00:00","2019-06-15T00:00:00",5587
"2019-06-15T00:00:00","2019-06-16T00:00:00",4933
"2019-06-16T00:00:00","2019-06-17T00:00:00",4873
"2019-06-17T00:00:00","2019-06-18T00:00:00",5177
"2019-06-18T00:00:00","2019-06-19T00:00:00",5369
"2019-06-19T00:00:00","2019-06-20T00:00:00",5400
"2019-06-20T00:00:00","2019-06-21T00:00:00",5447
"2019-06-21T00:00:00","2019-06-22T00:00:00",5620
"2019-06-22T00:00:00","2019-06-23T00:00:00",4941
"2019-06-23T00:00:00","2019-06-24T00:00:00",4655
"2019-06-24T00:00:00","2019-06-25T00:00:00",5418
"2019-06-25T00:00:00","2019-06-26T00:00:00",5498
"2019-06-26T00:00:00","2019-06-27T00:00:00",5544
"2019-06-27T00:00:00","2019-06-28T00:00:00",5394
"2019-06-28T00:00:00","2019-06-29T00:00:00",4968
"2019-06-29T00:00:00","2019-06-30T00:00:00",4555
"2019-06-30T00:00:00","2019-07-01T00:00:00",4889
"2019-07-01T00:00:00","2019-07-02T00:00:00",5643
"2019-07-02T00:00:00","2019-07-03T00:00:00",5649
"2019-07-03T00:00:00","2019-07-04T00:00:00",5604
"2019-07-04T00:00:00","2019-07-05T00:00:00",5174
"2019-07-05T00:00:00","2019-07-06T00:00:00",5049
"2019-07-06T00:00:00","2019-07-07T00:00:00",4569
"2019-07-07T00:00:00","2019-07-08T00:00:00",4534
"2019-07-08T00:00:00","2019-07-09T00:00:00",4925
"2019-07-09T00:00:00","2019-07-10T00:00:00",5427
"2019-07-10T00:00:00","2019-07-11T00:00:00",5548
"2019-07-11T00:00:00","2019-07-12T00:00:00",4874
"2019-07-12T00:00:00","2019-07-13T00:00:00",3531
"2019-07-13T00:00:00","2019-07-14T00:00:00",4593
"2019-07-14T00:00:00","2019-07-15T00:00:00",5938
"2019-07-15T00:00:00","2019-07-16T00:00:00",5275
"2019-07-16T00:00:00","2019-07-17T00:00:00",5333
"2019-07-17T00:00:00","2019-07-18T00:00:00",5104
"2019-07-18T00:00:00","2019-07-19T00:00:00",5407
"2019-07-19T00:00:00","2019-07-20T00:00:00",5642
"2019-07-20T00:00:00","2019-07-21T00:00:00",4587
"2019-07-21T00:00:00","2019-07-22T00:00:00",4913
"2019-07-22T00:00:00","2019-07-23T00:00:00",5198
"2019-07-23T00:00:00","2019-07-24T00:00:00",5772
"2019-07-24T00:00:00","2019-07-25T00:00:00",5179
"2019-07-25T00:00:00","2019-07-26T00:00:00",5206
"2019-07-26T00:00:00","2019-07-27T00:00:00",5018
"2019-07-27T00:00:00","2019-07-28T00:00:00",4784
"2019-07-28T00:00:00","2019-07-29T00:00:00",4728
"2019-07-29T00:00:00","2019-07-30T00:00:00",5111
"2019-07-30T00:00:00","2019-07-31T00:00:00",5348
"2019-07-31T00:00:00","2019-08-01T00:00:00",5380
"2019-08-01T00:00:00","2019-08-02T00:00:00",5302
"2019-08-02T00:00:00","2019-08-03T00:00:00",5193
"2019-08-03T00:00:00","2019-08-04T00:00:00",4670
"2019-08-04T00:00:00","2019-08-05T00:00:00",5356
"2019-08-05T00:00:00","2019-08-06T00:00:00",6367
"2019-08-06T00:00:00","2019-08-07T00:00:00",6233
"2019-08-07T00:00:00","2019-08-08T00:00:00",5766
"2019-08-08T00:00:00","2019-08-09T00:00:00",5626
"2019-08-09T00:00:00","2019-08-10T00:00:00",5232
