startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",1219
"2019-01-02T00:00:00","2019-01-03T00:00:00",1324
"2019-01-03T00:00:00","2019-01-04T00:00:00",1562
"2019-01-04T00:00:00","2019-01-05T00:00:00",1553
"2019-01-05T00:00:00","2019-01-06T00:00:00",1472
"2019-01-06T00:00:00","2019-01-07T00:00:00",1489
"2019-01-07T00:00:00","2019-01-08T00:00:00",1707
"2019-01-08T00:00:00","2019-01-09T00:00:00",1773
"2019-01-09T00:00:00","2019-01-10T00:00:00",1861
"2019-01-10T00:00:00","2019-01-11T00:00:00",1722
"2019-01-11T00:00:00","2019-01-12T00:00:00",1624
"2019-01-12T00:00:00","2019-01-13T00:00:00",1440
"2019-01-13T00:00:00","2019-01-14T00:00:00",1757
"2019-01-14T00:00:00","2019-01-15T00:00:00",1837
"2019-01-15T00:00:00","2019-01-16T00:00:00",1935
"2019-01-16T00:00:00","2019-01-17T00:00:00",1807
"2019-01-17T00:00:00","2019-01-18T00:00:00",1954
"2019-01-18T00:00:00","2019-01-19T00:00:00",1660
"2019-01-19T00:00:00","2019-01-20T00:00:00",1422
"2019-01-20T00:00:00","2019-01-21T00:00:00",1557
"2019-01-21T00:00:00","2019-01-22T00:00:00",1862
"2019-01-22T00:00:00","2019-01-23T00:00:00",1903
"2019-01-23T00:00:00","2019-01-24T00:00:00",2074
"2019-01-24T00:00:00","2019-01-25T00:00:00",1848
"2019-01-25T00:00:00","2019-01-26T00:00:00",1683
"2019-01-26T00:00:00","2019-01-27T00:00:00",1561
"2019-01-27T00:00:00","2019-01-28T00:00:00",1535
"2019-01-28T00:00:00","2019-01-29T00:00:00",1820
"2019-01-29T00:00:00","2019-01-30T00:00:00",1832
"2019-01-30T00:00:00","2019-01-31T00:00:00",1952
"2019-01-31T00:00:00","2019-02-01T00:00:00",1904
"2019-02-01T00:00:00","2019-02-02T00:00:00",1719
"2019-02-02T00:00:00","2019-02-03T00:00:00",1466
"2019-02-03T00:00:00","2019-02-04T00:00:00",1459
"2019-02-04T00:00:00","2019-02-05T00:00:00",1754
"2019-02-05T00:00:00","2019-02-06T00:00:00",1659
"2019-02-06T00:00:00","2019-02-07T00:00:00",1615
"2019-02-07T00:00:00","2019-02-08T00:00:00",1857
"2019-02-08T00:00:00","2019-02-09T00:00:00",1809
"2019-02-09T00:00:00","2019-02-10T00:00:00",1528
"2019-02-10T00:00:00","2019-02-11T00:00:00",1805
"2019-02-11T00:00:00","2019-02-12T00:00:00",2130
"2019-02-12T00:00:00","2019-02-13T00:00:00",1996
"2019-02-13T00:00:00","2019-02-14T00:00:00",2028
"2019-02-14T00:00:00","2019-02-15T00:00:00",1880
"2019-02-15T00:00:00","2019-02-16T00:00:00",1791
"2019-02-16T00:00:00","2019-02-17T00:00:00",1486
"2019-02-17T00:00:00","2019-02-18T00:00:00",1648
"2019-02-18T00:00:00","2019-02-19T00:00:00",2034
"2019-02-19T00:00:00","2019-02-20T00:00:00",2007
"2019-02-20T00:00:00","2019-02-21T00:00:00",2011
"2019-02-21T00:00:00","2019-02-22T00:00:00",2231
"2019-02-22T00:00:00","2019-02-23T00:00:00",1975
"2019-02-23T00:00:00","2019-02-24T00:00:00",1660
"2019-02-24T00:00:00","2019-02-25T00:00:00",1772
"2019-02-25T00:00:00","2019-02-26T00:00:00",1904
"2019-02-26T00:00:00","2019-02-27T00:00:00",1968
"2019-02-27T00:00:00","2019-02-28T00:00:00",2030
"2019-02-28T00:00:00","2019-03-01T00:00:00",2005
"2019-03-01T00:00:00","2019-03-02T00:00:00",1720
"2019-03-02T00:00:00","2019-03-03T00:00:00",1513
"2019-03-03T00:00:00","2019-03-04T00:00:00",1588
"2019-03-04T00:00:00","2019-03-05T00:00:00",1961
"2019-03-05T00:00:00","2019-03-06T00:00:00",2074
"2019-03-06T00:00:00","2019-03-07T00:00:00",2006
"2019-03-07T00:00:00","2019-03-08T00:00:00",1987
"2019-03-08T00:00:00","2019-03-09T00:00:00",1659
"2019-03-09T00:00:00","2019-03-10T00:00:00",1432
"2019-03-10T00:00:00","2019-03-11T00:00:00",1632
"2019-03-11T00:00:00","2019-03-12T00:00:00",1939
"2019-03-12T00:00:00","2019-03-13T00:00:00",2015
"2019-03-13T00:00:00","2019-03-14T00:00:00",2052
"2019-03-14T00:00:00","2019-03-15T00:00:00",2136
"2019-03-15T00:00:00","2019-03-16T00:00:00",9554
"2019-03-16T00:00:00","2019-03-17T00:00:00",3989
"2019-03-17T00:00:00","2019-03-18T00:00:00",3402
