startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",23053
"2019-01-02T00:00:00","2019-01-03T00:00:00",22670
"2019-01-03T00:00:00","2019-01-04T00:00:00",24445
"2019-01-04T00:00:00","2019-01-05T00:00:00",23754
"2019-01-05T00:00:00","2019-01-06T00:00:00",23263
"2019-01-06T00:00:00","2019-01-07T00:00:00",23994
"2019-01-07T00:00:00","2019-01-08T00:00:00",26329
"2019-01-08T00:00:00","2019-01-09T00:00:00",26626
"2019-01-09T00:00:00","2019-01-10T00:00:00",26571
"2019-01-10T00:00:00","2019-01-11T00:00:00",26287
"2019-01-11T00:00:00","2019-01-12T00:00:00",25580
"2019-01-12T00:00:00","2019-01-13T00:00:00",23021
"2019-01-13T00:00:00","2019-01-14T00:00:00",24405
"2019-01-14T00:00:00","2019-01-15T00:00:00",26420
"2019-01-15T00:00:00","2019-01-16T00:00:00",28350
"2019-01-16T00:00:00","2019-01-17T00:00:00",26915
"2019-01-17T00:00:00","2019-01-18T00:00:00",27481
"2019-01-18T00:00:00","2019-01-19T00:00:00",25681
"2019-01-19T00:00:00","2019-01-20T00:00:00",22744
"2019-01-20T00:00:00","2019-01-21T00:00:00",24288
"2019-01-21T00:00:00","2019-01-22T00:00:00",27347
"2019-01-22T00:00:00","2019-01-23T00:00:00",28283
"2019-01-23T00:00:00","2019-01-24T00:00:00",29074
"2019-01-24T00:00:00","2019-01-25T00:00:00",28389
"2019-01-25T00:00:00","2019-01-26T00:00:00",26734
"2019-01-26T00:00:00","2019-01-27T00:00:00",23942
"2019-01-27T00:00:00","2019-01-28T00:00:00",24576
"2019-01-28T00:00:00","2019-01-29T00:00:00",27142
"2019-01-29T00:00:00","2019-01-30T00:00:00",29245
"2019-01-30T00:00:00","2019-01-31T00:00:00",29430
"2019-01-31T00:00:00","2019-02-01T00:00:00",29502
"2019-02-01T00:00:00","2019-02-02T00:00:00",26612
"2019-02-02T00:00:00","2019-02-03T00:00:00",22774
"2019-02-03T00:00:00","2019-02-04T00:00:00",23803
"2019-02-04T00:00:00","2019-02-05T00:00:00",27257
"2019-02-05T00:00:00","2019-02-06T00:00:00",26441
"2019-02-06T00:00:00","2019-02-07T00:00:00",25993
"2019-02-07T00:00:00","2019-02-08T00:00:00",27385
"2019-02-08T00:00:00","2019-02-09T00:00:00",26335
"2019-02-09T00:00:00","2019-02-10T00:00:00",23666
"2019-02-10T00:00:00","2019-02-11T00:00:00",25946
"2019-02-11T00:00:00","2019-02-12T00:00:00",29639
"2019-02-12T00:00:00","2019-02-13T00:00:00",28962
"2019-02-13T00:00:00","2019-02-14T00:00:00",30284
"2019-02-14T00:00:00","2019-02-15T00:00:00",29613
"2019-02-15T00:00:00","2019-02-16T00:00:00",26442
"2019-02-16T00:00:00","2019-02-17T00:00:00",22337
"2019-02-17T00:00:00","2019-02-18T00:00:00",24703
"2019-02-18T00:00:00","2019-02-19T00:00:00",28657
"2019-02-19T00:00:00","2019-02-20T00:00:00",28848
"2019-02-20T00:00:00","2019-02-21T00:00:00",27958
"2019-02-21T00:00:00","2019-02-22T00:00:00",30802
"2019-02-22T00:00:00","2019-02-23T00:00:00",28530
"2019-02-23T00:00:00","2019-02-24T00:00:00",24217
"2019-02-24T00:00:00","2019-02-25T00:00:00",25183
"2019-02-25T00:00:00","2019-02-26T00:00:00",28954
"2019-02-26T00:00:00","2019-02-27T00:00:00",28026
"2019-02-27T00:00:00","2019-02-28T00:00:00",28766
"2019-02-28T00:00:00","2019-03-01T00:00:00",29495
"2019-03-01T00:00:00","2019-03-02T00:00:00",26617
"2019-03-02T00:00:00","2019-03-03T00:00:00",23535
