startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",2009
"2019-01-02T00:00:00","2019-01-03T00:00:00",2112
"2019-01-03T00:00:00","2019-01-04T00:00:00",2359
"2019-01-04T00:00:00","2019-01-05T00:00:00",2304
"2019-01-05T00:00:00","2019-01-06T00:00:00",2324
"2019-01-06T00:00:00","2019-01-07T00:00:00",2461
"2019-01-07T00:00:00","2019-01-08T00:00:00",2544
"2019-01-08T00:00:00","2019-01-09T00:00:00",2560
"2019-01-09T00:00:00","2019-01-10T00:00:00",2474
"2019-01-10T00:00:00","2019-01-11T00:00:00",2450
"2019-01-11T00:00:00","2019-01-12T00:00:00",2486
"2019-01-12T00:00:00","2019-01-13T00:00:00",2118
"2019-01-13T00:00:00","2019-01-14T00:00:00",2451
"2019-01-14T00:00:00","2019-01-15T00:00:00",2578
"2019-01-15T00:00:00","2019-01-16T00:00:00",2776
"2019-01-16T00:00:00","2019-01-17T00:00:00",2727
"2019-01-17T00:00:00","2019-01-18T00:00:00",2680
"2019-01-18T00:00:00","2019-01-19T00:00:00",2327
"2019-01-19T00:00:00","2019-01-20T00:00:00",2279
"2019-01-20T00:00:00","2019-01-21T00:00:00",2406
"2019-01-21T00:00:00","2019-01-22T00:00:00",2898
"2019-01-22T00:00:00","2019-01-23T00:00:00",2766
"2019-01-23T00:00:00","2019-01-24T00:00:00",3091
"2019-01-24T00:00:00","2019-01-25T00:00:00",2874
"2019-01-25T00:00:00","2019-01-26T00:00:00",2648
"2019-01-26T00:00:00","2019-01-27T00:00:00",2394
"2019-01-27T00:00:00","2019-01-28T00:00:00",2438
"2019-01-28T00:00:00","2019-01-29T00:00:00",2891
"2019-01-29T00:00:00","2019-01-30T00:00:00",2876
"2019-01-30T00:00:00","2019-01-31T00:00:00",3012
"2019-01-31T00:00:00","2019-02-01T00:00:00",2895
"2019-02-01T00:00:00","2019-02-02T00:00:00",2659
"2019-02-02T00:00:00","2019-02-03T00:00:00",2394
"2019-02-03T00:00:00","2019-02-04T00:00:00",2343
"2019-02-04T00:00:00","2019-02-05T00:00:00",2666
"2019-02-05T00:00:00","2019-02-06T00:00:00",2515
"2019-02-06T00:00:00","2019-02-07T00:00:00",2510
"2019-02-07T00:00:00","2019-02-08T00:00:00",2661
"2019-02-08T00:00:00","2019-02-09T00:00:00",2628
"2019-02-09T00:00:00","2019-02-10T00:00:00",2204
"2019-02-10T00:00:00","2019-02-11T00:00:00",2556
