startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",38175
"2019-01-02T00:00:00","2019-01-03T00:00:00",39028
"2019-01-03T00:00:00","2019-01-04T00:00:00",42635
"2019-01-04T00:00:00","2019-01-05T00:00:00",41103
"2019-01-05T00:00:00","2019-01-06T00:00:00",40795
"2019-01-06T00:00:00","2019-01-07T00:00:00",41888
"2019-01-07T00:00:00","2019-01-08T00:00:00",45017
"2019-01-08T00:00:00","2019-01-09T00:00:00",45077
"2019-01-09T00:00:00","2019-01-10T00:00:00",45127
"2019-01-10T00:00:00","2019-01-11T00:00:00",44497
"2019-01-11T00:00:00","2019-01-12T00:00:00",43571
"2019-01-12T00:00:00","2019-01-13T00:00:00",39637
"2019-01-13T00:00:00","2019-01-14T00:00:00",42172
"2019-01-14T00:00:00","2019-01-15T00:00:00",44598
"2019-01-15T00:00:00","2019-01-16T00:00:00",48162
"2019-01-16T00:00:00","2019-01-17T00:00:00",45512
"2019-01-17T00:00:00","2019-01-18T00:00:00",46594
"2019-01-18T00:00:00","2019-01-19T00:00:00",43896
"2019-01-19T00:00:00","2019-01-20T00:00:00",39639
"2019-01-20T00:00:00","2019-01-21T00:00:00",41927
"2019-01-21T00:00:00","2019-01-22T00:00:00",47068
"2019-01-22T00:00:00","2019-01-23T00:00:00",47986
"2019-01-23T00:00:00","2019-01-24T00:00:00",50053
"2019-01-24T00:00:00","2019-01-25T00:00:00",48354
"2019-01-25T00:00:00","2019-01-26T00:00:00",45948
"2019-01-26T00:00:00","2019-01-27T00:00:00",41753
"2019-01-27T00:00:00","2019-01-28T00:00:00",42649
"2019-01-28T00:00:00","2019-01-29T00:00:00",46850
"2019-01-29T00:00:00","2019-01-30T00:00:00",50224
"2019-01-30T00:00:00","2019-01-31T00:00:00",49727
"2019-01-31T00:00:00","2019-02-01T00:00:00",49946
"2019-02-01T00:00:00","2019-02-02T00:00:00",45430
"2019-02-02T00:00:00","2019-02-03T00:00:00",39767
"2019-02-03T00:00:00","2019-02-04T00:00:00",41422
"2019-02-04T00:00:00","2019-02-05T00:00:00",45675
"2019-02-05T00:00:00","2019-02-06T00:00:00",44960
