"date","unique_authors"
2019-01-01,"7024"
2019-01-02,"7417"
2019-01-03,"6969"
2019-01-04,"6909"
2019-01-05,"7296"
2019-01-06,"8043"
2019-01-07,"8058"
2019-01-08,"8259"
2019-01-09,"8110"
2019-01-10,"8112"
2019-01-11,"6818"
2019-01-12,"7398"
2019-01-13,"8425"
2019-01-14,"8624"
2019-01-15,"8414"
2019-01-16,"8444"
2019-01-17,"7989"
2019-01-18,"6920"
2019-01-19,"7403"
2019-01-20,"8261"
2019-01-21,"8353"
2019-01-22,"8802"
2019-01-23,"8648"
2019-01-24,"8283"
2019-01-25,"7191"
2019-01-26,"7309"
2019-01-27,"8346"
2019-01-28,"8882"
2019-01-29,"8943"
2019-01-30,"9115"
2019-01-31,"8528"
2019-02-01,"6955"
2019-02-02,"7804"
2019-02-03,"8475"
2019-02-04,"8572"
2019-02-05,"8270"
2019-02-06,"8548"
2019-02-07,"8187"
2019-02-08,"7061"
2019-02-09,"7977"
2019-02-10,"8578"
2019-02-11,"8784"
2019-02-12,"9073"
2019-02-13,"9021"
2019-02-14,"8424"
2019-02-15,"7227"
2019-02-16,"7839"
2019-02-17,"8726"
2019-02-18,"8702"
2019-02-19,"8762"
2019-02-20,"8972"
2019-02-21,"8596"
2019-02-22,"7372"
2019-02-23,"7861"
2019-02-24,"8742"
2019-02-25,"8676"
2019-02-26,"8961"
2019-02-27,"9217"
2019-02-28,"8447"
2019-03-01,"7485"
2019-03-02,"7891"
2019-03-03,"8922"
2019-03-04,"8849"
2019-03-05,"8920"
2019-03-06,"9244"
2019-03-07,"8757"
2019-03-08,"7351"
2019-03-09,"7732"
2019-03-10,"8359"
2019-03-11,"8713"
2019-03-12,"9018"
2019-03-13,"9270"
2019-03-14,"12250"
2019-03-15,"8535"
2019-03-16,"8502"
2019-03-17,"9054"
2019-03-18,"8964"
2019-03-19,"8916"
2019-03-20,"9420"
2019-03-21,"8731"
2019-03-22,"7363"
2019-03-23,"7848"
2019-03-24,"8623"
2019-03-25,"8880"
2019-03-26,"8622"
2019-03-27,"8818"
2019-03-28,"8371"
2019-03-29,"7213"
2019-03-30,"7602"
2019-03-31,"8549"
2019-04-01,"8623"
2019-04-02,"8964"
2019-04-03,"8731"
2019-04-04,"8709"
2019-04-05,"7074"
2019-04-06,"7454"
2019-04-07,"8558"
2019-04-08,"8620"
2019-04-09,"8914"
2019-04-10,"8905"
2019-04-11,"8552"
