startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",9189
"2013-01-02T00:00:00","2013-01-03T00:00:00",11262
"2013-01-03T00:00:00","2013-01-04T00:00:00",13201
"2013-01-04T00:00:00","2013-01-05T00:00:00",14168
"2013-01-05T00:00:00","2013-01-06T00:00:00",12884
"2013-01-06T00:00:00","2013-01-07T00:00:00",12057
"2013-01-07T00:00:00","2013-01-08T00:00:00",14338
"2013-01-08T00:00:00","2013-01-09T00:00:00",14788
"2013-01-09T00:00:00","2013-01-10T00:00:00",13682
"2013-01-10T00:00:00","2013-01-11T00:00:00",13905
"2013-01-11T00:00:00","2013-01-12T00:00:00",14494
"2013-01-12T00:00:00","2013-01-13T00:00:00",12621
"2013-01-13T00:00:00","2013-01-14T00:00:00",11452
"2013-01-14T00:00:00","2013-01-15T00:00:00",13742
"2013-01-15T00:00:00","2013-01-16T00:00:00",15408
"2013-01-16T00:00:00","2013-01-17T00:00:00",14815
"2013-01-17T00:00:00","2013-01-18T00:00:00",15131
"2013-01-18T00:00:00","2013-01-19T00:00:00",15111
"2013-01-19T00:00:00","2013-01-20T00:00:00",12845
"2013-01-20T00:00:00","2013-01-21T00:00:00",11732
"2013-01-21T00:00:00","2013-01-22T00:00:00",14159
"2013-01-22T00:00:00","2013-01-23T00:00:00",13427
"2013-01-23T00:00:00","2013-01-24T00:00:00",14846
"2013-01-24T00:00:00","2013-01-25T00:00:00",16072
"2013-01-25T00:00:00","2013-01-26T00:00:00",15185
"2013-01-26T00:00:00","2013-01-27T00:00:00",13562
"2013-01-27T00:00:00","2013-01-28T00:00:00",12854
"2013-01-28T00:00:00","2013-01-29T00:00:00",15191
"2013-01-29T00:00:00","2013-01-30T00:00:00",16334
"2013-01-30T00:00:00","2013-01-31T00:00:00",16438
"2013-01-31T00:00:00","2013-02-01T00:00:00",14640
"2013-02-01T00:00:00","2013-02-02T00:00:00",15247
"2013-02-02T00:00:00","2013-02-03T00:00:00",13738
"2013-02-03T00:00:00","2013-02-04T00:00:00",13299
"2013-02-04T00:00:00","2013-02-05T00:00:00",16219
"2013-02-05T00:00:00","2013-02-06T00:00:00",15485
"2013-02-06T00:00:00","2013-02-07T00:00:00",16417
"2013-02-07T00:00:00","2013-02-08T00:00:00",15636
"2013-02-08T00:00:00","2013-02-09T00:00:00",14265
"2013-02-09T00:00:00","2013-02-10T00:00:00",13516
"2013-02-10T00:00:00","2013-02-11T00:00:00",12074
"2013-02-11T00:00:00","2013-02-12T00:00:00",14933
"2013-02-12T00:00:00","2013-02-13T00:00:00",15658
"2013-02-13T00:00:00","2013-02-14T00:00:00",15608
