startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",3425
"2013-01-02T00:00:00","2013-01-03T00:00:00",3423
"2013-01-03T00:00:00","2013-01-04T00:00:00",3750
"2013-01-04T00:00:00","2013-01-05T00:00:00",4093
"2013-01-05T00:00:00","2013-01-06T00:00:00",3858
"2013-01-06T00:00:00","2013-01-07T00:00:00",3534
"2013-01-07T00:00:00","2013-01-08T00:00:00",4537
"2013-01-08T00:00:00","2013-01-09T00:00:00",4193
"2013-01-09T00:00:00","2013-01-10T00:00:00",4348
"2013-01-10T00:00:00","2013-01-11T00:00:00",5479
"2013-01-11T00:00:00","2013-01-12T00:00:00",5263
"2013-01-12T00:00:00","2013-01-13T00:00:00",3772
"2013-01-13T00:00:00","2013-01-14T00:00:00",3733
"2013-01-14T00:00:00","2013-01-15T00:00:00",4444
"2013-01-15T00:00:00","2013-01-16T00:00:00",5434
"2013-01-16T00:00:00","2013-01-17T00:00:00",4492
"2013-01-17T00:00:00","2013-01-18T00:00:00",5458
"2013-01-18T00:00:00","2013-01-19T00:00:00",4578
"2013-01-19T00:00:00","2013-01-20T00:00:00",4976
"2013-01-20T00:00:00","2013-01-21T00:00:00",3859
"2013-01-21T00:00:00","2013-01-22T00:00:00",5102
"2013-01-22T00:00:00","2013-01-23T00:00:00",4028
"2013-01-23T00:00:00","2013-01-24T00:00:00",4473
"2013-01-24T00:00:00","2013-01-25T00:00:00",4929
"2013-01-25T00:00:00","2013-01-26T00:00:00",4093
"2013-01-26T00:00:00","2013-01-27T00:00:00",3926
"2013-01-27T00:00:00","2013-01-28T00:00:00",4000
"2013-01-28T00:00:00","2013-01-29T00:00:00",5069
"2013-01-29T00:00:00","2013-01-30T00:00:00",4738
"2013-01-30T00:00:00","2013-01-31T00:00:00",5223
"2013-01-31T00:00:00","2013-02-01T00:00:00",5121
"2013-02-01T00:00:00","2013-02-02T00:00:00",4750
"2013-02-02T00:00:00","2013-02-03T00:00:00",4192
"2013-02-03T00:00:00","2013-02-04T00:00:00",4540
"2013-02-04T00:00:00","2013-02-05T00:00:00",5022
"2013-02-05T00:00:00","2013-02-06T00:00:00",4360
"2013-02-06T00:00:00","2013-02-07T00:00:00",5255
"2013-02-07T00:00:00","2013-02-08T00:00:00",4447
"2013-02-08T00:00:00","2013-02-09T00:00:00",4503
"2013-02-09T00:00:00","2013-02-10T00:00:00",4100
"2013-02-10T00:00:00","2013-02-11T00:00:00",3692
"2013-02-11T00:00:00","2013-02-12T00:00:00",4259
"2013-02-12T00:00:00","2013-02-13T00:00:00",4524
"2013-02-13T00:00:00","2013-02-14T00:00:00",4431
"2013-02-14T00:00:00","2013-02-15T00:00:00",3989
"2013-02-15T00:00:00","2013-02-16T00:00:00",3916
"2013-02-16T00:00:00","2013-02-17T00:00:00",3622
"2013-02-17T00:00:00","2013-02-18T00:00:00",3613
"2013-02-18T00:00:00","2013-02-19T00:00:00",4455
"2013-02-19T00:00:00","2013-02-20T00:00:00",4232
