startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",60165
"2013-01-02T00:00:00","2013-01-03T00:00:00",55081
"2013-01-03T00:00:00","2013-01-04T00:00:00",58368
"2013-01-04T00:00:00","2013-01-05T00:00:00",62812
"2013-01-05T00:00:00","2013-01-06T00:00:00",58009
"2013-01-06T00:00:00","2013-01-07T00:00:00",53248
"2013-01-07T00:00:00","2013-01-08T00:00:00",65558
"2013-01-08T00:00:00","2013-01-09T00:00:00",62538
"2013-01-09T00:00:00","2013-01-10T00:00:00",59368
"2013-01-10T00:00:00","2013-01-11T00:00:00",65837
"2013-01-11T00:00:00","2013-01-12T00:00:00",63433
"2013-01-12T00:00:00","2013-01-13T00:00:00",54644
"2013-01-13T00:00:00","2013-01-14T00:00:00",50128
"2013-01-14T00:00:00","2013-01-15T00:00:00",61450
"2013-01-15T00:00:00","2013-01-16T00:00:00",65074
"2013-01-16T00:00:00","2013-01-17T00:00:00",62744
"2013-01-17T00:00:00","2013-01-18T00:00:00",64132
"2013-01-18T00:00:00","2013-01-19T00:00:00",68118
"2013-01-19T00:00:00","2013-01-20T00:00:00",61108
"2013-01-20T00:00:00","2013-01-21T00:00:00",53405
"2013-01-21T00:00:00","2013-01-22T00:00:00",62185
"2013-01-22T00:00:00","2013-01-23T00:00:00",55641
"2013-01-23T00:00:00","2013-01-24T00:00:00",64814
"2013-01-24T00:00:00","2013-01-25T00:00:00",67181
"2013-01-25T00:00:00","2013-01-26T00:00:00",64864
"2013-01-26T00:00:00","2013-01-27T00:00:00",58708
"2013-01-27T00:00:00","2013-01-28T00:00:00",56715
"2013-01-28T00:00:00","2013-01-29T00:00:00",66843
"2013-01-29T00:00:00","2013-01-30T00:00:00",70294
"2013-01-30T00:00:00","2013-01-31T00:00:00",68484
"2013-01-31T00:00:00","2013-02-01T00:00:00",63258
"2013-02-01T00:00:00","2013-02-02T00:00:00",70110
"2013-02-02T00:00:00","2013-02-03T00:00:00",58761
"2013-02-03T00:00:00","2013-02-04T00:00:00",59077
"2013-02-04T00:00:00","2013-02-05T00:00:00",63306
"2013-02-05T00:00:00","2013-02-06T00:00:00",66392
"2013-02-06T00:00:00","2013-02-07T00:00:00",69339
"2013-02-07T00:00:00","2013-02-08T00:00:00",68027
"2013-02-08T00:00:00","2013-02-09T00:00:00",63053
"2013-02-09T00:00:00","2013-02-10T00:00:00",59502
"2013-02-10T00:00:00","2013-02-11T00:00:00",55476
"2013-02-11T00:00:00","2013-02-12T00:00:00",64245
"2013-02-12T00:00:00","2013-02-13T00:00:00",63901
"2013-02-13T00:00:00","2013-02-14T00:00:00",65821
"2013-02-14T00:00:00","2013-02-15T00:00:00",77243
"2013-02-15T00:00:00","2013-02-16T00:00:00",63329
"2013-02-16T00:00:00","2013-02-17T00:00:00",55706
"2013-02-17T00:00:00","2013-02-18T00:00:00",55818
"2013-02-18T00:00:00","2013-02-19T00:00:00",66451
"2013-02-19T00:00:00","2013-02-20T00:00:00",66381
"2013-02-20T00:00:00","2013-02-21T00:00:00",68120
"2013-02-21T00:00:00","2013-02-22T00:00:00",67173
"2013-02-22T00:00:00","2013-02-23T00:00:00",66930
"2013-02-23T00:00:00","2013-02-24T00:00:00",57832
"2013-02-24T00:00:00","2013-02-25T00:00:00",57455
"2013-02-25T00:00:00","2013-02-26T00:00:00",79374
"2013-02-26T00:00:00","2013-02-27T00:00:00",71591
"2013-02-27T00:00:00","2013-02-28T00:00:00",69727
"2013-02-28T00:00:00","2013-03-01T00:00:00",65767
"2013-03-01T00:00:00","2013-03-02T00:00:00",69401
"2013-03-02T00:00:00","2013-03-03T00:00:00",64509
"2013-03-03T00:00:00","2013-03-04T00:00:00",57834
"2013-03-04T00:00:00","2013-03-05T00:00:00",64889
"2013-03-05T00:00:00","2013-03-06T00:00:00",67811
"2013-03-06T00:00:00","2013-03-07T00:00:00",65324
"2013-03-07T00:00:00","2013-03-08T00:00:00",69367
"2013-03-08T00:00:00","2013-03-09T00:00:00",73928
"2013-03-09T00:00:00","2013-03-10T00:00:00",63293
"2013-03-10T00:00:00","2013-03-11T00:00:00",61163
"2013-03-11T00:00:00","2013-03-12T00:00:00",74571
"2013-03-12T00:00:00","2013-03-13T00:00:00",73973
"2013-03-13T00:00:00","2013-03-14T00:00:00",80959
"2013-03-14T00:00:00","2013-03-15T00:00:00",72075
"2013-03-15T00:00:00","2013-03-16T00:00:00",76941
"2013-03-16T00:00:00","2013-03-17T00:00:00",76078
"2013-03-17T00:00:00","2013-03-18T00:00:00",96737
"2013-03-18T00:00:00","2013-03-19T00:00:00",80813
"2013-03-19T00:00:00","2013-03-20T00:00:00",69194
"2013-03-20T00:00:00","2013-03-21T00:00:00",73701
"2013-03-21T00:00:00","2013-03-22T00:00:00",72548
"2013-03-22T00:00:00","2013-03-23T00:00:00",75597
"2013-03-23T00:00:00","2013-03-24T00:00:00",94297
"2013-03-24T00:00:00","2013-03-25T00:00:00",66666
"2013-03-25T00:00:00","2013-03-26T00:00:00",71272
"2013-03-26T00:00:00","2013-03-27T00:00:00",71025
