startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",4137
"2013-01-02T00:00:00","2013-01-03T00:00:00",5824
"2013-01-03T00:00:00","2013-01-04T00:00:00",6338
"2013-01-04T00:00:00","2013-01-05T00:00:00",6701
"2013-01-05T00:00:00","2013-01-06T00:00:00",6168
"2013-01-06T00:00:00","2013-01-07T00:00:00",6009
"2013-01-07T00:00:00","2013-01-08T00:00:00",7124
"2013-01-08T00:00:00","2013-01-09T00:00:00",6964
"2013-01-09T00:00:00","2013-01-10T00:00:00",6563
"2013-01-10T00:00:00","2013-01-11T00:00:00",6818
"2013-01-11T00:00:00","2013-01-12T00:00:00",7263
"2013-01-12T00:00:00","2013-01-13T00:00:00",6370
"2013-01-13T00:00:00","2013-01-14T00:00:00",5758
"2013-01-14T00:00:00","2013-01-15T00:00:00",6910
"2013-01-15T00:00:00","2013-01-16T00:00:00",7593
"2013-01-16T00:00:00","2013-01-17T00:00:00",7250
"2013-01-17T00:00:00","2013-01-18T00:00:00",8153
"2013-01-18T00:00:00","2013-01-19T00:00:00",6989
"2013-01-19T00:00:00","2013-01-20T00:00:00",6809
"2013-01-20T00:00:00","2013-01-21T00:00:00",5983
"2013-01-21T00:00:00","2013-01-22T00:00:00",7426
"2013-01-22T00:00:00","2013-01-23T00:00:00",6213
"2013-01-23T00:00:00","2013-01-24T00:00:00",7020
"2013-01-24T00:00:00","2013-01-25T00:00:00",7735
"2013-01-25T00:00:00","2013-01-26T00:00:00",7247
"2013-01-26T00:00:00","2013-01-27T00:00:00",6389
"2013-01-27T00:00:00","2013-01-28T00:00:00",6912
"2013-01-28T00:00:00","2013-01-29T00:00:00",8084
"2013-01-29T00:00:00","2013-01-30T00:00:00",7213
"2013-01-30T00:00:00","2013-01-31T00:00:00",7832
"2013-01-31T00:00:00","2013-02-01T00:00:00",7683
"2013-02-01T00:00:00","2013-02-02T00:00:00",8205
"2013-02-02T00:00:00","2013-02-03T00:00:00",7155
"2013-02-03T00:00:00","2013-02-04T00:00:00",6671
"2013-02-04T00:00:00","2013-02-05T00:00:00",8060
"2013-02-05T00:00:00","2013-02-06T00:00:00",7330
"2013-02-06T00:00:00","2013-02-07T00:00:00",7576
"2013-02-07T00:00:00","2013-02-08T00:00:00",7419
"2013-02-08T00:00:00","2013-02-09T00:00:00",6991
"2013-02-09T00:00:00","2013-02-10T00:00:00",6960
"2013-02-10T00:00:00","2013-02-11T00:00:00",6136
"2013-02-11T00:00:00","2013-02-12T00:00:00",7086
"2013-02-12T00:00:00","2013-02-13T00:00:00",7198
"2013-02-13T00:00:00","2013-02-14T00:00:00",7283
"2013-02-14T00:00:00","2013-02-15T00:00:00",7168
"2013-02-15T00:00:00","2013-02-16T00:00:00",6705
"2013-02-16T00:00:00","2013-02-17T00:00:00",6363
"2013-02-17T00:00:00","2013-02-18T00:00:00",6467
"2013-02-18T00:00:00","2013-02-19T00:00:00",7475
"2013-02-19T00:00:00","2013-02-20T00:00:00",7532
"2013-02-20T00:00:00","2013-02-21T00:00:00",7513
"2013-02-21T00:00:00","2013-02-22T00:00:00",7680
"2013-02-22T00:00:00","2013-02-23T00:00:00",7495
"2013-02-23T00:00:00","2013-02-24T00:00:00",6672
"2013-02-24T00:00:00","2013-02-25T00:00:00",8166
"2013-02-25T00:00:00","2013-02-26T00:00:00",7713
"2013-02-26T00:00:00","2013-02-27T00:00:00",8341
"2013-02-27T00:00:00","2013-02-28T00:00:00",7906
"2013-02-28T00:00:00","2013-03-01T00:00:00",7648
"2013-03-01T00:00:00","2013-03-02T00:00:00",7820
"2013-03-02T00:00:00","2013-03-03T00:00:00",7499
"2013-03-03T00:00:00","2013-03-04T00:00:00",6770
"2013-03-04T00:00:00","2013-03-05T00:00:00",7598
"2013-03-05T00:00:00","2013-03-06T00:00:00",9948
"2013-03-06T00:00:00","2013-03-07T00:00:00",12235
"2013-03-07T00:00:00","2013-03-08T00:00:00",10261
"2013-03-08T00:00:00","2013-03-09T00:00:00",7471
"2013-03-09T00:00:00","2013-03-10T00:00:00",6946
"2013-03-10T00:00:00","2013-03-11T00:00:00",7375
"2013-03-11T00:00:00","2013-03-12T00:00:00",9634
"2013-03-12T00:00:00","2013-03-13T00:00:00",8607
"2013-03-13T00:00:00","2013-03-14T00:00:00",8476
"2013-03-14T00:00:00","2013-03-15T00:00:00",7826
"2013-03-15T00:00:00","2013-03-16T00:00:00",8749
"2013-03-16T00:00:00","2013-03-17T00:00:00",9691
"2013-03-17T00:00:00","2013-03-18T00:00:00",11824
"2013-03-18T00:00:00","2013-03-19T00:00:00",9907
"2013-03-19T00:00:00","2013-03-20T00:00:00",8160
"2013-03-20T00:00:00","2013-03-21T00:00:00",8592
"2013-03-21T00:00:00","2013-03-22T00:00:00",8264
"2013-03-22T00:00:00","2013-03-23T00:00:00",8467
"2013-03-23T00:00:00","2013-03-24T00:00:00",12067
"2013-03-24T00:00:00","2013-03-25T00:00:00",7752
"2013-03-25T00:00:00","2013-03-26T00:00:00",8183
"2013-03-26T00:00:00","2013-03-27T00:00:00",8143
"2013-03-27T00:00:00","2013-03-28T00:00:00",8440
"2013-03-28T00:00:00","2013-03-29T00:00:00",7585
"2013-03-29T00:00:00","2013-03-30T00:00:00",6926
"2013-03-30T00:00:00","2013-03-31T00:00:00",7912
"2013-03-31T00:00:00","2013-04-01T00:00:00",7520
"2013-04-01T00:00:00","2013-04-02T00:00:00",8225
"2013-04-02T00:00:00","2013-04-03T00:00:00",8891
"2013-04-03T00:00:00","2013-04-04T00:00:00",8618
"2013-04-04T00:00:00","2013-04-05T00:00:00",7926
"2013-04-05T00:00:00","2013-04-06T00:00:00",7930
"2013-04-06T00:00:00","2013-04-07T00:00:00",8513
"2013-04-07T00:00:00","2013-04-08T00:00:00",7587
"2013-04-08T00:00:00","2013-04-09T00:00:00",8879
"2013-04-09T00:00:00","2013-04-10T00:00:00",8649
"2013-04-10T00:00:00","2013-04-11T00:00:00",9107
"2013-04-11T00:00:00","2013-04-12T00:00:00",8365
"2013-04-12T00:00:00","2013-04-13T00:00:00",8178
"2013-04-13T00:00:00","2013-04-14T00:00:00",8321
"2013-04-14T00:00:00","2013-04-15T00:00:00",8256
"2013-04-15T00:00:00","2013-04-16T00:00:00",13260
"2013-04-16T00:00:00","2013-04-17T00:00:00",10113
"2013-04-17T00:00:00","2013-04-18T00:00:00",9060
"2013-04-18T00:00:00","2013-04-19T00:00:00",10893
"2013-04-19T00:00:00","2013-04-20T00:00:00",9262
"2013-04-20T00:00:00","2013-04-21T00:00:00",8804
"2013-04-21T00:00:00","2013-04-22T00:00:00",8650
"2013-04-22T00:00:00","2013-04-23T00:00:00",8531
"2013-04-23T00:00:00","2013-04-24T00:00:00",9122
"2013-04-24T00:00:00","2013-04-25T00:00:00",9093
"2013-04-25T00:00:00","2013-04-26T00:00:00",8288
"2013-04-26T00:00:00","2013-04-27T00:00:00",8922
"2013-04-27T00:00:00","2013-04-28T00:00:00",8278
"2013-04-28T00:00:00","2013-04-29T00:00:00",8518
"2013-04-29T00:00:00","2013-04-30T00:00:00",9914
"2013-04-30T00:00:00","2013-05-01T00:00:00",9424
"2013-05-01T00:00:00","2013-05-02T00:00:00",10237
"2013-05-02T00:00:00","2013-05-03T00:00:00",8900
"2013-05-03T00:00:00","2013-05-04T00:00:00",8412
"2013-05-04T00:00:00","2013-05-05T00:00:00",8090
"2013-05-05T00:00:00","2013-05-06T00:00:00",10534
"2013-05-06T00:00:00","2013-05-07T00:00:00",9373
"2013-05-07T00:00:00","2013-05-08T00:00:00",8673
"2013-05-08T00:00:00","2013-05-09T00:00:00",9068
"2013-05-09T00:00:00","2013-05-10T00:00:00",8710
"2013-05-10T00:00:00","2013-05-11T00:00:00",9564
"2013-05-11T00:00:00","2013-05-12T00:00:00",8051
"2013-05-12T00:00:00","2013-05-13T00:00:00",7204
"2013-05-13T00:00:00","2013-05-14T00:00:00",8175
"2013-05-14T00:00:00","2013-05-15T00:00:00",8483
"2013-05-15T00:00:00","2013-05-16T00:00:00",9260
"2013-05-16T00:00:00","2013-05-17T00:00:00",9361
"2013-05-17T00:00:00","2013-05-18T00:00:00",8986
"2013-05-18T00:00:00","2013-05-19T00:00:00",9183
"2013-05-19T00:00:00","2013-05-20T00:00:00",7923
"2013-05-20T00:00:00","2013-05-21T00:00:00",8917
"2013-05-21T00:00:00","2013-05-22T00:00:00",8711
"2013-05-22T00:00:00","2013-05-23T00:00:00",7911
"2013-05-23T00:00:00","2013-05-24T00:00:00",8520
"2013-05-24T00:00:00","2013-05-25T00:00:00",7922
"2013-05-25T00:00:00","2013-05-26T00:00:00",8975
"2013-05-26T00:00:00","2013-05-27T00:00:00",7377
"2013-05-27T00:00:00","2013-05-28T00:00:00",9243
"2013-05-28T00:00:00","2013-05-29T00:00:00",8085
"2013-05-29T00:00:00","2013-05-30T00:00:00",8379
"2013-05-30T00:00:00","2013-05-31T00:00:00",9427
"2013-05-31T00:00:00","2013-06-01T00:00:00",8166
"2013-06-01T00:00:00","2013-06-02T00:00:00",8690
"2013-06-02T00:00:00","2013-06-03T00:00:00",7778
"2013-06-03T00:00:00","2013-06-04T00:00:00",8342
"2013-06-04T00:00:00","2013-06-05T00:00:00",7960
"2013-06-05T00:00:00","2013-06-06T00:00:00",8156
"2013-06-06T00:00:00","2013-06-07T00:00:00",8192
"2013-06-07T00:00:00","2013-06-08T00:00:00",10121
"2013-06-08T00:00:00","2013-06-09T00:00:00",9517
"2013-06-09T00:00:00","2013-06-10T00:00:00",7774
"2013-06-10T00:00:00","2013-06-11T00:00:00",8434
"2013-06-11T00:00:00","2013-06-12T00:00:00",10781
"2013-06-12T00:00:00","2013-06-13T00:00:00",10866
"2013-06-13T00:00:00","2013-06-14T00:00:00",8813
"2013-06-14T00:00:00","2013-06-15T00:00:00",7950
"2013-06-15T00:00:00","2013-06-16T00:00:00",7891
"2013-06-16T00:00:00","2013-06-17T00:00:00",7963
"2013-06-17T00:00:00","2013-06-18T00:00:00",8114
"2013-06-18T00:00:00","2013-06-19T00:00:00",9170
"2013-06-19T00:00:00","2013-06-20T00:00:00",8156
"2013-06-20T00:00:00","2013-06-21T00:00:00",9696
"2013-06-21T00:00:00","2013-06-22T00:00:00",8193
"2013-06-22T00:00:00","2013-06-23T00:00:00",7725
"2013-06-23T00:00:00","2013-06-24T00:00:00",7917
"2013-06-24T00:00:00","2013-06-25T00:00:00",10230
"2013-06-25T00:00:00","2013-06-26T00:00:00",8431
"2013-06-26T00:00:00","2013-06-27T00:00:00",8657
"2013-06-27T00:00:00","2013-06-28T00:00:00",9454
"2013-06-28T00:00:00","2013-06-29T00:00:00",8369
"2013-06-29T00:00:00","2013-06-30T00:00:00",7899
"2013-06-30T00:00:00","2013-07-01T00:00:00",9419
"2013-07-01T00:00:00","2013-07-02T00:00:00",8868
"2013-07-02T00:00:00","2013-07-03T00:00:00",8689
"2013-07-03T00:00:00","2013-07-04T00:00:00",10305
"2013-07-04T00:00:00","2013-07-05T00:00:00",8653
"2013-07-05T00:00:00","2013-07-06T00:00:00",9305
"2013-07-06T00:00:00","2013-07-07T00:00:00",7695
"2013-07-07T00:00:00","2013-07-08T00:00:00",7360
"2013-07-08T00:00:00","2013-07-09T00:00:00",9255
"2013-07-09T00:00:00","2013-07-10T00:00:00",8584
"2013-07-10T00:00:00","2013-07-11T00:00:00",9568
"2013-07-11T00:00:00","2013-07-12T00:00:00",9222
"2013-07-12T00:00:00","2013-07-13T00:00:00",9007
"2013-07-13T00:00:00","2013-07-14T00:00:00",8625
"2013-07-14T00:00:00","2013-07-15T00:00:00",12659
"2013-07-15T00:00:00","2013-07-16T00:00:00",11169
"2013-07-16T00:00:00","2013-07-17T00:00:00",9088
"2013-07-17T00:00:00","2013-07-18T00:00:00",9717
"2013-07-18T00:00:00","2013-07-19T00:00:00",8962
"2013-07-19T00:00:00","2013-07-20T00:00:00",9024
"2013-07-20T00:00:00","2013-07-21T00:00:00",8245
"2013-07-21T00:00:00","2013-07-22T00:00:00",11032
"2013-07-22T00:00:00","2013-07-23T00:00:00",9452
"2013-07-23T00:00:00","2013-07-24T00:00:00",9335
"2013-07-24T00:00:00","2013-07-25T00:00:00",8981
"2013-07-25T00:00:00","2013-07-26T00:00:00",10171
"2013-07-26T00:00:00","2013-07-27T00:00:00",8615
"2013-07-27T00:00:00","2013-07-28T00:00:00",8237
"2013-07-28T00:00:00","2013-07-29T00:00:00",8911
"2013-07-29T00:00:00","2013-07-30T00:00:00",9053
"2013-07-30T00:00:00","2013-07-31T00:00:00",8698
"2013-07-31T00:00:00","2013-08-01T00:00:00",8721
"2013-08-01T00:00:00","2013-08-02T00:00:00",8781
"2013-08-02T00:00:00","2013-08-03T00:00:00",8829
"2013-08-03T00:00:00","2013-08-04T00:00:00",12845
