startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",145774
"2013-01-02T00:00:00","2013-01-03T00:00:00",155160
"2013-01-03T00:00:00","2013-01-04T00:00:00",168087
"2013-01-04T00:00:00","2013-01-05T00:00:00",179550
"2013-01-05T00:00:00","2013-01-06T00:00:00",169709
"2013-01-06T00:00:00","2013-01-07T00:00:00",153993
"2013-01-07T00:00:00","2013-01-08T00:00:00",188555
"2013-01-08T00:00:00","2013-01-09T00:00:00",180248
"2013-01-09T00:00:00","2013-01-10T00:00:00",174605
"2013-01-10T00:00:00","2013-01-11T00:00:00",189552
"2013-01-11T00:00:00","2013-01-12T00:00:00",183011
"2013-01-12T00:00:00","2013-01-13T00:00:00",165464
"2013-01-13T00:00:00","2013-01-14T00:00:00",148426
"2013-01-14T00:00:00","2013-01-15T00:00:00",175981
"2013-01-15T00:00:00","2013-01-16T00:00:00",186442
"2013-01-16T00:00:00","2013-01-17T00:00:00",182877
"2013-01-17T00:00:00","2013-01-18T00:00:00",183690
"2013-01-18T00:00:00","2013-01-19T00:00:00",191856
"2013-01-19T00:00:00","2013-01-20T00:00:00",173261
"2013-01-20T00:00:00","2013-01-21T00:00:00",155944
"2013-01-21T00:00:00","2013-01-22T00:00:00",180627
"2013-01-22T00:00:00","2013-01-23T00:00:00",163622
"2013-01-23T00:00:00","2013-01-24T00:00:00",187209
"2013-01-24T00:00:00","2013-01-25T00:00:00",194883
"2013-01-25T00:00:00","2013-01-26T00:00:00",187991
"2013-01-26T00:00:00","2013-01-27T00:00:00",170801
"2013-01-27T00:00:00","2013-01-28T00:00:00",165769
"2013-01-28T00:00:00","2013-01-29T00:00:00",192921
"2013-01-29T00:00:00","2013-01-30T00:00:00",195941
"2013-01-30T00:00:00","2013-01-31T00:00:00",192402
"2013-01-31T00:00:00","2013-02-01T00:00:00",181369
"2013-02-01T00:00:00","2013-02-02T00:00:00",200115
"2013-02-02T00:00:00","2013-02-03T00:00:00",167835
"2013-02-03T00:00:00","2013-02-04T00:00:00",173729
"2013-02-04T00:00:00","2013-02-05T00:00:00",182315
"2013-02-05T00:00:00","2013-02-06T00:00:00",187487
"2013-02-06T00:00:00","2013-02-07T00:00:00",195523
"2013-02-07T00:00:00","2013-02-08T00:00:00",189570
"2013-02-08T00:00:00","2013-02-09T00:00:00",180700
"2013-02-09T00:00:00","2013-02-10T00:00:00",171377
"2013-02-10T00:00:00","2013-02-11T00:00:00",160327
