"date","unique_authors"
2019-01-01,"20809"
2019-01-02,"20262"
2019-01-03,"20738"
2019-01-04,"19165"
2019-01-05,"17869"
2019-01-06,"21168"
2019-01-07,"21639"
2019-01-08,"21623"
2019-01-09,"22098"
2019-01-10,"20896"
2019-01-11,"18832"
2019-01-12,"17942"
2019-01-13,"20659"
2019-01-14,"20531"
2019-01-15,"21134"
2019-01-16,"20757"
2019-01-17,"20942"
2019-01-18,"18902"
2019-01-19,"17581"
2019-01-20,"20865"
2019-01-21,"20302"
2019-01-22,"22108"
2019-01-23,"22315"
2019-01-24,"22665"
2019-01-25,"19362"
2019-01-26,"17684"
2019-01-27,"20006"
2019-01-28,"20455"
2019-01-29,"21733"
2019-01-30,"21248"
2019-01-31,"20755"
2019-02-01,"18911"
2019-02-02,"17761"
2019-02-03,"19680"
2019-02-04,"20178"
2019-02-05,"20518"
2019-02-06,"19787"
2019-02-07,"20171"
2019-02-08,"18374"
2019-02-09,"17832"
2019-02-10,"19572"
2019-02-11,"19240"
2019-02-12,"20790"
2019-02-13,"20631"
2019-02-14,"19705"
2019-02-15,"18665"
2019-02-16,"18427"
2019-02-17,"19434"
2019-02-18,"20362"
2019-02-19,"20271"
2019-02-20,"20800"
2019-02-21,"21650"
2019-02-22,"19370"
2019-02-23,"18801"
2019-02-24,"21585"
2019-02-25,"20210"
2019-02-26,"21424"
2019-02-27,"20839"
2019-02-28,"21262"
2019-03-01,"19763"
2019-03-02,"17591"
2019-03-03,"20002"
2019-03-04,"20804"
2019-03-05,"21511"
2019-03-06,"22248"
2019-03-07,"22283"
2019-03-08,"18960"
2019-03-09,"18215"
2019-03-10,"20817"
2019-03-11,"21153"
2019-03-12,"22383"
2019-03-13,"22415"
2019-03-14,"20637"
2019-03-15,"18763"
2019-03-16,"17873"
2019-03-17,"20317"
2019-03-18,"20460"
2019-03-19,"20578"
2019-03-20,"21198"
2019-03-21,"20997"
2019-03-22,"18991"
2019-03-23,"18258"
2019-03-24,"21312"
2019-03-25,"20398"
2019-03-26,"21209"
2019-03-27,"21032"
2019-03-28,"20991"
2019-03-29,"18771"
2019-03-30,"18376"
2019-03-31,"20104"
2019-04-01,"20695"
2019-04-02,"21297"
2019-04-03,"21014"
2019-04-04,"21707"
2019-04-05,"19616"
2019-04-06,"18473"
2019-04-07,"20091"
2019-04-08,"20978"
2019-04-09,"22013"
2019-04-10,"21106"
2019-04-11,"21847"
2019-04-12,"18969"
2019-04-13,"18742"
2019-04-14,"22368"
2019-04-15,"22139"
2019-04-16,"27331"
2019-04-17,"21166"
2019-04-18,"20297"
2019-04-19,"19803"
2019-04-20,"19346"
2019-04-21,"22521"
2019-04-22,"22502"
2019-04-23,"23530"
2019-04-24,"23136"
2019-04-25,"21866"
