startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",243223
"2013-01-02T00:00:00","2013-01-03T00:00:00",301011
"2013-01-03T00:00:00","2013-01-04T00:00:00",332646
"2013-01-04T00:00:00","2013-01-05T00:00:00",337307
"2013-01-05T00:00:00","2013-01-06T00:00:00",314080
"2013-01-06T00:00:00","2013-01-07T00:00:00",318215
"2013-01-07T00:00:00","2013-01-08T00:00:00",351208
"2013-01-08T00:00:00","2013-01-09T00:00:00",317144
"2013-01-09T00:00:00","2013-01-10T00:00:00",322357
"2013-01-10T00:00:00","2013-01-11T00:00:00",315018
"2013-01-11T00:00:00","2013-01-12T00:00:00",262041
"2013-01-12T00:00:00","2013-01-13T00:00:00",291665
"2013-01-13T00:00:00","2013-01-14T00:00:00",370706
"2013-01-14T00:00:00","2013-01-15T00:00:00",338001
"2013-01-15T00:00:00","2013-01-16T00:00:00",352668
"2013-01-16T00:00:00","2013-01-17T00:00:00",358414
"2013-01-17T00:00:00","2013-01-18T00:00:00",352485
"2013-01-18T00:00:00","2013-01-19T00:00:00",308672
"2013-01-19T00:00:00","2013-01-20T00:00:00",340372
"2013-01-20T00:00:00","2013-01-21T00:00:00",409593
"2013-01-21T00:00:00","2013-01-22T00:00:00",333485
"2013-01-22T00:00:00","2013-01-23T00:00:00",350707
"2013-01-23T00:00:00","2013-01-24T00:00:00",362930
"2013-01-24T00:00:00","2013-01-25T00:00:00",398530
"2013-01-25T00:00:00","2013-01-26T00:00:00",287002
"2013-01-26T00:00:00","2013-01-27T00:00:00",293930
"2013-01-27T00:00:00","2013-01-28T00:00:00",390962
"2013-01-28T00:00:00","2013-01-29T00:00:00",367157
"2013-01-29T00:00:00","2013-01-30T00:00:00",356243
"2013-01-30T00:00:00","2013-01-31T00:00:00",369602
"2013-01-31T00:00:00","2013-02-01T00:00:00",374091
"2013-02-01T00:00:00","2013-02-02T00:00:00",310102
"2013-02-02T00:00:00","2013-02-03T00:00:00",342291
"2013-02-03T00:00:00","2013-02-04T00:00:00",431476
"2013-02-04T00:00:00","2013-02-05T00:00:00",396982
"2013-02-05T00:00:00","2013-02-06T00:00:00",373666
"2013-02-06T00:00:00","2013-02-07T00:00:00",364554
"2013-02-07T00:00:00","2013-02-08T00:00:00",379297
"2013-02-08T00:00:00","2013-02-09T00:00:00",294539
"2013-02-09T00:00:00","2013-02-10T00:00:00",291293
"2013-02-10T00:00:00","2013-02-11T00:00:00",376416
"2013-02-11T00:00:00","2013-02-12T00:00:00",387324
"2013-02-12T00:00:00","2013-02-13T00:00:00",397946
"2013-02-13T00:00:00","2013-02-14T00:00:00",362642
"2013-02-14T00:00:00","2013-02-15T00:00:00",349710
"2013-02-15T00:00:00","2013-02-16T00:00:00",298511
"2013-02-16T00:00:00","2013-02-17T00:00:00",291420
"2013-02-17T00:00:00","2013-02-18T00:00:00",414016
"2013-02-18T00:00:00","2013-02-19T00:00:00",386058
"2013-02-19T00:00:00","2013-02-20T00:00:00",384193
"2013-02-20T00:00:00","2013-02-21T00:00:00",382988
