startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",56132
"2013-01-02T00:00:00","2013-01-03T00:00:00",72241
"2013-01-03T00:00:00","2013-01-04T00:00:00",84309
"2013-01-04T00:00:00","2013-01-05T00:00:00",81757
"2013-01-05T00:00:00","2013-01-06T00:00:00",81251
"2013-01-06T00:00:00","2013-01-07T00:00:00",91340
"2013-01-07T00:00:00","2013-01-08T00:00:00",94875
"2013-01-08T00:00:00","2013-01-09T00:00:00",82087
"2013-01-09T00:00:00","2013-01-10T00:00:00",85311
"2013-01-10T00:00:00","2013-01-11T00:00:00",83296
"2013-01-11T00:00:00","2013-01-12T00:00:00",72174
"2013-01-12T00:00:00","2013-01-13T00:00:00",76794
"2013-01-13T00:00:00","2013-01-14T00:00:00",100287
"2013-01-14T00:00:00","2013-01-15T00:00:00",87298
"2013-01-15T00:00:00","2013-01-16T00:00:00",91821
"2013-01-16T00:00:00","2013-01-17T00:00:00",94027
"2013-01-17T00:00:00","2013-01-18T00:00:00",91477
"2013-01-18T00:00:00","2013-01-19T00:00:00",81999
"2013-01-19T00:00:00","2013-01-20T00:00:00",87735
"2013-01-20T00:00:00","2013-01-21T00:00:00",106179
"2013-01-21T00:00:00","2013-01-22T00:00:00",88282
"2013-01-22T00:00:00","2013-01-23T00:00:00",87956
"2013-01-23T00:00:00","2013-01-24T00:00:00",94784
"2013-01-24T00:00:00","2013-01-25T00:00:00",101502
"2013-01-25T00:00:00","2013-01-26T00:00:00",74842
"2013-01-26T00:00:00","2013-01-27T00:00:00",75269
"2013-01-27T00:00:00","2013-01-28T00:00:00",103625
"2013-01-28T00:00:00","2013-01-29T00:00:00",95279
"2013-01-29T00:00:00","2013-01-30T00:00:00",89685
"2013-01-30T00:00:00","2013-01-31T00:00:00",96979
"2013-01-31T00:00:00","2013-02-01T00:00:00",107056
"2013-02-01T00:00:00","2013-02-02T00:00:00",83466
"2013-02-02T00:00:00","2013-02-03T00:00:00",91537
"2013-02-03T00:00:00","2013-02-04T00:00:00",118943
"2013-02-04T00:00:00","2013-02-05T00:00:00",94434
"2013-02-05T00:00:00","2013-02-06T00:00:00",95457
"2013-02-06T00:00:00","2013-02-07T00:00:00",101171
"2013-02-07T00:00:00","2013-02-08T00:00:00",94529
"2013-02-08T00:00:00","2013-02-09T00:00:00",82320
"2013-02-09T00:00:00","2013-02-10T00:00:00",77304
"2013-02-10T00:00:00","2013-02-11T00:00:00",94445
"2013-02-11T00:00:00","2013-02-12T00:00:00",96412
"2013-02-12T00:00:00","2013-02-13T00:00:00",99679
"2013-02-13T00:00:00","2013-02-14T00:00:00",93845
"2013-02-14T00:00:00","2013-02-15T00:00:00",85731
"2013-02-15T00:00:00","2013-02-16T00:00:00",71528
"2013-02-16T00:00:00","2013-02-17T00:00:00",73912
"2013-02-17T00:00:00","2013-02-18T00:00:00",109860
"2013-02-18T00:00:00","2013-02-19T00:00:00",98962
"2013-02-19T00:00:00","2013-02-20T00:00:00",95043
"2013-02-20T00:00:00","2013-02-21T00:00:00",100403
"2013-02-21T00:00:00","2013-02-22T00:00:00",93442
"2013-02-22T00:00:00","2013-02-23T00:00:00",79544
"2013-02-23T00:00:00","2013-02-24T00:00:00",82081
"2013-02-24T00:00:00","2013-02-25T00:00:00",103226
