startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",1498032
"2013-01-02T00:00:00","2013-01-03T00:00:00",1357927
"2013-01-03T00:00:00","2013-01-04T00:00:00",1462666
"2013-01-04T00:00:00","2013-01-05T00:00:00",1439334
"2013-01-05T00:00:00","2013-01-06T00:00:00",1334482
"2013-01-06T00:00:00","2013-01-07T00:00:00",1406712
"2013-01-07T00:00:00","2013-01-08T00:00:00",1532200
"2013-01-08T00:00:00","2013-01-09T00:00:00",1346879
"2013-01-09T00:00:00","2013-01-10T00:00:00",1360262
"2013-01-10T00:00:00","2013-01-11T00:00:00",1361021
"2013-01-11T00:00:00","2013-01-12T00:00:00",1197362
"2013-01-12T00:00:00","2013-01-13T00:00:00",1269226
"2013-01-13T00:00:00","2013-01-14T00:00:00",1572566
"2013-01-14T00:00:00","2013-01-15T00:00:00",1478477
"2013-01-15T00:00:00","2013-01-16T00:00:00",1481865
"2013-01-16T00:00:00","2013-01-17T00:00:00",1517947
"2013-01-17T00:00:00","2013-01-18T00:00:00",1515749
"2013-01-18T00:00:00","2013-01-19T00:00:00",1348769
"2013-01-19T00:00:00","2013-01-20T00:00:00",1444243
"2013-01-20T00:00:00","2013-01-21T00:00:00",1706275
"2013-01-21T00:00:00","2013-01-22T00:00:00",1425495
"2013-01-22T00:00:00","2013-01-23T00:00:00",1510840
"2013-01-23T00:00:00","2013-01-24T00:00:00",1533162
"2013-01-24T00:00:00","2013-01-25T00:00:00",1653378
"2013-01-25T00:00:00","2013-01-26T00:00:00",1346422
"2013-01-26T00:00:00","2013-01-27T00:00:00",1367191
"2013-01-27T00:00:00","2013-01-28T00:00:00",1695899
"2013-01-28T00:00:00","2013-01-29T00:00:00",1615179
"2013-01-29T00:00:00","2013-01-30T00:00:00",1548885
"2013-01-30T00:00:00","2013-01-31T00:00:00",1548914
"2013-01-31T00:00:00","2013-02-01T00:00:00",1429106
"2013-02-01T00:00:00","2013-02-02T00:00:00",1346834
"2013-02-02T00:00:00","2013-02-03T00:00:00",1417954
"2013-02-03T00:00:00","2013-02-04T00:00:00",1764665
"2013-02-04T00:00:00","2013-02-05T00:00:00",1566401
"2013-02-05T00:00:00","2013-02-06T00:00:00",1579244
"2013-02-06T00:00:00","2013-02-07T00:00:00",1585512
"2013-02-07T00:00:00","2013-02-08T00:00:00",1649294
