startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",96981
"2013-01-02T00:00:00","2013-01-03T00:00:00",126801
"2013-01-03T00:00:00","2013-01-04T00:00:00",142651
"2013-01-04T00:00:00","2013-01-05T00:00:00",132959
"2013-01-05T00:00:00","2013-01-06T00:00:00",130150
"2013-01-06T00:00:00","2013-01-07T00:00:00",138403
"2013-01-07T00:00:00","2013-01-08T00:00:00",148729
"2013-01-08T00:00:00","2013-01-09T00:00:00",127555
"2013-01-09T00:00:00","2013-01-10T00:00:00",129323
"2013-01-10T00:00:00","2013-01-11T00:00:00",129615
"2013-01-11T00:00:00","2013-01-12T00:00:00",108750
"2013-01-12T00:00:00","2013-01-13T00:00:00",126562
"2013-01-13T00:00:00","2013-01-14T00:00:00",163435
"2013-01-14T00:00:00","2013-01-15T00:00:00",140473
"2013-01-15T00:00:00","2013-01-16T00:00:00",150179
"2013-01-16T00:00:00","2013-01-17T00:00:00",147370
"2013-01-17T00:00:00","2013-01-18T00:00:00",142351
"2013-01-18T00:00:00","2013-01-19T00:00:00",125070
"2013-01-19T00:00:00","2013-01-20T00:00:00",147377
"2013-01-20T00:00:00","2013-01-21T00:00:00",184558
"2013-01-21T00:00:00","2013-01-22T00:00:00",137878
"2013-01-22T00:00:00","2013-01-23T00:00:00",137667
"2013-01-23T00:00:00","2013-01-24T00:00:00",146625
"2013-01-24T00:00:00","2013-01-25T00:00:00",165514
"2013-01-25T00:00:00","2013-01-26T00:00:00",116854
"2013-01-26T00:00:00","2013-01-27T00:00:00",122624
"2013-01-27T00:00:00","2013-01-28T00:00:00",171853
"2013-01-28T00:00:00","2013-01-29T00:00:00",145602
"2013-01-29T00:00:00","2013-01-30T00:00:00",137475
"2013-01-30T00:00:00","2013-01-31T00:00:00",146316
"2013-01-31T00:00:00","2013-02-01T00:00:00",146749
"2013-02-01T00:00:00","2013-02-02T00:00:00",119737
"2013-02-02T00:00:00","2013-02-03T00:00:00",138124
"2013-02-03T00:00:00","2013-02-04T00:00:00",192471
"2013-02-04T00:00:00","2013-02-05T00:00:00",150351
"2013-02-05T00:00:00","2013-02-06T00:00:00",140149
"2013-02-06T00:00:00","2013-02-07T00:00:00",142855
"2013-02-07T00:00:00","2013-02-08T00:00:00",142618
"2013-02-08T00:00:00","2013-02-09T00:00:00",114882
"2013-02-09T00:00:00","2013-02-10T00:00:00",116488
"2013-02-10T00:00:00","2013-02-11T00:00:00",152192
"2013-02-11T00:00:00","2013-02-12T00:00:00",149610
