startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",3307099
"2013-01-02T00:00:00","2013-01-03T00:00:00",3418535
"2013-01-03T00:00:00","2013-01-04T00:00:00",3658473
"2013-01-04T00:00:00","2013-01-05T00:00:00",3648271
"2013-01-05T00:00:00","2013-01-06T00:00:00",3442736
"2013-01-06T00:00:00","2013-01-07T00:00:00",3518042
"2013-01-07T00:00:00","2013-01-08T00:00:00",3844073
"2013-01-08T00:00:00","2013-01-09T00:00:00",3404834
"2013-01-09T00:00:00","2013-01-10T00:00:00",3494997
"2013-01-10T00:00:00","2013-01-11T00:00:00",3473554
"2013-01-11T00:00:00","2013-01-12T00:00:00",3023267
"2013-01-12T00:00:00","2013-01-13T00:00:00",3236480
"2013-01-13T00:00:00","2013-01-14T00:00:00",3951770
"2013-01-14T00:00:00","2013-01-15T00:00:00",3675712
"2013-01-15T00:00:00","2013-01-16T00:00:00",3762988
"2013-01-16T00:00:00","2013-01-17T00:00:00",3838958
"2013-01-17T00:00:00","2013-01-18T00:00:00",3827452
"2013-01-18T00:00:00","2013-01-19T00:00:00",3439334
"2013-01-19T00:00:00","2013-01-20T00:00:00",3723854
"2013-01-20T00:00:00","2013-01-21T00:00:00",4365494
"2013-01-21T00:00:00","2013-01-22T00:00:00",3588427
"2013-01-22T00:00:00","2013-01-23T00:00:00",3819409
"2013-01-23T00:00:00","2013-01-24T00:00:00",3917059
"2013-01-24T00:00:00","2013-01-25T00:00:00",4226955
"2013-01-25T00:00:00","2013-01-26T00:00:00",3374728
"2013-01-26T00:00:00","2013-01-27T00:00:00",3408440
"2013-01-27T00:00:00","2013-01-28T00:00:00",4315680
"2013-01-28T00:00:00","2013-01-29T00:00:00",3978917
"2013-01-29T00:00:00","2013-01-30T00:00:00",3851841
"2013-01-30T00:00:00","2013-01-31T00:00:00",3995246
"2013-01-31T00:00:00","2013-02-01T00:00:00",3742797
"2013-02-01T00:00:00","2013-02-02T00:00:00",3450079
"2013-02-02T00:00:00","2013-02-03T00:00:00",3668406
"2013-02-03T00:00:00","2013-02-04T00:00:00",4532308
"2013-02-04T00:00:00","2013-02-05T00:00:00",3931984
"2013-02-05T00:00:00","2013-02-06T00:00:00",3919479
"2013-02-06T00:00:00","2013-02-07T00:00:00",3970232
"2013-02-07T00:00:00","2013-02-08T00:00:00",4141475
"2013-02-08T00:00:00","2013-02-09T00:00:00",3351253
"2013-02-09T00:00:00","2013-02-10T00:00:00",3391789
"2013-02-10T00:00:00","2013-02-11T00:00:00",4061169
"2013-02-11T00:00:00","2013-02-12T00:00:00",4232399
"2013-02-12T00:00:00","2013-02-13T00:00:00",4113639
"2013-02-13T00:00:00","2013-02-14T00:00:00",3962539
"2013-02-14T00:00:00","2013-02-15T00:00:00",3946376
"2013-02-15T00:00:00","2013-02-16T00:00:00",3261971
"2013-02-16T00:00:00","2013-02-17T00:00:00",3368913
