"date","nretweets"
2019-01-01,"749082"
2019-01-02,"1302309"
2019-01-03,"721689"
2019-01-04,"820998"
2019-01-05,"773672"
2019-01-06,"1036984"
2019-01-07,"1038918"
2019-01-08,"715452"
2019-01-09,"1252733"
2019-01-10,"1249102"
2019-01-11,"580738"
2019-01-12,"1303572"
2019-01-13,"873929"
2019-01-14,"997000"
2019-01-15,"796250"
2019-01-16,"1160963"
2019-01-17,"1092283"
2019-01-18,"635050"
2019-01-19,"975488"
2019-01-20,"862009"
2019-01-21,"1464811"
2019-01-22,"899230"
2019-01-23,"1307992"
2019-01-24,"691099"
2019-01-25,"1025971"
2019-01-26,"2198184"
2019-01-27,"1550976"
2019-01-28,"1023524"
2019-01-29,"1124570"
2019-01-30,"1328123"
2019-01-31,"1249023"
2019-02-01,"934912"
2019-02-02,"1064811"
2019-02-03,"843141"
2019-02-04,"934912"
2019-02-05,"904756"
2019-02-06,"1167041"
2019-02-07,"2596960"
2019-02-08,"1818906"
2019-02-09,"1246733"
2019-02-10,"878389"
2019-02-11,"1062877"
2019-02-12,"1014367"
2019-02-13,"913163"
2019-02-14,"1450207"
2019-02-15,"1046141"
2019-02-16,"1152713"
2019-02-17,"1232247"
2019-02-18,"1040260"
2019-02-19,"1351805"
2019-02-20,"908624"
2019-02-21,"1060667"
2019-02-22,"757371"
2019-02-23,"971225"
2019-02-24,"880836"
2019-02-25,"876376"
2019-02-26,"981527"
2019-02-27,"2060785"
2019-02-28,"1181014"
2019-03-01,"1531991"
2019-03-02,"1346635"
2019-03-03,"961397"
2019-03-04,"1150148"
2019-03-05,"1164831"
2019-03-06,"848588"
2019-03-07,"2178725"
2019-03-08,"784566"
2019-03-09,"1172646"
2019-03-10,"1182040"
2019-03-11,"2317189"
2019-03-12,"1138583"
2019-03-13,"1005210"
2019-03-14,"1101164"
2019-03-15,"797789"
2019-03-16,"982395"
2019-03-17,"1182395"
2019-03-18,"1128162"
2019-03-19,"1270179"
2019-03-20,"1292125"
2019-03-21,"1160292"
2019-03-22,"1018630"
2019-03-23,"648154"
2019-03-24,"1511663"
2019-03-25,"1126189"
2019-03-26,"986856"
2019-03-27,"946516"
2019-03-28,"869745"
2019-03-29,"1177580"
2019-03-30,"862680"
2019-03-31,"1165028"
2019-04-01,"982080"
2019-04-02,"2323347"
2019-04-03,"1321728"
2019-04-04,"1079100"
2019-04-05,"666193"
2019-04-06,"1029327"
2019-04-07,"911545"
2019-04-08,"1784093"
2019-04-09,"1293546"
2019-04-10,"971422"
2019-04-11,"841720"
2019-04-12,"1292007"
2019-04-13,"1187566"
