startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",248
"2013-01-02T00:00:00","2013-01-03T00:00:00",322
"2013-01-03T00:00:00","2013-01-04T00:00:00",396
"2013-01-04T00:00:00","2013-01-05T00:00:00",352
"2013-01-05T00:00:00","2013-01-06T00:00:00",316
"2013-01-06T00:00:00","2013-01-07T00:00:00",331
"2013-01-07T00:00:00","2013-01-08T00:00:00",407
"2013-01-08T00:00:00","2013-01-09T00:00:00",382
"2013-01-09T00:00:00","2013-01-10T00:00:00",387
"2013-01-10T00:00:00","2013-01-11T00:00:00",353
"2013-01-11T00:00:00","2013-01-12T00:00:00",379
"2013-01-12T00:00:00","2013-01-13T00:00:00",391
"2013-01-13T00:00:00","2013-01-14T00:00:00",348
"2013-01-14T00:00:00","2013-01-15T00:00:00",386
"2013-01-15T00:00:00","2013-01-16T00:00:00",406
"2013-01-16T00:00:00","2013-01-17T00:00:00",412
"2013-01-17T00:00:00","2013-01-18T00:00:00",410
"2013-01-18T00:00:00","2013-01-19T00:00:00",379
"2013-01-19T00:00:00","2013-01-20T00:00:00",309
"2013-01-20T00:00:00","2013-01-21T00:00:00",400
"2013-01-21T00:00:00","2013-01-22T00:00:00",389
"2013-01-22T00:00:00","2013-01-23T00:00:00",410
"2013-01-23T00:00:00","2013-01-24T00:00:00",411
"2013-01-24T00:00:00","2013-01-25T00:00:00",416
"2013-01-25T00:00:00","2013-01-26T00:00:00",503
"2013-01-26T00:00:00","2013-01-27T00:00:00",279
"2013-01-27T00:00:00","2013-01-28T00:00:00",358
"2013-01-28T00:00:00","2013-01-29T00:00:00",413
"2013-01-29T00:00:00","2013-01-30T00:00:00",434
"2013-01-30T00:00:00","2013-01-31T00:00:00",480
"2013-01-31T00:00:00","2013-02-01T00:00:00",466
"2013-02-01T00:00:00","2013-02-02T00:00:00",433
"2013-02-02T00:00:00","2013-02-03T00:00:00",366
"2013-02-03T00:00:00","2013-02-04T00:00:00",342
"2013-02-04T00:00:00","2013-02-05T00:00:00",457
"2013-02-05T00:00:00","2013-02-06T00:00:00",489
"2013-02-06T00:00:00","2013-02-07T00:00:00",435
"2013-02-07T00:00:00","2013-02-08T00:00:00",406
"2013-02-08T00:00:00","2013-02-09T00:00:00",464
"2013-02-09T00:00:00","2013-02-10T00:00:00",310
"2013-02-10T00:00:00","2013-02-11T00:00:00",391
"2013-02-11T00:00:00","2013-02-12T00:00:00",382
"2013-02-12T00:00:00","2013-02-13T00:00:00",390
"2013-02-13T00:00:00","2013-02-14T00:00:00",407
"2013-02-14T00:00:00","2013-02-15T00:00:00",413
"2013-02-15T00:00:00","2013-02-16T00:00:00",471
"2013-02-16T00:00:00","2013-02-17T00:00:00",297
"2013-02-17T00:00:00","2013-02-18T00:00:00",317
"2013-02-18T00:00:00","2013-02-19T00:00:00",426
"2013-02-19T00:00:00","2013-02-20T00:00:00",359
"2013-02-20T00:00:00","2013-02-21T00:00:00",377
"2013-02-21T00:00:00","2013-02-22T00:00:00",406
"2013-02-22T00:00:00","2013-02-23T00:00:00",406
"2013-02-23T00:00:00","2013-02-24T00:00:00",331
"2013-02-24T00:00:00","2013-02-25T00:00:00",336
"2013-02-25T00:00:00","2013-02-26T00:00:00",378
"2013-02-26T00:00:00","2013-02-27T00:00:00",367
"2013-02-27T00:00:00","2013-02-28T00:00:00",449
"2013-02-28T00:00:00","2013-03-01T00:00:00",393
"2013-03-01T00:00:00","2013-03-02T00:00:00",422
"2013-03-02T00:00:00","2013-03-03T00:00:00",376
"2013-03-03T00:00:00","2013-03-04T00:00:00",413
"2013-03-04T00:00:00","2013-03-05T00:00:00",450
"2013-03-05T00:00:00","2013-03-06T00:00:00",436
"2013-03-06T00:00:00","2013-03-07T00:00:00",383
"2013-03-07T00:00:00","2013-03-08T00:00:00",452
"2013-03-08T00:00:00","2013-03-09T00:00:00",388
"2013-03-09T00:00:00","2013-03-10T00:00:00",315
"2013-03-10T00:00:00","2013-03-11T00:00:00",326
"2013-03-11T00:00:00","2013-03-12T00:00:00",407
"2013-03-12T00:00:00","2013-03-13T00:00:00",424
"2013-03-13T00:00:00","2013-03-14T00:00:00",427
"2013-03-14T00:00:00","2013-03-15T00:00:00",453
"2013-03-15T00:00:00","2013-03-16T00:00:00",438
"2013-03-16T00:00:00","2013-03-17T00:00:00",396
"2013-03-17T00:00:00","2013-03-18T00:00:00",403
"2013-03-18T00:00:00","2013-03-19T00:00:00",456
"2013-03-19T00:00:00","2013-03-20T00:00:00",410
"2013-03-20T00:00:00","2013-03-21T00:00:00",417
"2013-03-21T00:00:00","2013-03-22T00:00:00",441
"2013-03-22T00:00:00","2013-03-23T00:00:00",400
"2013-03-23T00:00:00","2013-03-24T00:00:00",318
"2013-03-24T00:00:00","2013-03-25T00:00:00",358
"2013-03-25T00:00:00","2013-03-26T00:00:00",373
"2013-03-26T00:00:00","2013-03-27T00:00:00",456
"2013-03-27T00:00:00","2013-03-28T00:00:00",412
"2013-03-28T00:00:00","2013-03-29T00:00:00",393
"2013-03-29T00:00:00","2013-03-30T00:00:00",250
"2013-03-30T00:00:00","2013-03-31T00:00:00",289
"2013-03-31T00:00:00","2013-04-01T00:00:00",273
"2013-04-01T00:00:00","2013-04-02T00:00:00",336
"2013-04-02T00:00:00","2013-04-03T00:00:00",398
"2013-04-03T00:00:00","2013-04-04T00:00:00",444
"2013-04-04T00:00:00","2013-04-05T00:00:00",382
"2013-04-05T00:00:00","2013-04-06T00:00:00",398
"2013-04-06T00:00:00","2013-04-07T00:00:00",350
"2013-04-07T00:00:00","2013-04-08T00:00:00",373
"2013-04-08T00:00:00","2013-04-09T00:00:00",383
"2013-04-09T00:00:00","2013-04-10T00:00:00",426
"2013-04-10T00:00:00","2013-04-11T00:00:00",430
"2013-04-11T00:00:00","2013-04-12T00:00:00",463
"2013-04-12T00:00:00","2013-04-13T00:00:00",440
"2013-04-13T00:00:00","2013-04-14T00:00:00",305
"2013-04-14T00:00:00","2013-04-15T00:00:00",310
"2013-04-15T00:00:00","2013-04-16T00:00:00",422
"2013-04-16T00:00:00","2013-04-17T00:00:00",472
"2013-04-17T00:00:00","2013-04-18T00:00:00",505
"2013-04-18T00:00:00","2013-04-19T00:00:00",427
