startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",178
"2013-01-02T00:00:00","2013-01-03T00:00:00",203
"2013-01-03T00:00:00","2013-01-04T00:00:00",244
"2013-01-04T00:00:00","2013-01-05T00:00:00",250
"2013-01-05T00:00:00","2013-01-06T00:00:00",196
"2013-01-06T00:00:00","2013-01-07T00:00:00",207
"2013-01-07T00:00:00","2013-01-08T00:00:00",288
"2013-01-08T00:00:00","2013-01-09T00:00:00",236
"2013-01-09T00:00:00","2013-01-10T00:00:00",239
"2013-01-10T00:00:00","2013-01-11T00:00:00",254
"2013-01-11T00:00:00","2013-01-12T00:00:00",276
"2013-01-12T00:00:00","2013-01-13T00:00:00",238
"2013-01-13T00:00:00","2013-01-14T00:00:00",253
"2013-01-14T00:00:00","2013-01-15T00:00:00",257
"2013-01-15T00:00:00","2013-01-16T00:00:00",254
"2013-01-16T00:00:00","2013-01-17T00:00:00",291
"2013-01-17T00:00:00","2013-01-18T00:00:00",247
"2013-01-18T00:00:00","2013-01-19T00:00:00",216
"2013-01-19T00:00:00","2013-01-20T00:00:00",189
"2013-01-20T00:00:00","2013-01-21T00:00:00",249
"2013-01-21T00:00:00","2013-01-22T00:00:00",294
"2013-01-22T00:00:00","2013-01-23T00:00:00",254
"2013-01-23T00:00:00","2013-01-24T00:00:00",294
"2013-01-24T00:00:00","2013-01-25T00:00:00",308
"2013-01-25T00:00:00","2013-01-26T00:00:00",283
"2013-01-26T00:00:00","2013-01-27T00:00:00",246
"2013-01-27T00:00:00","2013-01-28T00:00:00",215
"2013-01-28T00:00:00","2013-01-29T00:00:00",223
"2013-01-29T00:00:00","2013-01-30T00:00:00",306
"2013-01-30T00:00:00","2013-01-31T00:00:00",318
"2013-01-31T00:00:00","2013-02-01T00:00:00",254
"2013-02-01T00:00:00","2013-02-02T00:00:00",245
"2013-02-02T00:00:00","2013-02-03T00:00:00",243
"2013-02-03T00:00:00","2013-02-04T00:00:00",246
"2013-02-04T00:00:00","2013-02-05T00:00:00",289
"2013-02-05T00:00:00","2013-02-06T00:00:00",272
"2013-02-06T00:00:00","2013-02-07T00:00:00",320
"2013-02-07T00:00:00","2013-02-08T00:00:00",250
"2013-02-08T00:00:00","2013-02-09T00:00:00",249
"2013-02-09T00:00:00","2013-02-10T00:00:00",226
"2013-02-10T00:00:00","2013-02-11T00:00:00",189
"2013-02-11T00:00:00","2013-02-12T00:00:00",296
"2013-02-12T00:00:00","2013-02-13T00:00:00",258
"2013-02-13T00:00:00","2013-02-14T00:00:00",257
"2013-02-14T00:00:00","2013-02-15T00:00:00",264
"2013-02-15T00:00:00","2013-02-16T00:00:00",274
"2013-02-16T00:00:00","2013-02-17T00:00:00",187
"2013-02-17T00:00:00","2013-02-18T00:00:00",194
"2013-02-18T00:00:00","2013-02-19T00:00:00",238
"2013-02-19T00:00:00","2013-02-20T00:00:00",240
"2013-02-20T00:00:00","2013-02-21T00:00:00",239
"2013-02-21T00:00:00","2013-02-22T00:00:00",278
"2013-02-22T00:00:00","2013-02-23T00:00:00",238
"2013-02-23T00:00:00","2013-02-24T00:00:00",232
"2013-02-24T00:00:00","2013-02-25T00:00:00",236
"2013-02-25T00:00:00","2013-02-26T00:00:00",257
"2013-02-26T00:00:00","2013-02-27T00:00:00",247
"2013-02-27T00:00:00","2013-02-28T00:00:00",232
"2013-02-28T00:00:00","2013-03-01T00:00:00",237
"2013-03-01T00:00:00","2013-03-02T00:00:00",325
"2013-03-02T00:00:00","2013-03-03T00:00:00",308
"2013-03-03T00:00:00","2013-03-04T00:00:00",274
"2013-03-04T00:00:00","2013-03-05T00:00:00",286
"2013-03-05T00:00:00","2013-03-06T00:00:00",263
"2013-03-06T00:00:00","2013-03-07T00:00:00",250
"2013-03-07T00:00:00","2013-03-08T00:00:00",319
"2013-03-08T00:00:00","2013-03-09T00:00:00",269
"2013-03-09T00:00:00","2013-03-10T00:00:00",278
"2013-03-10T00:00:00","2013-03-11T00:00:00",263
"2013-03-11T00:00:00","2013-03-12T00:00:00",255
"2013-03-12T00:00:00","2013-03-13T00:00:00",161
"2013-03-13T00:00:00","2013-03-14T00:00:00",161
"2013-03-14T00:00:00","2013-03-15T00:00:00",187
"2013-03-15T00:00:00","2013-03-16T00:00:00",167
"2013-03-16T00:00:00","2013-03-17T00:00:00",214
"2013-03-17T00:00:00","2013-03-18T00:00:00",167
"2013-03-18T00:00:00","2013-03-19T00:00:00",194
"2013-03-19T00:00:00","2013-03-20T00:00:00",177
"2013-03-20T00:00:00","2013-03-21T00:00:00",171
"2013-03-21T00:00:00","2013-03-22T00:00:00",176
"2013-03-22T00:00:00","2013-03-23T00:00:00",192
"2013-03-23T00:00:00","2013-03-24T00:00:00",159
"2013-03-24T00:00:00","2013-03-25T00:00:00",172
"2013-03-25T00:00:00","2013-03-26T00:00:00",160
"2013-03-26T00:00:00","2013-03-27T00:00:00",206
"2013-03-27T00:00:00","2013-03-28T00:00:00",176
"2013-03-28T00:00:00","2013-03-29T00:00:00",188
"2013-03-29T00:00:00","2013-03-30T00:00:00",86
"2013-03-30T00:00:00","2013-03-31T00:00:00",133
"2013-03-31T00:00:00","2013-04-01T00:00:00",107
"2013-04-01T00:00:00","2013-04-02T00:00:00",110
"2013-04-02T00:00:00","2013-04-03T00:00:00",151
"2013-04-03T00:00:00","2013-04-04T00:00:00",159
"2013-04-04T00:00:00","2013-04-05T00:00:00",173
"2013-04-05T00:00:00","2013-04-06T00:00:00",131
"2013-04-06T00:00:00","2013-04-07T00:00:00",145
"2013-04-07T00:00:00","2013-04-08T00:00:00",134
"2013-04-08T00:00:00","2013-04-09T00:00:00",176
"2013-04-09T00:00:00","2013-04-10T00:00:00",182
"2013-04-10T00:00:00","2013-04-11T00:00:00",164
"2013-04-11T00:00:00","2013-04-12T00:00:00",179
"2013-04-12T00:00:00","2013-04-13T00:00:00",152
"2013-04-13T00:00:00","2013-04-14T00:00:00",136
"2013-04-14T00:00:00","2013-04-15T00:00:00",91
"2013-04-15T00:00:00","2013-04-16T00:00:00",176
"2013-04-16T00:00:00","2013-04-17T00:00:00",248
"2013-04-17T00:00:00","2013-04-18T00:00:00",189
"2013-04-18T00:00:00","2013-04-19T00:00:00",161
"2013-04-19T00:00:00","2013-04-20T00:00:00",151
"2013-04-20T00:00:00","2013-04-21T00:00:00",173
"2013-04-21T00:00:00","2013-04-22T00:00:00",146
"2013-04-22T00:00:00","2013-04-23T00:00:00",171
"2013-04-23T00:00:00","2013-04-24T00:00:00",163
"2013-04-24T00:00:00","2013-04-25T00:00:00",221
"2013-04-25T00:00:00","2013-04-26T00:00:00",164
"2013-04-26T00:00:00","2013-04-27T00:00:00",170
"2013-04-27T00:00:00","2013-04-28T00:00:00",122
"2013-04-28T00:00:00","2013-04-29T00:00:00",129
"2013-04-29T00:00:00","2013-04-30T00:00:00",162
"2013-04-30T00:00:00","2013-05-01T00:00:00",217
"2013-05-01T00:00:00","2013-05-02T00:00:00",151
