startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",2218
"2013-01-02T00:00:00","2013-01-03T00:00:00",2324
"2013-01-03T00:00:00","2013-01-04T00:00:00",2563
"2013-01-04T00:00:00","2013-01-05T00:00:00",2749
"2013-01-05T00:00:00","2013-01-06T00:00:00",2036
"2013-01-06T00:00:00","2013-01-07T00:00:00",2510
"2013-01-07T00:00:00","2013-01-08T00:00:00",2792
"2013-01-08T00:00:00","2013-01-09T00:00:00",2741
"2013-01-09T00:00:00","2013-01-10T00:00:00",2471
"2013-01-10T00:00:00","2013-01-11T00:00:00",2887
"2013-01-11T00:00:00","2013-01-12T00:00:00",3061
"2013-01-12T00:00:00","2013-01-13T00:00:00",2429
"2013-01-13T00:00:00","2013-01-14T00:00:00",2162
"2013-01-14T00:00:00","2013-01-15T00:00:00",2728
"2013-01-15T00:00:00","2013-01-16T00:00:00",2800
"2013-01-16T00:00:00","2013-01-17T00:00:00",2937
"2013-01-17T00:00:00","2013-01-18T00:00:00",2868
"2013-01-18T00:00:00","2013-01-19T00:00:00",2753
"2013-01-19T00:00:00","2013-01-20T00:00:00",2236
"2013-01-20T00:00:00","2013-01-21T00:00:00",2482
"2013-01-21T00:00:00","2013-01-22T00:00:00",2761
"2013-01-22T00:00:00","2013-01-23T00:00:00",2797
"2013-01-23T00:00:00","2013-01-24T00:00:00",3071
"2013-01-24T00:00:00","2013-01-25T00:00:00",2990
"2013-01-25T00:00:00","2013-01-26T00:00:00",3154
"2013-01-26T00:00:00","2013-01-27T00:00:00",2595
"2013-01-27T00:00:00","2013-01-28T00:00:00",2395
"2013-01-28T00:00:00","2013-01-29T00:00:00",2866
"2013-01-29T00:00:00","2013-01-30T00:00:00",3151
"2013-01-30T00:00:00","2013-01-31T00:00:00",3174
"2013-01-31T00:00:00","2013-02-01T00:00:00",2716
"2013-02-01T00:00:00","2013-02-02T00:00:00",3124
"2013-02-02T00:00:00","2013-02-03T00:00:00",2714
"2013-02-03T00:00:00","2013-02-04T00:00:00",2461
"2013-02-04T00:00:00","2013-02-05T00:00:00",3129
"2013-02-05T00:00:00","2013-02-06T00:00:00",3333
"2013-02-06T00:00:00","2013-02-07T00:00:00",3263
"2013-02-07T00:00:00","2013-02-08T00:00:00",3115
"2013-02-08T00:00:00","2013-02-09T00:00:00",3179
"2013-02-09T00:00:00","2013-02-10T00:00:00",2581
"2013-02-10T00:00:00","2013-02-11T00:00:00",2360
"2013-02-11T00:00:00","2013-02-12T00:00:00",2840
"2013-02-12T00:00:00","2013-02-13T00:00:00",2929
"2013-02-13T00:00:00","2013-02-14T00:00:00",3095
"2013-02-14T00:00:00","2013-02-15T00:00:00",3227
"2013-02-15T00:00:00","2013-02-16T00:00:00",3060
"2013-02-16T00:00:00","2013-02-17T00:00:00",2518
"2013-02-17T00:00:00","2013-02-18T00:00:00",2411
"2013-02-18T00:00:00","2013-02-19T00:00:00",2835
"2013-02-19T00:00:00","2013-02-20T00:00:00",2744
"2013-02-20T00:00:00","2013-02-21T00:00:00",2763
"2013-02-21T00:00:00","2013-02-22T00:00:00",2960
"2013-02-22T00:00:00","2013-02-23T00:00:00",2810
"2013-02-23T00:00:00","2013-02-24T00:00:00",2304
"2013-02-24T00:00:00","2013-02-25T00:00:00",2230
"2013-02-25T00:00:00","2013-02-26T00:00:00",2828
"2013-02-26T00:00:00","2013-02-27T00:00:00",2591
"2013-02-27T00:00:00","2013-02-28T00:00:00",2621
"2013-02-28T00:00:00","2013-03-01T00:00:00",2649
"2013-03-01T00:00:00","2013-03-02T00:00:00",3156
"2013-03-02T00:00:00","2013-03-03T00:00:00",2658
"2013-03-03T00:00:00","2013-03-04T00:00:00",3029
"2013-03-04T00:00:00","2013-03-05T00:00:00",2948
"2013-03-05T00:00:00","2013-03-06T00:00:00",2797
"2013-03-06T00:00:00","2013-03-07T00:00:00",2738
"2013-03-07T00:00:00","2013-03-08T00:00:00",2966
"2013-03-08T00:00:00","2013-03-09T00:00:00",2721
"2013-03-09T00:00:00","2013-03-10T00:00:00",2610
"2013-03-10T00:00:00","2013-03-11T00:00:00",2314
"2013-03-11T00:00:00","2013-03-12T00:00:00",2683
"2013-03-12T00:00:00","2013-03-13T00:00:00",3337
"2013-03-13T00:00:00","2013-03-14T00:00:00",3622
"2013-03-14T00:00:00","2013-03-15T00:00:00",3770
"2013-03-15T00:00:00","2013-03-16T00:00:00",3446
"2013-03-16T00:00:00","2013-03-17T00:00:00",2990
"2013-03-17T00:00:00","2013-03-18T00:00:00",2890
"2013-03-18T00:00:00","2013-03-19T00:00:00",3271
"2013-03-19T00:00:00","2013-03-20T00:00:00",3493
"2013-03-20T00:00:00","2013-03-21T00:00:00",3483
"2013-03-21T00:00:00","2013-03-22T00:00:00",3712
"2013-03-22T00:00:00","2013-03-23T00:00:00",3374
"2013-03-23T00:00:00","2013-03-24T00:00:00",2489
"2013-03-24T00:00:00","2013-03-25T00:00:00",2615
"2013-03-25T00:00:00","2013-03-26T00:00:00",3006
"2013-03-26T00:00:00","2013-03-27T00:00:00",4113
"2013-03-27T00:00:00","2013-03-28T00:00:00",3486
"2013-03-28T00:00:00","2013-03-29T00:00:00",3491
"2013-03-29T00:00:00","2013-03-30T00:00:00",2591
"2013-03-30T00:00:00","2013-03-31T00:00:00",2479
"2013-03-31T00:00:00","2013-04-01T00:00:00",2449
"2013-04-01T00:00:00","2013-04-02T00:00:00",2619
"2013-04-02T00:00:00","2013-04-03T00:00:00",3017
"2013-04-03T00:00:00","2013-04-04T00:00:00",3259
"2013-04-04T00:00:00","2013-04-05T00:00:00",3763
"2013-04-05T00:00:00","2013-04-06T00:00:00",3284
"2013-04-06T00:00:00","2013-04-07T00:00:00",2668
"2013-04-07T00:00:00","2013-04-08T00:00:00",3096
"2013-04-08T00:00:00","2013-04-09T00:00:00",3346
"2013-04-09T00:00:00","2013-04-10T00:00:00",3589
"2013-04-10T00:00:00","2013-04-11T00:00:00",3576
"2013-04-11T00:00:00","2013-04-12T00:00:00",3673
"2013-04-12T00:00:00","2013-04-13T00:00:00",3566
"2013-04-13T00:00:00","2013-04-14T00:00:00",2634
"2013-04-14T00:00:00","2013-04-15T00:00:00",2432
"2013-04-15T00:00:00","2013-04-16T00:00:00",3177
"2013-04-16T00:00:00","2013-04-17T00:00:00",3317
"2013-04-17T00:00:00","2013-04-18T00:00:00",3591
"2013-04-18T00:00:00","2013-04-19T00:00:00",3233
"2013-04-19T00:00:00","2013-04-20T00:00:00",3225
"2013-04-20T00:00:00","2013-04-21T00:00:00",2779
"2013-04-21T00:00:00","2013-04-22T00:00:00",2994
"2013-04-22T00:00:00","2013-04-23T00:00:00",3219
"2013-04-23T00:00:00","2013-04-24T00:00:00",3534
"2013-04-24T00:00:00","2013-04-25T00:00:00",3664
"2013-04-25T00:00:00","2013-04-26T00:00:00",3441
"2013-04-26T00:00:00","2013-04-27T00:00:00",3372
"2013-04-27T00:00:00","2013-04-28T00:00:00",2501
"2013-04-28T00:00:00","2013-04-29T00:00:00",2850
"2013-04-29T00:00:00","2013-04-30T00:00:00",3272
"2013-04-30T00:00:00","2013-05-01T00:00:00",3433
"2013-05-01T00:00:00","2013-05-02T00:00:00",3144
"2013-05-02T00:00:00","2013-05-03T00:00:00",3473
"2013-05-03T00:00:00","2013-05-04T00:00:00",3395
"2013-05-04T00:00:00","2013-05-05T00:00:00",2625
"2013-05-05T00:00:00","2013-05-06T00:00:00",2620
"2013-05-06T00:00:00","2013-05-07T00:00:00",3349
"2013-05-07T00:00:00","2013-05-08T00:00:00",3874
"2013-05-08T00:00:00","2013-05-09T00:00:00",3774
"2013-05-09T00:00:00","2013-05-10T00:00:00",2497
"2013-05-10T00:00:00","2013-05-11T00:00:00",3213
"2013-05-11T00:00:00","2013-05-12T00:00:00",2512
"2013-05-12T00:00:00","2013-05-13T00:00:00",2962
"2013-05-13T00:00:00","2013-05-14T00:00:00",3191
"2013-05-14T00:00:00","2013-05-15T00:00:00",3358
"2013-05-15T00:00:00","2013-05-16T00:00:00",3448
"2013-05-16T00:00:00","2013-05-17T00:00:00",4113
"2013-05-17T00:00:00","2013-05-18T00:00:00",3280
"2013-05-18T00:00:00","2013-05-19T00:00:00",3255
"2013-05-19T00:00:00","2013-05-20T00:00:00",2771
"2013-05-20T00:00:00","2013-05-21T00:00:00",2827
"2013-05-21T00:00:00","2013-05-22T00:00:00",3239
"2013-05-22T00:00:00","2013-05-23T00:00:00",3359
"2013-05-23T00:00:00","2013-05-24T00:00:00",3334
"2013-05-24T00:00:00","2013-05-25T00:00:00",3417
"2013-05-25T00:00:00","2013-05-26T00:00:00",2621
"2013-05-26T00:00:00","2013-05-27T00:00:00",3060
"2013-05-27T00:00:00","2013-05-28T00:00:00",3258
"2013-05-28T00:00:00","2013-05-29T00:00:00",3430
"2013-05-29T00:00:00","2013-05-30T00:00:00",4029
"2013-05-30T00:00:00","2013-05-31T00:00:00",3476
"2013-05-31T00:00:00","2013-06-01T00:00:00",3441
"2013-06-01T00:00:00","2013-06-02T00:00:00",2729
"2013-06-02T00:00:00","2013-06-03T00:00:00",2643
"2013-06-03T00:00:00","2013-06-04T00:00:00",3218
"2013-06-04T00:00:00","2013-06-05T00:00:00",3275
"2013-06-05T00:00:00","2013-06-06T00:00:00",3339
"2013-06-06T00:00:00","2013-06-07T00:00:00",3074
"2013-06-07T00:00:00","2013-06-08T00:00:00",3359
"2013-06-08T00:00:00","2013-06-09T00:00:00",2407
"2013-06-09T00:00:00","2013-06-10T00:00:00",2718
"2013-06-10T00:00:00","2013-06-11T00:00:00",3481
"2013-06-11T00:00:00","2013-06-12T00:00:00",3465
"2013-06-12T00:00:00","2013-06-13T00:00:00",3401
"2013-06-13T00:00:00","2013-06-14T00:00:00",3397
"2013-06-14T00:00:00","2013-06-15T00:00:00",3314
"2013-06-15T00:00:00","2013-06-16T00:00:00",2306
"2013-06-16T00:00:00","2013-06-17T00:00:00",2072
"2013-06-17T00:00:00","2013-06-18T00:00:00",3116
"2013-06-18T00:00:00","2013-06-19T00:00:00",3401
"2013-06-19T00:00:00","2013-06-20T00:00:00",3377
"2013-06-20T00:00:00","2013-06-21T00:00:00",3131
"2013-06-21T00:00:00","2013-06-22T00:00:00",2976
"2013-06-22T00:00:00","2013-06-23T00:00:00",2392
"2013-06-23T00:00:00","2013-06-24T00:00:00",2375
"2013-06-24T00:00:00","2013-06-25T00:00:00",3388
"2013-06-25T00:00:00","2013-06-26T00:00:00",2995
"2013-06-26T00:00:00","2013-06-27T00:00:00",3243
"2013-06-27T00:00:00","2013-06-28T00:00:00",3094
"2013-06-28T00:00:00","2013-06-29T00:00:00",3178
"2013-06-29T00:00:00","2013-06-30T00:00:00",2193
"2013-06-30T00:00:00","2013-07-01T00:00:00",2281
"2013-07-01T00:00:00","2013-07-02T00:00:00",2969
"2013-07-02T00:00:00","2013-07-03T00:00:00",2996
"2013-07-03T00:00:00","2013-07-04T00:00:00",3171
"2013-07-04T00:00:00","2013-07-05T00:00:00",3143
"2013-07-05T00:00:00","2013-07-06T00:00:00",3048
"2013-07-06T00:00:00","2013-07-07T00:00:00",2134
"2013-07-07T00:00:00","2013-07-08T00:00:00",2152
"2013-07-08T00:00:00","2013-07-09T00:00:00",2899
"2013-07-09T00:00:00","2013-07-10T00:00:00",2861
"2013-07-10T00:00:00","2013-07-11T00:00:00",2973
"2013-07-11T00:00:00","2013-07-12T00:00:00",2945
"2013-07-12T00:00:00","2013-07-13T00:00:00",2950
"2013-07-13T00:00:00","2013-07-14T00:00:00",2094
"2013-07-14T00:00:00","2013-07-15T00:00:00",2127
"2013-07-15T00:00:00","2013-07-16T00:00:00",2517
"2013-07-16T00:00:00","2013-07-17T00:00:00",3015
"2013-07-17T00:00:00","2013-07-18T00:00:00",2986
"2013-07-18T00:00:00","2013-07-19T00:00:00",2968
"2013-07-19T00:00:00","2013-07-20T00:00:00",3032
"2013-07-20T00:00:00","2013-07-21T00:00:00",2302
"2013-07-21T00:00:00","2013-07-22T00:00:00",2263
"2013-07-22T00:00:00","2013-07-23T00:00:00",2908
"2013-07-23T00:00:00","2013-07-24T00:00:00",2900
"2013-07-24T00:00:00","2013-07-25T00:00:00",2783
"2013-07-25T00:00:00","2013-07-26T00:00:00",2847
"2013-07-26T00:00:00","2013-07-27T00:00:00",2957
"2013-07-27T00:00:00","2013-07-28T00:00:00",2360
"2013-07-28T00:00:00","2013-07-29T00:00:00",2310
"2013-07-29T00:00:00","2013-07-30T00:00:00",2981
"2013-07-30T00:00:00","2013-07-31T00:00:00",2860
"2013-07-31T00:00:00","2013-08-01T00:00:00",2599
"2013-08-01T00:00:00","2013-08-02T00:00:00",2279
"2013-08-02T00:00:00","2013-08-03T00:00:00",2429
"2013-08-03T00:00:00","2013-08-04T00:00:00",2040
"2013-08-04T00:00:00","2013-08-05T00:00:00",2330
"2013-08-05T00:00:00","2013-08-06T00:00:00",2716
"2013-08-06T00:00:00","2013-08-07T00:00:00",3038
"2013-08-07T00:00:00","2013-08-08T00:00:00",2884
"2013-08-08T00:00:00","2013-08-09T00:00:00",3212
"2013-08-09T00:00:00","2013-08-10T00:00:00",3221
"2013-08-10T00:00:00","2013-08-11T00:00:00",2201
"2013-08-11T00:00:00","2013-08-12T00:00:00",2290
"2013-08-12T00:00:00","2013-08-13T00:00:00",2782
"2013-08-13T00:00:00","2013-08-14T00:00:00",2993
"2013-08-14T00:00:00","2013-08-15T00:00:00",3011
"2013-08-15T00:00:00","2013-08-16T00:00:00",3087
"2013-08-16T00:00:00","2013-08-17T00:00:00",3110
"2013-08-17T00:00:00","2013-08-18T00:00:00",2108
"2013-08-18T00:00:00","2013-08-19T00:00:00",2381
"2013-08-19T00:00:00","2013-08-20T00:00:00",2867
"2013-08-20T00:00:00","2013-08-21T00:00:00",2997
"2013-08-21T00:00:00","2013-08-22T00:00:00",3067
"2013-08-22T00:00:00","2013-08-23T00:00:00",2876
"2013-08-23T00:00:00","2013-08-24T00:00:00",3063
