startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",8892
"2013-01-02T00:00:00","2013-01-03T00:00:00",9601
"2013-01-03T00:00:00","2013-01-04T00:00:00",10084
"2013-01-04T00:00:00","2013-01-05T00:00:00",11419
"2013-01-05T00:00:00","2013-01-06T00:00:00",9011
"2013-01-06T00:00:00","2013-01-07T00:00:00",10275
"2013-01-07T00:00:00","2013-01-08T00:00:00",11566
"2013-01-08T00:00:00","2013-01-09T00:00:00",11255
"2013-01-09T00:00:00","2013-01-10T00:00:00",10912
"2013-01-10T00:00:00","2013-01-11T00:00:00",11940
"2013-01-11T00:00:00","2013-01-12T00:00:00",12122
"2013-01-12T00:00:00","2013-01-13T00:00:00",10475
"2013-01-13T00:00:00","2013-01-14T00:00:00",10416
"2013-01-14T00:00:00","2013-01-15T00:00:00",11510
"2013-01-15T00:00:00","2013-01-16T00:00:00",12172
"2013-01-16T00:00:00","2013-01-17T00:00:00",12100
"2013-01-17T00:00:00","2013-01-18T00:00:00",12367
"2013-01-18T00:00:00","2013-01-19T00:00:00",11544
"2013-01-19T00:00:00","2013-01-20T00:00:00",9948
"2013-01-20T00:00:00","2013-01-21T00:00:00",11890
"2013-01-21T00:00:00","2013-01-22T00:00:00",11958
"2013-01-22T00:00:00","2013-01-23T00:00:00",11555
"2013-01-23T00:00:00","2013-01-24T00:00:00",12247
"2013-01-24T00:00:00","2013-01-25T00:00:00",12372
"2013-01-25T00:00:00","2013-01-26T00:00:00",12618
"2013-01-26T00:00:00","2013-01-27T00:00:00",10195
"2013-01-27T00:00:00","2013-01-28T00:00:00",10342
"2013-01-28T00:00:00","2013-01-29T00:00:00",11721
"2013-01-29T00:00:00","2013-01-30T00:00:00",12707
"2013-01-30T00:00:00","2013-01-31T00:00:00",12409
"2013-01-31T00:00:00","2013-02-01T00:00:00",10821
"2013-02-01T00:00:00","2013-02-02T00:00:00",12440
"2013-02-02T00:00:00","2013-02-03T00:00:00",11055
"2013-02-03T00:00:00","2013-02-04T00:00:00",11094
"2013-02-04T00:00:00","2013-02-05T00:00:00",12194
"2013-02-05T00:00:00","2013-02-06T00:00:00",12503
"2013-02-06T00:00:00","2013-02-07T00:00:00",12893
"2013-02-07T00:00:00","2013-02-08T00:00:00",12010
"2013-02-08T00:00:00","2013-02-09T00:00:00",12277
"2013-02-09T00:00:00","2013-02-10T00:00:00",10121
"2013-02-10T00:00:00","2013-02-11T00:00:00",10310
"2013-02-11T00:00:00","2013-02-12T00:00:00",12151
"2013-02-12T00:00:00","2013-02-13T00:00:00",11352
"2013-02-13T00:00:00","2013-02-14T00:00:00",12119
