"date","unique_authors"
2019-01-01,"1572"
2019-01-02,"1920"
2019-01-03,"1915"
2019-01-04,"1588"
2019-01-05,"1567"
2019-01-06,"2165"
2019-01-07,"2217"
2019-01-08,"2299"
2019-01-09,"2288"
2019-01-10,"2267"
2019-01-11,"1699"
2019-01-12,"1646"
2019-01-13,"2203"
2019-01-14,"2351"
2019-01-15,"2239"
2019-01-16,"2303"
2019-01-17,"2339"
2019-01-18,"1697"
2019-01-19,"1613"
2019-01-20,"2191"
2019-01-21,"2369"
2019-01-22,"2301"
2019-01-23,"2369"
2019-01-24,"2357"
2019-01-25,"1687"
2019-01-26,"1618"
2019-01-27,"2275"
2019-01-28,"2258"
2019-01-29,"2293"
2019-01-30,"2424"
2019-01-31,"2327"
2019-02-01,"1767"
2019-02-02,"1670"
2019-02-03,"2161"
2019-02-04,"2276"
2019-02-05,"2311"
2019-02-06,"2357"
2019-02-07,"2255"
2019-02-08,"1645"
2019-02-09,"1802"
2019-02-10,"2101"
2019-02-11,"2251"
2019-02-12,"2323"
2019-02-13,"2360"
2019-02-14,"2286"
2019-02-15,"1761"
2019-02-16,"1635"
2019-02-17,"2179"
2019-02-18,"2304"
2019-02-19,"2348"
2019-02-20,"2255"
2019-02-21,"2291"
2019-02-22,"1676"
2019-02-23,"1645"
2019-02-24,"2279"
2019-02-25,"2371"
2019-02-26,"2375"
2019-02-27,"2454"
2019-02-28,"2313"
2019-03-01,"1720"
2019-03-02,"1644"
2019-03-03,"2259"
2019-03-04,"2415"
2019-03-05,"2392"
2019-03-06,"2417"
2019-03-07,"2462"
2019-03-08,"1755"
2019-03-09,"1678"
2019-03-10,"2329"
2019-03-11,"2478"
2019-03-12,"2425"
2019-03-13,"2459"
2019-03-14,"2397"
2019-03-15,"1681"
2019-03-16,"1608"
2019-03-17,"2259"
2019-03-18,"2412"
2019-03-19,"2517"
2019-03-20,"2488"
2019-03-21,"2404"
2019-03-22,"1727"
2019-03-23,"1804"
2019-03-24,"2303"
2019-03-25,"2505"
2019-03-26,"2459"
2019-03-27,"2448"
2019-03-28,"2399"
2019-03-29,"1720"
2019-03-30,"1731"
2019-03-31,"2435"
2019-04-01,"2428"
2019-04-02,"2498"
2019-04-03,"2465"
2019-04-04,"2388"
2019-04-05,"1773"
2019-04-06,"1670"
2019-04-07,"2309"
2019-04-08,"2337"
2019-04-09,"2488"
2019-04-10,"2274"
2019-04-11,"2276"
2019-04-12,"1690"
2019-04-13,"1619"
2019-04-14,"2184"
2019-04-15,"2274"
2019-04-16,"2323"
2019-04-17,"2204"
2019-04-18,"1683"
2019-04-19,"1570"
2019-04-20,"1502"
2019-04-21,"1503"
2019-04-22,"2066"
2019-04-23,"2253"
2019-04-24,"2288"
2019-04-25,"2242"
2019-04-26,"1690"
2019-04-27,"1673"
2019-04-28,"2241"
2019-04-29,"2357"
2019-04-30,"2006"
2019-05-01,"2238"
2019-05-02,"2221"
2019-05-03,"1735"
2019-05-04,"1600"
2019-05-05,"2245"
2019-05-06,"2368"
2019-05-07,"2448"
2019-05-08,"2328"
2019-05-09,"2411"
2019-05-10,"1710"
2019-05-11,"1661"
2019-05-12,"2196"
2019-05-13,"2325"
2019-05-14,"2411"
2019-05-15,"2392"
2019-05-16,"2328"
2019-05-17,"1852"
2019-05-18,"1911"
2019-05-19,"2286"
2019-05-20,"2332"
2019-05-21,"2423"
2019-05-22,"2456"
2019-05-23,"2355"
2019-05-24,"1730"
2019-05-25,"1630"
2019-05-26,"2296"
2019-05-27,"2391"
2019-05-28,"2356"
2019-05-29,"1679"
2019-05-30,"1915"
2019-05-31,"1564"
2019-06-01,"1579"
2019-06-02,"2190"
2019-06-03,"2339"
2019-06-04,"2439"
2019-06-05,"2388"
2019-06-06,"2319"
2019-06-07,"1510"
2019-06-08,"1537"
2019-06-09,"1595"
2019-06-10,"2264"
2019-06-11,"2234"
2019-06-12,"2431"
2019-06-13,"2587"
2019-06-14,"1701"
2019-06-15,"1660"
2019-06-16,"2162"
2019-06-17,"2286"
2019-06-18,"2327"
2019-06-19,"2309"
2019-06-20,"2311"
2019-06-21,"1751"
2019-06-22,"1622"
2019-06-23,"2351"
