startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",735564
"2013-01-02T00:00:00","2013-01-03T00:00:00",760096
"2013-01-03T00:00:00","2013-01-04T00:00:00",880706
"2013-01-04T00:00:00","2013-01-05T00:00:00",755932
"2013-01-05T00:00:00","2013-01-06T00:00:00",805644
"2013-01-06T00:00:00","2013-01-07T00:00:00",901007
"2013-01-07T00:00:00","2013-01-08T00:00:00",930772
"2013-01-08T00:00:00","2013-01-09T00:00:00",808553
"2013-01-09T00:00:00","2013-01-10T00:00:00",762039
"2013-01-10T00:00:00","2013-01-11T00:00:00",728204
"2013-01-11T00:00:00","2013-01-12T00:00:00",662338
"2013-01-12T00:00:00","2013-01-13T00:00:00",678431
"2013-01-13T00:00:00","2013-01-14T00:00:00",886823
"2013-01-14T00:00:00","2013-01-15T00:00:00",824023
"2013-01-15T00:00:00","2013-01-16T00:00:00",787280
"2013-01-16T00:00:00","2013-01-17T00:00:00",779905
"2013-01-17T00:00:00","2013-01-18T00:00:00",748631
"2013-01-18T00:00:00","2013-01-19T00:00:00",820532
"2013-01-19T00:00:00","2013-01-20T00:00:00",700528
"2013-01-20T00:00:00","2013-01-21T00:00:00",951626
"2013-01-21T00:00:00","2013-01-22T00:00:00",873241
"2013-01-22T00:00:00","2013-01-23T00:00:00",827708
"2013-01-23T00:00:00","2013-01-24T00:00:00",879373
"2013-01-24T00:00:00","2013-01-25T00:00:00",805563
"2013-01-25T00:00:00","2013-01-26T00:00:00",744397
"2013-01-26T00:00:00","2013-01-27T00:00:00",655657
"2013-01-27T00:00:00","2013-01-28T00:00:00",866220
"2013-01-28T00:00:00","2013-01-29T00:00:00",798036
"2013-01-29T00:00:00","2013-01-30T00:00:00",763394
"2013-01-30T00:00:00","2013-01-31T00:00:00",774132
"2013-01-31T00:00:00","2013-02-01T00:00:00",677845
"2013-02-01T00:00:00","2013-02-02T00:00:00",624887
"2013-02-02T00:00:00","2013-02-03T00:00:00",639819
"2013-02-03T00:00:00","2013-02-04T00:00:00",833028
"2013-02-04T00:00:00","2013-02-05T00:00:00",807809
"2013-02-05T00:00:00","2013-02-06T00:00:00",756571
"2013-02-06T00:00:00","2013-02-07T00:00:00",738060
