startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",178644
"2013-01-02T00:00:00","2013-01-03T00:00:00",206608
"2013-01-03T00:00:00","2013-01-04T00:00:00",231339
"2013-01-04T00:00:00","2013-01-05T00:00:00",218321
"2013-01-05T00:00:00","2013-01-06T00:00:00",218157
"2013-01-06T00:00:00","2013-01-07T00:00:00",245696
"2013-01-07T00:00:00","2013-01-08T00:00:00",256018
"2013-01-08T00:00:00","2013-01-09T00:00:00",248875
"2013-01-09T00:00:00","2013-01-10T00:00:00",225088
"2013-01-10T00:00:00","2013-01-11T00:00:00",217028
"2013-01-11T00:00:00","2013-01-12T00:00:00",196007
"2013-01-12T00:00:00","2013-01-13T00:00:00",195014
"2013-01-13T00:00:00","2013-01-14T00:00:00",235765
"2013-01-14T00:00:00","2013-01-15T00:00:00",234786
"2013-01-15T00:00:00","2013-01-16T00:00:00",244395
"2013-01-16T00:00:00","2013-01-17T00:00:00",231112
"2013-01-17T00:00:00","2013-01-18T00:00:00",221968
"2013-01-18T00:00:00","2013-01-19T00:00:00",231583
"2013-01-19T00:00:00","2013-01-20T00:00:00",191819
"2013-01-20T00:00:00","2013-01-21T00:00:00",238370
"2013-01-21T00:00:00","2013-01-22T00:00:00",237845
"2013-01-22T00:00:00","2013-01-23T00:00:00",240275
"2013-01-23T00:00:00","2013-01-24T00:00:00",240505
"2013-01-24T00:00:00","2013-01-25T00:00:00",225147
"2013-01-25T00:00:00","2013-01-26T00:00:00",205287
"2013-01-26T00:00:00","2013-01-27T00:00:00",184863
"2013-01-27T00:00:00","2013-01-28T00:00:00",230397
"2013-01-28T00:00:00","2013-01-29T00:00:00",219894
"2013-01-29T00:00:00","2013-01-30T00:00:00",224564
"2013-01-30T00:00:00","2013-01-31T00:00:00",218013
"2013-01-31T00:00:00","2013-02-01T00:00:00",202320
"2013-02-01T00:00:00","2013-02-02T00:00:00",184666
"2013-02-02T00:00:00","2013-02-03T00:00:00",172776
"2013-02-03T00:00:00","2013-02-04T00:00:00",220149
"2013-02-04T00:00:00","2013-02-05T00:00:00",224078
"2013-02-05T00:00:00","2013-02-06T00:00:00",221625
"2013-02-06T00:00:00","2013-02-07T00:00:00",205575
"2013-02-07T00:00:00","2013-02-08T00:00:00",194725
"2013-02-08T00:00:00","2013-02-09T00:00:00",183649
"2013-02-09T00:00:00","2013-02-10T00:00:00",175482
"2013-02-10T00:00:00","2013-02-11T00:00:00",216780
"2013-02-11T00:00:00","2013-02-12T00:00:00",215607
"2013-02-12T00:00:00","2013-02-13T00:00:00",220144
"2013-02-13T00:00:00","2013-02-14T00:00:00",223510
"2013-02-14T00:00:00","2013-02-15T00:00:00",196564
"2013-02-15T00:00:00","2013-02-16T00:00:00",192956
"2013-02-16T00:00:00","2013-02-17T00:00:00",190130
"2013-02-17T00:00:00","2013-02-18T00:00:00",211078
"2013-02-18T00:00:00","2013-02-19T00:00:00",229121
"2013-02-19T00:00:00","2013-02-20T00:00:00",243529
"2013-02-20T00:00:00","2013-02-21T00:00:00",245438
"2013-02-21T00:00:00","2013-02-22T00:00:00",226969
"2013-02-22T00:00:00","2013-02-23T00:00:00",211536
"2013-02-23T00:00:00","2013-02-24T00:00:00",200908
"2013-02-24T00:00:00","2013-02-25T00:00:00",224902
"2013-02-25T00:00:00","2013-02-26T00:00:00",233706
"2013-02-26T00:00:00","2013-02-27T00:00:00",216938
"2013-02-27T00:00:00","2013-02-28T00:00:00",211360
"2013-02-28T00:00:00","2013-03-01T00:00:00",209920
"2013-03-01T00:00:00","2013-03-02T00:00:00",200066
"2013-03-02T00:00:00","2013-03-03T00:00:00",190936
"2013-03-03T00:00:00","2013-03-04T00:00:00",231194
"2013-03-04T00:00:00","2013-03-05T00:00:00",225454
"2013-03-05T00:00:00","2013-03-06T00:00:00",242269
"2013-03-06T00:00:00","2013-03-07T00:00:00",235634
"2013-03-07T00:00:00","2013-03-08T00:00:00",239259
"2013-03-08T00:00:00","2013-03-09T00:00:00",196143
"2013-03-09T00:00:00","2013-03-10T00:00:00",190178
"2013-03-10T00:00:00","2013-03-11T00:00:00",219665
"2013-03-11T00:00:00","2013-03-12T00:00:00",226090
"2013-03-12T00:00:00","2013-03-13T00:00:00",204509
"2013-03-13T00:00:00","2013-03-14T00:00:00",208640
"2013-03-14T00:00:00","2013-03-15T00:00:00",204086
"2013-03-15T00:00:00","2013-03-16T00:00:00",195659
"2013-03-16T00:00:00","2013-03-17T00:00:00",192461
"2013-03-17T00:00:00","2013-03-18T00:00:00",209819
"2013-03-18T00:00:00","2013-03-19T00:00:00",218264
"2013-03-19T00:00:00","2013-03-20T00:00:00",212701
"2013-03-20T00:00:00","2013-03-21T00:00:00",218702
"2013-03-21T00:00:00","2013-03-22T00:00:00",203362
"2013-03-22T00:00:00","2013-03-23T00:00:00",199718
"2013-03-23T00:00:00","2013-03-24T00:00:00",178527
"2013-03-24T00:00:00","2013-03-25T00:00:00",203806
"2013-03-25T00:00:00","2013-03-26T00:00:00",211852
"2013-03-26T00:00:00","2013-03-27T00:00:00",213779
"2013-03-27T00:00:00","2013-03-28T00:00:00",200134
"2013-03-28T00:00:00","2013-03-29T00:00:00",181117
"2013-03-29T00:00:00","2013-03-30T00:00:00",178234
"2013-03-30T00:00:00","2013-03-31T00:00:00",178885
"2013-03-31T00:00:00","2013-04-01T00:00:00",177522
"2013-04-01T00:00:00","2013-04-02T00:00:00",212056
