startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",1302932
"2019-01-02T00:00:00","2019-01-03T00:00:00",1194827
"2019-01-03T00:00:00","2019-01-04T00:00:00",1283468
"2019-01-04T00:00:00","2019-01-05T00:00:00",1267272
"2019-01-05T00:00:00","2019-01-06T00:00:00",1162824
"2019-01-06T00:00:00","2019-01-07T00:00:00",1157425
"2019-01-07T00:00:00","2019-01-08T00:00:00",1304030
"2019-01-08T00:00:00","2019-01-09T00:00:00",1298039
"2019-01-09T00:00:00","2019-01-10T00:00:00",1302212
"2019-01-10T00:00:00","2019-01-11T00:00:00",1304399
"2019-01-11T00:00:00","2019-01-12T00:00:00",1349844
"2019-01-12T00:00:00","2019-01-13T00:00:00",1207752
"2019-01-13T00:00:00","2019-01-14T00:00:00",1177780
"2019-01-14T00:00:00","2019-01-15T00:00:00",1296179
"2019-01-15T00:00:00","2019-01-16T00:00:00",1404350
"2019-01-16T00:00:00","2019-01-17T00:00:00",1409040
"2019-01-17T00:00:00","2019-01-18T00:00:00",1364172
"2019-01-18T00:00:00","2019-01-19T00:00:00",1356300
"2019-01-19T00:00:00","2019-01-20T00:00:00",1233338
"2019-01-20T00:00:00","2019-01-21T00:00:00",1188404
"2019-01-21T00:00:00","2019-01-22T00:00:00",1320698
"2019-01-22T00:00:00","2019-01-23T00:00:00",1355586
"2019-01-23T00:00:00","2019-01-24T00:00:00",1356571
"2019-01-24T00:00:00","2019-01-25T00:00:00",1375225
"2019-01-25T00:00:00","2019-01-26T00:00:00",1395181
"2019-01-26T00:00:00","2019-01-27T00:00:00",1198653
"2019-01-27T00:00:00","2019-01-28T00:00:00",1183293
"2019-01-28T00:00:00","2019-01-29T00:00:00",1316606
"2019-01-29T00:00:00","2019-01-30T00:00:00",1398223
"2019-01-30T00:00:00","2019-01-31T00:00:00",1442083
"2019-01-31T00:00:00","2019-02-01T00:00:00",1451406
"2019-02-01T00:00:00","2019-02-02T00:00:00",1465597
"2019-02-02T00:00:00","2019-02-03T00:00:00",1211310
"2019-02-03T00:00:00","2019-02-04T00:00:00",1190620
"2019-02-04T00:00:00","2019-02-05T00:00:00",1342211
"2019-02-05T00:00:00","2019-02-06T00:00:00",1330912
"2019-02-06T00:00:00","2019-02-07T00:00:00",1371625
"2019-02-07T00:00:00","2019-02-08T00:00:00",1364828
"2019-02-08T00:00:00","2019-02-09T00:00:00",1392447
"2019-02-09T00:00:00","2019-02-10T00:00:00",1211449
"2019-02-10T00:00:00","2019-02-11T00:00:00",1208747
"2019-02-11T00:00:00","2019-02-12T00:00:00",1305428
"2019-02-12T00:00:00","2019-02-13T00:00:00",1343498
"2019-02-13T00:00:00","2019-02-14T00:00:00",1373699
"2019-02-14T00:00:00","2019-02-15T00:00:00",1443900
"2019-02-15T00:00:00","2019-02-16T00:00:00",1334250
"2019-02-16T00:00:00","2019-02-17T00:00:00",1161092
"2019-02-17T00:00:00","2019-02-18T00:00:00",1144496
"2019-02-18T00:00:00","2019-02-19T00:00:00",1379597
"2019-02-19T00:00:00","2019-02-20T00:00:00",1355629
"2019-02-20T00:00:00","2019-02-21T00:00:00",1449835
"2019-02-21T00:00:00","2019-02-22T00:00:00",1365959
"2019-02-22T00:00:00","2019-02-23T00:00:00",1384293
"2019-02-23T00:00:00","2019-02-24T00:00:00",1212494
"2019-02-24T00:00:00","2019-02-25T00:00:00",1241126
"2019-02-25T00:00:00","2019-02-26T00:00:00",1335221
"2019-02-26T00:00:00","2019-02-27T00:00:00",1382762
"2019-02-27T00:00:00","2019-02-28T00:00:00",1422410
"2019-02-28T00:00:00","2019-03-01T00:00:00",1396053
"2019-03-01T00:00:00","2019-03-02T00:00:00",1429645
"2019-03-02T00:00:00","2019-03-03T00:00:00",1242872
"2019-03-03T00:00:00","2019-03-04T00:00:00",1226524
"2019-03-04T00:00:00","2019-03-05T00:00:00",1343051
"2019-03-05T00:00:00","2019-03-06T00:00:00",1415650
"2019-03-06T00:00:00","2019-03-07T00:00:00",1438318
"2019-03-07T00:00:00","2019-03-08T00:00:00",1473979
"2019-03-08T00:00:00","2019-03-09T00:00:00",1544524
"2019-03-09T00:00:00","2019-03-10T00:00:00",1228884
"2019-03-10T00:00:00","2019-03-11T00:00:00",1248824
"2019-03-11T00:00:00","2019-03-12T00:00:00",1315988
"2019-03-12T00:00:00","2019-03-13T00:00:00",1452166
"2019-03-13T00:00:00","2019-03-14T00:00:00",1468736
"2019-03-14T00:00:00","2019-03-15T00:00:00",1461387
"2019-03-15T00:00:00","2019-03-16T00:00:00",1435203
"2019-03-16T00:00:00","2019-03-17T00:00:00",1286940
"2019-03-17T00:00:00","2019-03-18T00:00:00",1223351
