startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",343121
"2013-01-02T00:00:00","2013-01-03T00:00:00",359190
"2013-01-03T00:00:00","2013-01-04T00:00:00",386103
"2013-01-04T00:00:00","2013-01-05T00:00:00",354626
"2013-01-05T00:00:00","2013-01-06T00:00:00",373836
"2013-01-06T00:00:00","2013-01-07T00:00:00",418603
"2013-01-07T00:00:00","2013-01-08T00:00:00",417098
"2013-01-08T00:00:00","2013-01-09T00:00:00",375154
"2013-01-09T00:00:00","2013-01-10T00:00:00",375685
"2013-01-10T00:00:00","2013-01-11T00:00:00",362003
"2013-01-11T00:00:00","2013-01-12T00:00:00",319183
"2013-01-12T00:00:00","2013-01-13T00:00:00",339265
"2013-01-13T00:00:00","2013-01-14T00:00:00",400542
"2013-01-14T00:00:00","2013-01-15T00:00:00",379730
"2013-01-15T00:00:00","2013-01-16T00:00:00",378019
"2013-01-16T00:00:00","2013-01-17T00:00:00",370048
"2013-01-17T00:00:00","2013-01-18T00:00:00",343875
"2013-01-18T00:00:00","2013-01-19T00:00:00",375420
"2013-01-19T00:00:00","2013-01-20T00:00:00",330487
"2013-01-20T00:00:00","2013-01-21T00:00:00",410467
"2013-01-21T00:00:00","2013-01-22T00:00:00",396095
"2013-01-22T00:00:00","2013-01-23T00:00:00",377831
"2013-01-23T00:00:00","2013-01-24T00:00:00",398169
"2013-01-24T00:00:00","2013-01-25T00:00:00",387879
"2013-01-25T00:00:00","2013-01-26T00:00:00",358589
"2013-01-26T00:00:00","2013-01-27T00:00:00",306304
"2013-01-27T00:00:00","2013-01-28T00:00:00",396526
"2013-01-28T00:00:00","2013-01-29T00:00:00",360350
"2013-01-29T00:00:00","2013-01-30T00:00:00",362253
"2013-01-30T00:00:00","2013-01-31T00:00:00",357643
"2013-01-31T00:00:00","2013-02-01T00:00:00",328705
"2013-02-01T00:00:00","2013-02-02T00:00:00",312172
"2013-02-02T00:00:00","2013-02-03T00:00:00",303873
"2013-02-03T00:00:00","2013-02-04T00:00:00",382533
"2013-02-04T00:00:00","2013-02-05T00:00:00",365303
"2013-02-05T00:00:00","2013-02-06T00:00:00",340507
"2013-02-06T00:00:00","2013-02-07T00:00:00",352225
"2013-02-07T00:00:00","2013-02-08T00:00:00",325232
"2013-02-08T00:00:00","2013-02-09T00:00:00",296855
