startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",8111539
"2013-01-02T00:00:00","2013-01-03T00:00:00",7717734
"2013-01-03T00:00:00","2013-01-04T00:00:00",8496432
"2013-01-04T00:00:00","2013-01-05T00:00:00",7979659
"2013-01-05T00:00:00","2013-01-06T00:00:00",8066338
"2013-01-06T00:00:00","2013-01-07T00:00:00",8615568
"2013-01-07T00:00:00","2013-01-08T00:00:00",8649779
"2013-01-08T00:00:00","2013-01-09T00:00:00",7907651
"2013-01-09T00:00:00","2013-01-10T00:00:00",7726582
"2013-01-10T00:00:00","2013-01-11T00:00:00",7507687
"2013-01-11T00:00:00","2013-01-12T00:00:00",7163131
"2013-01-12T00:00:00","2013-01-13T00:00:00",7207331
"2013-01-13T00:00:00","2013-01-14T00:00:00",8527466
"2013-01-14T00:00:00","2013-01-15T00:00:00",8121090
"2013-01-15T00:00:00","2013-01-16T00:00:00",7918317
"2013-01-16T00:00:00","2013-01-17T00:00:00",8010576
"2013-01-17T00:00:00","2013-01-18T00:00:00",7696149
"2013-01-18T00:00:00","2013-01-19T00:00:00",8614488
"2013-01-19T00:00:00","2013-01-20T00:00:00",7387053
"2013-01-20T00:00:00","2013-01-21T00:00:00",9196186
"2013-01-21T00:00:00","2013-01-22T00:00:00",8569579
"2013-01-22T00:00:00","2013-01-23T00:00:00",8193800
"2013-01-23T00:00:00","2013-01-24T00:00:00",8509026
"2013-01-24T00:00:00","2013-01-25T00:00:00",7987151
"2013-01-25T00:00:00","2013-01-26T00:00:00",7804256
"2013-01-26T00:00:00","2013-01-27T00:00:00",7011858
"2013-01-27T00:00:00","2013-01-28T00:00:00",8465943
"2013-01-28T00:00:00","2013-01-29T00:00:00",7938517
"2013-01-29T00:00:00","2013-01-30T00:00:00",7765583
"2013-01-30T00:00:00","2013-01-31T00:00:00",7843931
"2013-01-31T00:00:00","2013-02-01T00:00:00",7237362
"2013-02-01T00:00:00","2013-02-02T00:00:00",7111156
"2013-02-02T00:00:00","2013-02-03T00:00:00",6959848
"2013-02-03T00:00:00","2013-02-04T00:00:00",8601462
