"","date","nretweets"
"1",2019-01-01,"1451401"
"2",2019-01-02,"1245447"
"3",2019-01-03,"4781907"
"4",2019-01-04,"1888584"
"5",2019-01-05,"1057537"
"6",2019-01-06,"2073917"
"7",2019-01-07,"1373908"
"8",2019-01-08,"1353953"
"9",2019-01-09,"1499875"
"10",2019-01-10,"1003991"
"11",2019-01-11,"4158809"
"12",2019-01-12,"1589922"
"13",2019-01-13,"1443834"
"14",2019-01-14,"1420969"
"15",2019-01-15,"1588758"
"16",2019-01-16,"2035836"
"17",2019-01-17,"1316122"
"18",2019-01-18,"1166375"
"19",2019-01-19,"1066101"
"20",2019-01-20,"1724120"
"21",2019-01-21,"1259166"
"22",2019-01-22,"1365510"
"23",2019-01-23,"2146919"
"24",2019-01-24,"1339319"
"25",2019-01-25,"951692"
"26",2019-01-26,"1036251"
"27",2019-01-27,"1106177"
"28",2019-01-28,"1599650"
"29",2019-01-29,"1481832"
"30",2019-01-30,"1430281"
"31",2019-01-31,"1266151"
"32",2019-02-01,"997422"
"33",2019-02-02,"1009146"
"34",2019-02-03,"1808680"
"35",2019-02-04,"1478007"
"36",2019-02-05,"1540450"
"37",2019-02-06,"1481250"
"38",2019-02-07,"1741914"
"39",2019-02-08,"4875613"
"40",2019-02-09,"2558160"
"41",2019-02-10,"1630082"
"42",2019-02-11,"1242038"
"43",2019-02-12,"1708406"
"44",2019-02-13,"1673567"
"45",2019-02-14,"1226656"
"46",2019-02-15,"1222665"
"47",2019-02-16,"5866550"
"48",2019-02-17,"1264488"
"49",2019-02-18,"1343144"
"50",2019-02-19,"1929242"
"51",2019-02-20,"1352955"
"52",2019-02-21,"1445996"
"53",2019-02-22,"1341315"
"54",2019-02-23,"1566226"
"55",2019-02-24,"1163881"
"56",2019-02-25,"1536792"
"57",2019-02-26,"1461960"
"58",2019-02-27,"1362018"
"59",2019-02-28,"1792882"
"60",2019-03-01,"1355533"
"61",2019-03-02,"1074748"
"62",2019-03-03,"1823480"
"63",2019-03-04,"1444749"
"64",2019-03-05,"1449239"
"65",2019-03-06,"1913112"
"66",2019-03-07,"1513511"
"67",2019-03-08,"1345971"
"68",2019-03-09,"1061278"
"69",2019-03-10,"1439095"
"70",2019-03-11,"1349463"
"71",2019-03-12,"1573044"
"72",2019-03-13,"1285191"
"73",2019-03-14,"1637316"
"74",2019-03-15,"1287686"
"75",2019-03-16,"1200216"
"76",2019-03-17,"2130373"
"77",2019-03-18,"2342063"
"78",2019-03-19,"1480834"
"79",2019-03-20,"1573542"
"80",2019-03-21,"1598653"
"81",2019-03-22,"1554668"
"82",2019-03-23,"1166791"
"83",2019-03-24,"1587178"
"84",2019-03-25,"1752723"
"85",2019-03-26,"1359607"
"86",2019-03-27,"1623264"
"87",2019-03-28,"1344807"
"88",2019-03-29,"1184168"
"89",2019-03-30,"1169784"
"90",2019-03-31,"1225742"
"91",2019-04-01,"1570549"
"92",2019-04-02,"1476178"
"93",2019-04-03,"1389955"
"94",2019-04-04,"1746320"
"95",2019-04-05,"4178847"
"96",2019-04-06,"1756880"
"97",2019-04-07,"1399933"
"98",2019-04-08,"1596324"
"99",2019-04-09,"1242288"
"100",2019-04-10,"1816496"
"101",2019-04-11,"1681134"
"102",2019-04-12,"2281034"
"103",2019-04-13,"1123056"
"104",2019-04-14,"1142845"
"105",2019-04-15,"1706410"
"106",2019-04-16,"1423630"
"107",2019-04-17,"1744159"
"108",2019-04-18,"1375904"
"109",2019-04-19,"1349380"
"110",2019-04-20,"1084559"
"111",2019-04-21,"1107424"
"112",2019-04-22,"1358692"
"113",2019-04-23,"1274133"
"114",2019-04-24,"1364845"
"115",2019-04-25,"1590255"
"116",2019-04-26,"1404257"
"117",2019-04-27,"1752889"
"118",2019-04-28,"1343726"
"119",2019-04-29,"1228485"
"120",2019-04-30,"2069094"
"121",2019-05-01,"1613785"
"122",2019-05-02,"2088633"
"123",2019-05-03,"1156647"
"124",2019-05-04,"1342978"
"125",2019-05-05,"2156315"
"126",2019-05-06,"7210609"
"127",2019-05-07,"2486073"
"128",2019-05-08,"1966325"
"129",2019-05-09,"1399600"
"130",2019-05-10,"1613369"
"131",2019-05-11,"1531803"
"132",2019-05-12,"1796707"
"133",2019-05-13,"2651949"
"134",2019-05-14,"1265735"
"135",2019-05-15,"2019206"
"136",2019-05-16,"2002577"
"137",2019-05-17,"1296333"
"138",2019-05-18,"1207533"
"139",2019-05-19,"2468695"
"140",2019-05-20,"1629417"
"141",2019-05-21,"1718799"
"142",2019-05-22,"1324353"
"143",2019-05-23,"1371830"
"144",2019-05-24,"1081899"
"145",2019-05-25,"1221751"
"146",2019-05-26,"4121144"
"147",2019-05-27,"2196640"
