"","date","unique_authors"
"1",2019-01-01,"1216250"
"2",2019-01-02,"1313568"
"3",2019-01-03,"1268827"
"4",2019-01-04,"1197515"
"5",2019-01-05,"1215243"
"6",2019-01-06,"1337960"
"7",2019-01-07,"1324012"
"8",2019-01-08,"1321636"
"9",2019-01-09,"1317945"
"10",2019-01-10,"1351739"
"11",2019-01-11,"1247238"
"12",2019-01-12,"1222854"
"13",2019-01-13,"1305692"
"14",2019-01-14,"1433859"
"15",2019-01-15,"1422573"
"16",2019-01-16,"1351705"
"17",2019-01-17,"1325321"
"18",2019-01-18,"1268019"
"19",2019-01-19,"1187054"
"20",2019-01-20,"1300870"
"21",2019-01-21,"1354016"
"22",2019-01-22,"1338218"
"23",2019-01-23,"1359862"
"24",2019-01-24,"1414374"
"25",2019-01-25,"1241518"
"26",2019-01-26,"1196501"
"27",2019-01-27,"1287279"
"28",2019-01-28,"1430387"
"29",2019-01-29,"1479224"
"30",2019-01-30,"1468964"
"31",2019-01-31,"1476405"
"32",2019-02-01,"1256017"
"33",2019-02-02,"1233387"
"34",2019-02-03,"1346382"
"35",2019-02-04,"1325175"
"36",2019-02-05,"1367435"
"37",2019-02-06,"1349936"
"38",2019-02-07,"1386115"
"39",2019-02-08,"1243018"
"40",2019-02-09,"1247450"
"41",2019-02-10,"1287609"
"42",2019-02-11,"1350495"
"43",2019-02-12,"1384268"
"44",2019-02-13,"1428841"
"45",2019-02-14,"1308435"
"46",2019-02-15,"1189331"
"47",2019-02-16,"1145297"
"48",2019-02-17,"1353793"
"49",2019-02-18,"1344390"
"50",2019-02-19,"1434724"
"51",2019-02-20,"1358419"
"52",2019-02-21,"1393810"
"53",2019-02-22,"1232235"
"54",2019-02-23,"1271906"
"55",2019-02-24,"1325152"
"56",2019-02-25,"1407071"
"57",2019-02-26,"1428572"
"58",2019-02-27,"1387053"
"59",2019-02-28,"1425505"
"60",2019-03-01,"1250887"
"61",2019-03-02,"1258333"
"62",2019-03-03,"1338605"
"63",2019-03-04,"1423018"
"64",2019-03-05,"1474169"
"65",2019-03-06,"1474577"
"66",2019-03-07,"1528363"
"67",2019-03-08,"1280250"
"68",2019-03-09,"1298383"
"69",2019-03-10,"1312232"
"70",2019-03-11,"1467148"
"71",2019-03-12,"1505756"
"72",2019-03-13,"1486426"
"73",2019-03-14,"1466533"
"74",2019-03-15,"1357685"
"75",2019-03-16,"1229268"
"76",2019-03-17,"1312592"
"77",2019-03-18,"1371184"
"78",2019-03-19,"1465922"
"79",2019-03-20,"1513066"
"80",2019-03-21,"1478415"
"81",2019-03-22,"1277062"
"82",2019-03-23,"1234823"
"83",2019-03-24,"1355855"
"84",2019-03-25,"1381730"
"85",2019-03-26,"1430515"
"86",2019-03-27,"1415189"
"87",2019-03-28,"1425312"
"88",2019-03-29,"1260842"
"89",2019-03-30,"1217568"
"90",2019-03-31,"1327414"
"91",2019-04-01,"1419739"
"92",2019-04-02,"1441881"
"93",2019-04-03,"1413236"
"94",2019-04-04,"1458300"
"95",2019-04-05,"1277823"
"96",2019-04-06,"1225790"
"97",2019-04-07,"1313921"
"98",2019-04-08,"1391208"
"99",2019-04-09,"1426705"
"100",2019-04-10,"1376535"
"101",2019-04-11,"1371280"
"102",2019-04-12,"1265111"
"103",2019-04-13,"1263244"
"104",2019-04-14,"1336841"
"105",2019-04-15,"1356855"
"106",2019-04-16,"1449719"
"107",2019-04-17,"1367771"
"108",2019-04-18,"1225143"
"109",2019-04-19,"1156400"
"110",2019-04-20,"1223970"
"111",2019-04-21,"1214187"
"112",2019-04-22,"1294074"
"113",2019-04-23,"1475508"
"114",2019-04-24,"1399717"
"115",2019-04-25,"1428669"
"116",2019-04-26,"1304293"
"117",2019-04-27,"1322175"
"118",2019-04-28,"1345195"
"119",2019-04-29,"1376376"
"120",2019-04-30,"1478254"
"121",2019-05-01,"1378808"
"122",2019-05-02,"1443745"
"123",2019-05-03,"1272634"
"124",2019-05-04,"1242993"
"125",2019-05-05,"1272201"
"126",2019-05-06,"1446700"
"127",2019-05-07,"1526703"
"128",2019-05-08,"1456325"
"129",2019-05-09,"1365951"
"130",2019-05-10,"1232718"
"131",2019-05-11,"1354423"
"132",2019-05-12,"1349220"
"133",2019-05-13,"1388998"
"134",2019-05-14,"1459811"
"135",2019-05-15,"1431518"
"136",2019-05-16,"1436819"
"137",2019-05-17,"1387204"
"138",2019-05-18,"1253732"
"139",2019-05-19,"1370220"
"140",2019-05-20,"1375123"
"141",2019-05-21,"1405743"
"142",2019-05-22,"1444775"
"143",2019-05-23,"1433583"
"144",2019-05-24,"1196866"
"145",2019-05-25,"1198728"
"146",2019-05-26,"1323187"
"147",2019-05-27,"1324385"
"148",2019-05-28,"1479706"
"149",2019-05-29,"1402007"
"150",2019-05-30,"1407586"
"151",2019-05-31,"1363046"
"152",2019-06-01,"1316673"
"153",2019-06-02,"1446447"
"154",2019-06-03,"1458673"
"155",2019-06-04,"1473776"
"156",2019-06-05,"1471425"
"157",2019-06-06,"1478922"
"158",2019-06-07,"1243962"
"159",2019-06-08,"1234160"
"160",2019-06-09,"1363598"
"161",2019-06-10,"1413334"
"162",2019-06-11,"1461797"
"163",2019-06-12,"1506277"
"164",2019-06-13,"1452213"
"165",2019-06-14,"1165103"
"166",2019-06-15,"1255539"
"167",2019-06-16,"1307787"
"168",2019-06-17,"1446586"
"169",2019-06-18,"1436381"
"170",2019-06-19,"1442767"
"171",2019-06-20,"1462821"
"172",2019-06-21,"1181971"
"173",2019-06-22,"1202515"
"174",2019-06-23,"1365214"
"175",2019-06-24,"1453085"
"176",2019-06-25,"1398477"
"177",2019-06-26,"1418861"
"178",2019-06-27,"1381220"
"179",2019-06-28,"1195956"
"180",2019-06-29,"1195236"
"181",2019-06-30,"1336889"
"182",2019-07-01,"1526822"
"183",2019-07-02,"1475117"
"184",2019-07-03,"1473211"
"185",2019-07-04,"1404270"
"186",2019-07-05,"1174936"
"187",2019-07-06,"1173680"
"188",2019-07-07,"1307523"
"189",2019-07-08,"1399916"
"190",2019-07-09,"1418624"
"191",2019-07-10,"1347707"
"192",2019-07-11,"1139297"
"193",2019-07-12,"1151417"
"194",2019-07-13,"1352041"
"195",2019-07-14,"1301575"
"196",2019-07-15,"1327480"
"197",2019-07-16,"1416274"
"198",2019-07-17,"1399663"
"199",2019-07-18,"1407322"
"200",2019-07-19,"1175310"
"201",2019-07-20,"1156577"
"202",2019-07-21,"1281104"
"203",2019-07-22,"1489403"
"204",2019-07-23,"1439751"
"205",2019-07-24,"1499028"
"206",2019-07-25,"1349682"
"207",2019-07-26,"1206262"
"208",2019-07-27,"1161026"
"209",2019-07-28,"1310780"
"210",2019-07-29,"1342657"
"211",2019-07-30,"1328201"
"212",2019-07-31,"1384227"
"213",2019-08-01,"1360641"
"214",2019-08-02,"1169884"
"215",2019-08-03,"1207257"
"216",2019-08-04,"1260407"
"217",2019-08-05,"1345030"
"218",2019-08-06,"1373170"
"219",2019-08-07,"1471032"
"220",2019-08-08,"1408134"
