startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",3281647
"2013-01-02T00:00:00","2013-01-03T00:00:00",3867757
"2013-01-03T00:00:00","2013-01-04T00:00:00",4057911
"2013-01-04T00:00:00","2013-01-05T00:00:00",3817806
"2013-01-05T00:00:00","2013-01-06T00:00:00",3550578
"2013-01-06T00:00:00","2013-01-07T00:00:00",3737843
"2013-01-07T00:00:00","2013-01-08T00:00:00",4091581
"2013-01-08T00:00:00","2013-01-09T00:00:00",4178404
"2013-01-09T00:00:00","2013-01-10T00:00:00",3803866
"2013-01-10T00:00:00","2013-01-11T00:00:00",3688905
"2013-01-11T00:00:00","2013-01-12T00:00:00",3710752
"2013-01-12T00:00:00","2013-01-13T00:00:00",3175365
"2013-01-13T00:00:00","2013-01-14T00:00:00",3798632
"2013-01-14T00:00:00","2013-01-15T00:00:00",3750126
"2013-01-15T00:00:00","2013-01-16T00:00:00",3885417
"2013-01-16T00:00:00","2013-01-17T00:00:00",3998382
"2013-01-17T00:00:00","2013-01-18T00:00:00",3878071
"2013-01-18T00:00:00","2013-01-19T00:00:00",3728235
"2013-01-19T00:00:00","2013-01-20T00:00:00",3109108
"2013-01-20T00:00:00","2013-01-21T00:00:00",3432182
"2013-01-21T00:00:00","2013-01-22T00:00:00",4064095
"2013-01-22T00:00:00","2013-01-23T00:00:00",3667896
"2013-01-23T00:00:00","2013-01-24T00:00:00",4049475
"2013-01-24T00:00:00","2013-01-25T00:00:00",3926303
"2013-01-25T00:00:00","2013-01-26T00:00:00",3794750
"2013-01-26T00:00:00","2013-01-27T00:00:00",3323597
"2013-01-27T00:00:00","2013-01-28T00:00:00",3494063
"2013-01-28T00:00:00","2013-01-29T00:00:00",3982584
"2013-01-29T00:00:00","2013-01-30T00:00:00",3904674
"2013-01-30T00:00:00","2013-01-31T00:00:00",3881318
"2013-01-31T00:00:00","2013-02-01T00:00:00",3552080
"2013-02-01T00:00:00","2013-02-02T00:00:00",3585527
"2013-02-02T00:00:00","2013-02-03T00:00:00",2950021
"2013-02-03T00:00:00","2013-02-04T00:00:00",3469719
"2013-02-04T00:00:00","2013-02-05T00:00:00",4329933
"2013-02-05T00:00:00","2013-02-06T00:00:00",3617191
"2013-02-06T00:00:00","2013-02-07T00:00:00",3631625
"2013-02-07T00:00:00","2013-02-08T00:00:00",3544528
"2013-02-08T00:00:00","2013-02-09T00:00:00",3630515
"2013-02-09T00:00:00","2013-02-10T00:00:00",3125357
"2013-02-10T00:00:00","2013-02-11T00:00:00",3288549
"2013-02-11T00:00:00","2013-02-12T00:00:00",4023742
"2013-02-12T00:00:00","2013-02-13T00:00:00",3768443
"2013-02-13T00:00:00","2013-02-14T00:00:00",3742434
"2013-02-14T00:00:00","2013-02-15T00:00:00",3349346
"2013-02-15T00:00:00","2013-02-16T00:00:00",3017573
"2013-02-16T00:00:00","2013-02-17T00:00:00",2846453
"2013-02-17T00:00:00","2013-02-18T00:00:00",3067305
"2013-02-18T00:00:00","2013-02-19T00:00:00",3751691
"2013-02-19T00:00:00","2013-02-20T00:00:00",3875037
"2013-02-20T00:00:00","2013-02-21T00:00:00",3830822
"2013-02-21T00:00:00","2013-02-22T00:00:00",3783223
"2013-02-22T00:00:00","2013-02-23T00:00:00",3630397
"2013-02-23T00:00:00","2013-02-24T00:00:00",3052024
"2013-02-24T00:00:00","2013-02-25T00:00:00",3194429
"2013-02-25T00:00:00","2013-02-26T00:00:00",3754102
"2013-02-26T00:00:00","2013-02-27T00:00:00",3740770
"2013-02-27T00:00:00","2013-02-28T00:00:00",3774993
"2013-02-28T00:00:00","2013-03-01T00:00:00",3575861
"2013-03-01T00:00:00","2013-03-02T00:00:00",3510729
