startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",230897
"2019-01-02T00:00:00","2019-01-03T00:00:00",286023
"2019-01-03T00:00:00","2019-01-04T00:00:00",310500
"2019-01-04T00:00:00","2019-01-05T00:00:00",341428
"2019-01-05T00:00:00","2019-01-06T00:00:00",297323
"2019-01-06T00:00:00","2019-01-07T00:00:00",301209
"2019-01-07T00:00:00","2019-01-08T00:00:00",335960
"2019-01-08T00:00:00","2019-01-09T00:00:00",355390
"2019-01-09T00:00:00","2019-01-10T00:00:00",357508
"2019-01-10T00:00:00","2019-01-11T00:00:00",331598
"2019-01-11T00:00:00","2019-01-12T00:00:00",331002
"2019-01-12T00:00:00","2019-01-13T00:00:00",286179
"2019-01-13T00:00:00","2019-01-14T00:00:00",283471
"2019-01-14T00:00:00","2019-01-15T00:00:00",307546
"2019-01-15T00:00:00","2019-01-16T00:00:00",327789
"2019-01-16T00:00:00","2019-01-17T00:00:00",329095
"2019-01-17T00:00:00","2019-01-18T00:00:00",334894
"2019-01-18T00:00:00","2019-01-19T00:00:00",327785
"2019-01-19T00:00:00","2019-01-20T00:00:00",306255
"2019-01-20T00:00:00","2019-01-21T00:00:00",312558
"2019-01-21T00:00:00","2019-01-22T00:00:00",360646
"2019-01-22T00:00:00","2019-01-23T00:00:00",370102
"2019-01-23T00:00:00","2019-01-24T00:00:00",368855
"2019-01-24T00:00:00","2019-01-25T00:00:00",358867
"2019-01-25T00:00:00","2019-01-26T00:00:00",355408
"2019-01-26T00:00:00","2019-01-27T00:00:00",281159
"2019-01-27T00:00:00","2019-01-28T00:00:00",278276
"2019-01-28T00:00:00","2019-01-29T00:00:00",313434
"2019-01-29T00:00:00","2019-01-30T00:00:00",339834
"2019-01-30T00:00:00","2019-01-31T00:00:00",356262
"2019-01-31T00:00:00","2019-02-01T00:00:00",354478
"2019-02-01T00:00:00","2019-02-02T00:00:00",321806
"2019-02-02T00:00:00","2019-02-03T00:00:00",264216
"2019-02-03T00:00:00","2019-02-04T00:00:00",253256
"2019-02-04T00:00:00","2019-02-05T00:00:00",319620
"2019-02-05T00:00:00","2019-02-06T00:00:00",317066
"2019-02-06T00:00:00","2019-02-07T00:00:00",370166
"2019-02-07T00:00:00","2019-02-08T00:00:00",342448
"2019-02-08T00:00:00","2019-02-09T00:00:00",323067
"2019-02-09T00:00:00","2019-02-10T00:00:00",273690
"2019-02-10T00:00:00","2019-02-11T00:00:00",265321
"2019-02-11T00:00:00","2019-02-12T00:00:00",312713
"2019-02-12T00:00:00","2019-02-13T00:00:00",340618
"2019-02-13T00:00:00","2019-02-14T00:00:00",344156
"2019-02-14T00:00:00","2019-02-15T00:00:00",329976
