startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",541183
"2013-01-02T00:00:00","2013-01-03T00:00:00",727389
"2013-01-03T00:00:00","2013-01-04T00:00:00",796705
"2013-01-04T00:00:00","2013-01-05T00:00:00",751988
"2013-01-05T00:00:00","2013-01-06T00:00:00",667808
"2013-01-06T00:00:00","2013-01-07T00:00:00",689820
"2013-01-07T00:00:00","2013-01-08T00:00:00",767792
"2013-01-08T00:00:00","2013-01-09T00:00:00",765016
"2013-01-09T00:00:00","2013-01-10T00:00:00",721127
"2013-01-10T00:00:00","2013-01-11T00:00:00",739404
"2013-01-11T00:00:00","2013-01-12T00:00:00",696884
"2013-01-12T00:00:00","2013-01-13T00:00:00",612134
"2013-01-13T00:00:00","2013-01-14T00:00:00",682150
"2013-01-14T00:00:00","2013-01-15T00:00:00",754827
"2013-01-15T00:00:00","2013-01-16T00:00:00",771866
"2013-01-16T00:00:00","2013-01-17T00:00:00",756631
"2013-01-17T00:00:00","2013-01-18T00:00:00",766431
"2013-01-18T00:00:00","2013-01-19T00:00:00",700119
"2013-01-19T00:00:00","2013-01-20T00:00:00",589254
"2013-01-20T00:00:00","2013-01-21T00:00:00",638448
"2013-01-21T00:00:00","2013-01-22T00:00:00",743658
"2013-01-22T00:00:00","2013-01-23T00:00:00",699648
"2013-01-23T00:00:00","2013-01-24T00:00:00",779602
"2013-01-24T00:00:00","2013-01-25T00:00:00",785120
"2013-01-25T00:00:00","2013-01-26T00:00:00",727881
"2013-01-26T00:00:00","2013-01-27T00:00:00",618051
"2013-01-27T00:00:00","2013-01-28T00:00:00",631202
"2013-01-28T00:00:00","2013-01-29T00:00:00",755787
"2013-01-29T00:00:00","2013-01-30T00:00:00",766473
"2013-01-30T00:00:00","2013-01-31T00:00:00",760802
"2013-01-31T00:00:00","2013-02-01T00:00:00",713131
"2013-02-01T00:00:00","2013-02-02T00:00:00",687535
"2013-02-02T00:00:00","2013-02-03T00:00:00",564844
"2013-02-03T00:00:00","2013-02-04T00:00:00",624401
"2013-02-04T00:00:00","2013-02-05T00:00:00",718554
"2013-02-05T00:00:00","2013-02-06T00:00:00",722829
"2013-02-06T00:00:00","2013-02-07T00:00:00",731075
"2013-02-07T00:00:00","2013-02-08T00:00:00",718818
"2013-02-08T00:00:00","2013-02-09T00:00:00",716161
"2013-02-09T00:00:00","2013-02-10T00:00:00",602728
"2013-02-10T00:00:00","2013-02-11T00:00:00",768627
"2013-02-11T00:00:00","2013-02-12T00:00:00",792522
"2013-02-12T00:00:00","2013-02-13T00:00:00",759529
"2013-02-13T00:00:00","2013-02-14T00:00:00",796844
"2013-02-14T00:00:00","2013-02-15T00:00:00",686703
"2013-02-15T00:00:00","2013-02-16T00:00:00",656113
"2013-02-16T00:00:00","2013-02-17T00:00:00",636099
"2013-02-17T00:00:00","2013-02-18T00:00:00",650065
"2013-02-18T00:00:00","2013-02-19T00:00:00",787640
"2013-02-19T00:00:00","2013-02-20T00:00:00",861595
"2013-02-20T00:00:00","2013-02-21T00:00:00",838966
"2013-02-21T00:00:00","2013-02-22T00:00:00",807346
"2013-02-22T00:00:00","2013-02-23T00:00:00",773918
"2013-02-23T00:00:00","2013-02-24T00:00:00",649890
"2013-02-24T00:00:00","2013-02-25T00:00:00",653308
"2013-02-25T00:00:00","2013-02-26T00:00:00",820504
"2013-02-26T00:00:00","2013-02-27T00:00:00",791064
"2013-02-27T00:00:00","2013-02-28T00:00:00",806314
"2013-02-28T00:00:00","2013-03-01T00:00:00",780669
"2013-03-01T00:00:00","2013-03-02T00:00:00",804607
"2013-03-02T00:00:00","2013-03-03T00:00:00",657170
"2013-03-03T00:00:00","2013-03-04T00:00:00",666640
"2013-03-04T00:00:00","2013-03-05T00:00:00",772901
"2013-03-05T00:00:00","2013-03-06T00:00:00",801799
"2013-03-06T00:00:00","2013-03-07T00:00:00",821163
"2013-03-07T00:00:00","2013-03-08T00:00:00",832611
"2013-03-08T00:00:00","2013-03-09T00:00:00",739475
"2013-03-09T00:00:00","2013-03-10T00:00:00",634890
"2013-03-10T00:00:00","2013-03-11T00:00:00",636043
"2013-03-11T00:00:00","2013-03-12T00:00:00",757236
"2013-03-12T00:00:00","2013-03-13T00:00:00",743756
"2013-03-13T00:00:00","2013-03-14T00:00:00",735780
"2013-03-14T00:00:00","2013-03-15T00:00:00",710379
"2013-03-15T00:00:00","2013-03-16T00:00:00",669500
"2013-03-16T00:00:00","2013-03-17T00:00:00",612834
"2013-03-17T00:00:00","2013-03-18T00:00:00",619486
"2013-03-18T00:00:00","2013-03-19T00:00:00",763773
"2013-03-19T00:00:00","2013-03-20T00:00:00",764533
"2013-03-20T00:00:00","2013-03-21T00:00:00",768117
"2013-03-21T00:00:00","2013-03-22T00:00:00",768571
"2013-03-22T00:00:00","2013-03-23T00:00:00",730953
"2013-03-23T00:00:00","2013-03-24T00:00:00",618122
"2013-03-24T00:00:00","2013-03-25T00:00:00",646933
"2013-03-25T00:00:00","2013-03-26T00:00:00",769680
"2013-03-26T00:00:00","2013-03-27T00:00:00",778728
"2013-03-27T00:00:00","2013-03-28T00:00:00",737403
"2013-03-28T00:00:00","2013-03-29T00:00:00",708526
"2013-03-29T00:00:00","2013-03-30T00:00:00",665942
"2013-03-30T00:00:00","2013-03-31T00:00:00",584424
"2013-03-31T00:00:00","2013-04-01T00:00:00",559295
"2013-04-01T00:00:00","2013-04-02T00:00:00",721552
"2013-04-02T00:00:00","2013-04-03T00:00:00",745349
"2013-04-03T00:00:00","2013-04-04T00:00:00",762778
"2013-04-04T00:00:00","2013-04-05T00:00:00",786838
"2013-04-05T00:00:00","2013-04-06T00:00:00",718579
"2013-04-06T00:00:00","2013-04-07T00:00:00",586296
"2013-04-07T00:00:00","2013-04-08T00:00:00",602651
"2013-04-08T00:00:00","2013-04-09T00:00:00",743865
"2013-04-09T00:00:00","2013-04-10T00:00:00",752015
"2013-04-10T00:00:00","2013-04-11T00:00:00",753814
"2013-04-11T00:00:00","2013-04-12T00:00:00",746606
"2013-04-12T00:00:00","2013-04-13T00:00:00",708549
"2013-04-13T00:00:00","2013-04-14T00:00:00",597432
"2013-04-14T00:00:00","2013-04-15T00:00:00",569301
"2013-04-15T00:00:00","2013-04-16T00:00:00",850879
"2013-04-16T00:00:00","2013-04-17T00:00:00",972778
"2013-04-17T00:00:00","2013-04-18T00:00:00",976425
"2013-04-18T00:00:00","2013-04-19T00:00:00",872035
"2013-04-19T00:00:00","2013-04-20T00:00:00",914486
"2013-04-20T00:00:00","2013-04-21T00:00:00",758655
"2013-04-21T00:00:00","2013-04-22T00:00:00",565860
"2013-04-22T00:00:00","2013-04-23T00:00:00",736434
"2013-04-23T00:00:00","2013-04-24T00:00:00",764501
"2013-04-24T00:00:00","2013-04-25T00:00:00",797040
"2013-04-25T00:00:00","2013-04-26T00:00:00",735668
"2013-04-26T00:00:00","2013-04-27T00:00:00",702933
"2013-04-27T00:00:00","2013-04-28T00:00:00",557817
"2013-04-28T00:00:00","2013-04-29T00:00:00",574732
"2013-04-29T00:00:00","2013-04-30T00:00:00",734048
"2013-04-30T00:00:00","2013-05-01T00:00:00",738994
"2013-05-01T00:00:00","2013-05-02T00:00:00",714885
"2013-05-02T00:00:00","2013-05-03T00:00:00",711763
"2013-05-03T00:00:00","2013-05-04T00:00:00",649565
"2013-05-04T00:00:00","2013-05-05T00:00:00",550278
"2013-05-05T00:00:00","2013-05-06T00:00:00",547828
"2013-05-06T00:00:00","2013-05-07T00:00:00",674501
"2013-05-07T00:00:00","2013-05-08T00:00:00",740596
