startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",5230449
"2019-01-02T00:00:00","2019-01-03T00:00:00",4909132
"2019-01-03T00:00:00","2019-01-04T00:00:00",5229666
"2019-01-04T00:00:00","2019-01-05T00:00:00",5446899
"2019-01-05T00:00:00","2019-01-06T00:00:00",4846436
"2019-01-06T00:00:00","2019-01-07T00:00:00",4851294
"2019-01-07T00:00:00","2019-01-08T00:00:00",5357306
"2019-01-08T00:00:00","2019-01-09T00:00:00",5600663
"2019-01-09T00:00:00","2019-01-10T00:00:00",5606176
"2019-01-10T00:00:00","2019-01-11T00:00:00",5476938
"2019-01-11T00:00:00","2019-01-12T00:00:00",5452599
"2019-01-12T00:00:00","2019-01-13T00:00:00",4821018
"2019-01-13T00:00:00","2019-01-14T00:00:00",4782334
"2019-01-14T00:00:00","2019-01-15T00:00:00",5145694
"2019-01-15T00:00:00","2019-01-16T00:00:00",5496806
"2019-01-16T00:00:00","2019-01-17T00:00:00",5480001
"2019-01-17T00:00:00","2019-01-18T00:00:00",5550533
"2019-01-18T00:00:00","2019-01-19T00:00:00",5550017
"2019-01-19T00:00:00","2019-01-20T00:00:00",4940552
"2019-01-20T00:00:00","2019-01-21T00:00:00",4915540
"2019-01-21T00:00:00","2019-01-22T00:00:00",5836970
"2019-01-22T00:00:00","2019-01-23T00:00:00",5491304
"2019-01-23T00:00:00","2019-01-24T00:00:00",5625173
"2019-01-24T00:00:00","2019-01-25T00:00:00",5666923
"2019-01-25T00:00:00","2019-01-26T00:00:00",5695803
"2019-01-26T00:00:00","2019-01-27T00:00:00",4816990
"2019-01-27T00:00:00","2019-01-28T00:00:00",4568202
"2019-01-28T00:00:00","2019-01-29T00:00:00",5301792
"2019-01-29T00:00:00","2019-01-30T00:00:00",5521145
"2019-01-30T00:00:00","2019-01-31T00:00:00",5736161
"2019-01-31T00:00:00","2019-02-01T00:00:00",5660964
"2019-02-01T00:00:00","2019-02-02T00:00:00",5531025
"2019-02-02T00:00:00","2019-02-03T00:00:00",4784865
"2019-02-03T00:00:00","2019-02-04T00:00:00",4631848
"2019-02-04T00:00:00","2019-02-05T00:00:00",5899125
"2019-02-05T00:00:00","2019-02-06T00:00:00",5350781
"2019-02-06T00:00:00","2019-02-07T00:00:00",5860431
"2019-02-07T00:00:00","2019-02-08T00:00:00",5547619
"2019-02-08T00:00:00","2019-02-09T00:00:00",5505800
"2019-02-09T00:00:00","2019-02-10T00:00:00",4707640
"2019-02-10T00:00:00","2019-02-11T00:00:00",4544736
"2019-02-11T00:00:00","2019-02-12T00:00:00",5451943
"2019-02-12T00:00:00","2019-02-13T00:00:00",5503019
"2019-02-13T00:00:00","2019-02-14T00:00:00",5597954
"2019-02-14T00:00:00","2019-02-15T00:00:00",5833202
"2019-02-15T00:00:00","2019-02-16T00:00:00",5455504
"2019-02-16T00:00:00","2019-02-17T00:00:00",4614851
"2019-02-17T00:00:00","2019-02-18T00:00:00",4497343
"2019-02-18T00:00:00","2019-02-19T00:00:00",4954345
"2019-02-19T00:00:00","2019-02-20T00:00:00",5369947
"2019-02-20T00:00:00","2019-02-21T00:00:00",5608282
"2019-02-21T00:00:00","2019-02-22T00:00:00",5642211
"2019-02-22T00:00:00","2019-02-23T00:00:00",5570340
"2019-02-23T00:00:00","2019-02-24T00:00:00",4803602
"2019-02-24T00:00:00","2019-02-25T00:00:00",4574623
"2019-02-25T00:00:00","2019-02-26T00:00:00",5405901
"2019-02-26T00:00:00","2019-02-27T00:00:00",5428286
"2019-02-27T00:00:00","2019-02-28T00:00:00",5748254
"2019-02-28T00:00:00","2019-03-01T00:00:00",5648257
"2019-03-01T00:00:00","2019-03-02T00:00:00",5641506
"2019-03-02T00:00:00","2019-03-03T00:00:00",4793138
"2019-03-03T00:00:00","2019-03-04T00:00:00",4543469
"2019-03-04T00:00:00","2019-03-05T00:00:00",5148296
"2019-03-05T00:00:00","2019-03-06T00:00:00",5434215
"2019-03-06T00:00:00","2019-03-07T00:00:00",5517449
"2019-03-07T00:00:00","2019-03-08T00:00:00",5492210
"2019-03-08T00:00:00","2019-03-09T00:00:00",5590593
"2019-03-09T00:00:00","2019-03-10T00:00:00",4675730
"2019-03-10T00:00:00","2019-03-11T00:00:00",4562837
"2019-03-11T00:00:00","2019-03-12T00:00:00",5056748
"2019-03-12T00:00:00","2019-03-13T00:00:00",5478988
"2019-03-13T00:00:00","2019-03-14T00:00:00",5692122
"2019-03-14T00:00:00","2019-03-15T00:00:00",5775536
"2019-03-15T00:00:00","2019-03-16T00:00:00",5531232
"2019-03-16T00:00:00","2019-03-17T00:00:00",4683926
"2019-03-17T00:00:00","2019-03-18T00:00:00",4599978
"2019-03-18T00:00:00","2019-03-19T00:00:00",5059376
"2019-03-19T00:00:00","2019-03-20T00:00:00",5422450
"2019-03-20T00:00:00","2019-03-21T00:00:00",5629228
"2019-03-21T00:00:00","2019-03-22T00:00:00",5655489
"2019-03-22T00:00:00","2019-03-23T00:00:00",5606264
"2019-03-23T00:00:00","2019-03-24T00:00:00",4768073
"2019-03-24T00:00:00","2019-03-25T00:00:00",4645043
"2019-03-25T00:00:00","2019-03-26T00:00:00",5351194
"2019-03-26T00:00:00","2019-03-27T00:00:00",5614563
"2019-03-27T00:00:00","2019-03-28T00:00:00",5467037
"2019-03-28T00:00:00","2019-03-29T00:00:00",5685493
"2019-03-29T00:00:00","2019-03-30T00:00:00",5521175
"2019-03-30T00:00:00","2019-03-31T00:00:00",4763995
"2019-03-31T00:00:00","2019-04-01T00:00:00",4343124
"2019-04-01T00:00:00","2019-04-02T00:00:00",5275408
"2019-04-02T00:00:00","2019-04-03T00:00:00",5363727
"2019-04-03T00:00:00","2019-04-04T00:00:00",5449152
"2019-04-04T00:00:00","2019-04-05T00:00:00",5478143
"2019-04-05T00:00:00","2019-04-06T00:00:00",5464057
"2019-04-06T00:00:00","2019-04-07T00:00:00",4639635
"2019-04-07T00:00:00","2019-04-08T00:00:00",4599287
"2019-04-08T00:00:00","2019-04-09T00:00:00",5235413
"2019-04-09T00:00:00","2019-04-10T00:00:00",5562220
"2019-04-10T00:00:00","2019-04-11T00:00:00",5681587
"2019-04-11T00:00:00","2019-04-12T00:00:00",5577567
"2019-04-12T00:00:00","2019-04-13T00:00:00",5504748
"2019-04-13T00:00:00","2019-04-14T00:00:00",4775440
"2019-04-14T00:00:00","2019-04-15T00:00:00",4721348
"2019-04-15T00:00:00","2019-04-16T00:00:00",5197613
"2019-04-16T00:00:00","2019-04-17T00:00:00",5398825
"2019-04-17T00:00:00","2019-04-18T00:00:00",5554608
"2019-04-18T00:00:00","2019-04-19T00:00:00",5635141
"2019-04-19T00:00:00","2019-04-20T00:00:00",5357184
"2019-04-20T00:00:00","2019-04-21T00:00:00",4652358
"2019-04-21T00:00:00","2019-04-22T00:00:00",4359122
"2019-04-22T00:00:00","2019-04-23T00:00:00",4989867
"2019-04-23T00:00:00","2019-04-24T00:00:00",5465766
"2019-04-24T00:00:00","2019-04-25T00:00:00",5736984
"2019-04-25T00:00:00","2019-04-26T00:00:00",5686560
"2019-04-26T00:00:00","2019-04-27T00:00:00",5737476
"2019-04-27T00:00:00","2019-04-28T00:00:00",4761566
"2019-04-28T00:00:00","2019-04-29T00:00:00",4460200
"2019-04-29T00:00:00","2019-04-30T00:00:00",5141898
"2019-04-30T00:00:00","2019-05-01T00:00:00",5326485
"2019-05-01T00:00:00","2019-05-02T00:00:00",5562175
"2019-05-02T00:00:00","2019-05-03T00:00:00",5391412
"2019-05-03T00:00:00","2019-05-04T00:00:00",5400901
"2019-05-04T00:00:00","2019-05-05T00:00:00",4686788
"2019-05-05T00:00:00","2019-05-06T00:00:00",4487691
"2019-05-06T00:00:00","2019-05-07T00:00:00",5074615
"2019-05-07T00:00:00","2019-05-08T00:00:00",5503592
"2019-05-08T00:00:00","2019-05-09T00:00:00",5632870
"2019-05-09T00:00:00","2019-05-10T00:00:00",5574243
"2019-05-10T00:00:00","2019-05-11T00:00:00",5389561
"2019-05-11T00:00:00","2019-05-12T00:00:00",4652046
"2019-05-12T00:00:00","2019-05-13T00:00:00",4546935
"2019-05-13T00:00:00","2019-05-14T00:00:00",5172624
"2019-05-14T00:00:00","2019-05-15T00:00:00",5281178
"2019-05-15T00:00:00","2019-05-16T00:00:00",5476920
"2019-05-16T00:00:00","2019-05-17T00:00:00",5492527
"2019-05-17T00:00:00","2019-05-18T00:00:00",5493474
"2019-05-18T00:00:00","2019-05-19T00:00:00",4528238
"2019-05-19T00:00:00","2019-05-20T00:00:00",4354325
"2019-05-20T00:00:00","2019-05-21T00:00:00",5233570
"2019-05-21T00:00:00","2019-05-22T00:00:00",5352803
"2019-05-22T00:00:00","2019-05-23T00:00:00",5495680
"2019-05-23T00:00:00","2019-05-24T00:00:00",5465739
"2019-05-24T00:00:00","2019-05-25T00:00:00",5323025
"2019-05-25T00:00:00","2019-05-26T00:00:00",4439669
"2019-05-26T00:00:00","2019-05-27T00:00:00",4294483
"2019-05-27T00:00:00","2019-05-28T00:00:00",4382549
"2019-05-28T00:00:00","2019-05-29T00:00:00",4816246
"2019-05-29T00:00:00","2019-05-30T00:00:00",5444198
"2019-05-30T00:00:00","2019-05-31T00:00:00",5522709
"2019-05-31T00:00:00","2019-06-01T00:00:00",5507212
"2019-06-01T00:00:00","2019-06-02T00:00:00",4699529
"2019-06-02T00:00:00","2019-06-03T00:00:00",4445932
"2019-06-03T00:00:00","2019-06-04T00:00:00",5048259
"2019-06-04T00:00:00","2019-06-05T00:00:00",5326751
"2019-06-05T00:00:00","2019-06-06T00:00:00",5401349
"2019-06-06T00:00:00","2019-06-07T00:00:00",5459930
"2019-06-07T00:00:00","2019-06-08T00:00:00",5378932
"2019-06-08T00:00:00","2019-06-09T00:00:00",4644018
"2019-06-09T00:00:00","2019-06-10T00:00:00",4337658
"2019-06-10T00:00:00","2019-06-11T00:00:00",4984557
"2019-06-11T00:00:00","2019-06-12T00:00:00",5570118
"2019-06-12T00:00:00","2019-06-13T00:00:00",5389551
"2019-06-13T00:00:00","2019-06-14T00:00:00",5525690
"2019-06-14T00:00:00","2019-06-15T00:00:00",5670487
"2019-06-15T00:00:00","2019-06-16T00:00:00",4428787
"2019-06-16T00:00:00","2019-06-17T00:00:00",4595107
"2019-06-17T00:00:00","2019-06-18T00:00:00",4784969
"2019-06-18T00:00:00","2019-06-19T00:00:00",5251731
"2019-06-19T00:00:00","2019-06-20T00:00:00",5489656
"2019-06-20T00:00:00","2019-06-21T00:00:00",5494730
"2019-06-21T00:00:00","2019-06-22T00:00:00",5544455
"2019-06-22T00:00:00","2019-06-23T00:00:00",4642358
"2019-06-23T00:00:00","2019-06-24T00:00:00",4319036
"2019-06-24T00:00:00","2019-06-25T00:00:00",5034505
"2019-06-25T00:00:00","2019-06-26T00:00:00",5373703
"2019-06-26T00:00:00","2019-06-27T00:00:00",5474428
"2019-06-27T00:00:00","2019-06-28T00:00:00",5662431
"2019-06-28T00:00:00","2019-06-29T00:00:00",5680596
"2019-06-29T00:00:00","2019-06-30T00:00:00",4591496
"2019-06-30T00:00:00","2019-07-01T00:00:00",4552978
"2019-07-01T00:00:00","2019-07-02T00:00:00",5261535
"2019-07-02T00:00:00","2019-07-03T00:00:00",5416254
"2019-07-03T00:00:00","2019-07-04T00:00:00",5504843
"2019-07-04T00:00:00","2019-07-05T00:00:00",5279157
"2019-07-05T00:00:00","2019-07-06T00:00:00",4675946
"2019-07-06T00:00:00","2019-07-07T00:00:00",4864709
"2019-07-07T00:00:00","2019-07-08T00:00:00",4593127
"2019-07-08T00:00:00","2019-07-09T00:00:00",5024006
"2019-07-09T00:00:00","2019-07-10T00:00:00",5388900
"2019-07-10T00:00:00","2019-07-11T00:00:00",5503751
"2019-07-11T00:00:00","2019-07-12T00:00:00",5153406
"2019-07-12T00:00:00","2019-07-13T00:00:00",4664165
"2019-07-13T00:00:00","2019-07-14T00:00:00",4637466
"2019-07-14T00:00:00","2019-07-15T00:00:00",4572245
"2019-07-15T00:00:00","2019-07-16T00:00:00",5129569
"2019-07-16T00:00:00","2019-07-17T00:00:00",5599636
"2019-07-17T00:00:00","2019-07-18T00:00:00",5613121
"2019-07-18T00:00:00","2019-07-19T00:00:00",5659790
"2019-07-19T00:00:00","2019-07-20T00:00:00",5540648
"2019-07-20T00:00:00","2019-07-21T00:00:00",4734191
"2019-07-21T00:00:00","2019-07-22T00:00:00",4538906
"2019-07-22T00:00:00","2019-07-23T00:00:00",5038147
"2019-07-23T00:00:00","2019-07-24T00:00:00",5414482
"2019-07-24T00:00:00","2019-07-25T00:00:00",5454952
"2019-07-25T00:00:00","2019-07-26T00:00:00",5502267
"2019-07-26T00:00:00","2019-07-27T00:00:00",5446446
"2019-07-27T00:00:00","2019-07-28T00:00:00",4697732
"2019-07-28T00:00:00","2019-07-29T00:00:00",4529657
"2019-07-29T00:00:00","2019-07-30T00:00:00",5082775
"2019-07-30T00:00:00","2019-07-31T00:00:00",5355498
"2019-07-31T00:00:00","2019-08-01T00:00:00",5661489
"2019-08-01T00:00:00","2019-08-02T00:00:00",5589166
"2019-08-02T00:00:00","2019-08-03T00:00:00",5347633
"2019-08-03T00:00:00","2019-08-04T00:00:00",4532236
"2019-08-04T00:00:00","2019-08-05T00:00:00",4670702
"2019-08-05T00:00:00","2019-08-06T00:00:00",5195395
"2019-08-06T00:00:00","2019-08-07T00:00:00",5513704
"2019-08-07T00:00:00","2019-08-08T00:00:00",5642517
"2019-08-08T00:00:00","2019-08-09T00:00:00",5641853
"2019-08-09T00:00:00","2019-08-10T00:00:00",5531400
"2019-08-10T00:00:00","2019-08-11T00:00:00",4739975
"2019-08-11T00:00:00","2019-08-12T00:00:00",4475162
"2019-08-12T00:00:00","2019-08-13T00:00:00",5046637
"2019-08-13T00:00:00","2019-08-14T00:00:00",5348797
"2019-08-14T00:00:00","2019-08-15T00:00:00",5465383
"2019-08-15T00:00:00","2019-08-16T00:00:00",5449568
"2019-08-16T00:00:00","2019-08-17T00:00:00",5412173
"2019-08-17T00:00:00","2019-08-18T00:00:00",4657830
"2019-08-18T00:00:00","2019-08-19T00:00:00",4456346
"2019-08-19T00:00:00","2019-08-20T00:00:00",4992976
"2019-08-20T00:00:00","2019-08-21T00:00:00",5403651
"2019-08-21T00:00:00","2019-08-22T00:00:00",5486003
"2019-08-22T00:00:00","2019-08-23T00:00:00",5428137
"2019-08-23T00:00:00","2019-08-24T00:00:00",5520276
"2019-08-24T00:00:00","2019-08-25T00:00:00",4720109
"2019-08-25T00:00:00","2019-08-26T00:00:00",4628717
"2019-08-26T00:00:00","2019-08-27T00:00:00",5019191
"2019-08-27T00:00:00","2019-08-28T00:00:00",5333466
"2019-08-28T00:00:00","2019-08-29T00:00:00",5386089
"2019-08-29T00:00:00","2019-08-30T00:00:00",5418460
"2019-08-30T00:00:00","2019-08-31T00:00:00",5380902
"2019-08-31T00:00:00","2019-09-01T00:00:00",4752765
"2019-09-01T00:00:00","2019-09-02T00:00:00",4591992
"2019-09-02T00:00:00","2019-09-03T00:00:00",4633157
"2019-09-03T00:00:00","2019-09-04T00:00:00",4918823
"2019-09-04T00:00:00","2019-09-05T00:00:00",5368527
"2019-09-05T00:00:00","2019-09-06T00:00:00",5726648
"2019-09-06T00:00:00","2019-09-07T00:00:00",5740075
"2019-09-07T00:00:00","2019-09-08T00:00:00",5204397
"2019-09-08T00:00:00","2019-09-09T00:00:00",5072716
"2019-09-09T00:00:00","2019-09-10T00:00:00",5331996
"2019-09-10T00:00:00","2019-09-11T00:00:00",5587609
"2019-09-11T00:00:00","2019-09-12T00:00:00",5628886
"2019-09-12T00:00:00","2019-09-13T00:00:00",5583052
"2019-09-13T00:00:00","2019-09-14T00:00:00",5896937
"2019-09-14T00:00:00","2019-09-15T00:00:00",4942439
"2019-09-15T00:00:00","2019-09-16T00:00:00",4852954
"2019-09-16T00:00:00","2019-09-17T00:00:00",5353882
"2019-09-17T00:00:00","2019-09-18T00:00:00",5649770
"2019-09-18T00:00:00","2019-09-19T00:00:00",5600641
"2019-09-19T00:00:00","2019-09-20T00:00:00",5536259
"2019-09-20T00:00:00","2019-09-21T00:00:00",5658432
"2019-09-21T00:00:00","2019-09-22T00:00:00",4978388
"2019-09-22T00:00:00","2019-09-23T00:00:00",4951256
"2019-09-23T00:00:00","2019-09-24T00:00:00",5505453
"2019-09-24T00:00:00","2019-09-25T00:00:00",5898363
"2019-09-25T00:00:00","2019-09-26T00:00:00",6018272
"2019-09-26T00:00:00","2019-09-27T00:00:00",5977365
"2019-09-27T00:00:00","2019-09-28T00:00:00",5891345
"2019-09-28T00:00:00","2019-09-29T00:00:00",5137505
"2019-09-29T00:00:00","2019-09-30T00:00:00",5025853
"2019-09-30T00:00:00","2019-10-01T00:00:00",5609000
"2019-10-01T00:00:00","2019-10-02T00:00:00",5870468
"2019-10-02T00:00:00","2019-10-03T00:00:00",5415100
"2019-10-03T00:00:00","2019-10-04T00:00:00",5932646
"2019-10-04T00:00:00","2019-10-05T00:00:00",5971732
"2019-10-05T00:00:00","2019-10-06T00:00:00",5094337
"2019-10-06T00:00:00","2019-10-07T00:00:00",4967863
"2019-10-07T00:00:00","2019-10-08T00:00:00",5565571
"2019-10-08T00:00:00","2019-10-09T00:00:00",5812658
"2019-10-09T00:00:00","2019-10-10T00:00:00",5880368
"2019-10-10T00:00:00","2019-10-11T00:00:00",6032127
"2019-10-11T00:00:00","2019-10-12T00:00:00",5998144
"2019-10-12T00:00:00","2019-10-13T00:00:00",5107942
"2019-10-13T00:00:00","2019-10-14T00:00:00",4958183
"2019-10-14T00:00:00","2019-10-15T00:00:00",5362029
"2019-10-15T00:00:00","2019-10-16T00:00:00",5773660
"2019-10-16T00:00:00","2019-10-17T00:00:00",6074449
"2019-10-17T00:00:00","2019-10-18T00:00:00",5872775
"2019-10-18T00:00:00","2019-10-19T00:00:00",5741689
"2019-10-19T00:00:00","2019-10-20T00:00:00",5045275
"2019-10-20T00:00:00","2019-10-21T00:00:00",4990492
"2019-10-21T00:00:00","2019-10-22T00:00:00",5403795
"2019-10-22T00:00:00","2019-10-23T00:00:00",5773379
"2019-10-23T00:00:00","2019-10-24T00:00:00",5961115
"2019-10-24T00:00:00","2019-10-25T00:00:00",5886059
"2019-10-25T00:00:00","2019-10-26T00:00:00",5813461
"2019-10-26T00:00:00","2019-10-27T00:00:00",5033995
"2019-10-27T00:00:00","2019-10-28T00:00:00",5242010
"2019-10-28T00:00:00","2019-10-29T00:00:00",5516736
"2019-10-29T00:00:00","2019-10-30T00:00:00",5772494
"2019-10-30T00:00:00","2019-10-31T00:00:00",5909630
"2019-10-31T00:00:00","2019-11-01T00:00:00",6337523
"2019-11-01T00:00:00","2019-11-02T00:00:00",5689575
"2019-11-02T00:00:00","2019-11-03T00:00:00",4901090
"2019-11-03T00:00:00","2019-11-04T00:00:00",4816137
"2019-11-04T00:00:00","2019-11-05T00:00:00",5445816
"2019-11-05T00:00:00","2019-11-06T00:00:00",5696314
"2019-11-06T00:00:00","2019-11-07T00:00:00",5840722
"2019-11-07T00:00:00","2019-11-08T00:00:00",5699143
"2019-11-08T00:00:00","2019-11-09T00:00:00",5632976
"2019-11-09T00:00:00","2019-11-10T00:00:00",5074961
"2019-11-10T00:00:00","2019-11-11T00:00:00",4964068
"2019-11-11T00:00:00","2019-11-12T00:00:00",5480924
"2019-11-12T00:00:00","2019-11-13T00:00:00",5728073
"2019-11-13T00:00:00","2019-11-14T00:00:00",5888706
"2019-11-14T00:00:00","2019-11-15T00:00:00",5801917
"2019-11-15T00:00:00","2019-11-16T00:00:00",6108234
"2019-11-16T00:00:00","2019-11-17T00:00:00",5057811
"2019-11-17T00:00:00","2019-11-18T00:00:00",4937314
"2019-11-18T00:00:00","2019-11-19T00:00:00",5334416
"2019-11-19T00:00:00","2019-11-20T00:00:00",5694053
"2019-11-20T00:00:00","2019-11-21T00:00:00",5952007
"2019-11-21T00:00:00","2019-11-22T00:00:00",5995611
"2019-11-22T00:00:00","2019-11-23T00:00:00",5724812
"2019-11-23T00:00:00","2019-11-24T00:00:00",5017833
"2019-11-24T00:00:00","2019-11-25T00:00:00",4904311
"2019-11-25T00:00:00","2019-11-26T00:00:00",5351328
"2019-11-26T00:00:00","2019-11-27T00:00:00",5545853
"2019-11-27T00:00:00","2019-11-28T00:00:00",5504437
"2019-11-28T00:00:00","2019-11-29T00:00:00",5247726
"2019-11-29T00:00:00","2019-11-30T00:00:00",4663552
"2019-11-30T00:00:00","2019-12-01T00:00:00",4607255
