startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",1204425
"2013-01-02T00:00:00","2013-01-03T00:00:00",1439128
"2013-01-03T00:00:00","2013-01-04T00:00:00",1539180
"2013-01-04T00:00:00","2013-01-05T00:00:00",1398675
"2013-01-05T00:00:00","2013-01-06T00:00:00",1334363
"2013-01-06T00:00:00","2013-01-07T00:00:00",1402853
"2013-01-07T00:00:00","2013-01-08T00:00:00",1554537
"2013-01-08T00:00:00","2013-01-09T00:00:00",1515514
"2013-01-09T00:00:00","2013-01-10T00:00:00",1374279
"2013-01-10T00:00:00","2013-01-11T00:00:00",1356197
"2013-01-11T00:00:00","2013-01-12T00:00:00",1297238
"2013-01-12T00:00:00","2013-01-13T00:00:00",1236392
"2013-01-13T00:00:00","2013-01-14T00:00:00",1539403
"2013-01-14T00:00:00","2013-01-15T00:00:00",1384365
"2013-01-15T00:00:00","2013-01-16T00:00:00",1417307
"2013-01-16T00:00:00","2013-01-17T00:00:00",1434091
"2013-01-17T00:00:00","2013-01-18T00:00:00",1407856
"2013-01-18T00:00:00","2013-01-19T00:00:00",1380339
"2013-01-19T00:00:00","2013-01-20T00:00:00",1180692
"2013-01-20T00:00:00","2013-01-21T00:00:00",1271658
"2013-01-21T00:00:00","2013-01-22T00:00:00",1515210
"2013-01-22T00:00:00","2013-01-23T00:00:00",1367247
"2013-01-23T00:00:00","2013-01-24T00:00:00",1469572
"2013-01-24T00:00:00","2013-01-25T00:00:00",1459466
"2013-01-25T00:00:00","2013-01-26T00:00:00",1366855
"2013-01-26T00:00:00","2013-01-27T00:00:00",1223314
"2013-01-27T00:00:00","2013-01-28T00:00:00",1325038
"2013-01-28T00:00:00","2013-01-29T00:00:00",1464859
"2013-01-29T00:00:00","2013-01-30T00:00:00",1450675
"2013-01-30T00:00:00","2013-01-31T00:00:00",1436030
"2013-01-31T00:00:00","2013-02-01T00:00:00",1350180
"2013-02-01T00:00:00","2013-02-02T00:00:00",1324604
"2013-02-02T00:00:00","2013-02-03T00:00:00",1128798
"2013-02-03T00:00:00","2013-02-04T00:00:00",1328464
"2013-02-04T00:00:00","2013-02-05T00:00:00",1513190
"2013-02-05T00:00:00","2013-02-06T00:00:00",1358295
"2013-02-06T00:00:00","2013-02-07T00:00:00",1386978
"2013-02-07T00:00:00","2013-02-08T00:00:00",1342049
"2013-02-08T00:00:00","2013-02-09T00:00:00",1341752
"2013-02-09T00:00:00","2013-02-10T00:00:00",1193970
"2013-02-10T00:00:00","2013-02-11T00:00:00",1260645
"2013-02-11T00:00:00","2013-02-12T00:00:00",1515456
"2013-02-12T00:00:00","2013-02-13T00:00:00",1426143
"2013-02-13T00:00:00","2013-02-14T00:00:00",1390055
"2013-02-14T00:00:00","2013-02-15T00:00:00",1331709
"2013-02-15T00:00:00","2013-02-16T00:00:00",1187270
"2013-02-16T00:00:00","2013-02-17T00:00:00",1091023
"2013-02-17T00:00:00","2013-02-18T00:00:00",1176200
"2013-02-18T00:00:00","2013-02-19T00:00:00",1385858
"2013-02-19T00:00:00","2013-02-20T00:00:00",1391154
"2013-02-20T00:00:00","2013-02-21T00:00:00",1406646
"2013-02-21T00:00:00","2013-02-22T00:00:00",1389271
"2013-02-22T00:00:00","2013-02-23T00:00:00",1355052
"2013-02-23T00:00:00","2013-02-24T00:00:00",1171959
"2013-02-24T00:00:00","2013-02-25T00:00:00",1209007
"2013-02-25T00:00:00","2013-02-26T00:00:00",1417584
"2013-02-26T00:00:00","2013-02-27T00:00:00",1366530
"2013-02-27T00:00:00","2013-02-28T00:00:00",1391769
"2013-02-28T00:00:00","2013-03-01T00:00:00",1363919
"2013-03-01T00:00:00","2013-03-02T00:00:00",1330225
"2013-03-02T00:00:00","2013-03-03T00:00:00",1204955
"2013-03-03T00:00:00","2013-03-04T00:00:00",1273151
"2013-03-04T00:00:00","2013-03-05T00:00:00",1419735
"2013-03-05T00:00:00","2013-03-06T00:00:00",1415671
"2013-03-06T00:00:00","2013-03-07T00:00:00",1468307
"2013-03-07T00:00:00","2013-03-08T00:00:00",1435062
"2013-03-08T00:00:00","2013-03-09T00:00:00",1362149
"2013-03-09T00:00:00","2013-03-10T00:00:00",1220143
"2013-03-10T00:00:00","2013-03-11T00:00:00",1303537
"2013-03-11T00:00:00","2013-03-12T00:00:00",1421669
"2013-03-12T00:00:00","2013-03-13T00:00:00",1384048
"2013-03-13T00:00:00","2013-03-14T00:00:00",1361341
"2013-03-14T00:00:00","2013-03-15T00:00:00",1391401
"2013-03-15T00:00:00","2013-03-16T00:00:00",1291894
"2013-03-16T00:00:00","2013-03-17T00:00:00",1231171
"2013-03-17T00:00:00","2013-03-18T00:00:00",1243262
"2013-03-18T00:00:00","2013-03-19T00:00:00",1414469
"2013-03-19T00:00:00","2013-03-20T00:00:00",1421922
"2013-03-20T00:00:00","2013-03-21T00:00:00",1425446
"2013-03-21T00:00:00","2013-03-22T00:00:00",1403596
"2013-03-22T00:00:00","2013-03-23T00:00:00",1407207
"2013-03-23T00:00:00","2013-03-24T00:00:00",1250474
"2013-03-24T00:00:00","2013-03-25T00:00:00",1299178
"2013-03-25T00:00:00","2013-03-26T00:00:00",1485844
"2013-03-26T00:00:00","2013-03-27T00:00:00",1400398
"2013-03-27T00:00:00","2013-03-28T00:00:00",1361855
"2013-03-28T00:00:00","2013-03-29T00:00:00",1415780
"2013-03-29T00:00:00","2013-03-30T00:00:00",1321111
"2013-03-30T00:00:00","2013-03-31T00:00:00",1188820
"2013-03-31T00:00:00","2013-04-01T00:00:00",1176907
"2013-04-01T00:00:00","2013-04-02T00:00:00",1452703
"2013-04-02T00:00:00","2013-04-03T00:00:00",1362307
"2013-04-03T00:00:00","2013-04-04T00:00:00",1414983
"2013-04-04T00:00:00","2013-04-05T00:00:00",1388670
"2013-04-05T00:00:00","2013-04-06T00:00:00",1327753
"2013-04-06T00:00:00","2013-04-07T00:00:00",1122136
"2013-04-07T00:00:00","2013-04-08T00:00:00",1200821
"2013-04-08T00:00:00","2013-04-09T00:00:00",1389227
"2013-04-09T00:00:00","2013-04-10T00:00:00",1425072
"2013-04-10T00:00:00","2013-04-11T00:00:00",1350224
"2013-04-11T00:00:00","2013-04-12T00:00:00",1330840
"2013-04-12T00:00:00","2013-04-13T00:00:00",1300907
"2013-04-13T00:00:00","2013-04-14T00:00:00",1182980
"2013-04-14T00:00:00","2013-04-15T00:00:00",1116245
"2013-04-15T00:00:00","2013-04-16T00:00:00",1450719
"2013-04-16T00:00:00","2013-04-17T00:00:00",1585396
"2013-04-17T00:00:00","2013-04-18T00:00:00",1367782
"2013-04-18T00:00:00","2013-04-19T00:00:00",1472783
"2013-04-19T00:00:00","2013-04-20T00:00:00",1361326
"2013-04-20T00:00:00","2013-04-21T00:00:00",1148972
"2013-04-21T00:00:00","2013-04-22T00:00:00",1092529
"2013-04-22T00:00:00","2013-04-23T00:00:00",1302769
"2013-04-23T00:00:00","2013-04-24T00:00:00",1339363
"2013-04-24T00:00:00","2013-04-25T00:00:00",1369676
"2013-04-25T00:00:00","2013-04-26T00:00:00",1346883
"2013-04-26T00:00:00","2013-04-27T00:00:00",1300246
"2013-04-27T00:00:00","2013-04-28T00:00:00",1100505
"2013-04-28T00:00:00","2013-04-29T00:00:00",1129512
"2013-04-29T00:00:00","2013-04-30T00:00:00",1333974
"2013-04-30T00:00:00","2013-05-01T00:00:00",1359924
"2013-05-01T00:00:00","2013-05-02T00:00:00",1290425
"2013-05-02T00:00:00","2013-05-03T00:00:00",1310903
"2013-05-03T00:00:00","2013-05-04T00:00:00",1238595
"2013-05-04T00:00:00","2013-05-05T00:00:00",1080262
"2013-05-05T00:00:00","2013-05-06T00:00:00",1082540
"2013-05-06T00:00:00","2013-05-07T00:00:00",1253452
"2013-05-07T00:00:00","2013-05-08T00:00:00",1437224
"2013-05-08T00:00:00","2013-05-09T00:00:00",1345033
